[s:30][c:yellow]Biomate University[/c][/s]
Academic University
Telyoupea Akpi
Alpha
[c:lime]Dock fee 0[/c]
Timestamp: 2090.908
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Skill Manual
Advanced Skill Manual
Elite Skill Manual
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Needs Goods: (4) Items 
 (88) x Ornament
 (67) x Candy Cane
 (62) x Ornament
 (56) x Candy Cane
Fulfill order for [c:lime]548 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  68 - z14
Basic Projectile Explosive Mod (Doc)  80 - z148,350
Basic Railgun  29 - z4,490
Basic Rocket Launcher (Doc)  263 - z27,808
Basic Scan Emitter  79 - z19,881
Basic Shield Booster  58 - z27,363
Basic Skill Manual  90 - z162,829
Basic Torpedo   455 - z98
Basic Torpedo Launcher  69 - z3,818
Basic Torpedo Launcher (Doc)  593 - z28,749
Basic Warp Drive  74 - z197,250
Basic Warp Drive (Doc)  61 - z2,607,000
Basic Warp Drive Fuel  748 - z951
Battery Array  929 - z3,027
Belasite Ore  447 - z169
Bio Carbon  1294 - z11
Bio Converter  49 - z59,382
Biowaste Processor  10 - z476,896
Bottled Whiskey  99 - z112
Burglar Drone  112 - z8,618
Calciate Residue  1098 - z57
Calcium  398 - z3
Calibration Tools  26 - z4,477
Candy Cane  31 - z1
Candy Corn  5 - z1
Carbon  1178 - z2
Carbon Filter  10 - z34,684
Cat Food  2 - z205,986
Ceramic  211 - z18
Cheese and Crackers  46 - z101,622
Cheeseburger  25 - z30,932
Childrens Toys  78 - z266
Chocolate Bars  67 - z1
Cleaning Chemicals  1 - z65
Cloak Field Generator  63 - z993,125
Colored Dye  36 - z14
Communication Device  67 - z2,324
Compartment Frame  550 - z1,134
Computer Component  9 - z1,164
Containment Processor  5 - z216,039
Containment Unit  47 - z6,548
Cooling Unit (Doc)  10 - z16,274
Copperi Cubex  336 - z15
Copperi Plates  602 - z301
Crystaline Filter  44 - z267,542
Dynex Crystal  1424 - z29
Dynex Ore  255 - z102
ECM Magweb (Doc)  72 - z6,588,868
ECM Target Scrambler  22 - z65,588
Eco Regulator  21 - z36,184
Electrical Interface  724 - z1,045
Electromagnetic Emitter  746 - z2,862
Electromagnetic Emitter (Doc)  57 - z16,102
Electron Orb  44 - z56
Electronic Fragment  909 - z197
Electronic Switch  764 - z426
Electronic Switch (Doc)  4 - z3,851
Elite Skill Manual  89 - z510,605
Energy Bomb  150 - z5,145
Engine Component  291 - z659
Entertainment Electronics  56 - z658
Fasteners  602 - z10
Fiber Optic Cables (Doc)  61 - z907
Fiber Optic Interface  396 - z1,214
Foodservice Equipment  87 - z6,247
Foodservice Products  13 - z4,348
Fusion Biomax  40 - z985,427
Gaming Devices  56 - z1,435
Generic Construction Platform  110 - z2,958,750
Generic Missile Launcher (Doc)  129 - z7,970
Generic Plasma Cannon  40 - z2,078
Generic Railgun (Doc)  379 - z4,854
Generic Salvage Collector  58 - z1,698
Generic Torpedo Launcher (Doc)  183 - z10,614
Glass Panels  183 - z329
Goldyte  600 - z105
Gourmet Food Rations  90 - z322
Gradeon Ore  641 - z6
Gravitational Emitter  264 - z2,422
Grilled Steak  37 - z62,665
Gummy Bears  97 - z1
Habitax Regulator  42 - z618,518
Ham Sandwich  9 - z24,321
Heavy Armor Bomb  23 - z42,485
Heavy Defense Drone  161 - z140,993
Heavy Energy Charge  67 - z40,203
Heavy Mining Drone  55 - z88,193
Heavy Repair Drone  135 - z150,893
Heavy Shield Charge  130 - z55,094
Hull Chassis  650 - z1,854
Hydrogen  204 - z3
Hydrox Filter  2 - z311,217
Hygiene Products  59 - z107
Hyperion Regulator  22 - z157,732
Improved Combat Drone  185 - z46,553
Improved Defense Drone  110 - z38,003
Improved Energy Generator  53 - z54,572
Improved Energy Generator (Doc)  30 - z459,984
Improved Filter  35 - z5,690
Improved Heavy Cannon (Doc)  9 - z124,576
Improved Heavy Laser  54 - z28,688
Improved Ion Beam  74 - z13,656
Improved Light Turret  94 - z24,365
Improved Mass Reduction  98 - z26,427
Improved Mining Drone  160 - z26,303
Improved Missile Launcher  97 - z15,483
Improved Missile Launcher (Doc)  374 - z112,449
Improved Pulse Laser (Doc)  80 - z89,976
Improved Railgun (Doc)  65 - z115,322
Improved Repair Drone  178 - z34,403
Improved Salvage Drone  59 - z28,553
Improved Scan Emitter  31 - z28,242
Improved Shield Booster  67 - z27,725
Improved Thruster (Doc)  85 - z450,828
Interior Lighting  34 - z248
Ionization Plate  158 - z4,177
Iron Coring  639 - z3
Iron Coring Beams  105 - z498
Iron Coring Pipes  100 - z435
Junk Part  802 - z12
Kitchen Appliances  17 - z607
Large Heatsink  283 - z581
Large Heatsink (Doc)  99 - z2,726
Large Life Support Pack  68 - z45,653
Large Mining Drone  179 - z75,450
Large Motor  678 - z3,206
Large Pump  839 - z597
Large Repair Drone  176 - z81,450
Large Web Field  55 - z76,644
Light Armor Bomb  118 - z5,621
Light Armor Repair  58 - z5,476
Light Energy Charge  99 - z4,587
Light Shield Bomb  95 - z7,781
Light Shield Charge  30 - z4,792
Lokken Ore  897 - z29
Magnetic Quartz  1200 - z2
Magnetic Regulator  871 - z3,731
Mechanical Belts  259 - z38
Mechanical Belts (Doc)  58 - z231
Mechanical Tools  40 - z3,420
Media Recordings  61 - z1,199
Medical Instruments  97 - z5,613
Medium Armor Bomb  9 - z11,192
Medium Armor Repair  10 - z11,148
Medium Defense Drone  88 - z10,868
Medium Defense Drone (Doc)  75 - z60,360
Medium Mining Drone  195 - z10,718
Medium Repair Drone  129 - z14,168
Medium Salvage Drone  81 - z6,968
Medium Shield Charge  172 - z22,985
Medium Web Field  141 - z20,508
Memory Chip  619 - z138
Metal Fragment  295 - z47
Metal Valve  446 - z34
Micro Computer  610 - z6,926
Micro Computer (Doc)  12 - z42,290
Micro Leech Drone  146 - z15,668
Misc Hardware  707 - z356
Module Fragment  100 - z168
Motion Sensor  683 - z145
Musical Instruments  26 - z1,750
Neutron Pods  181 - z38
Nitrogen  815 - z10
Noodles  24 - z5,813
Office Furniture  20 - z872
Office Supplies  40 - z3,526
Oil  372 - z12
OmniCon Regulator  21 - z48,878
Optical Interface  304 - z95
Oxygen  302 - z2
Personal Clothing  62 - z616
Pizza  29 - z314,735
Plasite Ore  604 - z45
Plastic Caps  428 - z60
Plastix Strands  899 - z3
Polymere  837 - z43
Premium Afterburner  12 - z106,320
Premium Afterburner (Doc)  73 - z2,120,640
Premium Cargo Expansion  17 - z166,900
Premium Heavy Cannon  87 - z367,939
Premium Heavy Laser  31 - z364,637
Premium Missile Launcher (Doc)  83 - z766,745
Premium Railgun (Doc)  82 - z818,441
Premium Rocket Launcher  2 - z205,436
Premium Scan Booster  41 - z131,404
Premium Shield Booster  12 - z96,900
Premium Thruster  17 - z151,956
Premium Torpedo Launcher  16 - z354,568
Pressure Sensor (Doc)  79 - z958
Prometheum  1396 - z59
Protein Bar  1 - z3,882
Prototype 20mm  164 - z108
Prototype 60mm (Doc)  65 - z243,625
Prototype Drone Command Bay  64 - z630,080
Prototype ECM Energy Coil  44 - z691,842
Prototype ECM Resistance Field  93 - z877,693
Prototype Energy Armor  39 - z409,800
Prototype Energy Generator  51 - z454,496
Prototype Heavy Cannon (Doc)  164 - z2,625,831
Prototype Missile   102 - z310
Prototype Missile Launcher (Doc)  177 - z6,092,275
Prototype Ore Harvester  84 - z1,396,031
Prototype Railgun (Doc)  251 - z5,952,829
Prototype Rocket Launcher (Doc)  486 - z2,439,641
Prototype Scan Booster (Doc)  56 - z2,278,176
Prototype Torpedo   266 - z868
Prototype Torpedo Launcher  58 - z560,303
Prototype Turn Thrust  96 - z279,840
Prototype Warp Drive Fuel  363 - z15,617
Quazor Ore  150 - z22
Regulator (Doc)  66 - z1,352
Reinforced Rubber  312 - z12
Rubber Tubing  84 - z20
Salt Crystal  51 - z1
Scrap Part  438 - z33
Sensor Array  703 - z2,209
Servo Controls  36 - z7,206
Silicon  1027 - z6
Silveryte  393 - z89
Small Defense Drone  84 - z5,247
Small Life Support Pack  106 - z5,023
Small LS Bomb  34 - z5,772
Small Microchip  859 - z368
Small Mining Drone  121 - z3,807
Small Motor  664 - z184
Small Repair Drone  90 - z3,867
Small Salvage Drone  53 - z3,867
Small Web Field  172 - z4,916
Spaghetti  1 - z643,148
Sporting Equipment  39 - z1,280
Spotlight  76 - z4,982
Spotlight (Doc)  7 - z43,811
Steelium  446 - z44
Steelium Beam  440 - z9
Steelium Plates  421 - z610
Surf-n-Turf  27 - z457,423
Synth Filter  33 - z48,772
Temperature Genie  37 - z16,604
Textile Fabrics  97 - z775
Thermal Controller  43 - z5,002
Thermal Generex  45 - z63,708
Thermal Insulation  827 - z41
Thermex Controller  18 - z286,587
Titan Defense Drone  48 - z213,625
Titan Mining Drone  8 - z243,625
Titan Mining Drone (Doc)  35 - z1,080,960
Titan Salvage Drone  125 - z286,125
Titanyte  1272 - z55
Titanyte Plates  529 - z828
Torim Extractor  9 - z1,212,280
Torim Ore  950 - z56
Transport Units  73 - z7,658
Undamaged Part  813 - z38
Uranium  302 - z155
Waste Burner  3 - z15,926
Waste Processor  11 - z18,962
Water  377 - z1
Weapons Component  901 - z256
Xenox Ore  444 - z217
Zai Ore  250 - z269


<Station University Skills>
Projectile Basic Operation
Laser Basic Operation
Beam Basic Operation
Launcher Basic Operation
Torpedo Basic Operation
Miner Basic Operation
Escort Ship Operation
Frigate Ship Operation
Destroyer Ship Operation
Utility Ship Operation
Battlecruiser Ship Operation
Cruiser Ship Operation
Dreadnought Ship Operation
Carrier Ship Operation
Ship Thruster Systems
Ship Cargo Stacker
Max Mission Contracts
Ship Energy Regeneration
Ship Energy Systems
Fleet Commander
Drone Operation
Drone Command Systems
Drone Combat Weapons
Drone Mining Lasers
Drone Repair Systems
Drone Defensive Programing
Drone Range Signal
Drone Energy Systems
Drone Armor Mechanic
Drone Cargo Mechanic
Drone Thruster Systems
Structure Build operation
Structure Warehouse Management
Structure Accountant
Structure Prospector
Structure Engineer
Ship Shield Regeneration


<Station Missions>
[c:lime]DIALOG[/c]
Detain <color='yellow'><i>General Deszan Rastassi</i></color> in <color='cyan'>Equalias Val</color> and escort them to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>

[c:lime]FABRICATE[/c]
Dock at the Rendo Labs station fabricator in <color='cyan'>Entropy</color> and manufacture a light shipment of <color='yellow'>5</color> <color='yellow'>Fuel Injectors</color>

[c:lime]HARVEST[/c]
Harvest special <color='yellow'>Special Gradeon Ore</color> in <color='cyan'>Bitcola</color> and return with <color='yellow'>49</color> ore to Lammassu Financial in <color='cyan'>Void Starcross</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Hunu</color> and return with <color='yellow'>55</color> to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>

[c:lime]SCAN[/c]
Find <color='yellow'><i>Doctor Tisev Caeoigilla</i></color> in <color='cyan'>Felishar</color>, scan their ship, and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>

[c:lime]ESCORT[/c]
<color='yellow'><i>Professor Zilsnuh Ilsmastpa</i></color> requests an escort from Imperium Republica  in <color='cyan'>Gate of Alpharis</color> to ValueStar in <color='cyan'>Hunu</color>

[c:lime]SCAN[/c]
Find <color='yellow'><i>Enforcer Asba Qano</i></color> in <color='cyan'>Lins</color>, scan their ship, and return to ValueStar in <color='cyan'>Hunu</color>



<Station Ships>
RS-1 Translator / Shuttle    (Transport)
RE-1 Integrator / Escort    (Recon)
RE-2 Harmonizer / Escort    (Recon)
RU-1 Curator / Escort    (Recon)
RU-2 Conservator / Escort    (Recon)
RF-1 Assimilator / Escort    (Recon)


<Station Offices>
(Tutorial Office) Camera Basics 
[c:grey](Ratamaq Guru)[/c]

(Tutorial Office) Navigation Basics 
[c:grey](Arji Darn)[/c]

(Tutorial Office) Life Support Basics 
[c:grey](Carter Burke)[/c]

(Tutorial Office) Introduction 
[c:grey](Jessa Din)[/c]

(Tutorial Office) Basic Combat 
[c:grey](Fredric Din)[/c]

(Tutorial Office) Basic Drones 
[c:grey](Daniel Traek)[/c]

(Tutorial Office) Basic Fleet Command 
[c:grey](Jacob Salis)[/c]

(Tutorial Office) Wormhole Basics 
[c:grey](Darius Ghent)[/c]

