[s:30][c:yellow]Proctors Center[/c][/s]
Patrol Annex Station
Kandace
Law
[c:lime]Dock fee 25[/c]
Timestamp: 15613.02
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Drone Command Bay
Improved Drone Command Bay
Advanced Drone Command Bay
Premium Drone Command Bay
Prototype Drone Command Bay
[c:orange]DEMAND[/c]
Adamyte Ore
Gradeon Ore
Quazor Ore
Lokken Ore
Torim Ore
Plasite Ore
Dynex Ore
Belasite Ore
Xenox Ore
Zai Ore

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  7361 - z25
Salvage <color='yellow'>Special Derelict</color> in <color='cyan'>Jala</color> and return with <color='yellow'>5</color> to Temple of the Void in <color='cyan'>Valley of Truths</color>

[c:lime]DIALOG[/c]
Chat with <color='yellow'><i>Major Boeno Zebast</i></color> about his debt in <color='cyan'>Ballast Crow</color> and return to Tella's in <color='cyan'>Bitcola</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Junk</color> in <color='cyan'>Starfort Ramos</color> and return with <color='yellow'>2</color> to Lacuna Bandits in <color='cyan'>Ballast Crow</color>

[c:lime]SCAN[/c]
Track down and scan <color='yellow'><i>Foreman Aljid Foeti</i></color> in <color='cyan'>Starfort Ramos</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color>

[c:lime]SCAN[/c]
Track down and scan <color='yellow'><i>Commander Mastti Fifarda</i></color> in <color='cyan'>Ballast Crow</color> and return to CoraVault in <color='cyan'>Lins</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Junk</color> in <color='cyan'>Ballast Crow</color> and return with <color='yellow'>2</color> to OmniTrust in <color='cyan'>Ponze</color>



<Station Ships>
SHD-10 Jupiter / Super Dreadnought    (Battle)
BF-1 Enforcer / Frigate    (Battle)
BE-1 Gabriel / Escort    (Battle)
BU-1 Gunship / Utility    (Battle)
LAC-1 Alpharis Predator / Cruiser    (Battle)
FAD-3 Intercept Piranha / Destroyer    (Battle)
BS-1 Starclass Shuttle / Shuttle    (Battle)


<Station Offices>
Tutorial Office 
[c:grey](Fredric Din)[/c]

