NPC;-PRICE;18;0;77.0803;Kinetics Manufacturing;Void Spooflarnia;0h 0m 23s ;23.44398
NPC;-LOCAL;385;0;84.9645;Astrox Security Patrol;Felishar;10h 35m 10s ;38110.46
NPC;-LOCAL;282;0;80.66249;Astrox Security Patrol;Felishar;10h 47m 13s ;38833.52
NPC;+PRICE;150;0;9.540956;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;-LOCAL;263;0;80.66249;Astrox Security Patrol;Felishar;11h 10m 1s ;40201.27
NPC;-LOCAL;152;0;80.66249;Astrox Security Patrol;Felishar;11h 19m 44s ;40784.41
NPC;-LOCAL;0;0;156.3339;Horizons;Gate of Alpharis;11h 29m 37s ;41377.72
NPC;+STOCK;267;117;8.48211;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;853;115;48.18599;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;1034;146;70.46748;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;557;137;37.61902;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;635;78;37.34763;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;1155;121;68.85607;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;770;135;35.32977;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+LOCAL;150;620;23.3025;Biomate University;Void Starcross;14h 3m 2s ;50582.58
NPC;BAL;99;-144;47.28967;Mazu Starship;Enoch Estates;14h 12m 27s ;51147.38
NPC;+LOCAL;150;46;23.3025;Biomate University;Void Starcross;14h 30m 11s ;52211.07
NPC;+LOCAL;150;2;23.3025;Biomate University;Void Starcross;15h 7m 31s ;54451.33
NPC;+PRICE;0;0;179.7876;Horizons;Gate of Alpharis;15h 8m 41s ;54521.68
NPC;+LOCAL;150;10;23.3025;Biomate University;Void Starcross;15h 13m 35s ;54815.94
NPC;+PRICE;1155;0;72.14877;StarGypsy Warehouse;Void Starcross;15h 48m 23s ;56903.07
NPC;-QTY;576;-87;80.74047;Star Shepard's Temple;Lightless;15h 52m 52s ;57172.89
NPC;-QTY;663;-107;35.56947;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;+LOCAL;150;99;23.3025;Biomate University;Void Starcross;16h 3m 55s ;57835.64
NPC;-LOCAL;0;0;179.25;Horizons;Gate of Alpharis;16h 34m 1s ;59641.66
NPC;+LOCAL;150;51;23.3025;Biomate University;Void Starcross;16h 40m 10s ;60010.47
NPC;+PRICE;853;0;49.17418;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;-LOCAL;0;0;179.25;Horizons;Gate of Alpharis;17h 3m 43s ;61423.68
NPC;+LOCAL;150;127;23.3025;Biomate University;Void Starcross;18h 28m 19s ;66499.89
NPC;-QTY;1069;-86;71.80128;StarGypsy Warehouse;Void Starcross;19h 7m 15s ;68835.37
NPC;-QTY;0;0;108.1533;Ferce Hub;Semja;19h 7m 15s ;68835.37
NPC;BAL;150;0;11.28313;Biomate University;Void Starcross;20h 19m 44s ;73184.99
NPC;+LOCAL;150;45;23.3025;Biomate University;Void Starcross;20h 56m 39s ;75399.39
NPC;+STOCK;270;120;8.446932;Biomate University;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;1001;148;46.40209;Lammassu Financial;Void Starcross;23h 4m 29s ;83069.7
NPC;+LOCAL;150;197;23.3025;Biomate University;Void Starcross;23h 6m 4s ;83164.88
NPC;-LOCAL;0;0;179.25;Astrox Security Patrol;Felishar;23h 11m 54s ;83514.81
NPC;+LOCAL;150;22;23.3025;Biomate University;Void Starcross;23h 23m 26s ;84206.98
NPC;BAL;107;107;208.0831;Astrox Security Patrol;Felishar;23h 46m 31s ;85591.75
NPC;BAL;248;-135;67.9905;Oak Industries;Dorando Corridor;23h 46m 31s ;85591.75
