[s:30][c:yellow]Lammassu Financial[/c][/s]
Market Center
Jelegus
Trade
[c:lime]Dock fee 25[/c]
Timestamp: 28970.84
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Nuts And Bolts
Fasteners
Steelium Beam
Assorted Gaskets
Lubricant
Steelium Pipes
Metal Brackets
Liquid Coolant
Reinforced Rubber
Carbon Fiber
ECM Magweb
ECM Target Scrambler
ECM Sensors Jammer
ECM Module Disruptor
[c:orange]DEMAND[/c]
Rubber Tubing
Small Storage Tank
Metal Gears
Metal Valve
Thermal Insulation
Aluminium Rivets
Plastic Caps
Mechanical Belts
Assorted Springs
Ball Bearings

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (314) x Metal Gears
 (123) x Assorted Springs
Fulfill order for [c:lime]16,014 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery (Doc)  41 - z6,233
Basic Laser Explosive Mod (Doc)  73 - z27,745
Basic Missile  8428 - z19
Basic Missile Explosive Mod  52 - z1,613
Basic Missile Impact Mod  68 - z1,434
Basic Shield Booster  59 - z2,379
Basic Shield Generator  40 - z1,341
Basic Thruster (Doc)  70 - z13,758
Bio Carbon  978 - z15
Bio Converter  16 - z101,701
Bio Disposables  22 - z245,356
Blaster x2 Laser (Doc)  42 - z8,033
Blaster x5 Laser  100 - z5,857
Blaster x5 Laser (Doc)  42 - z135,753
Bottled Whiskey  3578 - z34
Burglar Drone  69 - z13,835
Calcium  805 - z4
Calibration Tools  1578 - z41
Candy Cane  3221 - z30
Candy Corn  2898 - z18
Capacitors  433 - z48
Carbon  665 - z0
Carbon Fiber  150 - z6
Carbon Filter  21 - z18,616
Cat Food  32 - z355,803
Ceramic  1225 - z12
Cheese and Crackers  28 - z96,556
Cheeseburger  24 - z33,616
Childrens Toys  2377 - z14
Chocolate Bars  3499 - z25
Circuit Board  886 - z54
Cleaning Chemicals  3447 - z24
Cloak Field Resistance (Doc)  15 - z60,325
Cloak Range Extender (Doc)  11 - z106,247
Colored Dye  3487 - z43
Communication Device  3173 - z49
Concussion Missile  7407 - z593
Containment Processor  13 - z344,103
Containment Unit  13 - z4,223
Copperi Cables  380 - z78
Copperi Cables (Doc)  54 - z1,242
Copperi Cubex  1273 - z12
Copperi Pipes  814 - z130
Copperi Plates  482 - z187
Corrosive 20mm  8616 - z43
Corrosive Missile  8280 - z96
Disposables  22 - z4,562
Dynex Crystal  690 - z30
Dynex Crystal Resonator  1163 - z210
Dynex Ore  16873 - z141
ECM Magweb  12 - z31,448
ECM Module Disruptor  12 - z19,655
ECM Sensors Jammer  18 - z16,847
ECM Target Scrambler  12 - z47,173
Eco Regulator  7 - z25,616
Electron Orb  11920 - z82
Electronic Fragment  6993 - z1,581
Elite Skill Manual  34 - z974,779
Entertainment Electronics  2472 - z198
Entex IV-series 20mm Gun  81 - z3,823
Explosive 20mm  8217 - z37
Explosive 60mm  12550 - z36
Fasteners  150 - z1
Fiber Optic Cables  1065 - z75
Fiber Optic Cables (Doc)  57 - z1,238
Focused x1 Laser  58 - z1,249
Foodservice Equipment  3120 - z65
Foodservice Products  1851 - z68
Fusion 20mm  9142 - z39
Fusion 60mm  4363 - z65
Fusion Missile  3489 - z115
Gaming Devices  2476 - z25
Gourmet Food Rations  3062 - z106
Gradeon Ore  17102 - z11
Grilled Steak  7 - z103,001
Gummy Bears  3112 - z12
Ham Sandwich  44 - z12,466
Hand Tools  618 - z198
Heavy Armor Repair  147 - z308,926
Heavy Combat Drone  109 - z96,082
Heavy Defense Drone  152 - z102,682
Heavy Mining Drone  143 - z74,632
Heavy Salvage Drone  125 - z97,732
Hydrogen  1624 - z2
Hygiene Products  1550 - z79
Hyperion Regulator  16 - z219,303
Impact Missile  7780 - z255
Improved Afterburner  37 - z2,429
Improved Combat Drone  33 - z40,604
Improved Energy Armor  92 - z13,141
Improved Energy Capacitor  57 - z5,737
Improved Filter  30 - z8,823
Improved Impact Armor  95 - z9,627
Improved Mass Reduction (Doc)  55 - z19,483
Improved Mining Drone  102 - z23,504
Improved Repair Drone  116 - z41,054
Improved Salvage Drone  119 - z40,604
Improved Scan Emitter  78 - z1,727
Inovex 60mm Auto Cannon  77 - z59,299
Interior Lighting  3241 - z134
Ion Beam Class 2  82 - z3,493
Ion Beam Class 5  53 - z51,147
Iron Coring  900 - z4
Iron Coring Pipes  373 - z95
Iron Coring Plates  1184 - z101
Junk Part  9613 - z102
Kinetic 20mm  7580 - z18
Kinetic 60mm  6177 - z37
Kinetic Missile  8778 - z305
Kinetics G-series 20mm Gatling  39 - z907
Kinetics G-series 20mm Gun  75 - z2,406
Kitchen Appliances  2438 - z81
Kith Gatling 60mm Cannon  87 - z19,090
Large Defense Drone  95 - z82,232
Large Processor  933 - z38
Large Pump  988 - z117
Large Repair Drone  35 - z62,232
Large Web Field  77 - z142,847
LED Lights  738 - z52
Light Armor Repair  132 - z20,769
Light Energy Charge  215 - z8,517
Liquid Coolant  150 - z5
Liquid Coolant (Doc)  60 - z371
Lokken Ore  9128 - z51
Lubricant  150 - z3
Magnetic Quartz  1219 - z1
Mechanical Belts  45 - z86
Mechanical Switch  943 - z36
Mechanical Tools  2273 - z22
Media Recordings  2424 - z20
Medical Instruments  2099 - z161
Medium Armor Bomb  181 - z14,058
Medium Combat Drone  179 - z11,135
Medium Energy Charge  114 - z96,501
Medium Salvage Drone  141 - z4,235
Medium Salvage Drone (Doc)  43 - z90,417
Medium Shield Bomb  126 - z18,058
Medium Shield Charge  151 - z74,678
Medium Shield Recharger  75 - z339,505
Medium Web Field  98 - z22,558
Memory Chip  1030 - z98
Metal Brackets  150 - z5
Metal Fragment  16571 - z534
Metal Gears  40 - z29
Metal Valve  28 - z30
Micro Leech Drone  181 - z15,635
Module Fragment  17059 - z1,794
Musical Instruments  3042 - z156
Neutron Pods  1436 - z23
Nitrogen  1604 - z4
Noodles  10 - z3,523
Nuts And Bolts  150 - z1
Office Furniture  3237 - z69
Office Supplies  3198 - z17
Oil  1319 - z8
OmniCon Regulator  21 - z52,301
Optical Interface  984 - z87
Optical Interface (Doc)  51 - z1,428
Ornament  3477 - z277
Oxygen  1257 - z0
Personal Clothing  2484 - z53
Plasite Ore  6706 - z84
Plasma Beam Class 1  64 - z2,124
Plasma Beam Class 4 (Doc)  23 - z260,781
Plasma Beam Class 7  71 - z94,905
Plastic Caps  34 - z76
Plastix Strands  691 - z2
Premium Afterburner  72 - z13,020
Premium Energy Capacitor  52 - z75,335
Premium Engine Core (Doc)  49 - z719,921
Premium Scan Booster  43 - z42,465
Premium Shield Generator (Doc)  6 - z364,601
Protein Bar  47 - z3,212
Proton Missile (Doc)  42 - z1,336
Prototype Cargo Expansion (Doc)  53 - z4,269,258
Prototype ECM Energy Coil  88 - z9,050
Prototype ECM Energy Coil (Doc)  26 - z86,229
Prototype ECM Range Lock  104 - z8,854
Prototype ECM Resistance Field  51 - z8,265
Prototype Scan Emitter (Doc)  8 - z3,086,095
Prototype Targeting System  96 - z213,968
Pulse Beam Class 2  50 - z4,274
Pulse Beam Class 7  52 - z158,667
Pulse x2 Laser (Doc)  12 - z8,233
Pulse x4 Laser (Doc)  58 - z11,972
Pulse x7 Laser  50 - z28,073
Quazor Ore  4318 - z45
Rapid x1 Launcher  53 - z1,097
Rapid x2 Launcher  69 - z3,034
Reinforced Rubber  150 - z3
Rubber Tubing  60 - z53
Salt Crystal  817 - z1
Salvage Collector 2 (Doc)  36 - z86,678
Salvage Collector 4  66 - z47,977
Salvage Collector 5 (Doc)  45 - z297,820
Scrap Part  13050 - z74
Silicon  1162 - z3
Small Electronics  431 - z228
Small Heatsink  591 - z168
Small Life Support Pack  142 - z9,028
Small Motor  516 - z96
Small Storage Tank  60 - z66
SolarClean Filter  33 - z137,403
Sporting Equipment  2418 - z37
Steelium  674 - z49
Steelium Beam  150 - z1
Steelium Pipes  150 - z4
Synth Filter  46 - z82,156
Tactical x5 Launcher (Doc)  68 - z231,246
Temperature Genie  31 - z5,991
Textile Fabrics  3327 - z45
Thermal Controller  32 - z1,412
Thermal Generex  21 - z158,956
Thermal Insulation  42 - z30
Thermal Sensor  917 - z59
Titan Combat Drone  55 - z103,079
Titan Defense Drone  106 - z90,579
Titan Repair Drone  46 - z138,079
Torim Ore  13774 - z140
Torpedo Mark I  8091 - z56
Torpedo Mark II  7921 - z98
Torpedo Mark IV  8349 - z159
Torpedo Mark VI  6332 - z527
Torpedo Mark VI (Doc)  12 - z5,876
Torpedo Mark X  3693 - z1,356
Toxic 60mm  3955 - z89
Transport Units  1012 - z237
Undamaged Part  15904 - z295
Uranium Core  649 - z274
Uranium Core 60mm  8650 - z36
UV Filter  34 - z53,601
Waste Burner  28 - z41,116
Waste Processor  38 - z17,716
Water  1764 - z0
Weapons Component  10214 - z3,186
Wrapped Box  2927 - z4,772
x2 Torpedo Launcher  73 - z235,806


<Station University Skills>
Market Auditor
Market Distributor
Merc Negotiations
Merc Prospector
Storage Accountant
University Discount
Refinery Accountant
Max Mission Contracts
Mission Negotiations
Ship Engine Burner
Tractor Energy Optimization
Tractor Maintenance


<Station Missions>
[c:lime]SCAN[/c]
Find the target <color='yellow'>Office Center</color> structure in <color='cyan'>Ballast Crow</color>, scan, and return to Astrox Security Patrol in <color='cyan'>Felishar</color>

[c:lime]SCAN[/c]
Find <color='yellow'><i>Professor Zaeme Laspi</i></color> in <color='cyan'>Felishar</color>, scan their ship, and return to Acrondia Hub in <color='cyan'>Temple Gates</color>

[c:lime]TRANSPORT[/c]
Head to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>, pick up <color='yellow'>5</color> <color='yellow'>Quantex  x-2 20mm Guns</color> for a light shipment to Starbase Corporate Center in <color='cyan'>Void Starcross</color>

[c:lime]ESCORT[/c]
A ship in StarShepards Headquarters in <color='cyan'>Void Starcross</color> needs an escort to Proctors Center in <color='cyan'>Void Starcross</color>

[c:lime]REFINE[/c]
Dock at the Ferce Hub station refinery in <color='cyan'>Semja</color> and process a light shipment of <color='yellow'>14</color> <color='yellow'>Torim Ores</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Electronic Fragment</color> in <color='cyan'>Dragon Sea</color> and return to Biomate University in <color='cyan'>Void Starcross</color> with minimum of <color='yellow'>33</color>

[c:lime]REFINE[/c]
Dock at the StarGypsy Warehouse station refinery in <color='cyan'>Void Starcross</color> and process a light shipment of <color='yellow'>7</color> <color='yellow'>Junk Parts</color>



<Station Ships>
TS-1 Dexta / Shuttle    (Transport)
TE-1 Phoebus / Escort    (Transport)
TE-2 Helios / Escort    (Transport)
TU-1 Jonas / Utility    (Transport)
TU-2 Series / Utility    (Transport)
TF-1 Hexalon / Frigate    (Transport)


<Station Offices>
(AstyQuest) 
[c:grey](Asty)[/c]

(Tutorial Office) Ship Orbiting 
[c:grey](Jonathan Hetcher)[/c]

(Tutorial Office) Camera Basics 
[c:grey](Ratamaq Guru)[/c]

(Tutorial Office) Navigation Basics 
[c:grey](Arji Darn)[/c]

(Tutorial Office) Life Support Basics 
[c:grey](Carter Burke)[/c]

(Tutorial Office) Basic Drones 
[c:grey](Daniel Traek)[/c]

