[s:30][c:yellow]Vo Industries[/c][/s]
Probe Launch Facility
Bidqa Rondee
Temple
[c:lime]Dock fee 100[/c]
Timestamp: 57018.64
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Thermal Controller
Advanced Regulator
Temperature Genie
Eco Regulator
OmniCon Regulator
Thermal Generex
Hyperion Regulator
Thermex Controller
Habitax Regulator
Atmospawn Thermobox
Sensor Array
Thruster Casing
Voltage Regulator
Afterburner Assembly
Artificial Gravity Generator
Auxiliary System Mount
Battery Array
Micro Computer
Servo Controls
Containment Field Emitter
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Low Inventory: (2) Items 
 (97) x Hygiene Products
 (412) x Hygiene Products
Fulfill order for [c:lime]77,898 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (3) Items 
 (263) x Transport Units
 (346) x Personal Clothing
 (445) x Personal Clothing
Fulfill order for [c:lime]140,889 profit.[/c]
[c:green]BUY Order[/c] Buying: (3) Items 
 (1321) x Media Recordings
 (866) x Bottled Whiskey
 (848) x Gaming Devices
Fulfill order for [c:lime]63,164 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (3) Items 
 (270) x Personal Clothing
 (108) x Hygiene Products
 (138) x Communication Device
Fulfill order for [c:lime]10,651 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  336 - z533
Basic Engine Core (Doc)  85 - z29,890
Basic Filter  3 - z5,730
Basic Food Rations  11 - z67
Basic Impact Armor  15 - z4,694
Basic Impact Armor (Doc)  39 - z41,026
Basic Laser Energy Mod  78 - z2,029
Basic Mass Reduction  70 - z782
Basic Missile  250 - z29
Basic Projectile Energy Mod (Doc)  61 - z37,860
Basic Sensor  209 - z82
Basic Skill Manual  97 - z83,609
Basic Targeting System  7 - z516
Battery Array  42 - z3,631
Battery Core  850 - z148
Belasite Ore  4786 - z442
Bio Carbon  1276 - z15
Bio Converter  27 - z121,691
Bio Disposables  17 - z186,261
Biowaste Processor   42 - z865,909
Blaster x3 Laser  37 - z1,852
Blaster x6 Laser  24 - z21,145
Bottled Whiskey  35 - z52
Burglar Drone  159 - z9,391
Calciate Residue  413 - z92
Calcium  168 - z3
Calibration Tools  55 - z43
Candy Cane  19 - z13
Candy Corn  12 - z16
Capacitors  244 - z124
Carbon  1070 - z0
Carbon Fiber (Doc)  86 - z348
Carbon Filter  3 - z43,804
Cat Food  39 - z283,174
Ceramic  733 - z14
Cheese and Crackers  19 - z227,061
Cheeseburger  11 - z43,304
Childrens Toys  47 - z24
Chocolate Bars  1 - z14
Circuit Board  633 - z40
Cleaning Chemicals  61 - z25
Cloak Field Resistance  95 - z11,050
Colored Dye  31 - z58
Compartment Frame  859 - z395
Compartment Frame (Doc)  41 - z3,595
Computer Component  592 - z5,570
Connection Harness (Doc)  56 - z6,712
Containment Field Emitter  29 - z8,938
Containment Processor  34 - z173,974
Containment Unit  29 - z5,461
Copperi Cables  117 - z213
Copperi Cubex  163 - z10
Copperi Pipes  153 - z71
Corrosive 20mm  314 - z53
Corrosive 60mm  57 - z58
Corrosive Missile  227 - z147
Crystaline  Filter  2 - z834,309
Disposables  11 - z2,630
Dynex Crystal  334 - z18
Dynex Crystal Resonator  643 - z172
Dynex Ore  686 - z369
ECM Magweb  87 - z183,705
ECM Module Disruptor  38 - z85,065
Eco Regulator  25 - z26,304
Electron Orb  110 - z44
Electronic Fragment  278 - z1,869
Electronic Switch  981 - z181
Energized Missile  264 - z247
Energy Bomb  131 - z3,630
Engine Component  3218 - z7,585
Entertainment Electronics  23 - z188
Explosive 20mm  350 - z43
Explosive 60mm  424 - z57
Fasteners  605 - z7
Focused x1 Laser (Doc)  76 - z7,830
Focused x5 Laser  59 - z13,085
Focused x7 Laser  54 - z39,658
Focused x8 Laser  70 - z159,189
Foodservice Equipment  660 - z156
Foodservice Products  1034 - z74
Fuel Injector  122 - z3,080
Fuel Injector (Doc)  40 - z45,397
Fusion 20mm  2599 - z35
Fusion 60mm  234 - z87
Fusion Missile  140 - z132
Gaming Devices  63 - z33
Generic Construction Platform  36 - z1,165,219
Glass Panels (Doc)  81 - z3,709
Goldyte  174 - z78
Gourmet Food Rations  61 - z109
Gradeon Ore  285 - z28
Gravitational Emitter  811 - z622
Grilled Steak  39 - z128,191
Gummy Bears  86 - z25
Gyroscope Drive  497 - z770
Habitax Regulator  5 - z486,709
Ham Sandwich  43 - z17,607
Hand Tools  711 - z380
Heating Unit  668 - z618
Heavy Armor Bomb  161 - z77,733
Heavy Combat Drone  29 - z78,554
Heavy Defense Drone  106 - z100,004
Heavy Energy Charge  99 - z254,065
Heavy Mining Drone  70 - z149,504
Heavy Repair Drone  82 - z91,754
Heavy Salvage Drone  24 - z114,854
Heavy Shield Charge  172 - z217,305
Hydrogen  702 - z2
Hydrox Filter  3 - z434,766
Hygiene Products  7 - z170
Hyperion Regulator  16 - z392,374
Impact Missile  220 - z295
Improved Afterburner (Doc)  23 - z18,838
Improved Defense Drone  126 - z37,174
Improved Drone Command Bay  7 - z8,498
Improved Filter  34 - z9,861
Improved Scan Emitter  7 - z1,581
Improved Targeting System  2 - z1,482
Improved Thruster  87 - z1,336
Improved Warp Drive Fuel  765 - z2,462
Inovex 60mm Cannon (Doc)  14 - z418,644
Interior Lighting  33 - z105
Ion Beam Class 3  91 - z8,191
Iron Coring  696 - z9
Iron Coring Plates  547 - z109
Junk Part  5807 - z66
Keypad  874 - z83
Kinetic 60mm  279 - z36
Kinetic Missile  1946 - z403
Kinetic Missile (Doc)  31 - z5,259
Kinetics G-series 20mm Gatling  13 - z1,927
Kinetics G-series 20mm Gun  43 - z2,665
Kitchen Appliances  34 - z146
Large Combat Drone  39 - z62,609
Large Life Support Pack  76 - z110,959
Large Microchip  753 - z148
Large Mining Drone  33 - z47,609
Large Mining Drone (Doc)  3 - z1,327,305
Large Motor  680 - z1,689
Large Processor  610 - z47
Large Repair Drone  23 - z100,609
Large Web Field  93 - z159,913
LED Lights  708 - z31
Lidar System  198 - z4,166
Light Armor Bomb  56 - z4,330
Light Armor Repair  55 - z19,083
Light Shield Bomb  80 - z3,080
Light Shield Recharger  75 - z62,485
Liquid Coolant  472 - z42
Lokken Ore  535 - z41
Magnetic Quartz  1258 - z2
Mechanical Belts  681 - z55
Mechanical Tools  22 - z36
Media Recordings  28 - z10
Medical Instruments  14 - z207
Medium Armor Bomb  38 - z26,652
Medium Combat Drone  97 - z15,541
Medium Defense Drone  165 - z13,891
Medium Energy Charge  126 - z102,191
Medium Mining Drone  174 - z7,591
Medium Repair Drone  60 - z9,991
Medium Salvage Drone  42 - z11,641
Medium Salvage Drone (Doc)  47 - z82,096
Medium Shield Bomb  64 - z28,152
Medium Shield Booster (Doc)  4 - z4,259,483
Medium Shield Charge  85 - z103,931
Medium Web Field  126 - z21,152
Memory Chip  631 - z57
Metal Fragment  704 - z760
Metal Valve  815 - z19
Micro Computer  41 - z5,006
Micro Leech Drone  100 - z13,291
Micro Processor  15 - z33
Misc Hardware  347 - z428
Module Fragment  876 - z2,221
Musical Instruments  20 - z136
Neutron Pods  468 - z42
Nitrogen  1129 - z9
Noodles  39 - z4,861
Office Furniture  3 - z77
Office Supplies  74 - z21
Oil  1325 - z5
OmniCon Regulator  25 - z121,691
Optical Interface  481 - z60
Ornament  72 - z235
Oxygen  1533 - z1
Pizza  27 - z575,166
Plasite Ore  668 - z124
Plasma Beam Class 4  46 - z19,624
Plasma Beam Class 5  6 - z29,370
Plastic Caps  669 - z67
Plastix Strands  1114 - z5
Premium Armor Exterior  26 - z69,594
Premium Mass Reduction  42 - z21,019
Premium Shield Generator  58 - z49,886
Premium Targeting System  11 - z37,192
Premium Turn Thrust (Doc)  47 - z300,431
Pressure Sensor  870 - z73
Pressure Sensor (Doc)  77 - z743
Protein Bar  34 - z3,630
Proton Missile  1940 - z193
Prototype Cargo Expansion  16 - z402,711
Prototype ECM Energy Coil  24 - z4,868
Prototype Explosive Armor  13 - z481,723
Prototype Impact Armor (Doc)  84 - z13,354,830
Prototype Scan Booster  3 - z286,157
Prototype Shield Booster  21 - z253,761
Pulse Beam Class 7 (Doc)  56 - z988,760
Pulse x2 Laser (Doc)  89 - z8,166
Quazor Ore  4821 - z23
Radar System  191 - z5,458
Radiated 20mm  15 - z20
Radiated 60mm  60 - z28
Rapid x1 Launcher  78 - z2,008
Rapid x2 Launcher  64 - z4,184
Rapid x5 Launcher  80 - z15,325
Rapid x9 Launcher (Doc)  61 - z5,522,792
Reinforced Rubber  309 - z22
Salt Crystal  1036 - z2
Salvage Collector 5  25 - z73,619
Salvage Collector 6  24 - z81,565
Salvage Collector 8  69 - z495,653
Salvage Collector 9 (Doc)  82 - z15,841,310
Scrap Part  601 - z121
Sensor Array  26 - z512
Servo Controls  44 - z6,866
Silicon  116 - z4
Silveryte  1210 - z108
Small Combat Drone  147 - z5,017
Small Defense Drone  95 - z6,577
Small Heatsink  863 - z180
Small Life Support Pack  125 - z13,033
Small Microchip  591 - z256
Small Motor  234 - z108
Small Tractor Drone  114 - z15,991
Small Web Field  113 - z4,230
SolarClean Filter  31 - z294,874
Spaghetti  36 - z455,109
Sporting Equipment  4 - z41
Steelium  621 - z60
Steelium Pipes  4 - z37
Synth Filter  14 - z207,861
Tactical x4 Launcher  52 - z17,260
Tactical x5 Launcher  45 - z22,688
Tactical x7 Launcher (Doc)  6 - z1,089,042
Tactical x9 Launcher  17 - z428,294
Tactical x9 Launcher (Doc)  47 - z4,042,823
Temperature Genie  5 - z7,457
Textile Fabrics  52 - z49
Thermal Controller  5 - z730
Thermal Generex  38 - z104,661
Thermal Insulation (Doc)  4 - z344
Thermal Sensor  574 - z63
Thermex Controller  21 - z278,766
Thruster Casing  39 - z729
Titan Defense Drone  79 - z224,022
Titan Mining Drone  58 - z239,022
Titan Salvage Drone  167 - z159,022
Titanyte  846 - z102
Titanyte Beams  151 - z1,008
Titanyte Pipes (Doc)  66 - z2,134
Titanyte Plates  744 - z220
Torim Ore  5695 - z87
Torpedo Mark I  165 - z99
Torpedo Mark II  395 - z199
Torpedo Mark III  346 - z216
Torpedo Mark IX  2264 - z513
Torpedo Mark VI  400 - z582
Torpedo Mark VII  422 - z290
Torpedo Mark VIII  345 - z749
Toxic 20mm  1492 - z76
Toxic 60mm  26 - z133
Undamaged Part  536 - z191
Uranium Core 20mm  146 - z37
Uranium Core 60mm  191 - z58
Vita 60mm Dual Howitzer  36 - z185,066
Vita 60mm Howitzer  26 - z145,948
Voltage Regulator  150 - z194
Waste Burner  30 - z29,304
Waste Processor  23 - z16,907
Water  966 - z0
Weapons Component  536 - z4,124
Wrapped Box  962 - z2,647
Xenox Ore  694 - z666


<Station University Skills>
Refinery Accountant
Fleet Defensive Flight
Miner Cycle Mechanics
Projectile Energy Optimization
Fleet Commander
Passive Scanner Focal Range


<Station Missions>
[c:lime]TRANSPORT[/c]
Head to ValueStar in <color='cyan'>Hunu</color>, pick up <color='yellow'>5</color> <color='yellow'>Basic Missile Explosive Mods</color> for a light shipment to CoraVault in <color='cyan'>Lins</color>

[c:lime]TRANSPORT[/c]
Head to CoraVault in <color='cyan'>Lins</color>, pick up <color='yellow'>4</color> <color='yellow'>Salvage Collector 3s</color> for a light shipment to Lacuna Bandits in <color='cyan'>Ballast Crow</color>

[c:lime]FABRICATE[/c]
Manufacture <color='yellow'>18</color> <color='yellow'>Thermal Sensors</color> at Fellacore Research Center station fabricator in <color='cyan'>Grace</color>

[c:lime]HARVEST[/c]
Harvest <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Arch of Mori</color> and return with <color='yellow'>61</color> ore to Temple of the Void in <color='cyan'>Valley of Truths</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Module Fragment</color> in <color='cyan'>Blades of Dandrow</color> and return to Rendo Labs in <color='cyan'>Entropy</color> with minimum of <color='yellow'>30</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Office Center</color> structure in <color='cyan'>Hunu</color>, scan, and return to Temple of the Void in <color='cyan'>Valley of Truths</color>

[c:lime]HARVEST[/c]
Extract <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Ballast Crow</color> and return to Transporteers in <color='cyan'>Hunu</color> with minimum of <color='yellow'>208</color>

[c:lime]REFINE[/c]
Dock at the Fellacore Research Center station refinery in <color='cyan'>Grace</color> and process a light shipment of <color='yellow'>9</color> <color='yellow'>Junk Parts</color>

[c:lime]TRANSPORT[/c]
Move light cargo from Astrox Security Patrol in <color='cyan'>Felishar</color> and dock with <color='yellow'>6</color> <color='yellow'>Advanced Engine Cores</color> at Lammassu Financial in <color='cyan'>Void Starcross</color>

[c:lime]TRANSPORT[/c]
Head to Starbase Corporate Center in <color='cyan'>Void Starcross</color>, pick up <color='yellow'>3</color> <color='yellow'>Ore Harvester 3s</color> for a light shipment to Proctors Center in <color='cyan'>Void Starcross</color>

[c:lime]FABRICATE[/c]
Manufacture <color='yellow'>18</color> <color='yellow'>Comm Devices</color> at Tella's station fabricator in <color='cyan'>Bitcola</color>

[c:lime]HARVEST[/c]
Extract <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Valley of Truths</color> and return to Ferce Hub in <color='cyan'>Semja</color> with minimum of <color='yellow'>160</color>



<Station Ships>
SCA-1 Demi / Carrier    (Support)
BE-1 Gabriel / Escort    (Battle)
RCA-1 Correlator / Carrier    (Recon)
BC-1 Alpharis Predator / Cruiser    (Battle)
SC-1 Megastar / Cruiser    (Support)
