[s:30][c:yellow]Transporteers[/c][/s]
Auction Facility
Ribres Borxaxon
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 65950.81
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Nuts And Bolts
Fasteners
Steelium Beam
Assorted Gaskets
Lubricant
Steelium Pipes
Metal Brackets
Liquid Coolant
Reinforced Rubber
Carbon Fiber
Basic ECM Resistance Field
Advanced ECM Resistance Field
Prototype ECM Resistance Field
Basic ECM Power Boost
Advanced ECM Power Boost Field
Prototype ECM Power Boost Field
Basic ECM Energy Coil
Advanced ECM Energy Coil
Prototype ECM Energy Coil
Basic ECM Range Lock
Advanced ECM Range Lock
Prototype ECM Range Lock
[c:orange]DEMAND[/c]
Junk Part
Scrap Part
Undamaged Part
Metal Fragment
Electronic Fragment
Module Fragment
Weapons Component
Engine Component
Computer Component
Hull Chassis

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Mission Contracts


<Station Market Orders>
[c:red]SELL Order[/c] Market Goods: (1) Items 
 (485) x Metal Brackets
Buy items for [c:lime]15,096 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  200 - z220
Iron Coring Plates (Doc)  46 - z1,637
Junk Part  256 - z112
Kinetic 20mm  218 - z17
Kinetic Missile  341 - z265
Kitchen Appliances  78 - z121
Kith Gatling 60mm Cannon  40 - z25,742
Kith Single 60mm Cannon (Doc)  38 - z245,430
Large Combat Drone  22 - z52,131
Large Defense Drone  117 - z65,131
Large Life Support Pack  8 - z140,032
Large Microchip  108 - z148
Large Mining Drone  5 - z84,131
Large Processor  170 - z65
Large Pump  175 - z258
Large Pump (Doc)  9 - z2,179
Large Repair Drone  5 - z99,131
Large Repair Drone (Doc)  46 - z553,575
Large Web Field  130 - z160,697
Light Armor Bomb  6 - z5,157
Light Shield Charge  156 - z10,220
Liquid Coolant  40 - z29
Lokken Ore  367 - z76
Lubricant  370 - z11
Magnetic Quartz  588 - z2
Mechanical Tools  44 - z36
Media Recordings  23 - z8
Medical Instruments  43 - z83
Medium Armor Bomb  147 - z16,533
Medium Armor Repair  72 - z157,776
Medium Combat Drone  98 - z15,620
Medium Energy Charge  158 - z140,571
Medium Repair Drone  83 - z12,320
Medium Salvage Drone  110 - z10,970
Medium Shield Bomb  5 - z15,783
Metal Brackets  36 - z25
Metal Fragment  80 - z797
Micro Leech Drone  91 - z12,470
Misc Hardware  614 - z192
Module Fragment  110 - z3,634
Musical Instruments  36 - z190
Neutron Pods  1198 - z28
Nitrogen  980 - z4
Noodles  5 - z10,913
Nuts And Bolts  29 - z4
Office Furniture  68 - z57
Office Supplies  16 - z24
Oil  996 - z8
OmniCon Regulator  35 - z141,871
Optical Interface  657 - z107
Ore Harvester 3  27 - z13,848
Ornament  55 - z177
Oxygen  224 - z1
Personal Clothing  37 - z69
Pizza  18 - z479,083
Plasite Ore  739 - z91
Plasma Beam Class 1 (Doc)  55 - z11,923
Plasma Beam Class 2  67 - z2,113
Plasma Beam Class 7  52 - z89,480
Plasma Beam Class 8 (Doc)  49 - z3,131,304
Plastix Strands  235 - z3
Polymere  76 - z39
Premium Armor Exterior  60 - z39,715
Premium Drone Command Bay  15 - z148,615
Premium Energy Capacitor  35 - z75,254
Protein Bar  29 - z3,657
Proton Missile  230 - z243
Prototype Cargo Expansion  68 - z433,747
Prototype Drone Command Bay (Doc)  30 - z8,545,576
Prototype ECM Energy Coil  42 - z5,346
Prototype ECM Power Boost Field  41 - z5,062
Prototype ECM Range Lock  44 - z6,952
Prototype ECM Resistance Field  31 - z6,651
Prototype Energy Generator  32 - z454,005
Prototype Mass Reduction  78 - z224,685
Prototype Scan Booster (Doc)  38 - z4,082,327
Prototype Targeting System  78 - z239,417
Pulse x2 Laser  38 - z658
Pulse x5 Laser  65 - z6,769
Pulse x6 Laser  53 - z11,627
Pulse x8 Laser  45 - z27,769
Quantex  x-6 20mm Gatling  14 - z4,670
Quazor Ore  289 - z45
Radiated 20mm  129 - z28
Radiated 60mm  27 - z53
Rapid x2 Launcher  1 - z2,484
Rapid x3 Launcher (Doc)  28 - z57,588
Recon Scanner Drone  98 - z16,070
Regulator (Doc)  6 - z829
Reinforced Rubber  601 - z8
Salt Crystal  58 - z1
Salvage Collector 1  57 - z2,977
Salvage Collector 2  5 - z10,313
Salvage Collector 3 (Doc)  46 - z98,339
Salvage Collector 4  69 - z45,172
Salvage Collector 7 (Doc)  27 - z1,567,283
Salvage Collector 8  38 - z228,788
Scrap Part  786 - z228
Silicon  1095 - z4
Small Combat Drone  150 - z5,768
Small Electronics  178 - z426
Small LS Bomb  79 - z4,907
Small Motor  120 - z106
Small Pump  426 - z143
Small Salvage Drone  58 - z3,788
Small Storage Tank  356 - z54
Small Tractor Drone  11 - z9,770
SolarClean Filter  31 - z152,612
Sporting Equipment  13 - z16
Steelium  482 - z25
Steelium Beam  198 - z12
Steelium Beam (Doc)  26 - z105
Steelium Pipes  600 - z14
Synth Filter  8 - z134,715
Tactical x3 Launcher  12 - z10,927
Temperature Genie  22 - z9,473
Textile Fabrics  52 - z75
Thermal Controller  12 - z3,707
Thermal Generex  14 - z240,315
Thermex Controller  1 - z297,083
Titan Combat Drone  158 - z222,828
Titanyte  368 - z71
Titanyte Beams  377 - z1,168
Torim Ore  386 - z83
Torpedo Mark I  19 - z62
Torpedo Mark II  328 - z165
Torpedo Mark III  253 - z130
Torpedo Mark IV  176 - z186
Torpedo Mark IX  109 - z1,078
Torpedo Mark V  364 - z434
Torpedo Mark VI  92 - z532
Torpedo Mark VII  57 - z736
Torpedo Mark VIII  293 - z788
Torpedo Mark X  310 - z1,146
Toxic 60mm  198 - z155
Transport Units  23 - z348
Undamaged Part  534 - z399
Uranium Core  493 - z412
Uranium Core 60mm  49 - z78
UV Filter  4 - z135,371
Water  112 - z1
Weapons Component  746 - z6,949
Wrapped Box  1 - z4,662
x1 Torpedo Launcher  69 - z26,741


<Station University Skills>
Launcher Focal Range
Beam Energy Optimization
Ship Energy Regeneration
Laser Damage Calibration
Ship Gyroscopic Control
Armor Mechanic
Ship Mass Engineering
Laser Energy Optimization
Miner Energy Optimization


<Station Missions>
[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>3 Raiders</color> level 10 in <color='cyan'>Starfort Ramos</color>. Return to Fellacore Research Center in <color='cyan'>Grace</color>

[c:lime]SCAN[/c]
Track and scan the target <color='yellow'>Industrial Machine</color> structure in <color='cyan'>Ballast Crow</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Engine Component</color> in <color='cyan'>Ferrelis Cove</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color> with minimum of <color='yellow'>48</color>



<Station Ships>
RC-1 Informer / Cruiser    (Recon)
TC-1 Kraken / Cruiser    (Transport)
RF-1 Assimilator / Frigate    (Recon)
BS-1 Starclass Shuttle / Shuttle    (Battle)
SE-1 Prophet / Escort    (Support)
