[s:30][c:yellow]Genistar[/c][/s]
Deep Space Array
Couue Atelow
Pirate
[c:lime]Dock fee 100[/c]
Timestamp: 18736.9
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Protein Bar
Noodles
Ham Sandwich
Cheeseburger
Grilled Steak
Cheese and Crackers
Cat Food
Pizza
Spaghetti
Surf-n-Turf
Comm Device
Compartment Frame
Connection Harness
Cooling Unit
Duct Work
Electrical Interface
Electrical Regulator
Electromagnetic Emitter
Fiber Optic Interface
Fuel Injector
[c:orange]DEMAND[/c]
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
Ship Hangar
Storage
Fabricator
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Market Out of Stock: (2) Items 
 (219) x Entertainment Electronics
 (46) x Gaming Devices
Fulfill order for [c:lime]57,983 profit.[/c]
[c:green]BUY Order[/c] Market Low Inventory: (2) Items 
 (281) x Childrens Toys
 (237) x Musical Instruments
Fulfill order for [c:lime]44,600 profit.[/c]
[c:green]BUY Order[/c] Buying: (1) Items 
 (1) x x1 Torpedo Launcher
Fulfill order for [c:lime]-20,530 profit.[/c]
[c:red]SELL Order[/c] Sale Request Order: (1) Items 
 (1) x Advanced Shield Generator
Buy items for [c:lime]8,845 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  69 - z12
Pulse x1 Laser  8 - z527
Radiated 20mm  6 - z24
Rapid x1 Launcher  7 - z911
Reinforced Rubber  27 - z15
Salvage Collector 1  6 - z3,266
Salvage Collector 1 (Doc)  6 - z38,528
Small Repair Drone  9 - z2,603
Small Repair Drone (Doc)  1 - z49,950
Small Salvage Drone  4 - z4,643
Spaghetti  5 - z507,022
Steelium Beam  86 - z10
Steelium Pipes  34 - z21
Surf-n-Turf  32 - z767,213
Tactical x1 Launcher  5 - z1,412
Tactical x1 Launcher (Doc)  7 - z24,595
Thermal Controller  2 - z2,919
Titan Defense Drone  1 - z153,438
Titan Salvage Drone  7 - z133,438
Torpedo Mark X  17 - z746
Toxic 20mm  47 - z93
Water  67 - z0
Wrapped Box  7 - z3,734
x1 Torpedo Launcher  9 - z37,433


<Station University Skills>


<Station Missions>
[c:lime]SCAN[/c]
Track and scan the target <color='yellow'>Recon Center</color> structure in <color='cyan'>Felishar</color> and return to Acrondia Hub in <color='cyan'>Temple Gates</color>

[c:lime]HARVEST[/c]
Harvest <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Starfort Ramos</color> and return with <color='yellow'>70</color> ore to Transporteers in <color='cyan'>Hunu</color>

[c:lime]DELIVERY[/c]
Deliver light container of <color='yellow'>45</color> <color='yellow'>Metal Brackets</color> to Tella's Station in <color='cyan'>Bitcola</color>

[c:lime]REFINE[/c]
Dock at the Crystalis Broadcasting station refinery in <color='cyan'>Jermicus</color> and process a light shipment of <color='yellow'>3</color> <color='yellow'>Electronic Fragments</color>

[c:lime]SCAN[/c]
Locate and scan <color='yellow'><i>Entertainer Ronvis Oivis</i></color> in <color='cyan'>Temple Gates</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color>

[c:lime]HARVEST[/c]
Mine <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Equalias Val</color> and return with <color='yellow'>110</color> to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>

[c:lime]DELIVERY[/c]
Deliver light container of <color='yellow'>6</color> <color='yellow'>Dynex Ores</color> to Astrox Security Patrol Station in <color='cyan'>Felishar</color>

[c:lime]RECOVER[/c]
Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Entropy</color> sector, recover the <color='yellow'>1</color> <color='yellow'>Engine Component</color> and return to OmniTrust in <color='cyan'>Ponze</color>

[c:lime]TRANSPORT[/c]
Transport a light shipment of <color='yellow'>87</color> <color='yellow'>Mechanical Belts</color> from Star Shepards Hub in <color='cyan'>Temple Gates</color> to Horizons in <color='cyan'>Gate of Alpharis</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Arch of Mori</color> and return with <color='yellow'>4</color> to Ferce Hub in <color='cyan'>Semja</color>

[c:lime]HARVEST[/c]
Excavate <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Equalias Val</color> and return with <color='yellow'>104</color> to ValueStar in <color='cyan'>Hunu</color>

[c:lime]FABRICATE[/c]
Produce a medium shipment of <color='yellow'>31</color> <color='yellow'>Motion Sensors</color> in <color='cyan'>Bitcola</color> at the Tella's station fabricator

[c:lime]SCAN[/c]
Locate and scan <color='yellow'><i>Sir Peisiv Xuluo</i></color> in <color='cyan'>Void Starcross</color> and return to ValueStar in <color='cyan'>Hunu</color>



<Station Ships>
EE-1 Mining Escort / Escort    (Excavation)
BU-1 Gunship / Utility    (Battle)
RS-1 Translator / Shuttle    (Recon)
PF-1 Pirate Frigate / Frigate    (Assault)
TE-1 Phoebus / Escort    (Transport)
RE-1 Integrator / Escort    (Recon)
