[s:30][c:yellow]Biomate University[/c][/s]
Academic University
Telyoupea Akpi
Alpha
[c:lime]Dock fee 0[/c]
Timestamp: 85483.92
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
LED Lights
Micro Processor
Large Processor
Motion Sensor
Pressure Sensor
Memory Chip
Small Pump
Small Heatsink
Small Motor
Copperi Cables
Basic Shield Booster
Improved Shield Booster
Advanced Shield Booster
Premium Shield Booster
Prototype Shield Booster
Basic Shield Generator
Improved Shield Generator
Advanced Shield Generator
Premium Shield Generator
Prototype Shield Generator
[c:orange]DEMAND[/c]
Mechanical Tools
Assembly Tools
Medical Instruments
Calibration Tools

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Items: (1) Items 
 (585) x Small Heatsink
Buy items for [c:lime]83,101 discount.[/c]
[c:red]SELL Order[/c] Market Stock: (3) Items 
 (329) x Small Pump
 (995) x Micro Processor
 (720) x LED Lights
Buy items for [c:lime]160,089 discount.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (444) x Calibration Tools
Fulfill order for [c:lime]33,097 profit.[/c]
[c:green]BUY Order[/c] Purchase Request (2) Items 
 (8) x Gunstellar 20mm Gatling
 (6) x Ore Harvester 2
Fulfill order for [c:lime]-70,569 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  92 - z13
Compartment Frame  444 - z265
Computer Component  3677 - z8,748
Concussion Missile  2516 - z518
Connection Harness (Doc)  26 - z5,436
Containment Processor  4 - z381,291
Containment Unit  48 - z4,577
Copperi Cables  150 - z23
Copperi Cubex  585 - z15
Copperi Plates  498 - z144
Corrosive 20mm  1242 - z57
Corrosive Missile  668 - z126
Crystaline  Filter  45 - z337,858
Dynex Crystal  1343 - z23
Dynex Ore  4216 - z251
ECM Target Scrambler  16 - z389,621
ECM Target Scrambler (Doc)  76 - z4,423,451
Eco Regulator  23 - z42,383
Electrical Interface  752 - z420
Electromagnetic Emitter  772 - z1,912
Electron Orb  4722 - z37
Electronic Fragment  1398 - z1,706
Electronic Switch  789 - z228
Energized Missile (Doc)  47 - z4,022
Energy Bomb  124 - z2,888
Engine Component  4433 - z7,330
Entertainment Electronics  623 - z205
Explosive 20mm  1745 - z20
Explosive 60mm  1925 - z54
Fasteners  640 - z11
Fiber Optic Interface  428 - z862
Focused x1 Laser  38 - z1,271
Focused x7 Laser (Doc)  9 - z837,334
Focused x9 Laser  30 - z315,574
Focused x9 Laser (Doc)  69 - z4,106,564
Foodservice Equipment  989 - z124
Foodservice Products  970 - z64
Fusion 20mm  1672 - z25
Fusion 60mm  2396 - z82
Fusion Biomax  40 - z1,116,433
Fusion Missile  494 - z75
Gaming Devices  724 - z30
Generic Construction Platform  110 - z919,172
Glass Panels  282 - z221
Goldyte  670 - z143
Gourmet Food Rations  1357 - z199
Gravitational Emitter  259 - z630
Grilled Steak  41 - z115,397
Gummy Bears  781 - z22
Gunstellar 20mm Dual Barrel  97 - z21,168
Gyroscope Drive (Doc)  75 - z7,331
Habitax Regulator  42 - z732,858
Ham Sandwich  17 - z18,859
Heating Unit (Doc)  35 - z10,952
Heavy Armor Bomb  31 - z73,612
Heavy Defense Drone  161 - z141,515
Heavy Energy Charge  70 - z228,424
Heavy Mining Drone  62 - z85,415
Heavy Repair Drone  120 - z129,965
Heavy Shield Charge  145 - z242,947
Hull Chassis  339 - z10,944
Hydrogen  426 - z2
Hydrox Filter  5 - z445,988
Hygiene Products  895 - z76
Hyperion Regulator  23 - z311,091
Impact Missile  1275 - z431
Improved Combat Drone  183 - z42,645
Improved Defense Drone  98 - z38,595
Improved Energy Generator  63 - z9,522
Improved Filter  33 - z5,377
Improved Impact Armor (Doc)  67 - z142,344
Improved Mass Reduction  99 - z1,455
Improved Mining Drone  178 - z27,795
Improved Repair Drone  173 - z34,995
Improved Salvage Drone  66 - z30,495
Improved Scan Emitter  43 - z1,976
Improved Shield Booster  12 - z857
Improved Shield Generator  12 - z379
Improved Shield Generator (Doc)  79 - z19,984
Interior Lighting  149 - z144
Ion Beam Class 2  109 - z5,728
Ion Beam Class 3  85 - z4,613
Ion Beam Class 4  9 - z24,770
Ionization Plate  107 - z2,190
Iron Coring  621 - z4
Iron Coring Beams  258 - z437
Iron Coring Pipes  227 - z123
Junk Part  2780 - z55
Kinetic 20mm (Doc)  6 - z223
Kinetic Missile  2339 - z347
Kinetics G-series 20mm Gatling  42 - z963
Kitchen Appliances  877 - z112
Large Heatsink  325 - z150
Large Life Support Pack  60 - z195,149
Large Mining Drone  172 - z79,767
Large Mining Drone (Doc)  78 - z1,017,203
Large Motor  718 - z1,939
Large Processor  150 - z10
Large Pump  844 - z249
Large Repair Drone  155 - z87,767
Large Web Field  31 - z148,150
LED Lights  150 - z8
Light Armor Bomb  146 - z3,088
Light Armor Repair  81 - z17,930
Light Energy Charge  109 - z12,283
Light Shield Bomb  102 - z4,338
Light Shield Charge  31 - z9,565
Lokken Ore  3361 - z78
Magnetic Quartz  989 - z2
Magnetic Regulator  830 - z3,382
Mechanical Belts  139 - z52
Mechanical Tools  71 - z45
Media Recordings  705 - z18
Medium Armor Bomb  22 - z10,692
Medium Armor Repair  10 - z89,810
Medium Defense Drone  76 - z10,615
Medium Mining Drone  208 - z11,065
Medium Repair Drone  129 - z13,015
Medium Salvage Drone  72 - z7,915
Medium Shield Charge  179 - z119,720
Medium Web Field  145 - z20,442
Memory Chip  150 - z15
Memory Chip (Doc)  72 - z1,151
Metal Fragment  4719 - z341
Metal Valve  467 - z27
Micro Computer  498 - z6,621
Micro Leech Drone  147 - z13,915
Micro Processor  150 - z9
Misc Hardware  732 - z167
Module Fragment  4931 - z1,683
Motion Sensor  150 - z10
Musical Instruments  792 - z136
Neutron Pods  211 - z42
Nitrogen  1090 - z9
Noodles  24 - z4,377
Oaken 60mm Dual Cannon  40 - z391,152
Office Furniture  766 - z70
Office Supplies  644 - z20
Oil  231 - z11
OmniCon Regulator  24 - z97,197
Optical Interface  390 - z83
Optical Interface (Doc)  34 - z1,304
Ore Harvester 2 (Doc)  72 - z101,762
Ore Harvester 6  87 - z91,505
Ornament  809 - z365
Oxygen  167 - z1
Personal Clothing  291 - z28
Pizza  32 - z461,588
Plasite Ore  6861 - z119
Plasma Beam Class 1  30 - z2,496
Plasma Beam Class 10 (Doc)  86 - z15,156,240
Plasma Beam Class 2  65 - z3,713
Plastic Caps  424 - z65
Plastix Strands  973 - z3
Polymere  978 - z34
Polymere (Doc)  61 - z324
Premium Afterburner  14 - z26,536
Premium Cargo Expansion  18 - z68,163
Premium Engine Core (Doc)  58 - z1,068,950
Premium Impact Armor (Doc)  54 - z1,202,026
Premium Scan Booster  48 - z67,622
Premium Shield Booster  12 - z11,535
Premium Shield Generator  12 - z6,140
Premium Thruster  21 - z36,038
Pressure Sensor  150 - z11
Prometheum  1466 - z127
Protein Bar  5 - z2,388
Proton Missile  2383 - z213
Prototype Drone Command Bay  74 - z783,531
Prototype ECM Energy Coil  44 - z6,355
Prototype ECM Resistance Field  92 - z7,336
Prototype Energy Armor  33 - z910,519
Prototype Energy Generator  52 - z707,094
Prototype Shield Booster  12 - z57,858
Prototype Shield Generator  12 - z30,905
Prototype Shield Generator (Doc)  51 - z2,324,939
Prototype Turn Thrust  106 - z213,385
Pulse Beam Class 4  37 - z16,553
Pulse Beam Class 4 (Doc)  63 - z126,840
Pulse Beam Class 6  56 - z72,107
Pulse Beam Class 8  55 - z168,299
Pulse x10 Laser  20 - z153,197
Pulse x4 Laser (Doc)  5 - z14,164
Quantex  x-3 20mm Gun  92 - z4,688
Quazor Ore  4445 - z56
Radiated 20mm  2871 - z24
Radiated 60mm  1756 - z36
Rapid x5 Launcher  10 - z19,746
Rapid x9 Launcher (Doc)  81 - z4,694,337
Reinforced Rubber  314 - z16
Rubber Tubing  209 - z24
Salt Crystal  74 - z1
Salvage Collector 1  59 - z2,297
Salvage Collector 10 (Doc)  30 - z21,530,060
Salvage Collector 7  62 - z191,477
Salvage Collector 9  70 - z1,059,586
Scrap Part  1810 - z170
Sensor Array  714 - z523
Servo Controls  236 - z8,374
Silicon  1056 - z6
Silveryte  348 - z143
Small Defense Drone  78 - z5,446
Small Heatsink  150 - z19
Small Life Support Pack  87 - z11,012
Small LS Bomb  16 - z4,038
Small Microchip  1027 - z184
Small Mining Drone  135 - z3,346
Small Motor  150 - z22
Small Pump  150 - z18
Small Repair Drone  101 - z4,246
Small Salvage Drone  54 - z3,946
Small Web Field  209 - z2,838
Spaghetti  4 - z717,058
Sporting Equipment  918 - z28
Spotlight  89 - z2,338
Steelium  626 - z48
Steelium Beam  563 - z8
Steelium Plates  394 - z480
Surf-n-Turf  26 - z501,433
Synth Filter  30 - z121,841
Tactical x2 Launcher  73 - z2,130
Tactical x5 Launcher  22 - z38,665
Tactical x6 Launcher  69 - z34,898
Tactical x7 Launcher  10 - z148,132
Temperature Genie  38 - z13,959
Textile Fabrics  610 - z36
Thermal Controller  52 - z3,338
Thermal Generex  48 - z114,641
Thermal Insulation  846 - z25
Thermal Systems Package (Doc)  83 - z22,363
Thermex Controller  17 - z435,588
Titan Defense Drone  61 - z204,417
Titan Mining Drone  14 - z214,417
Titan Mining Drone (Doc)  45 - z3,143,006
Titan Salvage Drone  129 - z259,417
Titanyte  1715 - z78
Titanyte Plates  575 - z168
Torim Extractor  11 - z1,544,172
Torim Ore  2296 - z156
Torpedo Mark I  455 - z69
Torpedo Mark II  1879 - z131
Torpedo Mark III  2409 - z202
Torpedo Mark IV (Doc)  59 - z2,151
Torpedo Mark IX  809 - z800
Torpedo Mark VI  383 - z455
Torpedo Mark VIII  1932 - z357
Torpedo Mark X  2956 - z543
Toxic 20mm  993 - z52
Toxic 20mm (Doc)  100 - z477
Toxic 60mm  2132 - z129
Transport Units  759 - z321
Undamaged Part  4853 - z213
Uranium  547 - z261
Uranium Core 60mm  2398 - z45
Vita 60mm Howitzer (Doc)  9 - z3,063,048
Waste Burner  3 - z20,883
Waste Processor  6 - z16,409
Water  168 - z0
Weapons Component  967 - z2,731
Wrapped Box  978 - z2,603
Xenox Ore  3446 - z509
Zai Ore  3359 - z667


<Station University Skills>
Projectile Basic Operation
Laser Basic Operation
Beam Basic Operation
Launcher Basic Operation
Torpedo Basic Operation
Miner Basic Operation
Escort Ship Operation
Utility Ship Operation
Frigate Ship Operation
Cruiser Ship Operation
Carrier Ship Operation
Destroyer Ship Operation
Battlecruiser Ship Operation
Dreadnought Ship Operation
Ship Thruster Systems
Ship Cargo Stacker
Max Mission Contracts
Ship Energy Regeneration
Ship Energy Systems
Fleet Commander
Drone Operation
Drone Command Systems
Drone Combat Weapons
Drone Mining Lasers
Drone Repair Systems
Drone Defensive Programing
Drone Range Signal
Drone Energy Systems
Drone Armor Mechanic
Drone Cargo Mechanic
Drone Thruster Systems
Structure Build operation
Structure Warehouse Management
Structure Accountant
Structure Prospector
Structure Engineer
Ship Shield Regeneration


<Station Missions>
[c:lime]HARVEST[/c]
In <color='cyan'>Equalias Val</color>, Extract <color='yellow'>Special Quazor Ore</color> and return to Lammassu Financial in <color='cyan'>Void Starcross</color> with at least <color='yellow'>207</color>

[c:lime]SCAN[/c]
Track down and scan <color='yellow'><i>Engineer Vedhas Sawfexo</i></color> in <color='cyan'>Starfort Ramos</color> and return to Foodmaid Hub in <color='cyan'>Forges of Mintar</color>

[c:lime]TRANSPORT[/c]
Transport a shipment of <color='yellow'>477</color> <color='yellow'>Copperi Cables</color> from Transporteers Hub in the <color='cyan'>Ambervellis Drea</color> Sector to Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]HARVEST[/c]
Mine <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Felishar</color> and return with <color='yellow'>85</color> to Star Shepards Hub in <color='cyan'>Temple Gates</color>

[c:lime]REFINE[/c]
Refine medium shipment of <color='yellow'>2</color> <color='yellow'>Computer Components</color> in <color='cyan'>Grace</color> at the Fellacore Research Center station refinery

[c:lime]TRANSPORT[/c]
Transport a shipment of <color='yellow'>9</color> <color='yellow'>Advanced Explosive Armors</color> from Rendo Labs in the <color='cyan'>Entropy</color> Sector to StarShepards Headquarters in <color='cyan'>Void Starcross</color>

[c:lime]DELIVERY[/c]
Light delivery of <color='yellow'>17</color> <color='yellow'>Gravitational Emitters</color> to Transporteers Station in <color='cyan'>Hunu</color>

[c:lime]TRANSPORT[/c]
Head to Quantex in <color='cyan'>Dellis Primeria</color>, pick up <color='yellow'>29</color> <color='yellow'>Thruster Casings</color> for a light shipment to Foodmaid Hub in <color='cyan'>Forges of Mintar</color>

[c:lime]SCAN[/c]
Gather scan data on the target <color='yellow'>Storage Facility</color> in <color='cyan'>Valley of Truths</color> and return to Rendo Labs in <color='cyan'>Entropy</color>

[c:lime]TRANSPORT[/c]
Transport a shipment of <color='yellow'>406</color> <color='yellow'>Polymeres</color> from Star Shepards Hub in the <color='cyan'>Temple Gates</color> Sector to CoraVault in <color='cyan'>Lins</color>

[c:lime]COLLECT[/c]
Bring a medium collection of <color='yellow'>2</color> <color='yellow'>Pulse x9 Lasers</color> to SimKitten in the <color='cyan'>Kolkax Prime</color> Sector

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Engine Component</color> in <color='cyan'>Ferrelis Cove</color> and return to Kith in <color='cyan'>Kidd Overture</color> with minimum of <color='yellow'>28</color>



<Station Ships>
RS-1 Translator / Shuttle    (Recon)
RE-1 Integrator / Escort    (Recon)
RE-2 Harmonizer / Escort    (Recon)
RU-1 Curator / Utility    (Recon)
RU-2 Conservator / Utility    (Recon)
RF-1 Assimilator / Frigate    (Recon)


<Station Offices>
(Tutorial Office) Camera Basics 
[c:grey](Ratamaq Guru)[/c]

(Tutorial Office) Navigation Basics 
[c:grey](Arji Darn)[/c]

(Tutorial Office) Life Support Basics 
[c:grey](Carter Burke)[/c]

(Tutorial Office) Introduction 
[c:grey](Jessa Din)[/c]

(Tutorial Office) Basic Combat 
[c:grey](Fredric Din)[/c]

(Tutorial Office) Basic Drones 
[c:grey](Daniel Traek)[/c]

(Tutorial Office) Basic Fleet Command 
[c:grey](Jacob Salis)[/c]

(Tutorial Office) Wormhole Basics 
[c:grey](Darius Ghent)[/c]

