[s:30][c:yellow]StarGypsy Warehouse[/c][/s]
Tavern Station
Pinratus Flake
Pirate
[c:lime]Dock fee 25[/c]
Timestamp: 84463.97
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Textile Fabrics
Foodservice Products
Office Supplies
Foodservice Equipment
Titanyte Pipes
Titanyte Plates
Uranium Core
Acidic Gel Battery
Advanced Spring Loader
AI Interface Drive
Ammunition Loader
Antenna Array
Armor Plating
Basic Computer
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Production: (1) Items 
 (912) x Titanyte Pipes
Buy items for [c:lime]137,126 discount.[/c]
[c:green]BUY Order[/c] Market Shortage: (3) Items 
 (786) x Gummy Bears
 (143) x Aged Wine
 (287) x Bottled Whiskey
Fulfill order for [c:lime]4,313 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (209) x Chocolate Bars
 (184) x Candy Corn
Fulfill order for [c:lime]15,933 profit.[/c]
[c:green]BUY Order[/c] Market Out of Stock: (1) Items 
 (196) x Candy Corn
Fulfill order for [c:lime]6,058 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  150 - z76
Blaster x5 Laser  71 - z11,550
Bomber Drone  109 - z15,172
Bottled Whiskey  22 - z85
Burglar Drone  134 - z5,122
Calcium  1397 - z4
Calibration Tools  2169 - z50
Candy Cane  3358 - z31
Capacitors  1121 - z87
Capacitors (Doc)  42 - z626
Carbon  1960 - z1
Carbon Filter  27 - z40,072
Cat Food  39 - z199,462
Ceramic  1135 - z15
Cheese and Crackers  34 - z187,546
Cheeseburger  44 - z43,072
Childrens Toys  3276 - z9
Cleaning Chemicals  5080 - z51
Cloak Booster  55 - z8,551
Cloak Range Extender (Doc)  29 - z37,849
Colored Dye  2977 - z93
Communication Device  3648 - z53
Concussion Missile  9344 - z488
Containment Processor  22 - z359,362
Containment Unit  43 - z6,614
Copperi Cubex  1141 - z9
Copperi Pipes  613 - z124
Copperi Plates  756 - z134
Corrosive 20mm  10554 - z55
Corrosive 60mm  8293 - z105
Disposables  26 - z3,957
Dynex Crystal  1810 - z23
Dynex Ore  16397 - z315
Eco Regulator  46 - z49,072
Electron Orb  17897 - z75
Electronic Fragment  22362 - z1,430
Electronic Switch  757 - z147
Elite Skill Manual  26 - z1,165,729
Entertainment Electronics  2669 - z197
Entex V-series 20mm Gatling  102 - z4,325
Entex V-series Dual 20mm  42 - z7,711
Explosive 20mm  7636 - z38
Explosive 60mm  8576 - z34
Fasteners  782 - z7
Focused x6 Laser  65 - z35,922
Focused x7 Laser  107 - z30,108
Foodservice Equipment  1000 - z18
Foodservice Products  1000 - z10
Fusion 20mm  11262 - z33
Fusion 20mm (Doc)  15 - z513
Fusion 60mm  12132 - z27
Gaming Devices  4235 - z38
Gourmet Food Rations  51 - z228
Gradeon Ore  23452 - z26
Grilled Steak  11 - z56,087
Gummy Bears  21 - z36
Ham Sandwich  43 - z5,975
Hardened Glass Panels  909 - z395
Heavy Combat Drone  52 - z92,638
Heavy Energy Charge  87 - z244,018
Hydrogen  749 - z1
Hygiene Products  4618 - z127
Hyperion Regulator  27 - z250,162
Impact Missile  7352 - z309
Improved Afterburner  40 - z2,506
Improved Armor Exterior (Doc)  56 - z43,461
Improved Combat Drone  68 - z42,365
Improved Defense Drone (Doc)  33 - z335,578
Improved Drone Command Bay  40 - z8,060
Improved Drone Command Bay (Doc)  19 - z109,676
Improved Energy Generator  99 - z8,553
Improved Filter  22 - z4,714
Improved Impact Armor (Doc)  16 - z120,250
Improved Mass Reduction  47 - z1,595
Improved Mining Drone  65 - z28,865
Improved Salvage Drone (Doc)  44 - z357,178
Improved Scan Booster  51 - z2,911
Improved Targeting System  91 - z1,059
Improved Warp Drive Fuel  923 - z2,478
Interior Lighting  2365 - z127
Ion Beam Class 1  77 - z1,048
Ion Beam Class 2  55 - z4,996
Iron Coring  1359 - z10
Iron Coring Pipes  532 - z108
Iron Coring Plates  587 - z66
Junk Part  14057 - z78
Kinetic Missile  5732 - z260
Kinetics G-series 20mm Gun  46 - z1,279
Kitchen Appliances  2711 - z76
Large Combat Drone  89 - z81,144
Large Mining Drone  79 - z86,144
Large Pump  618 - z207
Large Salvage Drone  177 - z71,144
Large Web Field  150 - z94,716
LED Lights  1069 - z71
Light Armor Repair  95 - z25,543
Light Shield Charge  92 - z13,972
Liquid Coolant  690 - z34
Lokken Ore  18660 - z51
Lubricant  872 - z13
Magnetic Quartz  1138 - z3
Mechanical Belts  807 - z49
Mechanical Tools  4609 - z36
Media Recordings  3295 - z13
Medical Instruments  2854 - z163
Medium Armor Bomb  109 - z19,536
Medium Combat Drone  145 - z6,622
Medium Energy Charge  199 - z114,587
Medium Life Support Pack  94 - z70,144
Medium Mining Drone  128 - z7,072
Medium Salvage Drone (Doc)  34 - z106,459
Medium Shield Bomb  188 - z17,786
Medium Shield Charge  142 - z57,773
Medium Web Field  168 - z21,036
Memory Chip  1010 - z80
Metal Fragment  12055 - z456
Metal Valve  774 - z6
Micro Leech Drone  142 - z6,472
Module Fragment  19010 - z2,206
Musical Instruments  2743 - z90
Neutron Pods  744 - z22
Nitrogen  1159 - z7
Noodles  41 - z7,214
Office Furniture  2998 - z80
Office Supplies  907 - z3
Oil  1373 - z6
OmniCon Regulator  38 - z105,487
Ore Harvester 1 (Doc)  18 - z26,538
Ore Harvester 2 (Doc)  23 - z51,147
Ornament  4082 - z350
Oxygen  1465 - z1
Personal Clothing  3214 - z63
Plasite Ore  14925 - z206
Plasma Beam Class 1  45 - z1,104
Plasma Beam Class 2 (Doc)  49 - z49,341
Plasma Beam Class 3  74 - z11,243
Plasma Beam Class 5  60 - z26,790
Plastic Caps  962 - z51
Plastix Strands  976 - z5
Premium Energy Armor  54 - z141,534
Premium Energy Generator  86 - z70,242
Premium Explosive Armor  63 - z131,859
Premium Targeting System  38 - z29,783
Pressure Sensor  540 - z51
Protein Bar  20 - z4,657
Proton Missile  6133 - z227
Prototype Armor Exterior  54 - z153,081
Prototype ECM Energy Coil (Doc)  38 - z104,966
Prototype ECM Range Lock  84 - z8,257
Prototype ECM Resistance Field  53 - z3,939
Prototype Energy Capacitor  59 - z290,928
Prototype Energy Generator  83 - z359,105
Prototype Scan Booster  94 - z384,202
Prototype Shield Booster  46 - z295,730
Pulse Beam Class 1  90 - z1,629
Pulse Beam Class 2 (Doc)  32 - z53,593
Pulse Beam Class 6  25 - z42,406
Pulse Beam Class 7  91 - z60,164
Pulse x2 Laser  49 - z622
Pulse x5 Laser  64 - z3,259
Quazor Ore  21854 - z42
Radiated 20mm  8177 - z29
Rapid x5 Launcher  82 - z24,240
Recon Scanner Drone (Doc)  60 - z88,459
Regulator  961 - z79
Salt Crystal  1529 - z1
Salvage Collector 3 (Doc)  63 - z100,649
Salvage Collector 5 (Doc)  53 - z444,851
Salvage Collector 6 (Doc)  60 - z1,851,025
Salvage Collector 7  76 - z242,247
Salvage Collector 7 (Doc)  68 - z3,613,759
Scrap Part  19065 - z160
Silicon  836 - z6
Small Combat Drone  154 - z5,649
Small Electronics  900 - z299
Small Heatsink  681 - z57
Small Microchip  348 - z460
Small Mining Drone  75 - z5,529
Small Repair Drone  73 - z5,469
Small Storage Tank  759 - z47
Small Tractor Drone  139 - z6,172
Small Web Field  100 - z3,407
SolarClean Filter  15 - z367,162
Sporting Equipment  2445 - z36
Steelium  1273 - z22
Steelium Beam  897 - z6
Synth Filter  30 - z84,346
Tactical x7 Launcher  34 - z67,147
Temperature Genie  39 - z14,550
Textile Fabrics  1000 - z10
Thermal Controller  21 - z5,007
Thermal Generex  50 - z122,746
Thermal Sensor  725 - z63
Titan Combat Drone  76 - z92,860
Titan Defense Drone  70 - z122,860
Titan Salvage Drone  137 - z102,860
Titanyte Pipes  390 - z26
Titanyte Plates  150 - z26
Torim Ore  20955 - z141
Torpedo Mark II  9171 - z119
Torpedo Mark II (Doc)  56 - z1,788
Torpedo Mark III  9016 - z78
Torpedo Mark IV  11977 - z211
Torpedo Mark IX  8848 - z878
Torpedo Mark VII  10339 - z539
Torpedo Mark VIII  18643 - z592
Toxic 20mm  12093 - z41
Transport Units  4435 - z155
Undamaged Part  21379 - z113
Uranium Core  170 - z49
Uranium Core 20mm (Doc)  30 - z464
Uranium Core 60mm  7643 - z45
UV Filter  16 - z59,987
Waste Burner  24 - z42,072
Waste Processor  26 - z5,275
Water  1694 - z0
Weapons Component  17492 - z4,462
Wrapped Box  5318 - z4,140


<Station University Skills>
Passive Scanner Systems
Passive Scanner Focal Range
Ship Gyroscopic Control
Ship Shield Regeneration
Ship Energy Regeneration
Ship LS System Maintenance
Advanced Food Systems
Advanced Water Systems
Advanced Thermal Systems
Advanced Waste Systems
Fleet Combat Training
Ship Advanced Targeting Systems
ECM Module Operation
ECM Power System
ECM Energy Management
ECM Focus Range
ECM Resistance
Cloak Field Operation
Cloak Power System
Cloak Energy Management
Cloak Field Range
Cloak Sensors


<Station Missions>
[c:lime]KILL RAIDERS[/c]
Hunt <color='yellow'>2 Raiders</color> level 10 in <color='cyan'>Dragon Sea</color> and return to ValueStar in <color='cyan'>Hunu</color>

[c:lime]DIALOG[/c]
Arrest <color='yellow'><i>Privateer Peibe Anuobeck</i></color> over an outstanding warrant in <color='cyan'>Blades of Dandrow</color> and return to Temple of the Void in <color='cyan'>Valley of Truths</color>

[c:lime]HARVEST[/c]
Harvest <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color> and return with <color='yellow'>71</color> ore to Biomart in <color='cyan'>Veloxi</color>

[c:lime]HARVEST[/c]
Mine <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Felishar</color> and return with <color='yellow'>124</color> to Acrondia Hub in <color='cyan'>Temple Gates</color>

[c:lime]ESCORT[/c]
<color='yellow'><i>Mr. Nuhar Zanpae</i></color> requests an escort from Ferce Hub in <color='cyan'>Semja</color> to Horizons in <color='cyan'>Gate of Alpharis</color>

[c:lime]HARVEST[/c]
Mine <color='yellow'>Special Lokken Ore</color> in <color='cyan'>Dellis Primeria</color> and return with <color='yellow'>68</color> to Acrondia Hub in <color='cyan'>Temple Gates</color>

[c:lime]FABRICATE[/c]
Dock at the Ferce Hub station fabricator in <color='cyan'>Semja</color> and manufacture a light shipment of <color='yellow'>4</color> <color='yellow'>Steelium Beams</color>

[c:lime]HARVEST[/c]
Excavate <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Arch of Mori</color> and return with <color='yellow'>164</color> to Transporteers in <color='cyan'>Hunu</color>

[c:lime]TRANSPORT[/c]
Move light cargo from Acrondia Hub in <color='cyan'>Temple Gates</color> and dock with <color='yellow'>6</color> <color='yellow'>Advanced ECM Range Locks</color> at Imperium Republica  in <color='cyan'>Gate of Alpharis</color>

[c:lime]DIALOG[/c]
Arrest <color='yellow'><i>Engineer Yaco Tadei</i></color> over an outstanding warrant in <color='cyan'>Blades of Dandrow</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>

[c:lime]TRANSPORT[/c]
Move light cargo from Temple of the Void in <color='cyan'>Vindicati</color> and dock with <color='yellow'>6</color> <color='yellow'>Tactical x1 Launchers</color> at StarGypsy Warehouse in <color='cyan'>Void Starcross</color>

[c:lime]TRANSPORT[/c]
Transport a light shipment of <color='yellow'>89</color> <color='yellow'>Copperi Cubexs</color> from Vo Industries in <color='cyan'>Brimstone</color> to CoraVault in <color='cyan'>Lins</color>

[c:lime]TRANSPORT[/c]
Move light cargo from Cecil in <color='cyan'>Junia</color> and dock with <color='yellow'>13</color> <color='yellow'>Basic Beam Energy Mods</color> at ValueStar in <color='cyan'>Hunu</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Community Farming Center</color> structure in <color='cyan'>Vindicati</color>, scan, and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>

[c:lime]DIALOG[/c]
Arrest <color='yellow'><i>Ensign Wafo Vohinlocki</i></color> over an outstanding warrant in <color='cyan'>Vindicati</color> and return to Star Shepard's Temple in <color='cyan'>Lightless</color>

[c:lime]KILL[/c]
Frag <color='yellow'><i>Miner Fakile Veqesad</i></color>, in <color='cyan'>Kidd Overture</color> and return to Ferce Hub in <color='cyan'>Semja</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Weapons Component</color> in <color='cyan'>Kidd Overture</color> and return with <color='yellow'>7</color> to Star Shepards Hub in <color='cyan'>Temple Gates</color>

[c:lime]TRANSPORT[/c]
Move light cargo from Daemon Ammunitions in <color='cyan'>Starfort Ramos</color> and dock with <color='yellow'>4</color> <color='yellow'>Pulse x5 Lasers</color> at Star Shepard's Temple in <color='cyan'>Lightless</color>

[c:lime]KILL RAIDERS[/c]
Exterminate <color='yellow'>1 Raider</color> in <color='cyan'>Ferrelis Cove</color> and dock at Temple of the Void in <color='cyan'>Vindicati</color>



<Station Ships>
ECA-1 Mining Carrier / Carrier    (Excavation)
PS-1 Shuttle / Shuttle    (Assault)
PE-1 Pirate Escort / Escort    (Assault)
PE-2 Pirate Escort T2 / Escort    (Assault)
PU-1 Pirate Utility / Utility    (Assault)
PU-2 Pirate Utility T2 / Utility    (Assault)
PF-1 Pirate Frigate / Frigate    (Assault)


<Station Offices>
(Tutorial Office) Camera Basics 
[c:grey](Ratamaq Guru)[/c]

(Tutorial Office) Navigation Basics 
[c:grey](Arji Darn)[/c]

(Tutorial Office) Life Support Basics 
[c:grey](Carter Burke)[/c]

(Tutorial Office) Basic Drones 
[c:grey](Daniel Traek)[/c]

