[s:30][c:yellow]Lacuna Bandits[/c][/s]
Entertainment Hub
Kilekom Anfer
Pirate
[c:lime]Dock fee 100[/c]
Timestamp: 82948.17
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Water
Carbon
Hydrogen
Oxygen
Magnetic Quartz
Iron Coring
Nitrogen
Oil
Copperi Cubex
Calcium
Ceramic
Aluminium Shard
Dynex Crystal
Silicon
Salt Crystal
Bio Carbon
Calciate Residue
Steelium
Plastix Strands
Silveryte
Prometheum
Neutron Pods
Uranium
Goldyte
Titanyte
Keypad
Acidic Residue
Aluminium Plates
Copperi Pipes
Copperi Plates
Dynex Crystal Resonator
Electronic Switch
Glass Panels
Hand Tools
Hardened Glass Panels
Iron Coring Beams
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (479) x Candy Cane
Fulfill order for [c:lime]1,661 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  250 - z2
Goldyte  55 - z96
Gourmet Food Rations  920 - z77
Gradeon Ore  180 - z18
Gummy Bears  8 - z35
Ham Sandwich  7 - z17,350
Hand Tools  49 - z240
Hardened Glass Panels  150 - z59
Heavy Defense Drone  47 - z120,688
Heavy Mining Drone  44 - z114,088
Heavy Repair Drone  23 - z125,638
Heavy Salvage Drone  57 - z180,088
Heavy Shield Charge  77 - z148,803
Hydrogen  250 - z0
Impact Missile  31 - z584
Improved Cargo Expansion  4 - z2,878
Improved Combat Drone  39 - z48,215
Improved Defense Drone  4 - z45,515
Improved Explosive Armor  1 - z9,615
Improved Filter  6 - z4,114
Improved Impact Armor  36 - z6,507
Improved Salvage Drone  51 - z21,665
Improved Scan Booster  3 - z4,473
Improved Shield Booster  11 - z4,017
Improved Shield Generator  38 - z2,643
Improved Thruster  37 - z1,699
Interior Lighting  17 - z136
Ion Beam Class 2  15 - z2,270
Ion Beam Class 4  27 - z11,865
Ion Beam Class 4 (Doc)  27 - z256,529
Iron Coring  545 - z8
Iron Coring Beams  51 - z284
Junk Part  3092 - z106
Keypad  39 - z64
Kinetic 20mm  47 - z9
Kitchen Appliances  912 - z136
Large Processor  100 - z79
Large Processor (Doc)  6 - z933
Large Repair Drone  37 - z60,144
Large Salvage Drone  6 - z54,144
LED Lights  72 - z58
Light Armor Repair  72 - z33,043
Light Shield Bomb  61 - z2,857
Light Shield Recharger  14 - z57,279
Liquid Coolant  84 - z46
Lokken Ore  2701 - z90
Lubricant  361 - z23
Magnetic Quartz  430 - z3
Mechanical Belts  262 - z54
Mechanical Switch  210 - z104
Media Recordings  14 - z19
Medium Energy Charge  10 - z97,687
Medium Salvage Drone  63 - z12,772
Medium Shield Bomb  74 - z21,036
Medium Shield Charge  70 - z102,173
Medium Web Field  45 - z15,536
Memory Chip  266 - z95
Metal Fragment  4911 - z435
Musical Instruments  710 - z158
Neutron Pods  250 - z7
Nitrogen  250 - z1
Noodles  19 - z5,114
Office Furniture  18 - z54
Oil  250 - z10
Ore Harvester 1  16 - z3,336
Ore Harvester 2  7 - z7,747
Ore Harvester 3  13 - z9,650
Oxygen  85 - z1
Plasma Beam Class 3  22 - z7,101
Plastic Caps  69 - z31
Plastix Strands  28 - z4
Premium Cargo Expansion  13 - z73,415
Premium Energy Capacitor (Doc)  11 - z658,126
Premium Engine Core  5 - z161,855
Premium Shield Generator  17 - z33,990
Premium Targeting System (Doc)  28 - z633,992
Prometheum  29 - z171
Protein Bar  11 - z3,907
Proton Missile  87 - z103
Pulse x3 Laser  28 - z1,447
Pulse x4 Laser  3 - z2,942
Quazor Ore  383 - z32
Radiated 60mm  85 - z62
Regulator  252 - z79
Reinforced Rubber  66 - z16
Rubber Tubing (Doc)  18 - z532
Salt Crystal  325 - z1
Salvage Collector 1 (Doc)  23 - z58,175
Scrap Part  92 - z130
Silicon  361 - z3
Silveryte  231 - z88
Small Heatsink  365 - z142
Small Life Support Pack  52 - z5,057
Small Mining Drone  66 - z2,409
Small Motor (Doc)  22 - z1,673
Small Repair Drone  9 - z4,929
Small Tractor Drone  70 - z11,572
Sporting Equipment  9 - z18
Spotlight  17 - z3,107
Steelium  197 - z39
Steelium Beam  254 - z12
Tactical x1 Launcher  29 - z2,120
Tactical x3 Launcher  5 - z4,503
Tactical x4 Launcher (Doc)  33 - z191,297
Temperature Genie  9 - z17,525
Thermal Controller  18 - z3,307
Thermal Insulation  222 - z22
Thermal Sensor  177 - z44
Titan Defense Drone  66 - z250,360
Titan Mining Drone  65 - z152,860
Titan Salvage Drone  41 - z100,360
Titanyte  186 - z61
Torpedo Mark I  2524 - z74
Torpedo Mark III  22 - z253
Torpedo Mark III (Doc)  35 - z2,721
Torpedo Mark IX  163 - z508
Torpedo Mark V  37 - z228
Torpedo Mark VI  1 - z378
Torpedo Mark VII  133 - z654
Torpedo Mark X  115 - z1,211
Toxic 20mm  46 - z64
Toxic 60mm  22 - z156
Undamaged Part  334 - z340
Uranium  56 - z171
Uranium Core 60mm  153 - z109
Waste Burner  19 - z32,072
Waste Processor  8 - z9,125
Water  467 - z0
Wrapped Box  6 - z6,090
x1 Torpedo Launcher  3 - z61,469
x1 Torpedo Launcher (Doc)  4 - z759,952


<Station University Skills>
Ship Cargo Stacker
Miner Basic Operation
Miner Energy Optimization
Module Mechanic
Launcher Focal Range
Beam Energy Optimization
Passive Scanner Focal Range


<Station Missions>
[c:lime]TRANSPORT[/c]
Transport a light shipment of <color='yellow'>3</color> <color='yellow'>Blaster x4 Lasers</color> from Crystalis Broadcasting in <color='cyan'>Jermicus</color> to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Industrial Machine</color> structure in <color='cyan'>Beacon Spita</color>, scan, and return to Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]TRANSPORT[/c]
Transport a light shipment of <color='yellow'>4</color> <color='yellow'>Basic Scan Boosters</color> from Biomate University in <color='cyan'>Void Starcross</color> to Lacuna Bandits in <color='cyan'>Ballast Crow</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Temple Gates</color> and return with <color='yellow'>9</color> to Astrox Security Patrol in <color='cyan'>Felishar</color>

[c:lime]HARVEST[/c]
Harvest <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Ponze</color> and return with <color='yellow'>50</color> ore to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>

[c:lime]DELIVERY[/c]
Dock at StarShepards Headquarters in <color='cyan'>Void Starcross</color> to deliver a light shipment of <color='yellow'>3</color> <color='yellow'>Blaster x2 Lasers</color>

[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>4 Raiders</color> level 10 in <color='cyan'>Hunu</color>. Return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>

[c:lime]FABRICATE[/c]
Produce a light container of <color='yellow'>10</color> <color='yellow'>Copperi Cables</color> at the StarShepards Headquarters fabricator in <color='cyan'>Void Starcross</color>

[c:lime]DELIVERY[/c]
Light delivery of <color='yellow'>13</color> <color='yellow'>Thermal Systems Packages</color> to Proctors Center Station in <color='cyan'>Void Starcross</color>

[c:lime]HARVEST[/c]
Extract <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Gate of Alpharis</color> and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color> with minimum of <color='yellow'>217</color>

[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>4 Raiders</color> level 10 in <color='cyan'>Equalias Val</color>. Return to Tella's in <color='cyan'>Bitcola</color>

[c:lime]RECOVER[/c]
Retrieve a light cache of <color='yellow'>50000</color> <color='yellow'>Oxygens</color> from a <color='yellow'>crate</color> in <color='cyan'>Arch of Mori</color> sector, drop at Astrox Security Patrol in <color='cyan'>Felishar</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Junk Part</color> in <color='cyan'>Arch of Mori</color> and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color> with minimum of <color='yellow'>43</color>

[c:lime]RECOVER[/c]
Retrieve a light cache of <color='yellow'>6</color> <color='yellow'>Improved Energy Capacitors</color> from a <color='yellow'>crate</color> in <color='cyan'>Blades of Dandrow</color> sector, drop at Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]DIALOG[/c]
Arrest <color='yellow'><i>Entertainer Deelow Zeris</i></color> over an outstanding warrant in <color='cyan'>Felishar</color> and return to Rendo Labs in <color='cyan'>Entropy</color>

[c:lime]TRANSPORT[/c]
Transport a light shipment of <color='yellow'>79</color> <color='yellow'>Copperi Cubexs</color> from OmniTrust in <color='cyan'>Ponze</color> to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>

[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>4 Raiders</color> level 10 in <color='cyan'>Entropy</color>. Return to Tella's in <color='cyan'>Bitcola</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Medical Facility</color> structure in <color='cyan'>Dragon Sea</color>, scan, and return to ValueStar in <color='cyan'>Hunu</color>

[c:lime]DELIVERY[/c]
Deliver a heavy container of <color='yellow'>6</color> <color='yellow'>Premium Mass Reductions</color> to Star Shepards Hub in the <color='cyan'>Temple Gates</color> system.



<Station Ships>
EC-1 Mining Cruiser / Cruiser    (Excavation)
BC-1 Alpharis Predator / Cruiser    (Battle)
EC-1 Mining Cruiser / Cruiser    (Excavation)
RCA-1 Correlator / Carrier    (Recon)
BC-1 Alpharis Predator / Cruiser    (Battle)
TC-1 Kraken / Cruiser    (Transport)
SU-1 Archanis / Utility    (Support)
ES-1 Shuttle / Shuttle    (Excavation)
