[s:30][c:yellow]Tella's[/c][/s]
Entertainment Hub
Jidzangee Akleinortis
Pirate
[c:lime]Dock fee 100[/c]
Timestamp: 27250.23
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Water
Carbon
Hydrogen
Oxygen
Magnetic Quartz
Iron Coring
Nitrogen
Oil
Copperi Cubex
Calcium
Ceramic
Aluminium Shard
Dynex Crystal
Silicon
Salt Crystal
Bio Carbon
Calciate Residue
Steelium
Plastix Strands
Silveryte
Prometheum
Neutron Pods
Uranium
Goldyte
Titanyte
Keypad
Acidic Residue
Aluminium Plates
Copperi Pipes
Copperi Plates
Dynex Crystal Resonator
Electronic Switch
Glass Panels
Hand Tools
Hardened Glass Panels
Iron Coring Beams
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Acidic Residue  46 - z14
Titanyte  39 - z77
Torpedo Mark I  9 - z106
Torpedo Mark II (Doc)  7 - z2,189
Torpedo Mark IV  54 - z287
Torpedo Mark V  18 - z342
Torpedo Mark VI  12 - z362
Torpedo Mark VII  60 - z519
Torpedo Mark X  52 - z1,057
Toxic 20mm  86 - z88
Uranium  44 - z215
Water  281 - z0
Wrapped Box  13 - z7,470


<Station University Skills>
Refinery Mechanic
Beam Damage Calibration
Ship Energy Regeneration
Beam Focal Range
Miner Advanced Systems


<Station Missions>
[c:lime]FABRICATE[/c]
Dock at the Daemon Ammunitions station fabricator in <color='cyan'>Starfort Ramos</color> and manufacture a light shipment of <color='yellow'>4</color> <color='yellow'>Weapon Systems Packages</color>

[c:lime]SCAN[/c]
Track down and scan <color='yellow'><i>Private Borqu Lasxi</i></color> in <color='cyan'>Starfort Ramos</color> and return to Medicore University in <color='cyan'>Cliffs of Drameria</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Electronic Fragment</color> in <color='cyan'>Crellara</color> and return with <color='yellow'>11</color> to Horizons in <color='cyan'>Gate of Alpharis</color>



<Station Ships>
RDE-1 Destroyer / Destroyer    (Recon)
EU-3 Ore Collector / Utility    (Excavation)
BF-1 Missile Enforcer / Frigate    (Battle)
BC-1 Alpharis Predator / Cruiser    (Battle)
BDN-1 Imperious Titanous / Dreadnought    (Battle)
