[s:30][c:yellow]CoraVault[/c][/s]
Banking Facility
Nexa Mapei
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 63436.68
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Charged Cell
Torpedo Mark I
Torpedo Mark II
Torpedo Mark III
Torpedo Mark IV
Polymere
Circuit Board
Basic Sensor
Thermal Sensor
Mechanical Switch
Fiber Optic Cables
Capacitors
Optical Interface
Regulator
Battery Core
Torpedo Mark V
Torpedo Mark VI
Torpedo Mark VII
Torpedo Mark VIII
Torpedo Mark IX
Torpedo Mark X
[c:orange]DEMAND[/c]
Cleaning Chemicals
Colored Dye
Anti-Freeze

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Items: (3) Items 
 (591) x Capacitors
 (286) x Mechanical Switch
 (137) x Torpedo Mark I
Buy items for [c:lime]79,450 discount.[/c]
[c:red]SELL Order[/c] Market Surplus: (1) Items 
 (151) x Torpedo Mark IV
Buy items for [c:lime]33,193 discount.[/c]
[c:red]SELL Order[/c] Market Inventory: (3) Items 
 (123) x Regulator
 (361) x Basic Sensor
 (120) x Thermal Sensor
Buy items for [c:lime]33,571 discount.[/c]
[c:red]SELL Order[/c] Market Inventory: (1) Items 
 (194) x Battery Core
Buy items for [c:lime]18,487 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Active Scanner  8 - z4,897
Bomber Drone  33 - z6,181
Bottled Whiskey  21 - z56
Calcium  34 - z5
Candy Cane  5 - z27
Candy Corn  5 - z10
Capacitors  150 - z13
Carbon  298 - z0
Carbon Fiber (Doc)  1 - z378
Chocolate Bars  20 - z12
Circuit Board  153 - z23
Cleaning Chemicals  17 - z71
Colored Dye  16 - z158
Concussion Missile  106 - z651
Containment Unit  3 - z10,321
Corrosive 20mm  113 - z57
Corrosive Missile  92 - z194
Disposables  9 - z4,810
Explosive 20mm  20 - z32
Fiber Optic Cables  97 - z98
Focused x1 Laser  2 - z745
Focused x2 Laser  32 - z1,896
Focused x3 Laser  27 - z4,887
Focused x3 Laser (Doc)  20 - z65,639
Fusion 20mm  126 - z34
Fusion Missile  105 - z114
Generic Dual 20mm Gun  22 - z718
Generic Single 20mm Gun  8 - z1,106
Gourmet Food Rations  29 - z192
Gradeon Ore  71 - z15
Gummy Bears  16 - z19
Ham Sandwich  3 - z12,986
Hydrogen  399 - z2
Improved Armor Exterior  9 - z3,704
Improved Combat Drone  57 - z48,243
Improved Defense Drone  23 - z32,043
Improved Drone Command Bay (Doc)  1 - z72,070
Improved Energy Capacitor  24 - z5,446
Improved Filter  6 - z6,921
Improved Repair Drone  31 - z19,443
Improved Scan Booster  10 - z5,537
Improved Scan Emitter (Doc)  2 - z22,911
Improved Shield Booster  1 - z6,353
Improved Targeting System (Doc)  13 - z15,887
Improved Thruster  5 - z1,451
Interior Lighting  14 - z55
Ion Beam Class 1 (Doc)  28 - z29,652
Ion Beam Class 3  11 - z6,056
Junk Part  20 - z97
Kinetic 60mm (Doc)  27 - z298
Kinetic Missile  45 - z239
Kinetics G-series 20mm Gatling  2 - z841
Kinetics G-series 20mm Gun  24 - z1,505
Kinetics G-series Dual 20mm  7 - z1,539
Kitchen Appliances  837 - z78
Large Combat Drone  42 - z78,206
Large Defense Drone  10 - z80,206
Light Energy Charge  24 - z7,873
Light Shield Charge  29 - z8,431
Liquid Coolant  49 - z36
Lubricant  351 - z20
Magnetic Quartz  278 - z2
Mechanical Belts  159 - z37
Mechanical Switch  164 - z62
Medium Armor Bomb  42 - z9,052
Medium Armor Repair  3 - z90,733
Medium Combat Drone  6 - z9,931
Medium Combat Drone (Doc)  9 - z95,771
Medium Defense Drone (Doc)  8 - z176,771
Medium Energy Charge  18 - z143,268
Medium Life Support Pack  2 - z79,206
Medium Mining Drone  28 - z5,731
Medium Repair Drone  1 - z16,681
Medium Shield Charge  43 - z73,448
Metal Brackets  144 - z22
Metal Gears  206 - z12
Metal Valve  215 - z21
Noodles  2 - z7,721
Office Furniture  21 - z91
Optical Interface  75 - z112
Optical Interface (Doc)  29 - z1,017
Ore Harvester 2  10 - z8,603
Ore Harvester 3  26 - z16,486
Ornament  740 - z264
Oxygen  299 - z1
Plasma Beam Class 1  6 - z2,646
Plasma Beam Class 2  9 - z4,925
Plastix Strands  246 - z3
Polymere  156 - z55
Protein Bar  14 - z2,860
Proton Missile  26 - z171
Pulse Beam Class 2 (Doc)  9 - z37,165
Pulse Beam Class 3  13 - z5,937
Pulse x2 Laser  35 - z812
Quantex  x-2 20mm Gun  17 - z3,079
Quantex  x-3 20mm Gun  23 - z3,460
Quazor Ore  298 - z48
Rapid x3 Launcher  27 - z5,309
Regulator  150 - z14
Regulator (Doc)  18 - z677
Rubber Tubing  349 - z22
Salt Crystal  54 - z1
Scrap Part  18 - z86
Silicon  412 - z3
Small Combat Drone  45 - z5,292
Small Life Support Pack  24 - z6,385
Small LS Bomb  39 - z3,810
Small Repair Drone  30 - z3,672
Small Salvage Drone  15 - z6,132
Small Storage Tank  8 - z56
Spotlight  27 - z4,160
Spotlight (Doc)  29 - z57,124
Steelium Beam  134 - z6
Steelium Pipes  118 - z31
Tactical x1 Launcher  11 - z2,045
Tactical x2 Launcher  2 - z2,714
Temperature Genie  4 - z8,261
Thermal Controller  7 - z5,210
Thermal Insulation  154 - z14
Thermal Sensor  30 - z41
Titan Mining Drone  12 - z200,516
Torpedo Mark I  155 - z53
Torpedo Mark II  33 - z107
Torpedo Mark III  114 - z258
Torpedo Mark IV  31 - z190
Torpedo Mark IX  149 - z720
Torpedo Mark V  2500 - z45
Torpedo Mark VI  37 - z362
Torpedo Mark VII  2500 - z76
Torpedo Mark VIII  37 - z575
Torpedo Mark X  2500 - z146
Toxic 20mm  145 - z57
Tractor Beam  16 - z9,829
Undamaged Part  4748 - z365
Waste Processor  13 - z17,536
Water  33 - z0
Wrapped Box  809 - z4,457


<Station University Skills>
Launcher Advanced Systems
Market Auditor
Miner Focal Range
Laser Cycle Mechanics
Launcher Advanced Systems


<Station Missions>
[c:lime]RECOVER[/c]
Recover a light quantity of <color='yellow'>2</color> <color='yellow'>Advanced Shield Boosters</color> in <color='cyan'>Beacon Spita</color>, and return to CoraVault in <color='cyan'>Lins</color>

[c:lime]KILL RAIDERS[/c]
Hunt <color='yellow'>1 Raider</color> level 10 in <color='cyan'>Ferrelis Cove</color> and return to Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]RECOVER[/c]
Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Hunu</color> sector, recover the <color='yellow'>3</color> <color='yellow'>Electronic Fragments</color> and return to Tella's in <color='cyan'>Bitcola</color>

[c:lime]SCAN[/c]
Gather scan data on the target <color='yellow'>Defensive Gun Platform</color> in <color='cyan'>Felishar</color> and return to Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]SCAN[/c]
Gather scan data on the target <color='yellow'>Recon Center</color> in <color='cyan'>Starfort Ramos</color> and return to Rendo Labs in <color='cyan'>Entropy</color>

[c:lime]ESCORT[/c]
<color='yellow'><i>Miner Sadzeta Belbeckfi</i></color> is waiting at Rendo Labs in <color='cyan'>Entropy</color> and needs an escort to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Labor United</color> structure in <color='cyan'>Bitcola</color>, scan, and return to ValueStar in <color='cyan'>Hunu</color>



<Station Ships>
PF-1 Pirate Frigate / Frigate    (Assault)
RE-1 Integrator / Escort    (Recon)
PC-1 Pirate Cruiser / Cruiser    (Assault)
BF-1 Missile Enforcer / Frigate    (Battle)
