[s:30][c:yellow]Star Shepards Hub[/c][/s]
Engineering Facility
Bemdee Tudoe
Temple
[c:lime]Dock fee 100[/c]
Timestamp: 90670.21
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Cleaning Chemicals
Colored Dye
Anti-Freeze
Iron Coring Pipes
Iron Coring Plates
Large Heatsink
Large Microchip
Large Pump
Misc Hardware
Small Electronics
Small Microchip
Steelium Plates
Titanyte Beams
[c:orange]DEMAND[/c]
Mechanical Tools
Assembly Tools
Medical Instruments
Calibration Tools

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Storage
Mission Contracts


<Station Market Orders>
[c:red]SELL Order[/c] Market Inventory: (2) Items 
 (296) x Colored Dye
 (639) x Cleaning Chemicals
Buy items for [c:lime]58,176 discount.[/c]
[c:red]SELL Order[/c] Market Inventory: (1) Items 
 (246) x Large Heatsink
Buy items for [c:lime]25,015 discount.[/c]
[c:red]SELL Order[/c] Looking to Sell (2) Items 
 (456) x Silicon
 (293) x Basic 60mm
Buy items for [c:lime]5,930 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  44 - z13
Large Web Field  1 - z91,155
Light Shield Recharger  2 - z30,124
Liquid Coolant  83 - z38
Lubricant  203 - z8
Metal Brackets  75 - z33
Misc Hardware  171 - z218
Nuts And Bolts  20 - z12
Nuts And Bolts (Doc)  6 - z86
Ornament  923 - z322
Oxygen  68 - z1
Plasma Beam Class 1  8 - z1,589
Protein Bar  4 - z2,239
Proton Missile  43 - z169
Pulse x1 Laser  2 - z334
Pulse x1 Laser (Doc)  4 - z2,446
Rapid x1 Launcher  20 - z1,738
Reinforced Rubber  33 - z19
Salvage Collector 1  9 - z4,937
Salvage Collector 1 (Doc)  6 - z46,048
Small Combat Drone (Doc)  9 - z30,795
Small Electronics  150 - z281
Small Life Support Pack  18 - z9,692
Small Microchip  26 - z329
Steelium Beam  99 - z10
Steelium Pipes  52 - z19
Steelium Plates  150 - z109
Tactical x1 Launcher  5 - z1,830
Thermal Controller  2 - z3,639
Titan Defense Drone  15 - z279,426
Titanyte Beams  177 - z669
Torpedo Mark I  1947 - z49
Torpedo Mark III  17 - z179
Torpedo Mark V  8 - z311
Torpedo Mark X  3 - z699
Toxic 20mm  19 - z81
Water  32 - z0
Wrapped Box  9 - z5,219
x1 Torpedo Launcher (Doc)  5 - z355,411


<Station University Skills>
Passive Scanner Systems
Projectile Maintenance
Passive Scanner Focal Range
Projectile Maintenance
Ship Cargo Stacker
University Discount
Module Mechanic
Miner Cycle Mechanics


<Station Missions>
[c:lime]ESCORT[/c]
<color='yellow'><i>Rookie Sivla Aterestdee</i></color> requests an escort from Astrox Security Patrol in <color='cyan'>Felishar</color> to StarShepards Headquarters in <color='cyan'>Void Starcross</color>

[c:lime]DELIVERY[/c]
Dock at StarShepards Headquarters in <color='cyan'>Void Starcross</color> to deliver a light shipment of <color='yellow'>40</color> <color='yellow'>Steelium Beams</color>

[c:lime]TRANSPORT[/c]
Move light cargo from Lammassu Financial in <color='cyan'>Void Starcross</color> and dock with <color='yellow'>264</color> <color='yellow'>Candy Corns</color> at Proctors Center in <color='cyan'>Void Starcross</color>

[c:lime]SCAN[/c]
Locate and scan <color='yellow'><i>Fabricator Poehom Demiimes</i></color> in <color='cyan'>Ferrelis Cove</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Industrial Machine</color> structure in <color='cyan'>Ballast Crow</color>, scan, and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>

[c:lime]RECOVER[/c]
Recover a light quantity of <color='yellow'>1</color> <color='yellow'>Advanced Targeting System</color> in <color='cyan'>Equalias Val</color>, and return to Genistar in <color='cyan'>Blades of Dandrow</color>

[c:lime]FABRICATE[/c]
Dock at the Lammassu Financial station fabricator in <color='cyan'>Void Starcross</color> and manufacture a light shipment of <color='yellow'>4</color> <color='yellow'>Thermal Sensors</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Temple Gates</color> and return with <color='yellow'>9</color> to Acrondia Hub in <color='cyan'>Temple Gates</color>

[c:lime]REFINE[/c]
Refine a light container of <color='yellow'>3</color> <color='yellow'>Electronic Fragments</color> at the Lacuna Bandits station in <color='cyan'>Ballast Crow</color>

[c:lime]REFINE[/c]
Refine a light container of <color='yellow'>4</color> <color='yellow'>Electronic Fragments</color> at the Astrox Security Patrol station in <color='cyan'>Felishar</color>

[c:lime]TRANSPORT[/c]
Transport a light shipment of <color='yellow'>57</color> <color='yellow'>Nitrogens</color> from Ferce Hub in <color='cyan'>Semja</color> to Genistar in <color='cyan'>Blades of Dandrow</color>

[c:lime]SCAN[/c]
Gather scan data on the target <color='yellow'>Defensive Gun Platform</color> in <color='cyan'>Lightless</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color>

[c:lime]SCAN[/c]
Scan <color='yellow'><i>Leader Visga Wolea</i></color> recently spotted in <color='cyan'>Kidd Overture</color> and return to Biomart in <color='cyan'>Veloxi</color>

[c:lime]DIALOG[/c]
Arrest <color='yellow'><i>Major Renotaj Renofaebem</i></color> over an outstanding warrant in <color='cyan'>Arch of Mori</color> and return to Transporteers in <color='cyan'>Hunu</color>

[c:lime]SCAN[/c]
In <color='cyan'>Kolkax Prime</color>, Scan the <color='yellow'>Public Energy Generator</color> stucture and return to ValueStar in <color='cyan'>Hunu</color>

[c:lime]DELIVERY[/c]
Dock at Daemon Ammunitions in <color='cyan'>Starfort Ramos</color> to deliver a light shipment of <color='yellow'>2</color> <color='yellow'>Basic Energy Armors</color>

[c:lime]SCAN[/c]
Locate and scan <color='yellow'><i>Liaison Lindohin Nostrawen</i></color> in <color='cyan'>Hunu</color> and return to CoraVault in <color='cyan'>Lins</color>

[c:lime]DIALOG[/c]
Transfer payment to <color='yellow'><i>Miner Fastvis Molefaebeck</i></color> in <color='cyan'>Ferrelis Cove</color> and return with signature to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>

[c:lime]DIALOG[/c]
Transfer a termination notice to <color='yellow'><i>Miner Renosed Sawbarca</i></color> in <color='cyan'>Crellara</color> and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>

[c:lime]RECOVER[/c]
Retrieve a light cache of <color='yellow'>4</color> <color='yellow'>Advanced Shield Generators</color> from a <color='yellow'>crate</color> in <color='cyan'>Hunu</color> sector, drop at StarGypsy Warehouse in <color='cyan'>Void Starcross</color>



<Station Ships>
