[s:30][c:yellow]Daemon Ammunitions[/c][/s]
Ordinance Storage Facility
Bella Mazu
Labor
[c:lime]Dock fee 100[/c]
Timestamp: 3218.523
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic 20mm
Kinetic 20mm
Advanced 20mm
Radiated 20mm
Basic 60mm
Kinetic 60mm
Advanced 60mm
Radiated 60mm
Basic Missile
Advanced Missile
Fusion Missile
Corrosive Missile
LED Lights
Micro Processor
Large Processor
Motion Sensor
Pressure Sensor
Memory Chip
Small Pump
Small Heatsink
Small Motor
Copperi Cables
Explosive 20mm
Fusion 20mm
Uranium Core 20mm
Explosive 60mm
Fusion 60mm
Uranium Core 60mm
Proton Missile
Energized Missile
Kinetic Missile
Corrosive 20mm
Toxic 20mm
Antimatter 20mm
Corrosive 60mm
Toxic 60mm
Antimatter 60mm
Impact Missile
Concussion Missile
Antimatter Missile
[c:orange]DEMAND[/c]
Textile Fabrics
Foodservice Products
Office Supplies
Foodservice Equipment

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Active Scanner  7 - z3,710
Metal Gears  211 - z13
Micro Processor  54 - z47
Motion Sensor  53 - z54
Noodles  3 - z7,938
Nuts And Bolts  13 - z7
Office Furniture  11 - z43
Optical Interface  233 - z81
Ore Harvester 2  24 - z3,857
Ore Harvester 2 (Doc)  23 - z102,383
Ore Harvester 3  12 - z9,166
Ornament  23 - z252
Oxygen  148 - z1
Plasma Beam Class 2  27 - z6,122
Plasma Beam Class 3 (Doc)  1 - z69,815
Plastic Caps  24 - z72
Plastix Strands  183 - z5
Polymere  42 - z41
Pressure Sensor  40 - z59
Protein Bar  7 - z4,469
Proton Missile  49 - z192
Pulse Beam Class 1  2 - z1,559
Pulse Beam Class 2  15 - z2,419
Pulse Beam Class 3  16 - z7,311
Pulse x1 Laser  10 - z502
Pulse x1 Laser (Doc)  19 - z4,523
Quantex  x-3 20mm Gun  11 - z3,169
Quantex  x-3 20mm Gun (Doc)  27 - z44,625
Quazor Ore  258 - z40
Radiated 20mm  31 - z16
Radiated 60mm  54 - z39
Rapid x2 Launcher  22 - z2,998
Regulator  213 - z68
Reinforced Rubber  19 - z16
Rubber Tubing  152 - z49
Salt Crystal  337 - z1
Salvage Collector 2  3 - z10,338
Scrap Part  74 - z89
Silicon  114 - z6
Small Defense Drone  25 - z4,703
Small Heatsink  46 - z102
Small Life Support Pack  23 - z7,845
Small Motor  46 - z121
Small Pump  40 - z99
Small Salvage Drone  34 - z5,723
Small Tractor Drone  1 - z10,256
Spotlight  26 - z4,169
Steelium Pipes  243 - z37
Tactical x1 Launcher  9 - z2,330
Tactical x2 Launcher  17 - z4,456
Temperature Genie  1 - z17,566
Thermal Controller  6 - z4,469
Thermal Insulation  295 - z18
Thermal Sensor  115 - z73
Titan Defense Drone  47 - z138,438
Titan Mining Drone  54 - z213,438
Titan Repair Drone  46 - z190,938
Torpedo Mark II  44 - z162
Torpedo Mark III  145 - z105
Torpedo Mark III (Doc)  7 - z2,558
Torpedo Mark V  42 - z456
Torpedo Mark VI  127 - z437
Torpedo Mark VIII  37 - z756
Toxic 20mm  16 - z92
Toxic 60mm  64 - z133
Undamaged Part  55 - z152
Uranium Core 20mm  42 - z38
Uranium Core 60mm  121 - z50
Waste Processor  3 - z19,316
Water  136 - z0
Wrapped Box  18 - z5,512
x1 Torpedo Launcher (Doc)  20 - z746,790


<Station University Skills>
Launcher Energy Optimization
Miner Energy Optimization
Merc Prospector
Salvager Focal Range
Ship Shield Systems
Miner Maintenance


<Station Missions>
[c:lime]DIALOG[/c]
Collect a small debt from <color='yellow'><i>Overseer Ronyi Amastu</i></color> in <color='cyan'>Jala</color> and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>

[c:lime]HARVEST[/c]
Mine <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Ballast Crow</color> and return with <color='yellow'>105</color> to ValueStar in <color='cyan'>Hunu</color>



<Station Ships>
TF-1 Hexalon / Frigate    (Transport)
BS-1 Starclass Shuttle / Shuttle    (Battle)
TS-1 Dexta / Shuttle    (Transport)
