// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Starbase Corporate Center
STATION;type;Assembly Station
STATION;owner;Vajeana
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color; 1.0 , 1.0, 0.0 , 1.0
STATION;level;8
STATION;icon;starbase.png
STATION;filename;sector_0_station_4.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;2-2-0-1-2-0-2-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-90
STATION;interior_seed;3-1-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;52761.99
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(excavation_escort_1).txt
MERC;9;1.93;npc_ship_data_(excavation_utility_1).txt
MERC;12;1.23;npc_ship_data_(excavation_utility_2).txt
MERC;15;1.47;npc_ship_data_(excavation_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (1) Items ;4x135;5526.00;78799.94
ITEM;734;15;0.25;86015.63
ITEM;744;15;0.25;86015.63
ITEM;749;15;0.25;86015.63
ITEM;754;15;0.25;86015.63
ITEM;645;10;0.62;82040.07
ITEM;625;27;0.60;79742.23
ITEM;605;31;0.58;77444.39
ITEM;1020;76;0.78;74950.86
ITEM;673;59;0.93;73732.50
ITEM;681;87;0.71;65129.06
ITEM;1602;43;0.81;65092.50
ITEM;675;75;1.11;65019.38
ITEM;1531;59;1.10;59703.13
ITEM;748;15;0.25;56770.31
ITEM;731;15;0.25;56770.31
ITEM;743;15;0.25;56770.31
ITEM;753;15;0.25;56770.31
ITEM;759;15;0.25;56770.31
ITEM;624;37;0.76;56070.91
ITEM;2113;237;1.21;54770.63
ITEM;1511;42;1.13;53858.75
ITEM;677;62;1.07;52382.82
ITEM;604;23;0.67;50162.23
ITEM;1402;71;0.91;49199.06
ITEM;643;34;1.21;48923.21
ITEM;644;1;0.65;48849.19
ITEM;2125;160;1.06;44431.40
ITEM;664;36;0.58;44253.55
ITEM;2119;156;1.17;44242.19
ITEM;663;30;1.07;43670.97
ITEM;712;40;0.50;42772.50
ITEM;1015;7;1.05;42044.30
ITEM;603;26;0.99;40669.69
ITEM;623;3;0.91;37668.41
ITEM;2131;99;0.80;37550.63
ITEM;1172;5;1.17;37163.44
ITEM;2472;47;0.78;34962.50
ITEM;752;15;0.25;34406.25
ITEM;742;15;0.25;34406.25
ITEM;758;15;0.25;34406.25
ITEM;733;15;0.25;34406.25
ITEM;747;15;0.25;34406.25
ITEM;1112;71;0.97;28676.48
ITEM;662;31;1.23;28385.25
ITEM;1712;1;1.03;28101.56
ITEM;622;6;1.20;27742.11
ITEM;1722;68;1.01;27601.56
ITEM;602;12;1.11;25812.69
ITEM;1650;71;0.92;25351.56
ITEM;2433;61;0.49;24698.84
ITEM;1014;2;0.89;24109.53
ITEM;2419;23;0.80;23815.14
ITEM;1721;60;0.78;21851.56
ITEM;678;123;0.69;21169.69
ITEM;1601;79;0.49;21026.25
ITEM;1620;13;0.59;20521.88
ITEM;1009;0;1.84;20258.55
ITEM;642;3;0.85;20238.81
ITEM;621;11;1.20;15852.27
ITEM;751;15;0.25;15482.81
ITEM;730;15;0.25;15482.81
ITEM;746;15;0.25;15482.81
ITEM;757;15;0.25;15482.81
ITEM;741;15;0.25;15482.81
ITEM;1600;58;0.76;15373.13
ITEM;711;135;0.54;15217.50
ITEM;1102;27;0.51;14799.53
ITEM;674;136;0.65;13393.13
ITEM;661;8;0.99;13279.77
ITEM;676;145;0.76;12810.94
ITEM;2408;43;0.80;12628.63
ITEM;2118;387;1.11;12040.63
ITEM;2130;183;0.83;11088.75
ITEM;702;114;0.69;7840.63
ITEM;660;36;1.02;7798.44
ITEM;641;9;0.54;7767.27
ITEM;601;5;0.51;7399.77
ITEM;640;36;0.96;7378.44
ITEM;691;35;0.72;6512.50
ITEM;343;0;0.95;6493.21
ITEM;1055;20;0.77;6048.44
ITEM;620;12;0.75;5908.44
ITEM;1003;0;1.84;5788.16
ITEM;693;100;0.95;5220.31
ITEM;729;15;0.25;5160.94
ITEM;740;15;0.25;5160.94
ITEM;745;15;0.25;5160.94
ITEM;756;15;0.25;5160.94
ITEM;732;15;0.25;5160.94
ITEM;750;15;0.25;5160.94
ITEM;725;15;0.25;5160.94
ITEM;726;15;0.25;5160.94
ITEM;727;15;0.25;5160.94
ITEM;728;15;0.25;5160.94
ITEM;2391;63;0.72;4859.14
ITEM;600;31;0.60;4858.44
ITEM;333;863;0.46;4182.48
ITEM;341;902;0.60;3660.07
ITEM;332;17;1.21;3631.36
ITEM;342;905;0.75;3364.77
ITEM;321;875;1.18;3257.01
ITEM;2039;775;0.87;3107.19
ITEM;352;1000;0.25;3092.51
ITEM;2035;213;1.20;2848.71
ITEM;2036;855;0.90;2407.12
ITEM;323;772;1.19;2299.50
ITEM;2378;32;0.86;2282.12
ITEM;2029;464;1.11;2263.75
ITEM;350;1000;0.25;2243.68
ITEM;2034;571;1.02;2229.51
ITEM;1054;47;0.79;2121.75
ITEM;324;820;0.75;2107.62
ITEM;723;15;0.25;2064.38
ITEM;721;15;0.25;2064.38
ITEM;755;15;0.25;2064.38
ITEM;720;15;0.25;2064.38
ITEM;722;15;0.25;2064.38
ITEM;2033;148;1.01;2008.63
ITEM;351;1000;0.25;1906.42
ITEM;1052;43;0.68;1702.94
ITEM;2027;756;0.93;1591.19
ITEM;320;785;1.02;1581.84
ITEM;353;1000;0.25;1503.47
ITEM;340;0;0.82;1351.35
ITEM;1002;14;0.51;1208.13
ITEM;2372;10;0.80;1206.98
ITEM;2025;625;0.78;1122.41
ITEM;330;986;0.61;1072.64
ITEM;2031;860;0.61;1058.60
ITEM;303;710;1.00;999.84
ITEM;2017;430;0.98;953.64
ITEM;2369;48;0.63;952.14
ITEM;2020;340;1.05;912.21
ITEM;10;7;1.05;907.43
ITEM;77;2210;0.85;896.12
ITEM;2018;488;0.82;892.74
ITEM;2021;384;0.79;775.39
ITEM;2016;467;0.85;762.02
ITEM;27;4781;0.65;641.17
ITEM;304;696;0.75;636.93
ITEM;322;836;0.76;564.81
ITEM;9;458;1.05;549.95
ITEM;2007;380;1.01;544.60
ITEM;62;2064;0.69;446.55
ITEM;2358;66;0.62;379.88
ITEM;325;824;1.06;372.72
ITEM;26;3851;0.63;367.02
ITEM;2355;38;0.82;364.71
ITEM;25;3961;1.11;359.02
ITEM;7;0;1.84;340.66
ITEM;2002;724;1.01;338.15
ITEM;8;63;1.05;333.31
ITEM;2008;742;0.50;322.34
ITEM;219;574;1.08;297.19
ITEM;2006;151;0.55;288.82
ITEM;313;883;0.85;277.58
ITEM;331;957;1.03;242.35
ITEM;212;400;1.24;239.72
ITEM;75;1952;1.00;205.14
ITEM;208;126;1.17;201.19
ITEM;24;4906;1.05;200.66
ITEM;11;4175;1.09;167.25
ITEM;216;357;0.53;164.18
ITEM;207;655;0.97;153.96
ITEM;305;905;0.53;145.53
ITEM;213;504;0.60;137.18
ITEM;60;1897;1.08;132.08
ITEM;205;759;0.97;127.24
ITEM;5;0;1.84;125.12
ITEM;6;3;1.07;124.52
ITEM;23;4645;1.09;122.16
ITEM;310;910;0.78;119.41
ITEM;210;326;0.67;113.46
ITEM;311;0;0.69;100.13
ITEM;211;718;0.46;90.51
ITEM;300;809;0.70;79.05
ITEM;4;0;1.84;75.82
ITEM;116;434;1.10;68.67
ITEM;124;0;0.82;63.08
ITEM;312;737;0.69;55.37
ITEM;22;5466;0.78;53.05
ITEM;166;478;0.73;48.17
ITEM;3;0;1.84;45.97
ITEM;154;813;0.87;42.34
ITEM;167;116;0.52;39.49
ITEM;121;339;0.88;38.89
ITEM;50;1711;0.90;37.28
ITEM;41;2074;0.61;35.65
ITEM;117;753;0.63;34.70
ITEM;21;0;0.85;33.70
ITEM;158;684;1.21;30.75
ITEM;163;233;0.67;30.51
ITEM;301;740;1.03;28.44
ITEM;2;0;1.84;27.86
ITEM;168;217;0.92;26.30
ITEM;302;697;0.46;25.23
ITEM;115;1083;0.76;23.68
ITEM;111;744;0.82;21.12
ITEM;2000;202;0.99;20.88
ITEM;20;3823;0.90;20.88
ITEM;40;2008;0.81;20.34
ITEM;112;1182;0.49;19.44
ITEM;1;0;1.88;17.23
ITEM;110;909;0.76;13.71
ITEM;106;177;1.16;11.65
ITEM;153;0;0.67;11.19
ITEM;108;926;0.70;10.62
ITEM;105;613;1.24;10.33
ITEM;408;794;0.49;7.07
ITEM;113;0;0.95;6.73
ITEM;407;1038;1.05;6.29
ITEM;107;430;0.46;6.18
ITEM;118;618;0.81;4.85
ITEM;104;167;1.14;4.60
ITEM;109;295;0.63;3.24
ITEM;102;263;0.85;2.94
ITEM;114;148;0.82;2.37
ITEM;101;945;0.66;1.36
ITEM;406;932;1.13;1.35
ITEM;103;692;0.52;1.33
ITEM;404;935;0.88;1.07
ITEM;100;1227;0.56;0.98
ITEM;405;826;0.59;0.75
ITEM;403;870;0.49;0.64
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;71;1.01
SKILL;41;1.81
SKILL;42;0.64
SKILL;222;1.64
SKILL;43;1.35
SKILL;44;1.27
SKILL;45;1.94
SKILL;46;1.78
SKILL;47;0.23
SKILL;58;0.13
SKILL;64;1.33
SKILL;111;1.78
SKILL;112;0.23
SKILL;113;0.13
SKILL;238;1.13
SKILL;239;1.33
SKILL;251;1.78
SKILL;252;1.23
SKILL;253;1.13
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;140;90;166146;REFINE#10#5#sector_2_station_0.txt#sector_3_station_0.txt#null#null#null#null;Dock at the Oro Omniplex Center station refinery in <color='cyan'>Merces Academy</color> and process a light shipment of <color='yellow'>10</color> <color='yellow'>Torim Ores</color>;12;<i>Asero Nostraze</i> runs a Labor shipping company at Daemon Ammunitions. After having some issues with a transport ship, <color='yellow'>10</color> items of <color='yellow'>Torim Ores</color> were left behind. Head on over to <color='cyan'>Merces Academy</color> and refine these <color='yellow'>Torim Ores</color> at the Oro Omniplex Center refinery.;7500;2250
MISSION;92;90;691417;KILL_PILOT#sector_41_station_0.txt#sector_78.txt#Accountant Whayit Pastmastris#npc_ship_data_(excavation_frigate_1)#7#null#null#null;Execute <color='yellow'><i>Accountant Whayit Pastmastris</i></color> in <color='cyan'>Bitcola</color> and return to Mazu Starship in <color='cyan'>Volox</color>;14;A low level criminal has finally hit the radar of the Astrox Security Patrol. A new kill contract has been issued for <color='yellow'><i>Accountant Whayit Pastmastris</i></color> located in <color='cyan'>Bitcola</color>. <color='yellow'><i>Accountant Whayit Pastmastris</i></color> has been know to pull some sneaky tricks during combat, so be careful when engaging him. After his ship has been destroyed, head to Mazu Starship station in the <color='cyan'>Volox</color> system.;28023;6891
MISSION;32;45;218709;TRANSPORT#129#2033#sector_60_station_0.txt#sector_56_station_0.txt#null#null#null#null;Move light cargo from Biomart in <color='cyan'>Veloxi</color> and dock with <color='yellow'>129</color> <color='yellow'>Cooling Units</color> at Transporteers in <color='cyan'>Hunu</color>;12;<i>Xulkile Zahorera</i> was unable to complete a large shipment from Biomart to Transporteers. A light shipment containing <color='yellow'>129</color> <color='yellow'>Cooling Units</color> is located at the storage bay at Biomart in <color='cyan'>Veloxi</color>. Retrieve the <color='yellow'>Cooling Units</color> and transport them to Transporteers in <color='cyan'>Hunu</color>.;17228;5168
MISSION;92;90;636964;KILL_PILOT#sector_60_station_0.txt#sector_15.txt#Czar Bastyer Sersewen#npc_ship_data_(support_utility_1)#7#null#null#null;Execute <color='yellow'><i>Czar Bastyer Sersewen</i></color> in <color='cyan'>Jermicus</color> and return to Biomart in <color='cyan'>Veloxi</color>;13;A low level criminal has finally hit the radar of the Astrox Security Patrol. A new kill contract has been issued for <color='yellow'><i>Czar Bastyer Sersewen</i></color> located in <color='cyan'>Jermicus</color>. <color='yellow'><i>Czar Bastyer Sersewen</i></color> has been know to pull some sneaky tricks during combat, so be careful when engaging him. After his ship has been destroyed, head to Biomart station in the <color='cyan'>Veloxi</color> system.;22970;6891
MISSION;111;60;334606;KILL_RAIDERS#sector_41_station_0.txt#sector_2.txt#1#20#npc_ship_data_(excavation_cruiser_1)#random#random#random;Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Merces Academy</color>. Return to Mazu Starship in <color='cyan'>Volox</color>;12;A medium group of thugs decided to set up camp in the <color='cyan'>Merces Academy</color> system. <i>Malel Johbacmes</i>, who has recently been elected as Overseer of <color='cyan'>Merces Academy</color> by the Labors, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 20 raiders and return to the Mazu Starship station.;16148;4813
MISSION;150;120;853734;FABRICATE#3#2441#sector_0_station_1.txt#sector_78_station_0.txt#null#null#null#null;Dock at the Lammassu Financial station fabricator in <color='cyan'>Void Starcross</color> and manufacture a light shipment of <color='yellow'>3</color> <color='yellow'>Containment Field Emitters</color>;12;<i>Rastda Imesmast</i> runs a Labor production company at Tella's. After having some issues with a manufacturing plant, <color='yellow'>3</color> items of <color='yellow'>Containment Field Emitters</color> were marked as low supply. Head on over to <color='cyan'>Void Starcross</color> and fabricate these <color='yellow'>Containment Field Emitters</color> at Lammassu Financial.;8750;2625
MISSION;124;45;805900;CHAT_PILOT#sector_1_station_0.txt#sector_78.txt#Lieutenant Farla Foceesa#npc_ship_data_(battle_escort_3)#13#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Lieutenant Farla Foceesa</i></color> over an outstanding warrant in <color='cyan'>Bitcola</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>;12;<i>Mastga Asak</i> of the Labor faction has sent out a warrent for the arrest of <color='yellow'><i>Lieutenant Farla Foceesa</i></color>. Last known sighting of <color='yellow'><i>Lieutenant Farla Foceesa</i></color> was in the area of <color='cyan'>Bitcola</color>. Bring them back alive to the Quantex in the <color='cyan'>Dellis Primeria</color> system to complete this contract.;57212;14069
MISSION;100;120;600776;KILL_RECOVER#sector_4_station_0.txt#sector_70.txt#Senator Eatu Kaddwhi#npc_ship_data_(VVS_Ogre_Mk2)#3#76#300#null;Kill and Rob <color='yellow'><i>Senator Eatu Kaddwhi</i></color> in <color='cyan'>Beaondus</color> and return to The Dunes in <color='cyan'>The Dunes of Caliph</color> with <color='yellow'>76</color> of <color='yellow'>Cleaning Chemicals</color>;13;<i>Peibino Nalialindomad</i> was hijacked for <color='yellow'>76</color> <color='yellow'>Cleaning Chemicals</color> by a pilot named <color='yellow'><i>Senator Eatu Kaddwhi</i></color>. The Contractor has approved a 'Kill and Recover' contract for the criminal <color='yellow'><i>Senator Eatu Kaddwhi</i></color>. Last seen in the <color='cyan'>Beaondus</color> system, <color='yellow'><i>Senator Eatu Kaddwhi</i></color> is considered to be un-prepared for combat. Take him out and return the <color='yellow'>Cleaning Chemicals</color> to The Dunes in <color='cyan'>The Dunes of Caliph</color>.;16013;7000
MISSION;60;45;725754;HARVEST#72#8#sector_2.txt#sector_69_station_1.txt#null#null#null#null;Harvest special <color='yellow'>Special Belasite Ore</color> in <color='cyan'>Merces Academy</color> and return with <color='yellow'>72</color> ore to Oak Industries in <color='cyan'>Dorando Corridor</color>;13;A local prospector, <i>Caejid Mosfeifon</i> of the Contractor faction has located a light quantity of special <color='yellow'>Special Belasite Ore</color> in the <color='cyan'>Merces Academy</color> sector. Head over there and harvest all of the special <color='yellow'>Special Belasite Ore</color>, and meet <i>Caejid Mosfeifon</i> back at Oak Industries station located in the <color='cyan'>Dorando Corridor</color>.;7549;2250
MISSION;120;45;764097;CHAT_PILOT#sector_4_station_0.txt#sector_58.txt#Foreman Nuhve Ilejanze#npc_ship_data_(ATC_Hammerhead)#15#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Foreman Nuhve Ilejanze</i></color> in <color='cyan'>Lins</color> and return to The Dunes in <color='cyan'>The Dunes of Caliph</color>;12;<i>Timqi Qooasa</i> has requested that debt be collected from <color='yellow'><i>Foreman Nuhve Ilejanze</i></color>. After 3 payments to the Labor faction for transport fines, <color='yellow'><i>Foreman Nuhve Ilejanze</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Foreman Nuhve Ilejanze</i></color> was in the vicinity of the <color='cyan'>Lins</color> system. Have a chat with them, collect the debt, and return to the The Dunes in the <color='cyan'>The Dunes of Caliph</color> system to deliver the payment.;6466;1500
MISSION;102;120;200853;KILL_RECOVER#sector_57_station_0.txt#sector_69.txt#Mr. Fiebem Fegen#npc_ship_data_(pirate_frigate_3)#7#220#213#null;Hijack and kill <color='yellow'><i>Mr. Fiebem Fegen</i></color> in <color='cyan'>Dorando Corridor</color> and steal <color='yellow'>220</color> <color='yellow'>Pressure Sensors</color>. Return to OmniTrust in <color='cyan'>Ponze</color>;12;The Labor faction has been following an escaped fugitive named <color='yellow'><i>Mr. Fiebem Fegen</i></color>. He was recently seen around the <color='cyan'>Dorando Corridor</color> system, but his exact location is unknown. <color='yellow'><i>Mr. Fiebem Fegen</i></color> is carrying some cargo that was taken from the security facility. Return the <color='yellow'>Pressure Sensors</color> by any means, and head back to OmniTrust in <color='cyan'>Ponze</color>.;47732;18758
MISSION;81;60;722873;RECOVER#115#2003#sector_5.txt#sector_88_station_0.txt#null#null#null#null;Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Enoch Estates</color> sector, and return to Blissheads in <color='cyan'>Estura Cove</color>;12;<i>Zenodee Zonortisqu</i> has lost track of a shipment crate from his last haul. It has been reported found in <color='cyan'>Enoch Estates</color>. In an effort to save time, <i>Zenodee Zonortisqu</i> has sub-contracted the task of returning the light shipment to Blissheads in <color='cyan'>Estura Cove</color>. The Labor faction is aware of the situation and has sent a representative to Blissheads.;18016;4923
MISSION;54;30;670832;SCAN_STRUCTURE#sector_56_station_0.txt#sector_87.txt#Defensive Gun Platform#structure_gun_platform_1.txt#1#null#null#null;Gather scan data on the target <color='yellow'>Defensive Gun Platform</color> in <color='cyan'>Yellon</color> and return to Transporteers in <color='cyan'>Hunu</color>;13;In the <color='cyan'>Yellon</color> sector, <i>Xenpast Fardalebin</i> has requested a structural scan of the <color='yellow'>Defensive Gun Platform</color> structure. His old scan just recently expired, and before any further renovations can be carried out, a new scan is required. Once completed, Head back to the Transporteers station located in the <color='cyan'>Hunu</color> with an updated scan report.;89101;42206
MISSION;70;45;846594;ESCORT#sector_0_station_1.txt#sector_47_station_0.txt#Chairman Bozae Genbid#npc_ship_data_(recon_frigate_3)#24#null#null#null;Escort <color='yellow'><i>Chairman Bozae Genbid</i></color> from Lammassu Financial in <color='cyan'>Void Starcross</color> to Gunstellar in <color='cyan'>Adrenal</color>;12;A wealthy council member from the Labor faction has set up an escort for his oldest son <color='yellow'><i>Chairman Bozae Genbid</i></color>. He was recently released from a rehab center for bliss addiction, and <i>Molewhi Jagxoro</i>, his father, would prefer he doesn't travel alone. You can meet up with <color='yellow'><i>Chairman Bozae Genbid</i></color> at the Lammassu Financial station before heading over to Gunstellar.;7500;2500
MISSION;60;45;881050;HARVEST#57#10#sector_106.txt#sector_14_station_1.txt#null#null#null#null;Harvest special <color='yellow'>Special Zai Ore</color> in <color='cyan'>Crown of Imperium</color> and return with <color='yellow'>57</color> ore to Horizons in <color='cyan'>Gate of Alpharis</color>;13;A local prospector, <i>Ilsvis Whetaj</i> of the Contractor faction has located a light quantity of special <color='yellow'>Special Zai Ore</color> in the <color='cyan'>Crown of Imperium</color> sector. Head over there and harvest all of the special <color='yellow'>Special Zai Ore</color>, and meet <i>Ilsvis Whetaj</i> back at Horizons station located in the <color='cyan'>Gate of Alpharis</color>.;12353;4500
MISSION;42;45;731046;SCAN_PILOT#sector_95_station_1.txt#sector_18.txt#Mr. Beckza Bastba#npc_ship_data_(Fast_attack_cruiser_5)#23#null#null#null;Track down and scan <color='yellow'><i>Mr. Beckza Bastba</i></color> in <color='cyan'>Gendaria</color> and return to Acrondia Hub in <color='cyan'>Temple Gates</color>;12;Labor faction has requested that we verify the whereabouts of a <color='yellow'><i>Mr. Beckza Bastba</i></color>. After a recent ban order from the high court minister <i>Dalera Arskinpa</i>, <color='cyan'>Gendaria</color> officials are worried that <color='yellow'><i>Mr. Beckza Bastba</i></color> might cause problems for the local merchants. Scan <color='yellow'><i>Mr. Beckza Bastba</i></color>'s ship and return to Acrondia Hub in <color='cyan'>Temple Gates</color> with the scan record.;21438;6125
MISSION;127;45;826365;CHAT_PILOT#sector_57_station_0.txt#sector_101.txt#Liaison Bemsip Keene#npc_ship_data_(ATC_Spark)#9#missions_transfer_pilot.txt#0#null;Transfer a legal document to <color='yellow'><i>Liaison Bemsip Keene</i></color> in <color='cyan'>Brimstone</color>. Return with confirmation at OmniTrust in <color='cyan'>Ponze</color>;12;<color='yellow'><i>Liaison Bemsip Keene</i></color> is required to provide the Labor faction a signed legal document. <color='yellow'><i>Liaison Bemsip Keene</i></color> has returned this document unsigned. Last known sighting of <color='yellow'><i>Liaison Bemsip Keene</i></color> was in the area of <color='cyan'>Brimstone</color>. Locate them and resolve this problem. Then return to OmniTrust in the <color='cyan'>Ponze</color> system to deliver confirmation.;376988;125663
MISSION;123;45;996349;CHAT_PILOT#sector_22_station_0.txt#sector_4.txt#Czar Welinine Timbaz#npc_ship_data_(recon_shuttle_1)#21#missions_arrest_escort.txt#0#null;Detain <color='yellow'><i>Czar Welinine Timbaz</i></color> in <color='cyan'>The Dunes of Caliph</color> and escort them to Monarch Society in <color='cyan'>Solitudes of Frey</color>;13;<i>Rosaw Doeeropoe</i> has requested that <color='yellow'><i>Czar Welinine Timbaz</i></color> be escorted back into custody. Authorities of the Contractor faction has determined guilt opon the accused. <color='yellow'><i>Czar Welinine Timbaz</i></color> has refused to cooperate with the courts. Last known sighting of <color='yellow'><i>Czar Welinine Timbaz</i></color> was in the vicinity of the <color='cyan'>The Dunes of Caliph</color> system. Have a chat with them ann bring them back for further questioning.;40196;13399
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.0;ship_data_(excavation_shuttle_1).txt
SHIP;1;1.0;ship_data_(excavation_escort_1).txt
SHIP;1;1.0;ship_data_(excavation_escort_2).txt
