// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Rendo Labs
STATION;type;Beam Research Facility
STATION;owner;Bomene Janfonve
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;2
STATION;icon;rendo_labs.png
STATION;filename;sector_16_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-0-3-5-3-6-0-4-8-2-8-90
STATION;interior_seed;3-9-15-4
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;26528.64
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;1.33;npc_ship_data_(transport_cruiser_1).txt
MERC;3;0.63;npc_ship_data_(excavation_frigate_1).txt
MERC;9;1.98;npc_ship_data_(pirate_shuttle_1).txt
MERC;7;1.34;npc_ship_data_(support_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (2) Items ;21x745,302x153;59618;69518.38
MISSION;51;30;585191;SCAN_STRUCTURE#sector_0_station_2.txt#sector_58.txt#Recon Center#structure_recon_1.txt#1#null#null#null;Find the target <color='yellow'>Recon Center</color> structure in <color='cyan'>Lins</color>, scan, and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;0;<i>Fusa Xenfeiah</i> has requested that someone verify the location of <color='yellow'>Recon Center</color> in the <color='cyan'>Lins</color> sector. After a recent mix-up at the zoning office, the Alpha reps are concerned that construction guidelines were not followed properly. Return to the StarGypsy Warehouse station located in the <color='cyan'>Void Starcross</color> with the scan data.;11529;4375
MISSION;81;60;335795;RECOVER#64#2017#sector_56.txt#sector_95_station_0.txt#null#null#null#null;Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Hunu</color> sector, and return to Star Shepards Hub in <color='cyan'>Temple Gates</color>;1;<i>Xenhin Ferqu</i> has lost track of a shipment crate from his last haul. It has been reported found in <color='cyan'>Hunu</color>. In an effort to save time, <i>Xenhin Ferqu</i> has sub-contracted the task of returning the light shipment to Star Shepards Hub in <color='cyan'>Temple Gates</color>. The Science faction is aware of the situation and has sent a representative to Star Shepards Hub.;11771;3938
MISSION;60;45;192755;HARVEST#51#3#sector_15.txt#sector_0_station_3.txt#null#null#null#null;Harvest special <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Jermicus</color> and return with <color='yellow'>51</color> ore to StarShepards Headquarters in <color='cyan'>Void Starcross</color>;1;A local prospector, <i>Visda Heailsmo</i> of the Science faction has located a light quantity of special <color='yellow'>Special Quazor Ore</color> in the <color='cyan'>Jermicus</color> sector. Head over there and harvest all of the special <color='yellow'>Special Quazor Ore</color>, and meet <i>Visda Heailsmo</i> back at StarShepards Headquarters station located in the <color='cyan'>Void Starcross</color>.;4950;1688
MISSION;40;45;111609;SCAN_PILOT#sector_3_station_0.txt#sector_77.txt#Sir Paero Velils#npc_ship_data_(excavation_utility_3)#22#null#null#null;Locate and scan <color='yellow'><i>Sir Paero Velils</i></color> in <color='cyan'>Ballast Crow</color> and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;0;<i>Faesih Lowadawhe</i> has requested a location verification on a recent employee. <color='yellow'><i>Sir Paero Velils</i></color> is supposed to be running a survey in <color='cyan'>Ballast Crow</color>. Please verify the location of this pilot by scanning their ship and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>.;5978;2000
MISSION;61;45;609978;HARVEST#67#1#sector_16.txt#sector_1_station_0.txt#null#null#null#null;Mine special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Entropy</color> and return with <color='yellow'>67</color> to Quantex in <color='cyan'>Dellis Primeria</color>;0;While collecting some junk in the <color='cyan'>Entropy</color> system, <i>Horerast Demivedpea</i> discovered a light haul of <color='yellow'>67</color> <color='yellow'>Special Adamyte Ore</color>. Unable to collect the material alone, <i>Horerast Demivedpea</i> has requested that a capable pilot harvest the <color='yellow'>Special Adamyte Ore</color> and drop it off at the Quantex station located in the <color='cyan'>Dellis Primeria</color>.;8167;985
MISSION;131;45;107924;SALVAGE#50#20#sector_35.txt#sector_0_station_4.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Felishar</color> and return with <color='yellow'>50</color> to Starbase Corporate Center in <color='cyan'>Void Starcross</color>;0;While collecting some junk in the <color='cyan'>Felishar</color> system, <i>Oupoe Uocoujanco</i> discovered a light haul of <color='yellow'>50</color> <color='yellow'>Special Junk Part</color>. Unable to collect the material alone, <i>Oupoe Uocoujanco</i> has requested that a capable pilot salvage the <color='yellow'>Special Junk Part</color> and drop it off at the Starbase Corporate Center station located in the <color='cyan'>Void Starcross</color>.;11771;3938
MISSION;120;45;303413;CHAT_PILOT#sector_58_station_0.txt#sector_77.txt#Professor Optad Fewa#npc_ship_data_(ATC_Spear_MK2)#22#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Professor Optad Fewa</i></color> in <color='cyan'>Ballast Crow</color> and return to CoraVault in <color='cyan'>Lins</color>;2;<i>Courest Wepa</i> has requested that debt be collected from <color='yellow'><i>Professor Optad Fewa</i></color>. After 3 payments to the Civil faction for transport fines, <color='yellow'><i>Professor Optad Fewa</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Professor Optad Fewa</i></color> was in the vicinity of the <color='cyan'>Ballast Crow</color> system. Have a chat with them, collect the debt, and return to the CoraVault in the <color='cyan'>Lins</color> system to deliver the payment.;7076;2000
MISSION;92;90;416686;KILL_PILOT#sector_62_station_0.txt#sector_14.txt#Engineer Kaddbo Dajag#npc_ship_data_(VVS_Ogre_Mk2)#7#null#null#null;Execute <color='yellow'><i>Engineer Kaddbo Dajag</i></color> in <color='cyan'>Gate of Alpharis</color> and return to Valuestar Hub in <color='cyan'>Jelumus</color>;0;A low level criminal has finally hit the radar of the Astrox Security Patrol. A new kill contract has been issued for <color='yellow'><i>Engineer Kaddbo Dajag</i></color> located in <color='cyan'>Gate of Alpharis</color>. <color='yellow'><i>Engineer Kaddbo Dajag</i></color> has been know to pull some sneaky tricks during combat, so be careful when engaging him. After his ship has been destroyed, head to Valuestar Hub station in the <color='cyan'>Jelumus</color> system.;22051;4594
MISSION;101;120;289000;KILL_RECOVER#sector_41_station_0.txt#sector_60.txt#Fabricator Couop Bacoizils#npc_ship_data_(battle_escort_2)#5#19#2016#null;Hijack <color='yellow'><i>Fabricator Couop Bacoizils</i></color> in <color='cyan'>Veloxi</color> for <color='yellow'>19</color> <color='yellow'>Small Electronics</color> and deliver them to Mazu Starship in <color='cyan'>Volox</color>;0;Authorities in <color='cyan'>Veloxi</color> have reported the location of a known criminal, <color='yellow'><i>Fabricator Couop Bacoizils</i></color>. He is carrying some stolen property belonging to members of the Alpha faction. Destroy <color='yellow'><i>Fabricator Couop Bacoizils</i></color>'s ship and recover the <color='yellow'>19</color> <color='yellow'>Small Electronics</color>. When finished, meet up with <i>Astmast Mosocae</i>, you can find him at Mazu Starship in <color='cyan'>Volox</color>.;25407;9188
MISSION;121;45;384812;CHAT_PILOT#sector_14_station_1.txt#sector_69.txt#Privateer Moleyo Fonal#npc_ship_data_(ATC_Target_Drone)#8#missions_debt_collection.txt#0#null;Chat with <color='yellow'><i>Privateer Moleyo Fonal</i></color> about his debt in <color='cyan'>Dorando Corridor</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color>;0;<i>Armi Bingaoi</i> has requested that debt be collected from <color='yellow'><i>Privateer Moleyo Fonal</i></color>. After 3 payments to the Alpha faction for transport fines, <color='yellow'><i>Privateer Moleyo Fonal</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Privateer Moleyo Fonal</i></color> was in the vicinity of the <color='cyan'>Dorando Corridor</color> system. Have a chat with them, collect the debt, and return to the Horizons in the <color='cyan'>Gate of Alpharis</color> system to deliver the payment.;17721;7875
MISSION;71;45;933089;ESCORT#sector_0_station_2.txt#sector_56_station_0.txt#Foreman Hinbac Vistaf#npc_ship_data_(ATC_Scimitar)#10#null#null#null;<color='yellow'><i>Foreman Hinbac Vistaf</i></color> requests an escort from StarGypsy Warehouse in <color='cyan'>Void Starcross</color> to Transporteers in <color='cyan'>Hunu</color>;1;The Astrox Security Patrol has posted a contract for the safe delivery of a <color='yellow'><i>Foreman Hinbac Vistaf</i></color>, wanted for questioning in a non-violent incident a few cycles ago in the <color='cyan'>Void Starcross</color> system. Escort <color='yellow'><i>Foreman Hinbac Vistaf</i></color> from StarGypsy Warehouse to Transporteers in the <color='cyan'>Hunu</color> system.;8400;1750
MISSION;30;45;554179;TRANSPORT#4#1482#sector_47_station_0.txt#sector_69_station_0.txt#null#null#null#null;Transport a light shipment of <color='yellow'>4</color> <color='yellow'>Anti-Gun Pods</color> from Gunstellar in <color='cyan'>Adrenal</color> to Mass Market in <color='cyan'>Dorando Corridor</color>;0;Transport manager <i>Velgot Xago</i> has requested a transport of a light shipment of <color='yellow'>4</color> <color='yellow'>Anti-Gun Pods</color>. They need to be picked up at the storage facility at Gunstellar in <color='cyan'>Adrenal</color>, and transported to Mass Market in <color='cyan'>Dorando Corridor</color>. <i>Velgot Xago</i> will be waiting at Mass Market to receive the shipment.;10463;6188
MISSION;92;90;336682;KILL_PILOT#sector_78_station_0.txt#sector_70.txt#Enforcer Tadgale Timtaj#npc_ship_data_(VVS_Infiltrator)#7#null#null#null;Execute <color='yellow'><i>Enforcer Tadgale Timtaj</i></color> in <color='cyan'>Beaondus</color> and return to Tella's in <color='cyan'>Bitcola</color>;2;A low level criminal has finally hit the radar of the Astrox Security Patrol. A new kill contract has been issued for <color='yellow'><i>Enforcer Tadgale Timtaj</i></color> located in <color='cyan'>Beaondus</color>. <color='yellow'><i>Enforcer Tadgale Timtaj</i></color> has been know to pull some sneaky tricks during combat, so be careful when engaging him. After his ship has been destroyed, head to Tella's station in the <color='cyan'>Bitcola</color> system.;49321;22970
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.09;ship_data_(battle_frigate_1).txt
SHIP;2;0.99;ship_data_(battle_shuttle_1).txt
SHIP;3;0.99;ship_data_(transport_shuttle_1).txt
SHIP;4;0.93;ship_data_(recon_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

