// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;PharmaLife
STATION;type;Distribution Warehouse
STATION;owner;Fura Geegacie
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;3
STATION;icon;ad_image_10.png
STATION;filename;sector_23_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-3-0-6-4-0-9-1-4-1-3-1-1-5-4-1-1-1-2-7-3-9-90
STATION;interior_seed;5-0-45-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;49890.29
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.97;npc_ship_data_(battle_carrier_1).txt
MERC;8;1.89;npc_ship_data_(pirate_utility_1).txt
MERC;4;1.77;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Goods: (3) Items ;121x837,106x353,112x480;50217;98247.38
ITEM;660;9;0.54;3999.80
ITEM;112;29;0.83;28.79
ITEM;738;51;1.07;1115168.00
ITEM;151;224;0.93;11.63
ITEM;204;211;0.53;61.03
ITEM;735;32;0.54;4285500.00
ITEM;1110;12;0.59;1367.08
ITEM;1052;27;1.08;2445.08
ITEM;2124;115;0.51;5955.40
ITEM;1100;29;0.92;1902.80
ITEM;1054;26;0.88;2187.36
ITEM;123;27;0.76;78.59
ITEM;313;5;1.17;441.56
ITEM;2;0;1.05;12.49
ITEM;405;0;1.05;1.49
ITEM;602;9;1.23;27041.89
ITEM;681;34;1.24;102983.40
ITEM;753;30;0.68;117381.00
ITEM;759;9;0.68;117381.00
ITEM;679;34;0.88;73823.40
ITEM;671;50;0.63;41668.20
ITEM;102;190;0.95;3.05
ITEM;1531;20;0.86;44570.00
ITEM;746;3;1.03;47763.00
ITEM;1751;0;1.27;129678.70
ITEM;1641;11;1.20;61570.00
ITEM;1571;15;0.65;35432.80
ITEM;621;7;1.07;13492.15
ITEM;1112;18;1.07;29682.73
ITEM;1172;21;0.57;17681.16
ITEM;2126;75;0.74;103946.10
ITEM;1015;29;0.67;20621.16
ITEM;2114;146;1.15;173665.80
ITEM;2120;147;0.67;85921.50
ITEM;1402;16;1.09;54948.60
ITEM;757;51;0.71;33363.00
ITEM;1501;23;0.94;40798.80
ITEM;1591;18;0.80;33256.00
ITEM;305;11;0.71;172.89
ITEM;2427;6;0.94;36085.57
ITEM;105;29;0.71;5.70
ITEM;20;76;0.75;16.41
ITEM;304;23;1.14;883.94
ITEM;747;1;0.53;56140.00
ITEM;712;45;0.75;56260.80
ITEM;691;2;0.65;5451.20
ITEM;692;44;0.62;3908.40
ITEM;1460;25;1.10;28285.00
ITEM;155;166;0.57;10.66
ITEM;104;182;1.06;4.07
ITEM;2430;27;1.21;61379.79
ITEM;166;0;0.93;56.20
ITEM;203;3;1.18;119.72
ITEM;745;56;0.71;11121.00
ITEM;674;23;0.95;17665.20
ITEM;676;32;1.17;18021.00
ITEM;732;0;0.95;14721.00
ITEM;756;32;1.08;16671.00
ITEM;678;37;0.90;25147.80
ITEM;670;27;1.20;25859.40
ITEM;711;0;0.82;20433.60
ITEM;157;191;0.77;17.18
ITEM;2349;14;1.18;259.24
ITEM;160;13;0.55;17.44
ITEM;161;116;0.63;21.83
ITEM;728;33;0.72;11271.00
ITEM;121;35;0.68;28.26
ITEM;106;28;0.83;8.03
ITEM;601;4;0.83;10552.15
ITEM;150;298;1.13;12.78
ITEM;303;8;1.07;1006.55
ITEM;107;25;0.75;8.70
ITEM;407;28;0.57;3.31
ITEM;103;276;0.64;1.45
ITEM;118;177;0.99;5.48
ITEM;170;233;0.94;65.57
ITEM;1753;0;1.18;482636.10
ITEM;2116;15;0.55;1046956.00
ITEM;2122;43;1.00;1547745.00
ITEM;120;25;0.84;103.79
ITEM;600;11;1.20;8619.80
ITEM;1754;0;1.25;1028515.00
ITEM;62;54;1.18;689.93
ITEM;2123;22;0.74;4051538.00
ITEM;3;150;0.74;14.70
ITEM;207;264;1.04;155.02
ITEM;164;193;0.60;10.17
ITEM;154;72;0.82;37.39
ITEM;114;392;1.05;2.80
ITEM;21;202;0.60;22.54
ITEM;2440;8;0.97;82522.38
ITEM;113;371;1.23;8.14
ITEM;119;39;0.66;57.02
ITEM;721;34;0.66;4148.40
ITEM;159;157;0.81;40.66
ITEM;1450;11;1.21;13034.70
ITEM;117;42;0.69;34.54
ITEM;152;32;0.70;9.73
ITEM;642;14;0.97;21468.01
ITEM;640;13;1.02;7359.80
ITEM;162;120;0.83;31.27
ITEM;202;193;0.77;72.00
ITEM;2433;22;0.81;35581.13
ITEM;744;54;0.92;237850.00
ITEM;124;42;0.66;47.79
ITEM;1300;16;1.22;17519.60
ITEM;22;195;1.02;63.81
ITEM;122;36;0.80;119.35
ITEM;662;2;0.52;11820.91
ITEM;100;138;0.86;1.34
ITEM;408;3;1.09;13.57
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;76;1.68
SKILL;210;1.33
SKILL;223;1.94
SKILL;24;0.64
SKILL;54;1.51
SKILL;31;1.41
SKILL;60;0.52
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;60;45;315645;HARVEST#62#10#sector_104.txt#sector_58_station_0.txt#null#null#null#null;Harvest special <color='yellow'>Special Zai Ore</color> in <color='cyan'>Junia</color> and return with <color='yellow'>62</color> ore to CoraVault in <color='cyan'>Lins</color>;0;A local prospector, <i>Xultad Whigee</i> of the Alpha faction has located a light quantity of special <color='yellow'>Special Zai Ore</color> in the <color='cyan'>Junia</color> sector. Head over there and harvest all of the special <color='yellow'>Special Zai Ore</color>, and meet <i>Xultad Whigee</i> back at CoraVault station located in the <color='cyan'>Lins</color>.;11813;6188
MISSION;90;90;491627;KILL_PILOT#sector_16_station_0.txt#sector_96.txt#Major Leilocki Lockilom#npc_ship_data_(ATC_Jericho_MK2)#3#null#null#null;Hunt down a low level <color='yellow'><i>Major Leilocki Lockilom</i></color> in <color='cyan'>Arch of Mori</color> and return to Rendo Labs in <color='cyan'>Entropy</color>;0;<i>Peanine Xenajne</i> has put out a kill contract for <color='yellow'><i>Major Leilocki Lockilom</i></color>. Wanted for capital crimes against the Alpha faction for raiding multiple transports. Last known sighting of <color='yellow'><i>Major Leilocki Lockilom</i></color> was in the vicinity of the <color='cyan'>Arch of Mori</color> system. After <color='yellow'><i>Major Leilocki Lockilom</i></color> is dispatched, return to the Rendo Labs in the <color='cyan'>Entropy</color> system to collect the bounty payment.;13500;6000
MISSION;53;30;398802;SCAN_STRUCTURE#sector_108_station_0.txt#sector_78.txt#Office Center#structure_office_1.txt#1#null#null#null;Scan the <color='yellow'>Office Center</color> structure in <color='cyan'>Bitcola</color> and return to Ferce in <color='cyan'>Allabentoris</color>;0;Space rats have infested the <color='yellow'>Office Center</color> structure over in <color='cyan'>Bitcola</color>. <i>Wetim Zaearved</i> has been trying to get help with the infestation, but until the structure is scanned, Alpha union members are not going to come. Head back to the Ferce station located in the <color='cyan'>Allabentoris</color> with a scan report.;48236;21438
MISSION;31;45;591762;TRANSPORT#2#1202#sector_44_station_0.txt#sector_107_station_0.txt#null#null#null#null;Head to KIN AI in <color='cyan'>Xenilo Valley</color>, pick up <color='yellow'>2</color> <color='yellow'>Advanced Ore Harvesters</color> for a light shipment to RestJag Outlet in <color='cyan'>Daefore</color>;2;The Civil faction advisor <i>Witlocki Ciesadbun</i> has placed a light shipment transport order to move <color='yellow'>2</color> <color='yellow'>Advanced Ore Harvesters</color> from the KIN AI storage in <color='cyan'>Xenilo Valley</color>, to the RestJag Outlet in <color='cyan'>Daefore</color>.;26424;11814
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(support_carrier_1).txt
SHIP;2;0.97;ship_data_(battle_cruiser_1).txt
SHIP;3;1.08;ship_data_(transport_escort_1).txt
SHIP;4;1.01;ship_data_(excavation_escort_1).txt
SHIP;5;0.98;ship_data_(transport_shuttle_1).txt
SHIP;6;0.94;ship_data_(transport_utility_1).txt
SHIP;7;1.07;ship_data_(excavation_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

