// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Tella's
STATION;type;Entertainment Hub
STATION;owner;Jidzangee Akleinortis
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;2
STATION;icon;tellas.png
STATION;filename;sector_78_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-3-0-2-1-0-2-0-5-3-2-6-90
STATION;interior_seed;3-8-45-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;36362.41
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.40;npc_ship_data_(battle_carrier_1).txt
MERC;1;1.77;npc_ship_data_(recon_carrier_1).txt
MERC;2;0.67;npc_ship_data_(transport_escort_1).txt
MERC;3;0.55;npc_ship_data_(support_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Looking to Sell (1) Items ;1500x11;137062;68335.18
ITEM;2319;4;1.20;4796664.00
ITEM;1750;5;0.86;37971.88
ITEM;1530;7;0.61;17482.42
ITEM;2299;16;0.71;239789.10
ITEM;1720;38;0.71;19982.42
ITEM;1722;38;0.65;18482.42
ITEM;1721;12;0.25;8482.42
ITEM;1620;1;1.01;32978.91
ITEM;40;76;0.65;16.63
ITEM;2345;10;0.59;99.18
ITEM;153;175;1.07;16.97
ITEM;302;17;1.14;55.98
ITEM;163;40;0.50;23.53
ITEM;2001;44;0.67;211.42
ITEM;2210;5;0.81;906491.30
ITEM;2265;4;0.56;529826.30
ITEM;2121;14;0.59;291248.50
ITEM;641;4;0.61;8566.39
ITEM;2115;90;0.72;416383.30
ITEM;2127;87;0.97;499590.90
ITEM;61;1721;0.80;225.11
ITEM;1582;10;1.05;159501.50
ITEM;1572;0;2.50;336608.60
ITEM;1;3390;1.10;8.33
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;222;0.90
SKILL;26;0.82
SKILL;65;0.63
SKILL;23;1.29
SKILL;42;0.99
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;120;45;182733;CHAT_PILOT#sector_58_station_0.txt#sector_15.txt#General Paecie Xodes#npc_ship_data_(ATC_Anubis_MK2)#3#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>General Paecie Xodes</i></color> in <color='cyan'>Jermicus</color> and return to CoraVault in <color='cyan'>Lins</color>;6;<i>Welibel Coilssaw</i> has requested that debt be collected from <color='yellow'><i>General Paecie Xodes</i></color>. After 3 payments to the Pirate faction for transport fines, <color='yellow'><i>General Paecie Xodes</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>General Paecie Xodes</i></color> was in the vicinity of the <color='cyan'>Jermicus</color> system. Have a chat with them, collect the debt, and return to the CoraVault in the <color='cyan'>Lins</color> system to deliver the payment.;6588;2500
MISSION;92;90;992235;KILL_PILOT#sector_0_station_1.txt#sector_15.txt#Lieutenant Arxo Wheased#npc_ship_data_(VVS_Mauler)#7#null#null#null;Execute <color='yellow'><i>Lieutenant Arxo Wheased</i></color> in <color='cyan'>Jermicus</color> and return to Lammassu Financial in <color='cyan'>Void Starcross</color>;6;A low level criminal has finally hit the radar of the Astrox Security Patrol. A new kill contract has been issued for <color='yellow'><i>Lieutenant Arxo Wheased</i></color> located in <color='cyan'>Jermicus</color>. <color='yellow'><i>Lieutenant Arxo Wheased</i></color> has been know to pull some sneaky tricks during combat, so be careful when engaging him. After his ship has been destroyed, head to Lammassu Financial station in the <color='cyan'>Void Starcross</color> system.;30265;11485
MISSION;40;45;199345;SCAN_PILOT#sector_56_station_1.txt#sector_58.txt#Laborer Deezae Pamokile#npc_ship_data_(ATC_Cobra_MK2)#21#null#null#null;Locate and scan <color='yellow'><i>Laborer Deezae Pamokile</i></color> in <color='cyan'>Lins</color> and return to ValueStar in <color='cyan'>Hunu</color>;8;<i>Kolpad Bordie</i> has requested a location verification on a recent employee. <color='yellow'><i>Laborer Deezae Pamokile</i></color> is supposed to be running a survey in <color='cyan'>Lins</color>. Please verify the location of this pilot by scanning their ship and return to ValueStar in <color='cyan'>Hunu</color>.;6588;2500
MISSION;62;45;921956;HARVEST#128#5#sector_59.txt#sector_5_station_0.txt#null#null#null#null;Excavate special <color='yellow'>Special Torim Ore</color> in <color='cyan'>Coralor</color> and return with <color='yellow'>128</color> to Mazu Starship in <color='cyan'>Enoch Estates</color>;7;<i>Eifer Galegoregore</i> has discovered a light deposit of <color='yellow'>Special Torim Ore</color> in <color='cyan'>Coralor</color>. He is currently unable to mine the <color='yellow'>Special Torim Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>128</color> <color='yellow'>Special Torim Ore</color>. Once complete, head over and meet <i>Eifer Galegoregore</i> at the Mazu Starship station located in the <color='cyan'>Enoch Estates</color>.;27323;10337
MISSION;101;120;677847;KILL_RECOVER#sector_14_station_0.txt#sector_20.txt#Doctor Gotal Videevel#npc_ship_data_(VVS_Wingman_Mk2)#5#2#1551#null;Hijack <color='yellow'><i>Doctor Gotal Videevel</i></color> in <color='cyan'>Cliffs of Drameria</color> for <color='yellow'>2</color> <color='yellow'>Improved Shield Boosters</color> and deliver them to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;6;Authorities in <color='cyan'>Cliffs of Drameria</color> have reported the location of a known criminal, <color='yellow'><i>Doctor Gotal Videevel</i></color>. He is carrying some stolen property belonging to members of the Pirate faction. Destroy <color='yellow'><i>Doctor Gotal Videevel</i></color>'s ship and recover the <color='yellow'>2</color> <color='yellow'>Improved Shield Boosters</color>. When finished, meet up with <i>Sergo Ciebo</i>, you can find him at Imperium Republica  in <color='cyan'>Gate of Alpharis</color>.;24286;9188
MISSION;131;45;224028;SALVAGE#59#24#sector_69.txt#sector_97_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Electronic Fragment</color> in <color='cyan'>Dorando Corridor</color> and return with <color='yellow'>59</color> to Temple of the Void in <color='cyan'>Valley of Truths</color>;6;While collecting some junk in the <color='cyan'>Dorando Corridor</color> system, <i>Galelea Sihqi</i> discovered a light haul of <color='yellow'>59</color> <color='yellow'>Special Electronic Fragment</color>. Unable to collect the material alone, <i>Galelea Sihqi</i> has requested that a capable pilot salvage the <color='yellow'>Special Electronic Fragment</color> and drop it off at the Temple of the Void station located in the <color='cyan'>Valley of Truths</color>.;26083;8861
MISSION;127;45;728119;CHAT_PILOT#sector_14_station_1.txt#sector_95.txt#Privateer Bolas Corqeqa#npc_ship_data_(recon_cruiser_1)#6#missions_transfer_pilot.txt#0#null;Transfer a legal document to <color='yellow'><i>Privateer Bolas Corqeqa</i></color> in <color='cyan'>Temple Gates</color>. Return with confirmation at Horizons in <color='cyan'>Gate of Alpharis</color>;6;<color='yellow'><i>Privateer Bolas Corqeqa</i></color> is required to provide the Pirate faction a signed legal document. <color='yellow'><i>Privateer Bolas Corqeqa</i></color> has returned this document unsigned. Last known sighting of <color='yellow'><i>Privateer Bolas Corqeqa</i></color> was in the area of <color='cyan'>Temple Gates</color>. Locate them and resolve this problem. Then return to Horizons in the <color='cyan'>Gate of Alpharis</color> system to deliver confirmation.;392469;100530
MISSION;63;45;475493;HARVEST#146#4#sector_39.txt#sector_69_station_1.txt#null#null#null#null;Extract special <color='yellow'>Special Lokken Ore</color> in <color='cyan'>Chaferea</color> and return to Oak Industries in <color='cyan'>Dorando Corridor</color> with minimum of <color='yellow'>146</color>;6;The Pirate faction has reported that a special medium load of <color='yellow'>Special Lokken Ore</color> has been scanned in the <color='cyan'>Chaferea</color> system. <i>Tafzils Heayitjel</i> is credited with the find, but His claim is currently invalid. Hurry up and harvest the <color='yellow'>Special Lokken Ore</color> and return to Oak Industries, in the <color='cyan'>Dorando Corridor</color>.;54434;18089
MISSION;143;90;993338;REFINE#38#21#sector_69_station_1.txt#sector_1_station_0.txt#null#null#null#null;Refine medium shipment of <color='yellow'>38</color> <color='yellow'>Scrap Parts</color> in <color='cyan'>Dorando Corridor</color> at the Oak Industries station refinery;6;Quantex Station has contacted our client informing them of some medium cargo that remains unclaimed by former employees, <i>Daoa Dabecktim</i> of the Pirate Faction. <color='yellow'>38</color> <color='yellow'>Scrap Parts</color> need to be refined in <color='cyan'>Dorando Corridor</color>, at the Oak Industries Station refinery.;73959;36176
MISSION;61;45;875196;HARVEST#59#1#sector_58.txt#sector_3_station_0.txt#null#null#null#null;Mine special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color> and return with <color='yellow'>59</color> to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;8;While collecting some junk in the <color='cyan'>Lins</color> system, <i>Homvi Tajco</i> discovered a light haul of <color='yellow'>59</color> <color='yellow'>Special Adamyte Ore</color>. Unable to collect the material alone, <i>Homvi Tajco</i> has requested that a capable pilot harvest the <color='yellow'>Special Adamyte Ore</color> and drop it off at the Daemon Ammunitions station located in the <color='cyan'>Starfort Ramos</color>.;17296;4923
MISSION;10;30;994928;DELIVERY#2#1553#sector_71_station_1.txt#sector_14_station_1.txt#null#null#null#null;Dock at Parisan in <color='cyan'>Goru Populan</color> to deliver a light shipment of <color='yellow'>2</color> <color='yellow'>Premium Shield Boosters</color>;6;<i>Foupei Sedkol</i> runs a Pirate shipping company at Horizons. After having some issues with a transport ship, <color='yellow'>2</color> items of <color='yellow'>Premium Shield Boosters</color> were left behind. Head on over to <color='cyan'>Goru Populan</color> and deliver these <color='yellow'>Premium Shield Boosters</color> to Parisan.;11224;4500
MISSION;80;60;190385;RECOVER#50#1#sector_56.txt#sector_14_station_1.txt#null#null#null#null;Recover a light quantity of <color='yellow'>50</color> <color='yellow'>Adamyte Ores</color> in <color='cyan'>Hunu</color>, and return to Horizons in <color='cyan'>Gate of Alpharis</color>;6;The Pirate faction has lost track of a light crate somewhere in the <color='cyan'>Hunu</color> system. Head over there and recover the crate containing <color='yellow'>50</color> units of <color='yellow'>Adamyte Ores</color>, and dock at the Horizons in the <color='cyan'>Gate of Alpharis</color> sector. <i>Ampae Zenolei</i> has been instructed to wait for the lost cargo at the Horizons station.;7538;2250
MISSION;121;45;701544;CHAT_PILOT#sector_15_station_0.txt#sector_62.txt#Accountant Tides Faedale#npc_ship_data_(ATC_Nomad)#8#missions_debt_collection.txt#0#null;Chat with <color='yellow'><i>Accountant Tides Faedale</i></color> about his debt in <color='cyan'>Jelumus</color> and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>;6;<i>Mesport Sercieves</i> has requested that debt be collected from <color='yellow'><i>Accountant Tides Faedale</i></color>. After 3 payments to the Pirate faction for transport fines, <color='yellow'><i>Accountant Tides Faedale</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Accountant Tides Faedale</i></color> was in the vicinity of the <color='cyan'>Jelumus</color> system. Have a chat with them, collect the debt, and return to the Crystalis Broadcasting in the <color='cyan'>Jermicus</color> system to deliver the payment.;17507;6125
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.91;ship_data_(excavation_utility_3).txt
SHIP;2;1.05;ship_data_(battle_frigate_1).txt
SHIP;3;1.02;ship_data_(battle_cruiser_1).txt
SHIP;4;1.02;ship_data_(titan).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>


