// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Monarch Society
STATION;type;Organization Center
STATION;owner;Lowwogo Fonak
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;4
STATION;icon;ad_image_9.png
STATION;filename;sector_22_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;6
STATION;seed;2-6-0-1-6-1-8-0-5-3-2-3-0
STATION;interior_seed;5-3-30-7
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;50591.22
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.28;npc_ship_data_(excavation_shuttle_1).txt
MERC;2;1.93;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.92;npc_ship_data_(support_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (3) Items ;106x148,117x402,116x153;36778.00;106463.00
ITEM;311;16;0.88;116.39
ITEM;729;32;0.75;11781.49
ITEM;116;0;1.24;91.31
ITEM;109;254;1.05;6.06
ITEM;406;23;1.16;1.31
ITEM;403;10;0.56;0.65
ITEM;205;328;0.80;99.42
ITEM;101;468;1.05;2.43
ITEM;168;99;0.78;21.05
ITEM;623;19;0.84;32691.44
ITEM;110;0;1.29;26.52
ITEM;603;14;0.59;23312.44
ITEM;325;11;1.17;388.00
ITEM;404;17;0.61;0.71
ITEM;200;370;1.24;94.40
ITEM;300;4;1.17;119.60
ITEM;301;5;0.84;22.05
ITEM;332;25;0.71;2058.57
ITEM;661;6;0.61;7857.15
ITEM;218;134;0.85;280.57
ITEM;108;0;1.23;21.15
ITEM;2385;37;0.86;3003.13
ITEM;660;12;0.60;4419.80
ITEM;2416;30;0.74;15437.26
ITEM;112;0;1.19;50.78
ITEM;643;5;0.69;27064.04
ITEM;322;17;0.75;516.76
ITEM;151;159;0.94;11.75
ITEM;343;0;1.18;9404.09
ITEM;341;0;1.16;7875.13
ITEM;324;1;0.69;1801.34
ITEM;1170;2;1.01;2499.36
ITEM;1052;16;0.93;2115.08
ITEM;1160;26;0.94;2137.08
ITEM;2112;11;0.59;7456.80
ITEM;1050;31;0.93;1922.80
ITEM;1054;21;0.78;1947.36
ITEM;2130;63;1.22;15016.80
ITEM;123;0;1.27;161.68
ITEM;313;5;0.51;159.19
ITEM;2;304;0.68;8.22
ITEM;405;16;1.09;1.23
ITEM;602;9;1.14;25112.47
ITEM;743;15;0.72;123828.20
ITEM;748;31;0.79;136344.20
ITEM;731;38;0.65;112844.60
ITEM;753;27;0.70;120312.60
ITEM;759;44;0.77;132512.40
ITEM;102;349;1.05;4.20
ITEM;331;27;0.84;187.49
ITEM;741;33;0.72;34005.94
ITEM;746;41;0.69;32446.64
ITEM;1751;15;0.87;72112.00
ITEM;1581;13;0.78;45438.40
ITEM;621;8;0.65;8347.15
ITEM;1013;34;1.14;31569.23
ITEM;1014;12;1.19;29924.30
ITEM;730;31;0.80;37314.11
ITEM;2126;123;0.75;105293.60
ITEM;751;37;0.65;30674.28
ITEM;2120;36;0.97;122671.50
ITEM;757;10;0.59;27925.13
ITEM;2269;23;1.11;520478.40
ITEM;1561;5;1.05;58395.60
ITEM;1064;25;1.21;36497.16
ITEM;305;8;1.00;240.52
ITEM;105;413;1.05;10.46
ITEM;20;266;1.11;23.97
ITEM;304;25;0.58;461.36
ITEM;742;23;1.05;108140.00
ITEM;747;28;0.66;68757.73
ITEM;733;28;0.76;79529.45
ITEM;211;332;0.64;109.67
ITEM;752;34;0.83;86380.53
ITEM;758;30;0.83;86156.55
ITEM;209;63;0.83;116.29
ITEM;701;75;0.59;5592.60
ITEM;700;76;0.93;8652.60
ITEM;690;50;0.92;6659.80
ITEM;158;55;1.11;26.91
ITEM;4;324;1.13;36.51
ITEM;2347;8;0.77;141.85
ITEM;104;576;1.05;5.04
ITEM;203;356;0.81;83.16
ITEM;320;11;0.93;1365.07
ITEM;680;16;0.73;20557.80
ITEM;740;38;0.79;12288.13
ITEM;745;58;1.03;15921.00
ITEM;674;44;0.53;10105.20
ITEM;732;59;0.50;7971.00
ITEM;750;39;0.84;13071.00
ITEM;756;39;1.05;16221.00
ITEM;214;241;1.03;230.77
ITEM;157;327;0.71;15.90
ITEM;23;94;1.07;113.63
ITEM;161;250;0.65;22.49
ITEM;2439;23;0.79;61535.18
ITEM;728;39;0.79;12250.92
ITEM;210;286;1.24;188.80
ITEM;212;42;1.16;214.08
ITEM;321;36;0.95;2508.85
ITEM;121;0;1.35;68.92
ITEM;106;110;1.05;12.56
ITEM;601;12;0.94;11899.65
ITEM;150;137;0.83;9.48
ITEM;303;39;0.89;842.05
ITEM;342;0;1.27;6502.62
ITEM;107;4;1.05;15.07
ITEM;407;24;0.67;3.86
ITEM;103;545;1.05;2.92
ITEM;330;36;0.69;1095.88
ITEM;165;37;1.15;62.79
ITEM;118;533;1.05;7.26
ITEM;170;332;1.05;72.99
ITEM;1623;35;1.14;281136.00
ITEM;1533;10;1.09;224280.00
ITEM;2286;3;0.93;2307360.00
ITEM;1583;27;0.81;188473.60
ITEM;2291;22;0.99;2451360.00
ITEM;1543;20;0.72;138257.60
ITEM;2122;168;0.88;1367670.00
ITEM;1563;3;1.11;246542.40
ITEM;1593;9;0.81;134624.00
ITEM;120;0;1.28;196.11
ITEM;600;8;1.06;7639.80
ITEM;2312;19;0.85;11986040.00
ITEM;2282;38;0.79;3942720.00
ITEM;62;154;0.85;501.98
ITEM;2123;130;0.84;4576757.00
ITEM;2272;24;1.03;3871987.00
ITEM;3;331;0.98;19.28
ITEM;726;41;0.75;11663.15
ITEM;164;136;0.87;14.52
ITEM;114;263;1.05;3.50
ITEM;21;233;1.07;39.32
ITEM;113;309;1.15;9.53
ITEM;119;0;1.26;133.28
ITEM;721;30;0.83;5188.12
ITEM;722;15;0.84;5222.37
ITEM;2460;23;0.56;23656.00
ITEM;693;56;0.68;3557.00
ITEM;720;28;0.84;5213.43
ITEM;217;136;0.74;223.23
ITEM;215;132;0.91;225.15
ITEM;723;6;1.22;7508.40
ITEM;755;28;0.92;5708.40
ITEM;725;37;0.88;13671.00
ITEM;323;7;1.22;2241.01
ITEM;117;0;1.31;80.30
ITEM;642;19;0.51;11606.53
ITEM;340;0;1.31;2484.99
ITEM;640;8;1.19;8549.80
ITEM;202;110;0.91;84.58
ITEM;744;42;0.78;203033.20
ITEM;749;28;0.69;180142.20
ITEM;734;43;0.73;189643.70
ITEM;754;18;0.65;170350.00
ITEM;760;62;1.20;307850.00
ITEM;124;0;1.27;112.57
ITEM;1300;7;0.77;11219.60
ITEM;333;34;0.74;5808.97
ITEM;22;347;1.24;77.16
ITEM;122;0;1.16;212.69
ITEM;663;3;1.15;44321.40
ITEM;662;8;0.72;16108.51
ITEM;100;311;1.07;2.07
ITEM;408;13;0.70;8.85
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;11;1.60
SKILL;44;0.97
SKILL;64;1.40
SKILL;11;1.85
SKILL;44;1.62
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;104;120;922805;KILL_RECOVER#sector_63_station_0.txt#sector_3.txt#Professor Erofei Dabem#npc_ship_data_(excavation_frigate_2)#15#1#1612#null;Frag <color='yellow'><i>Professor Erofei Dabem</i></color> in <color='cyan'>Starfort Ramos</color> and take back <color='yellow'>1</color> <color='yellow'>Advanced Targeting System</color>. Return to Lammassu Hub in <color='cyan'>Numbu</color>;0;Mr. <i>Akpast Vedils</i> has finally been arrested in the <color='cyan'>Starfort Ramos</color> system by Alpha authorities. His accomplice, Mr. <color='yellow'><i>Professor Erofei Dabem</i></color> is still at large. Destroy his ship and return the <color='yellow'>1</color> <color='yellow'>Advanced Targeting System</color> to the Lammassu Hub station in the <color='cyan'>Numbu</color> sector.;160191;49239
MISSION;13;30;926769;DELIVERY#166#162#sector_35_station_0.txt#sector_86_station_0.txt#null#null#null#null;Take medium shipment of <color='yellow'>166</color> <color='yellow'>Thermal Insulations</color> and deliver to <color='cyan'>Felishar</color> and dock at Astrox Security Patrol Station;2;Stinkfinger Station has contacted our client informing them of some medium cargo that remains unclaimed by a former employee, <i>Paeno Goreils</i> of the Civil Faction. <color='yellow'>166</color> <color='yellow'>Thermal Insulations</color> need to be delivered to <color='cyan'>Felishar</color>, Astrox Security Patrol Station.;50915;24118
MISSION;131;45;326826;SALVAGE#75#24#sector_59.txt#sector_56_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Electronic Fragment</color> in <color='cyan'>Coralor</color> and return with <color='yellow'>75</color> to Transporteers in <color='cyan'>Hunu</color>;0;While collecting some junk in the <color='cyan'>Coralor</color> system, <i>Bedee Diearlow</i> discovered a light haul of <color='yellow'>75</color> <color='yellow'>Special Electronic Fragment</color>. Unable to collect the material alone, <i>Bedee Diearlow</i> has requested that a capable pilot salvage the <color='yellow'>Special Electronic Fragment</color> and drop it off at the Transporteers station located in the <color='cyan'>Hunu</color>.;17721;7876
MISSION;127;45;671846;CHAT_PILOT#sector_99_station_0.txt#sector_16.txt#Private Qixen Dosih#npc_ship_data_(pirate_cruiser_1)#11#missions_transfer_pilot.txt#0#null;Transfer a legal document to <color='yellow'><i>Private Qixen Dosih</i></color> in <color='cyan'>Entropy</color>. Return with confirmation at Ferce Hub in <color='cyan'>Semja</color>;0;<color='yellow'><i>Private Qixen Dosih</i></color> is required to provide the Alpha faction a signed legal document. <color='yellow'><i>Private Qixen Dosih</i></color> has returned this document unsigned. Last known sighting of <color='yellow'><i>Private Qixen Dosih</i></color> was in the area of <color='cyan'>Entropy</color>. Locate them and resolve this problem. Then return to Ferce Hub in the <color='cyan'>Semja</color> system to deliver confirmation.;376988;125663
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.96;ship_data_(support_carrier_1).txt
SHIP;2;0.99;ship_data_(recon_cruiser_1).txt
SHIP;3;0.94;ship_data_(recon_shuttle_1).txt
SHIP;4;1.07;ship_data_(pirate_carrier_1).txt
SHIP;5;0.99;ship_data_(battle_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

