// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Stinkfinger
STATION;type;Headquarters
STATION;owner;Restimeslom Lelaseno
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;6
STATION;icon;stinkfinger.png
STATION;filename;sector_86_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-0-4-2-3-4-0-3-7-2-6-1-5-0-0-2-1-2-5-1-0-0
STATION;interior_seed;5-8-45-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;42755.76
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.84;npc_ship_data_(transport_utility_1).txt
MERC;2;1.46;npc_ship_data_(battle_utility_1).txt
MERC;7;1.73;npc_ship_data_(pirate_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (2) Items ;408x316,407x248;8821.00;55615.84
ITEM;603;16;0.96;39356.39
ITEM;325;22;0.82;293.59
ITEM;404;56;0.83;1.01
ITEM;200;539;1.25;99.42
ITEM;300;57;0.92;100.45
ITEM;2325;34;0.67;4645889.00
ITEM;301;49;1.10;30.08
ITEM;332;14;0.90;2754.18
ITEM;661;25;0.72;9910.94
ITEM;2381;16;0.52;1938.63
ITEM;108;490;0.86;12.69
ITEM;660;6;0.76;5943.39
ITEM;112;821;1.24;44.23
ITEM;643;21;0.89;36730.27
ITEM;24;493;0.60;120.85
ITEM;2005;164;0.55;260.52
ITEM;322;14;0.79;581.34
ITEM;151;201;0.86;11.48
ITEM;204;278;0.58;72.73
ITEM;2367;30;0.51;651.17
ITEM;343;27;0.71;4969.48
ITEM;341;11;1.05;6006.70
ITEM;324;11;1.18;3168.83
ITEM;735;41;0.70;5917922.00
ITEM;2142;53;0.65;8129.62
ITEM;1052;31;0.76;1867.92
ITEM;2124;173;0.64;8019.62
ITEM;1003;40;1.01;2637.74
ITEM;2112;296;0.98;12828.67
ITEM;2118;129;0.72;8090.56
ITEM;2130;20;0.52;7308.68
ITEM;2006;74;0.96;470.43
ITEM;313;54;1.24;390.78
ITEM;2;366;0.73;9.46
ITEM;604;22;1.08;76750.88
ITEM;405;35;0.63;0.79
ITEM;602;13;0.86;20345.87
ITEM;2007;59;0.85;463.21
ITEM;2389;39;0.80;4385.71
ITEM;681;49;1.19;103603.60
ITEM;673;119;0.78;62572.05
ITEM;753;81;1.13;201144.30
ITEM;759;92;1.05;187944.30
ITEM;671;58;0.54;39630.55
ITEM;102;24;0.61;2.17
ITEM;331;16;0.86;204.62
ITEM;2224;51;0.95;623433.80
ITEM;741;110;0.81;40457.53
ITEM;621;10;0.99;13218.44
ITEM;1112;17;0.73;22073.57
ITEM;730;87;0.99;48557.53
ITEM;2126;59;1.21;175047.80
ITEM;1205;1;0.59;33273.75
ITEM;1015;23;0.94;30254.25
ITEM;2114;211;1.11;176261.30
ITEM;757;73;0.91;44957.53
ITEM;1616;8;0.91;37964.14
ITEM;1501;31;1.20;54140.36
ITEM;305;27;1.11;279.62
ITEM;105;605;0.96;8.12
ITEM;2009;496;1.06;685.83
ITEM;2010;116;0.73;373.19
ITEM;20;495;0.59;14.26
ITEM;219;119;0.68;194.67
ITEM;304;51;1.21;980.27
ITEM;747;78;0.96;104905.60
ITEM;2013;405;0.55;387.55
ITEM;733;20;1.19;127905.60
ITEM;211;295;1.01;179.53
ITEM;2014;140;1.21;866.57
ITEM;758;63;0.65;73905.63
ITEM;712;83;0.54;45292.05
ITEM;690;83;1.19;8953.40
ITEM;2182;52;0.58;83632.03
ITEM;4;388;0.83;28.90
ITEM;104;566;0.62;2.64
ITEM;166;548;0.70;46.13
ITEM;203;49;0.76;83.91
ITEM;320;46;1.11;1702.52
ITEM;672;23;1.24;31897.35
ITEM;740;22;0.58;10035.84
ITEM;745;54;0.62;10635.84
ITEM;676;99;1.13;18285.84
ITEM;750;50;0.51;8985.84
ITEM;756;87;0.91;14985.84
ITEM;678;118;0.57;17794.52
ITEM;1461;55;1.19;271799.50
ITEM;711;27;0.95;24937.35
ITEM;214;63;0.97;230.26
ITEM;23;455;0.69;80.38
ITEM;2353;49;1.22;431.99
ITEM;728;50;0.78;13035.84
ITEM;210;427;0.54;93.41
ITEM;2397;37;0.83;6744.04
ITEM;25;341;1.20;384.36
ITEM;212;47;0.79;157.96
ITEM;2375;14;0.91;1795.30
ITEM;321;37;0.90;2528.42
ITEM;106;656;0.74;7.70
ITEM;601;8;1.16;15300.94
ITEM;150;194;0.94;11.32
ITEM;303;9;0.83;839.91
ITEM;342;27;0.62;2826.58
ITEM;107;529;0.53;6.90
ITEM;644;25;0.86;62307.44
ITEM;2369;1;0.83;1208.56
ITEM;407;16;1.05;7.83
ITEM;103;402;0.71;1.73
ITEM;330;33;0.54;958.37
ITEM;6;122;0.87;82.10
ITEM;165;50;1.10;63.20
ITEM;118;121;1.13;6.55
ITEM;2362;35;0.59;458.36
ITEM;1523;59;0.65;118249.00
ITEM;2221;55;0.92;1937388.00
ITEM;1623;55;0.98;256573.50
ITEM;2276;29;1.14;3539682.00
ITEM;1533;21;0.54;125811.30
ITEM;1025;12;1.21;428867.80
ITEM;1114;56;0.53;204374.00
ITEM;1174;59;0.65;266171.10
ITEM;2128;94;0.71;1318993.00
ITEM;2122;258;0.57;988996.30
ITEM;1553;4;1.06;229811.20
ITEM;1563;28;0.86;204996.20
ITEM;2134;3;0.51;1078751.00
ITEM;600;10;0.58;4683.39
ITEM;42;25;0.81;102.41
ITEM;2332;19;1.19;255811.30
ITEM;52;92;0.57;125.12
ITEM;1534;19;0.76;339622.50
ITEM;1772;55;0.64;736876.10
ITEM;1584;51;0.90;443097.20
ITEM;1514;29;1.10;418547.80
ITEM;2111;244;1.06;6638564.00
ITEM;1115;33;0.79;1015733.00
ITEM;2282;19;0.57;3163470.00
ITEM;1004;20;0.82;954907.30
ITEM;62;336;0.81;514.81
ITEM;2129;198;1.20;7447402.00
ITEM;1210;26;0.80;1867796.00
ITEM;2117;194;1.13;7683255.00
ITEM;1051;13;0.83;965411.60
ITEM;2123;295;1.15;6507757.00
ITEM;1405;15;0.70;1657709.00
ITEM;1614;57;0.61;190143.30
ITEM;77;37;0.66;711.02
ITEM;1075;17;0.82;1145888.00
ITEM;3;11;1.06;21.90
ITEM;726;61;0.70;11835.84
ITEM;207;165;1.09;170.60
ITEM;164;86;0.55;10.30
ITEM;154;446;0.70;34.66
ITEM;114;364;1.11;3.11
ITEM;21;126;0.84;33.17
ITEM;113;11;0.65;4.77
ITEM;722;14;0.87;5754.34
ITEM;2016;145;1.18;1024.34
ITEM;2379;26;1.00;2865.31
ITEM;693;34;1.03;5595.28
ITEM;703;4;1.02;7763.39
ITEM;720;69;0.56;3894.34
ITEM;217;85;0.78;251.49
ITEM;215;415;0.52;145.66
ITEM;723;100;0.97;6354.34
ITEM;755;39;1.06;6894.34
ITEM;159;254;0.98;51.66
ITEM;710;26;0.64;5832.45
ITEM;2442;6;0.61;44342.54
ITEM;323;39;1.19;2290.53
ITEM;1450;46;0.56;6815.09
ITEM;156;190;0.54;12.26
ITEM;625;2;0.69;89507.33
ITEM;642;24;1.08;25062.23
ITEM;340;56;0.65;1092.62
ITEM;640;17;0.64;5103.39
ITEM;645;16;0.62;81464.89
ITEM;2354;30;0.89;355.40
ITEM;202;262;0.80;79.87
ITEM;744;69;0.83;229764.10
ITEM;749;91;0.65;184764.10
ITEM;734;26;0.76;212264.10
ITEM;760;41;1.24;332264.10
ITEM;2019;480;1.15;1331.17
ITEM;5;540;0.57;34.19
ITEM;333;22;1.06;8673.94
ITEM;22;524;0.61;42.43
ITEM;624;5;1.23;86598.68
ITEM;663;10;0.68;28851.91
ITEM;662;26;0.65;15843.89
ITEM;100;64;0.89;1.47
ITEM;408;49;1.05;17.23
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;74;1.58
SKILL;2;1.13
SKILL;233;0.85
SKILL;72;0.63
SKILL;16;1.63
SKILL;71;0.50
SKILL;33;1.29
SKILL;230;1.26
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;44;45;389022;SCAN_PILOT#sector_82_station_0.txt#sector_0.txt#Watchman Qime Nineate#npc_ship_data_(excavation_frigate_3)#17#null#null#null;Scan <color='yellow'><i>Watchman Qime Nineate</i></color> recently spotted in <color='cyan'>Void Starcross</color> and return to Kith in <color='cyan'>Kidd Overture</color>;6;In <color='cyan'>Void Starcross</color>, a pilot named <color='yellow'><i>Watchman Qime Nineate</i></color> is suspected to be operating under a false identity. He is believed to be the wanted criminal <i>Tiwho Mescoubun</i> by the Pirate faction. Before ASP can take action, they have requested we transfer a hard copy of a recent scan. Return to Kith in <color='cyan'>Kidd Overture</color> with an up to date scan record.;84411;37516
MISSION;134;45;791001;SALVAGE#178#20#sector_77.txt#sector_56_station_1.txt#null#null#null#null;In <color='cyan'>Ballast Crow</color>, Salvage <color='yellow'>Special Junk Part</color> and return to ValueStar in <color='cyan'>Hunu</color> with at least <color='yellow'>178</color>;7;A local company in <color='cyan'>Ballast Crow</color> has requested a medium salvage of <color='yellow'>178</color> <color='yellow'>Special Junk Part</color>. This is a rare find, and the client has requested someone bring the parts back to ValueStar station located in the <color='cyan'>Hunu</color>. A Outlaw faction representative will be waiting to take the salvage from you.;89688;36930
MISSION;133;45;733855;SALVAGE#113#29#sector_86.txt#sector_0_station_2.txt#null#null#null#null;Dismantle <color='yellow'>Special Hull Chassis</color> in <color='cyan'>Jonisae</color> and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color> with minimum of <color='yellow'>113</color>;6;The Pirate faction has reported that a special medium load of <color='yellow'>Special Hull Chassis</color> has been scanned in the <color='cyan'>Jonisae</color> system. <i>Whesed Famel</i> is credited with the find, but His claim is currently invalid. Hurry up and salvage the <color='yellow'>Special Hull Chassis</color> and return to StarGypsy Warehouse, in the <color='cyan'>Void Starcross</color>.;33162;3015
MISSION;40;45;388401;SCAN_PILOT#sector_69_station_1.txt#sector_15.txt#Private Whizan Bastgayan#npc_ship_data_(ATC_Raider_MK2)#5#null#null#null;Locate and scan <color='yellow'><i>Private Whizan Bastgayan</i></color> in <color='cyan'>Jermicus</color> and return to Oak Industries in <color='cyan'>Dorando Corridor</color>;8;<i>Leihom Lakomjoh</i> has requested a location verification on a recent employee. <color='yellow'><i>Private Whizan Bastgayan</i></color> is supposed to be running a survey in <color='cyan'>Jermicus</color>. Please verify the location of this pilot by scanning their ship and return to Oak Industries in <color='cyan'>Dorando Corridor</color>.;12200;5000
MISSION;126;45;414112;CHAT_PILOT#sector_0_station_2.txt#sector_70.txt#Major Sipnortis Nigale#npc_ship_data_(kj_shuttle_1)#11#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Major Sipnortis Nigale</i></color> in <color='cyan'>Beaondus</color> and return with signature to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;7;<i>Kinjan Molekoman</i> has a bonus payment for <color='yellow'><i>Major Sipnortis Nigale</i></color>. The Outlaw faction has recognized <color='yellow'><i>Major Sipnortis Nigale</i></color> and has award a bonus payment. <color='yellow'><i>Major Sipnortis Nigale</i></color> was last working in the <color='cyan'>Beaondus</color> system. Find them, deliver this envelope, and return to the StarGypsy Warehouse in the <color='cyan'>Void Starcross</color> system with a signature.;359038;215423
MISSION;113;60;783052;KILL_RAIDERS#sector_101_station_0.txt#sector_62.txt#1#30#npc_ship_data_(transport_utility_2)#random#random#random;Exterminate <color='yellow'>1 Raider</color> Skilled Raider(s) in <color='cyan'>Jelumus</color> and dock at Vo Industries in <color='cyan'>Brimstone</color>;7;Reports of a small skilled gang in the <color='cyan'>Jelumus</color> system have locals concerned, and Outlaw faction members are worried about the increase in criminal activity around their local production facilities. Eliminate <color='yellow'>1 Raider</color> raiders in total, and return to Vo Industries station in <color='cyan'>Brimstone</color> when complete.;98892;44214
MISSION;61;45;247942;HARVEST#51#3#sector_38.txt#sector_4_station_0.txt#null#null#null#null;Mine special <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Equalias Val</color> and return with <color='yellow'>51</color> to The Dunes in <color='cyan'>The Dunes of Caliph</color>;6;While collecting some junk in the <color='cyan'>Equalias Val</color> system, <i>Mosvak Duejan</i> discovered a light haul of <color='yellow'>51</color> <color='yellow'>Special Quazor Ore</color>. Unable to collect the material alone, <i>Mosvak Duejan</i> has requested that a capable pilot harvest the <color='yellow'>Special Quazor Ore</color> and drop it off at the The Dunes station located in the <color='cyan'>The Dunes of Caliph</color>.;24022;9845
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.02;ship_data_(excavation_utility_1).txt
SHIP;2;0.97;ship_data_(transport_utility_1).txt
SHIP;3;1.00;ship_data_(battle_cruiser_1).txt
SHIP;4;0.94;ship_data_(support_utility_1).txt
SHIP;5;1.02;ship_data_(battle_cruiser_1).txt
SHIP;6;1.07;ship_data_(recon_battlecruiser_1).txt
SHIP;7;1.03;ship_data_(recon_frigate_3).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

