// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;OmniTrust
STATION;type;Banking Facility
STATION;owner;Qevedles Zanlocki
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;2
STATION;icon;omnitrust.png
STATION;filename;sector_57_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-6-1-7-0-2-8-1-5-2-3-6-1-6-3-1-5-0-2-6-2-4-90
STATION;interior_seed;3-0-30-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;14193.04
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;1.59;npc_ship_data_(pirate_utility_1).txt
MERC;2;1.34;npc_ship_data_(pirate_cruiser_1).txt
MERC;5;1.66;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.05;npc_ship_data_(support_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Looking to Sell (1) Items ;100x17;33.00;72457.76
ITEM;408;5;1.16;14.77
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;2;0.76
SKILL;27;0.77
SKILL;47;1.41
SKILL;7;1.76
SKILL;60;1.84
SKILL;42;0.65
SKILL;41;0.66
SKILL;13;1.89
SKILL;226;1.22
SKILL;25;0.71
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;12;30;805315;DELIVERY#91#2033#sector_4_station_0.txt#sector_14_station_0.txt#null#null#null#null;Light delivery of <color='yellow'>Cooling Units</color> to The Dunes Station in <color='cyan'>The Dunes of Caliph</color>;3;<i>Foujag Fovi</i> from Imperium Republica  Station has commissioned a delivery . He has required a small transport delivery of <color='yellow'>91</color> <color='yellow'>Cooling Units</color>. Set your GPS autopilot to <color='cyan'>The Dunes of Caliph</color> and deliver these <color='yellow'>Cooling Units</color> to The Dunes immediately.;19906;9188
MISSION;52;30;570965;SCAN_STRUCTURE#sector_17_station_0.txt#sector_1.txt#Corporate Dock#structure_dock_1.txt#1#null#null#null;Track and scan the target <color='yellow'>Corporate Dock</color> structure in <color='cyan'>Dellis Primeria</color> and return to Holosynth Industries in <color='cyan'>Rats Of Mortalis</color>;4;The Financial faction has commissioned scientific survey of a strange vibration taking place at <color='yellow'>Corporate Dock</color> in the <color='cyan'>Dellis Primeria</color> sector. Head over to <color='cyan'>Dellis Primeria</color> and scan the <color='yellow'>Corporate Dock</color> structure. Once complete, return to the Holosynth Industries station located in the <color='cyan'>Rats Of Mortalis</color> with the scan data.;22418;7656
MISSION;112;60;767356;KILL_RAIDERS#sector_1_station_0.txt#sector_40.txt#1#20#npc_ship_data_(battle_escort_2)#random#random#random;Destroy <color='yellow'>1 Raider</color> level 20 Raider(s) in <color='cyan'>Dogstar Prime</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>;3;A large Raider gang has been seen lurking around in <color='cyan'>Dogstar Prime</color>. Their leader, <i>Raeno Erowo</i>, is a wanted criminal and the Trade faction has requested a bounty on <i>Raeno Erowo</i> and his crew. Travel to the <color='cyan'>Dogstar Prime</color> and clear out the <color='yellow'>1 Raider</color>, level 20 Raiders that have been lurking around. Dock at the Quantex station in <color='cyan'>Dellis Primeria</color> when complete.;25266;10528
MISSION;111;60;329665;KILL_RAIDERS#sector_95_station_0.txt#sector_78.txt#1#20#npc_ship_data_(VVS_Journey)#random#random#random;Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Bitcola</color>. Return to Star Shepards Hub in <color='cyan'>Temple Gates</color>;3;A medium group of thugs decided to set up camp in the <color='cyan'>Bitcola</color> system. <i>Lagore Rastsip</i>, who has recently been elected as Overseer of <color='cyan'>Bitcola</color> by the Trades, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 20 raiders and return to the Star Shepards Hub station.;17616;6016
MISSION;41;45;988872;SCAN_PILOT#sector_58_station_0.txt#sector_47.txt#Watchman Ilsas Xafie#npc_ship_data_(pirate_cruiser_1)#16#null#null#null;Find <color='yellow'><i>Watchman Ilsas Xafie</i></color> in <color='cyan'>Adrenal</color>, scan their ship, and return to CoraVault in <color='cyan'>Lins</color>;3;<color='yellow'><i>Watchman Ilsas Xafie</i></color> has recently been paroled for a capital crime, and their parole officer has received information about a possible raid in <color='cyan'>Adrenal</color>. Head to <color='cyan'>Adrenal</color> and perform a scan of <color='yellow'><i>Watchman Ilsas Xafie</i></color>'s ship and return to CoraVault in <color='cyan'>Lins</color> with the scan data for review.;12250;6125
MISSION;31;45;753298;TRANSPORT#7#1731#sector_47_station_0.txt#sector_5_station_0.txt#null#null#null#null;Head to Gunstellar in <color='cyan'>Adrenal</color>, pick up <color='yellow'>7</color> <color='yellow'>Basic Missile Energy Mods</color> for a light shipment to Mazu Starship in <color='cyan'>Enoch Estates</color>;3;The Trade faction advisor <i>Roile Portbue</i> has placed a light shipment transport order to move <color='yellow'>7</color> <color='yellow'>Basic Missile Energy Mods</color> from the Gunstellar storage in <color='cyan'>Adrenal</color>, to the Mazu Starship in <color='cyan'>Enoch Estates</color>.;19217;8861
MISSION;140;90;572869;REFINE#4#24#sector_56_station_1.txt#sector_14_station_0.txt#null#null#null#null;Dock at the ValueStar station refinery in <color='cyan'>Hunu</color> and process a light shipment of <color='yellow'>4</color> <color='yellow'>Electronic Fragments</color>;3;<i>Whihas Rimesvis</i> runs a Trade shipping company at Imperium Republica . After having some issues with a transport ship, <color='yellow'>4</color> items of <color='yellow'>Electronic Fragments</color> were left behind. Head on over to <color='cyan'>Hunu</color> and refine these <color='yellow'>Electronic Fragments</color> at the ValueStar refinery.;7500;2250
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.93;ship_data_(excavation_carrier_1).txt
SHIP;2;1.09;ship_data_(transport_utility_1).txt
SHIP;3;1.01;ship_data_(pirate_escort_1).txt
SHIP;4;0.93;ship_data_(recon_escort_1).txt
SHIP;5;0.96;ship_data_(transport_utility_1).txt
SHIP;6;0.99;ship_data_(pirate_shuttle_1).txt
SHIP;7;1.09;ship_data_(constellation_destroyer_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>


