// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Astrox Security Patrol
STATION;type;Training Post
STATION;owner;Bidres Oisedar
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;8
STATION;icon;asp.png
STATION;filename;sector_50_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-6-0-4-8-0-3-1-4-5-2-5-0
STATION;interior_seed;5-7-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;46534.18
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;0.97;npc_ship_data_(recon_frigate_1).txt
MERC;5;1.42;npc_ship_data_(battle_shuttle_1).txt
MERC;4;0.86;npc_ship_data_(pirate_utility_1).txt
MERC;8;1.38;npc_ship_data_(transport_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Production: (1) Items ;50x381;14874;105504.20
ITEM;2007;545;1.19;635.15
ITEM;743;78;0.77;143158.10
ITEM;675;58;0.61;38211.75
ITEM;731;44;0.74;138208.10
ITEM;1462;0;1.23;2996280.00
ITEM;102;58;1.12;3.79
ITEM;627;34;0.89;347501.80
ITEM;646;1;1.17;254868.70
ITEM;746;138;0.75;38143.13
ITEM;2462;43;0.61;113220.00
ITEM;2284;6;0.71;484575.00
ITEM;1581;2;0.65;41867.00
ITEM;621;22;1.22;16140.91
ITEM;1013;41;1.04;30658.99
ITEM;2144;58;0.69;106132.50
ITEM;1172;58;1.17;37268.17
ITEM;1014;54;0.83;22726.81
ITEM;2102;12;0.99;133234.10
ITEM;1541;34;1.09;54630.75
ITEM;1102;67;0.98;26401.81
ITEM;2114;19;1.06;170170.90
ITEM;751;24;1.22;59293.13
ITEM;2269;13;0.98;491397.00
ITEM;1611;27;0.52;20999.25
ITEM;1064;39;1.00;32270.18
ITEM;105;1089;0.69;6.10
ITEM;2010;24;0.65;340.64
ITEM;2011;385;0.54;319.57
ITEM;20;192;0.66;15.91
ITEM;304;57;1.08;888.64
ITEM;747;115;0.59;68762.50
ITEM;677;77;1.02;50293.13
ITEM;211;701;1.12;198.90
ITEM;2014;781;0.96;705.52
ITEM;752;121;0.79;88762.50
ITEM;712;27;0.55;46629.00
ITEM;209;360;1.22;177.88
ITEM;691;108;1.09;9501.00
ITEM;700;64;0.82;8258.63
ITEM;1460;0;1.26;42491.84
ITEM;158;168;0.52;14.56
ITEM;4;525;1.02;35.14
ITEM;104;32;1.00;4.09
ITEM;350;63;1.17;8266.35
ITEM;320;42;1.01;1572.70
ITEM;352;6;0.72;7348.99
ITEM;672;93;1.25;32343.00
ITEM;740;116;0.74;12564.38
ITEM;745;44;0.54;9564.38
ITEM;732;1;0.63;10914.38
ITEM;756;158;1.22;19764.38
ITEM;670;69;0.75;17800.13
ITEM;1461;0;1.16;335114.10
ITEM;711;88;1.17;30423.00
ITEM;23;45;0.51;62.69
ITEM;160;476;0.86;28.73
ITEM;161;740;0.53;20.71
ITEM;2015;398;0.87;710.03
ITEM;25;525;1.09;354.11
ITEM;212;191;1.17;227.78
ITEM;321;13;1.08;3010.48
ITEM;121;367;1.16;50.22
ITEM;106;380;1.06;10.75
ITEM;601;26;0.71;9893.41
ITEM;150;156;1.04;12.51
ITEM;303;41;0.65;683.24
ITEM;342;73;0.83;3697.88
ITEM;107;960;0.85;10.57
ITEM;644;23;0.83;60900.44
ITEM;407;57;1.18;8.78
ITEM;103;561;0.85;2.05
ITEM;607;13;0.83;326390.40
ITEM;6;533;0.92;87.12
ITEM;165;17;0.56;34.95
ITEM;118;913;1.01;5.95
ITEM;1533;30;0.89;197525.00
ITEM;1573;78;1.03;234546.00
ITEM;2128;96;0.87;1597247.00
ITEM;2116;88;1.23;2390721.00
ITEM;1070;13;1.06;347432.20
ITEM;600;22;0.77;6073.38
ITEM;42;15;0.99;123.89
ITEM;52;333;0.65;141.93
ITEM;1514;44;0.86;337084.00
ITEM;1005;1;0.99;1256730.00
ITEM;2111;303;1.08;6803618.00
ITEM;1634;74;1.13;491050.00
ITEM;62;25;0.52;351.76
ITEM;2338;5;1.08;353287.50
ITEM;2129;51;0.71;4665978.00
ITEM;2117;2;1.21;8241471.00
ITEM;2181;73;0.66;7958378.00
ITEM;1504;70;0.65;251202.00
ITEM;2212;36;0.88;3941784.00
ITEM;77;25;0.67;728.00
ITEM;1075;7;1.12;1534847.00
ITEM;1594;47;0.84;300040.00
ITEM;3;145;0.64;14.06
ITEM;726;44;1.07;17514.38
ITEM;164;649;1.13;19.78
ITEM;114;290;0.59;1.78
ITEM;21;452;1.11;43.11
ITEM;113;52;1.02;7.21
ITEM;722;91;1.10;7185.75
ITEM;693;23;0.83;4638.13
ITEM;703;75;0.74;5863.38
ITEM;720;73;0.79;5325.75
ITEM;2380;14;0.53;1816.35
ITEM;723;46;0.94;6225.75
ITEM;755;145;0.56;3945.75
ITEM;159;510;1.09;57.39
ITEM;626;37;0.76;172434.10
ITEM;323;17;1.21;2341.70
ITEM;1450;55;0.51;6380.06
ITEM;117;1181;0.63;34.87
ITEM;152;314;1.09;15.81
ITEM;2344;51;1.07;155.29
ITEM;156;10;1.07;22.76
ITEM;625;21;1.20;149086.70
ITEM;642;7;0.56;14098.17
ITEM;340;11;1.09;1755.79
ITEM;640;38;1.08;8243.38
ITEM;645;32;0.76;98534.25
ITEM;647;11;0.95;368613.20
ITEM;744;69;0.64;184406.30
ITEM;754;56;0.66;189406.30
ITEM;760;30;0.50;149406.30
ITEM;124;1107;0.61;48.83
ITEM;2402;34;0.62;5721.62
ITEM;5;423;0.67;39.82
ITEM;333;35;1.17;9568.98
ITEM;22;320;1.23;80.57
ITEM;624;11;1.00;72061.27
ITEM;663;21;1.21;49056.86
ITEM;662;16;0.83;19886.42
ITEM;100;1131;1.14;1.86
ITEM;26;778;0.93;520.89
ITEM;408;45;1.05;17.36
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;60;0.86
SKILL;230;0.85
SKILL;41;1.15
SKILL;11;0.62
SKILL;223;1.75
SKILL;25;1.74
SKILL;2;1.32
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;142;90;967646;REFINE#40#20#sector_58_station_0.txt#sector_40_station_0.txt#null#null#null#null;Refine <color='yellow'>40</color> <color='yellow'>Junk Parts</color> at CoraVault station refinery in <color='cyan'>Lins</color>;15;<i>Ilesih Resmelom</i> from Legistron Station has commissioned a refinery run . He has required a small batch of <color='yellow'>40</color> <color='yellow'>Junk Parts</color> to be processed. Set your GPS autopilot to <color='cyan'>Lins</color> and refine these <color='yellow'>Junk Parts</color> to CoraVault refinery immediately.;34455;11485
MISSION;60;45;429138;HARVEST#53#8#sector_53.txt#sector_40_station_0.txt#null#null#null#null;Harvest special <color='yellow'>Special Belasite Ore</color> in <color='cyan'>Heliojen</color> and return with <color='yellow'>53</color> ore to Legistron in <color='cyan'>Dogstar Prime</color>;16;A local prospector, <i>Rastmos Vedqa</i> of the Enforcement faction has located a light quantity of special <color='yellow'>Special Belasite Ore</color> in the <color='cyan'>Heliojen</color> sector. Head over there and harvest all of the special <color='yellow'>Special Belasite Ore</color>, and meet <i>Rastmos Vedqa</i> back at Legistron station located in the <color='cyan'>Dogstar Prime</color>.;8235;1125
MISSION;84;60;110912;RECOVER#1#1754#sector_86.txt#sector_0_station_5.txt#null#null#null#null;Recover a medium shipment <color='yellow'>crate</color> in <color='cyan'>Jonisae</color> and bring back to Proctors Center in <color='cyan'>Void Starcross</color>;15;In the <color='cyan'>Jonisae</color> sector, a medium shipment of <color='yellow'>Prototype Drone Command Bay</color> have been reported to the local Law authorities as derelict. <i>Poexen Naliapast</i> has filed a claim on the crate, and has requested a recovery contract for <color='yellow'>1</color> <color='yellow'>Prototype Drone Command Bay</color> to be delivered Proctors Center station in <color='cyan'>Void Starcross</color>.;116067;63309
MISSION;134;45;163525;SALVAGE#213#29#sector_85.txt#sector_108_station_0.txt#null#null#null#null;In <color='cyan'>Gemini Els</color>, Salvage <color='yellow'>Special Hull Chassis</color> and return to Ferce in <color='cyan'>Allabentoris</color> with at least <color='yellow'>213</color>;17;A local company in <color='cyan'>Gemini Els</color> has requested a medium salvage of <color='yellow'>213</color> <color='yellow'>Special Hull Chassis</color>. This is a rare find, and the client has requested someone bring the parts back to Ferce station located in the <color='cyan'>Allabentoris</color>. A Judicial faction representative will be waiting to take the salvage from you.;148038;68585
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.09;ship_data_(battle_escort_1).txt
SHIP;2;1.06;ship_data_(battle_utility_1).txt
SHIP;3;0.93;ship_data_(support_cruiser_1).txt
SHIP;4;0.91;ship_data_(excavation_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

