// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomate University
STATION;type;Academic University
STATION;owner;Telyoupea Akpi
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;10
STATION;icon;biomate.png
STATION;filename;sector_0_station_0.txt
STATION;max_hp;25000000
STATION;dockfee;0
STATION;lease;30
STATION;seed;4-8-1-5-5-2-9-1-2-6-3-1-1-5-4-1-2-1-4-4-0-4-0
STATION;interior_seed;0-0-15-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;56897.28
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(recon_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(recon_escort_1).txt
MERC;9;1.93;npc_ship_data_(recon_utility_1).txt
MERC;12;1.23;npc_ship_data_(recon_utility_2).txt
MERC;15;1.47;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (3) Items ;408x456,406x363,408x907;17708.00;79138.10
ITEM;643;21;1.10;42323.68
ITEM;1476;30;0.93;71861.25
ITEM;2188;72;1.25;7489160.00
ITEM;7;3613;0.81;118.39
ITEM;112;1638;0.96;32.89
ITEM;628;47;0.53;343679.20
ITEM;2003;602;1.02;353.13
ITEM;108;336;1.28;17.49
ITEM;2415;12;0.97;18159.34
ITEM;661;50;0.62;7939.84
ITEM;666;5;1.18;242910.60
ITEM;28;4623;0.93;1403.60
ITEM;2031;674;0.81;1260.21
ITEM;332;765;0.93;2668.11
ITEM;301;1027;0.67;17.66
ITEM;1480;71;0.86;1110188.00
ITEM;300;861;0.77;79.46
ITEM;404;67;1.12;1.26
ITEM;325;946;0.90;299.76
ITEM;603;29;0.92;35570.80
ITEM;605;50;1.03;121573.00
ITEM;110;211;1.27;20.84
ITEM;606;2;1.13;232857.60
ITEM;623;14;0.98;37821.76
ITEM;101;1372;1.22;2.25
ITEM;403;682;0.97;1.10
ITEM;406;0;1.36;1.91
ITEM;353;979;1.13;5060.83
ITEM;109;398;0.68;3.17
ITEM;116;1339;1.07;63.15
ITEM;729;126;0.67;10472.25
ITEM;311;887;0.98;128.75
ITEM;668;13;0.89;565348.10
ITEM;664;52;1.00;67500.10
ITEM;115;1294;0.52;15.20
ITEM;8;5204;0.80;193.02
ITEM;2056;1043;0.53;3801.27
ITEM;400;860;0.73;1213.04
ITEM;2326;63;0.54;3408900.00
ITEM;1785;74;0.50;264075.00
ITEM;2131;-99;0.78;33942.30
ITEM;2131;595;0.70;30582.30
ITEM;1059;77;0.56;4940.46
ITEM;75;2759;0.60;117.78
ITEM;736;5;0.25;69537.50
ITEM;1550;67;1.18;30203.75
ITEM;1600;90;1.20;22106.70
ITEM;2119;265;0.90;32485.25
ITEM;1009;29;0.66;5780.46
ITEM;2295;82;0.59;185445.00
ITEM;1702;41;1.02;26203.75
ITEM;1161;86;0.78;6222.76
ITEM;2125;496;0.46;18793.78
ITEM;60;2452;1.27;146.04
ITEM;2298;53;0.82;254445.00
ITEM;1712;29;0.99;25453.75
ITEM;1711;63;1.17;29953.75
ITEM;1171;107;1.22;10484.46
ITEM;312;940;0.82;59.90
ITEM;620;52;0.85;6147.05
ITEM;1650;83;0.64;16703.75
ITEM;1770;15;0.86;293118.80
ITEM;2411;46;1.12;21586.37
ITEM;2029;696;0.69;1350.19
ITEM;70;87;0.89;114.77
ITEM;1720;25;0.81;20953.75
ITEM;50;2345;0.91;35.18
ITEM;40;2256;1.27;29.21
ITEM;169;524;0.83;60.71
ITEM;2055;817;1.00;6365.63
ITEM;649;33;0.87;967808.80
ITEM;351;787;0.58;3369.71
ITEM;2028;214;0.93;1637.65
ITEM;2193;64;0.67;261806.30
ITEM;302;992;1.10;51.38
ITEM;111;854;0.78;18.68
ITEM;163;158;1.15;47.04
ITEM;2001;598;1.13;322.48
ITEM;2025;1061;0.55;742.42
ITEM;629;16;0.85;946257.60
ITEM;310;973;1.04;145.93
ITEM;2435;31;1.11;58236.86
ITEM;667;8;0.76;277315.30
ITEM;2446;61;0.61;551361.60
ITEM;76;85;0.96;416.88
ITEM;737;0;0.26;162084.40
ITEM;2260;76;1.16;1026562.00
ITEM;2121;52;1.13;496556.80
ITEM;641;26;1.00;12594.84
ITEM;2115;196;1.20;631883.20
ITEM;2163;6;0.54;487188.70
ITEM;2127;84;0.74;362278.80
ITEM;1067;20;0.54;53590.75
ITEM;2337;54;0.70;43689.00
ITEM;61;2379;1.14;295.69
ITEM;1173;28;1.21;127405.60
ITEM;622;38;0.65;14538.18
ITEM;1512;48;1.19;107197.20
ITEM;1572;76;0.47;51807.60
ITEM;1642;69;1.17;119815.00
ITEM;1776;94;1.12;622933.40
ITEM;1771;9;0.56;339690.80
ITEM;2331;92;0.86;35526.00
ITEM;1;8274;0.59;4.33
ITEM;2000;307;0.85;16.91
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;1;1.51
SKILL;11;1.85
SKILL;21;1.22
SKILL;31;0.97
SKILL;91;1.19
SKILL;41;0.95
SKILL;215;1.25
SKILL;216;1.25
SKILL;217;1.25
SKILL;218;1.25
SKILL;219;1.25
SKILL;235;1.25
SKILL;236;1.25
SKILL;237;1.25
SKILL;52;1.15
SKILL;58;0.98
SKILL;100;0.81
SKILL;65;0.80
SKILL;64;0.83
SKILL;210;2.25
SKILL;240;1.25
SKILL;241;1.25
SKILL;242;1.25
SKILL;243;1.25
SKILL;244;1.25
SKILL;245;1.25
SKILL;246;1.25
SKILL;247;1.25
SKILL;248;1.25
SKILL;249;1.25
SKILL;250;1.25
SKILL;238;1.13
SKILL;239;1.33
SKILL;251;1.78
SKILL;252;1.23
SKILL;253;1.13
SKILL;61;1.25
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;81;60;424483;RECOVER#3#1730#sector_11.txt#sector_58_station_0.txt#null#null#null#null;Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Chamo</color> sector, and return to CoraVault in <color='cyan'>Lins</color>;2;<i>Wentim Dueqa</i> has lost track of a shipment crate from his last haul. It has been reported found in <color='cyan'>Chamo</color>. In an effort to save time, <i>Wentim Dueqa</i> has sub-contracted the task of returning the light shipment to CoraVault in <color='cyan'>Lins</color>. The Civil faction is aware of the situation and has sent a representative to CoraVault.;13192;3938
MISSION;81;60;915899;RECOVER#3#1540#sector_70.txt#sector_15_station_0.txt#null#null#null#null;Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Beaondus</color> sector, and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>;1;<i>Foeyel Jelsedna</i> has lost track of a shipment crate from his last haul. It has been reported found in <color='cyan'>Beaondus</color>. In an effort to save time, <i>Foeyel Jelsedna</i> has sub-contracted the task of returning the light shipment to Crystalis Broadcasting in <color='cyan'>Jermicus</color>. The Science faction is aware of the situation and has sent a representative to Crystalis Broadcasting.;21620;7876
MISSION;91;90;926127;KILL_PILOT#sector_41_station_0.txt#sector_81.txt#Chairman Qano Oudorib#npc_ship_data_(pirate_utility_3)#5#null#null#null;Assassinate in-experienced <color='yellow'><i>Chairman Qano Oudorib</i></color> in <color='cyan'>Ferrelis Cove</color> and return to Mazu Starship in <color='cyan'>Volox</color>;2;The Civil faction has released a kill contract for the criminal <color='yellow'><i>Chairman Qano Oudorib</i></color>. Wanted for capital crimes including theft and hijacking, the ASP has approved the contract and have released <color='yellow'><i>Chairman Qano Oudorib</i></color>'s last known location. Head to <color='cyan'>Ferrelis Cove</color>, and eliminate <color='yellow'><i>Chairman Qano Oudorib</i></color>'s ship. Once complete, head to <color='cyan'>Volox</color> and dock at Mazu Starship for payment.;24019;6563
MISSION;24;120;848470;COLLECT#113#163#sector_47_station_0.txt#sector_101_station_0.txt#null#null#null#null;Bring a medium collection of <color='yellow'>113</color> <color='yellow'>Aluminium Rivets</color> to Gunstellar in the <color='cyan'>Adrenal</color> Sector;0;Alpha Union Rep, <i>Coocor Heawhidemi</i> is looking to collect a medium sized shipment of <color='yellow'>113</color> <color='yellow'>Aluminium Rivets</color>. Once the items have been acquired, return to Gunstellar in the <color='cyan'>Adrenal</color> Sector. <i>Coocor Heawhidemi</i> will be waiting there to receive the <color='yellow'>Aluminium Rivets</color>.;122512;58032
MISSION;32;45;342411;TRANSPORT#188#403#sector_83_station_0.txt#sector_106_station_0.txt#null#null#null#null;Move light cargo from SimKitten in <color='cyan'>Kolkax Prime</color> and dock with <color='yellow'>188</color> <color='yellow'>Candy Corns</color> at Acrondia Corp. in <color='cyan'>Crown of Imperium</color>;1;<i>Risdale Belfallwe</i> was unable to complete a large shipment from SimKitten to Acrondia Corp.. A light shipment containing <color='yellow'>188</color> <color='yellow'>Candy Corns</color> is located at the storage bay at SimKitten in <color='cyan'>Kolkax Prime</color>. Retrieve the <color='yellow'>Candy Corns</color> and transport them to Acrondia Corp. in <color='cyan'>Crown of Imperium</color>.;25841;8614
MISSION;50;30;304008;SCAN_STRUCTURE#sector_83_station_0.txt#sector_86.txt#Community Farming Center#structure_farm_1.txt#1#null#null#null;Locate and scan the <color='yellow'>Community Farming Center</color> structure in <color='cyan'>Jonisae</color> and return to SimKitten in <color='cyan'>Kolkax Prime</color>;0;A recent construction permit was delivered by the Alpha faction. They are demanding a survey of a new structure that has been constructed by <i>Tuzo Belca</i>. Scan the <color='yellow'>Community Farming Center</color> structure and return back to the SimKitten located in the <color='cyan'>Kolkax Prime</color> with the survey data. Once the data is verified, payment will be rendered.;9000;4000
MISSION;24;120;193507;COLLECT#19#6#sector_22_station_0.txt#sector_23_station_0.txt#null#null#null#null;Bring a medium collection of <color='yellow'>19</color> <color='yellow'>Plasite Ores</color> to Monarch Society in the <color='cyan'>Solitudes of Frey</color> Sector;1;Science Union Rep, <i>Peinortis Gotwhi</i> is looking to collect a medium sized shipment of <color='yellow'>19</color> <color='yellow'>Plasite Ores</color>. Once the items have been acquired, return to Monarch Society in the <color='cyan'>Solitudes of Frey</color> Sector. <i>Peinortis Gotwhi</i> will be waiting there to receive the <color='yellow'>Plasite Ores</color>.;77376;12896
MISSION;73;45;165494;ESCORT#sector_82_station_0.txt#sector_95_station_1.txt#General Zoero Ouvednalia#npc_ship_data_(pirate_utility_2)#5#null#null#null;<color='yellow'><i>General Zoero Ouvednalia</i></color> is waiting at Kith in <color='cyan'>Kidd Overture</color> and needs an escort to Acrondia Hub in <color='cyan'>Temple Gates</color>;1;The Science political party has drafted an escort request for an incoming diplomat named <color='yellow'><i>General Zoero Ouvednalia</i></color>. He is currently awaiting in <color='cyan'>Kidd Overture</color>, and is docked at the Kith station. Lead <color='yellow'><i>General Zoero Ouvednalia</i></color> to the Acrondia Hub station in the <color='cyan'>Temple Gates</color> system safely.;45556;18758
MISSION;21;120;600144;COLLECT#45#166#sector_40_station_0.txt#sector_80_station_0.txt#null#null#null#null;Gather a collection of <color='yellow'>45</color> <color='yellow'>Mechanical Belts</color> and dock the light shipment at Legistron in <color='cyan'>Dogstar Prime</color>;2;<i>Mosport Birabun</i> has requested an small collection of <color='yellow'>45</color> <color='yellow'>Mechanical Belts</color> in preparation for an upcoming exploration run. Backed by the Civils after these items have been collected, return to the Legistron Station located in the <color='cyan'>Dogstar Prime</color> Sector.;19252;7220
MISSION;84;60;939319;RECOVER#4#1485#sector_88.txt#sector_83_station_0.txt#null#null#null#null;Recover a medium shipment <color='yellow'>crate</color> in <color='cyan'>Estura Cove</color> and bring back to SimKitten in <color='cyan'>Kolkax Prime</color>;0;In the <color='cyan'>Estura Cove</color> sector, a medium shipment of <color='yellow'>Anti-Torpedo Pods</color> have been reported to the local Alpha authorities as derelict. <i>Emigale Ilean</i> has filed a claim on the crate, and has requested a recovery contract for <color='yellow'>4</color> <color='yellow'>Anti-Torpedo Pods</color> to be delivered SimKitten station in <color='cyan'>Kolkax Prime</color>.;108681;52758
MISSION;123;45;234813;CHAT_PILOT#sector_109_station_0.txt#sector_105.txt#Senator Xofon Motajser#npc_ship_data_(recon_shuttle_1)#6#missions_arrest_escort.txt#0#null;Detain <color='yellow'><i>Senator Xofon Motajser</i></color> in <color='cyan'>Astrelia Gentris</color> and escort them to Vita Assembly in <color='cyan'>Capital Void</color>;0;<i>Xacae Wenhea</i> has requested that <color='yellow'><i>Senator Xofon Motajser</i></color> be escorted back into custody. Authorities of the Alpha faction has determined guilt opon the accused. <color='yellow'><i>Senator Xofon Motajser</i></color> has refused to cooperate with the courts. Last known sighting of <color='yellow'><i>Senator Xofon Motajser</i></color> was in the vicinity of the <color='cyan'>Astrelia Gentris</color> system. Have a chat with them ann bring them back for further questioning.;64078;24118
MISSION;126;45;202466;CHAT_PILOT#sector_104_station_0.txt#sector_38.txt#Bishop Sivkol Canostrapad#npc_ship_data_(recon_escort_1)#22#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Bishop Sivkol Canostrapad</i></color> in <color='cyan'>Equalias Val</color> and return with signature to Cecil in <color='cyan'>Junia</color>;1;<i>Vesro Galezodue</i> has a bonus payment for <color='yellow'><i>Bishop Sivkol Canostrapad</i></color>. The Science faction has recognized <color='yellow'><i>Bishop Sivkol Canostrapad</i></color> and has award a bonus payment. <color='yellow'><i>Bishop Sivkol Canostrapad</i></color> was last working in the <color='cyan'>Equalias Val</color> system. Find them, deliver this envelope, and return to the Cecil in the <color='cyan'>Junia</color> system with a signature.;238286;43085
MISSION;113;60;526019;KILL_RAIDERS#sector_104_station_0.txt#sector_56.txt#1#30#npc_ship_data_(VVS_Warden_Mk2)#random#random#random;Exterminate <color='yellow'>1 Raider</color> Skilled Raider(s) in <color='cyan'>Hunu</color> and dock at Cecil in <color='cyan'>Junia</color>;0;Reports of a small skilled gang in the <color='cyan'>Hunu</color> system have locals concerned, and Alpha faction members are worried about the increase in criminal activity around their local production facilities. Eliminate <color='yellow'>1 Raider</color> raiders in total, and return to Cecil station in <color='cyan'>Junia</color> when complete.;56638;7369
MISSION;134;45;373183;SALVAGE#157#28#sector_44.txt#sector_35_station_0.txt#null#null#null#null;In <color='cyan'>Xenilo Valley</color>, Salvage <color='yellow'>Special Computer Component</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color> with at least <color='yellow'>157</color>;2;A local company in <color='cyan'>Xenilo Valley</color> has requested a medium salvage of <color='yellow'>157</color> <color='yellow'>Special Computer Component</color>. This is a rare find, and the client has requested someone bring the parts back to Astrox Security Patrol station located in the <color='cyan'>Felishar</color>. A Civil faction representative will be waiting to take the salvage from you.;106845;31655
MISSION;41;45;926475;SCAN_PILOT#sector_71_station_0.txt#sector_21.txt#Liaison Newhe Faxonni#npc_ship_data_(transport_escort_2)#10#null#null#null;Find <color='yellow'><i>Liaison Newhe Faxonni</i></color> in <color='cyan'>Stellar Keep</color>, scan their ship, and return to Inovex in <color='cyan'>Goru Populan</color>;2;<color='yellow'><i>Liaison Newhe Faxonni</i></color> has recently been paroled for a capital crime, and their parole officer has received information about a possible raid in <color='cyan'>Stellar Keep</color>. Head to <color='cyan'>Stellar Keep</color> and perform a scan of <color='yellow'><i>Liaison Newhe Faxonni</i></color>'s ship and return to Inovex in <color='cyan'>Goru Populan</color> with the scan data for review.;20317;4375
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.0;ship_data_(recon_shuttle_1).txt
SHIP;1;1.0;ship_data_(recon_escort_1).txt
SHIP;1;1.0;ship_data_(recon_escort_2).txt
SHIP;4;1.0;ship_data_(recon_utility_1).txt
SHIP;4;1.0;ship_data_(recon_utility_2).txt
SHIP;4;1.0;ship_data_(recon_frigate_1).txt
</HANGAR>
// OFFICES;office_name;npc_name;faction_id;faction_req;level;img;scripting_file;scripting_id;
<OFFICE>
OFFICE;(Tutorial Office) Camera Basics;Ratamaq Guru;1;0.0;26;station.png;male_2.png;accessory_18.png;tutorial_camera_basics.txt;2
OFFICE;(Tutorial Office) Navigation Basics;Arji Darn;1;0.0;26;station.png;male_3.png;accessory_18.png;tutorial_navigation_basics.txt;2
OFFICE;(Tutorial Office) Life Support Basics;Carter Burke;1;0.0;26;station.png;male_4.png;accessory_19.png;tutorial_life_support.txt;2
OFFICE;(Tutorial Office) Introduction;Jessa Din;1;0.0;26;station.png;female_2.png;accessory_22.png;tutorial_intro.txt;2
OFFICE;(Tutorial Office) Basic Combat;Fredric Din;1;0.0;43;station.png;male_1.png;accessory_18.png;tutorial_combat_basics.txt;10
OFFICE;(Tutorial Office) Basic Drones;Daniel Traek;1;0.0;43;station.png;male_4.png;accessory_17.png;tutorial_drones.txt;2
OFFICE;(Tutorial Office) Basic Fleet Command;Jacob Salis;1;0.0;43;station.png;male_5.png;accessory_16.png;tutorial_mercs.txt;2
