// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomart
STATION;type;Auction Facility
STATION;owner;Leira Kolyitpi
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;2
STATION;icon;biomart.png
STATION;filename;sector_60_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-0-1-2-4-0-9-1-2-2-1-3-0-6-2-0-2-0
STATION;interior_seed;5-2-45-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;31910.41
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.02;npc_ship_data_(battle_utility_1).txt
MERC;6;1.62;npc_ship_data_(excavation_utility_1).txt
MERC;8;1.59;npc_ship_data_(recon_carrier_1).txt
MERC;9;1.60;npc_ship_data_(excavation_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (3) Items ;214x447,218x333,210x426;147942.00;43477.25
ITEM;1050;2;1.17;2454.63
ITEM;2118;52;0.84;8973.13
ITEM;1054;16;0.56;1481.55
ITEM;2;44;0.77;9.56
ITEM;405;3;0.63;0.76
ITEM;743;13;1.14;197556.60
ITEM;2426;6;0.78;28276.88
ITEM;102;161;0.93;3.07
ITEM;331;0;1.18;332.95
ITEM;1751;12;1.11;93385.00
ITEM;1511;15;0.87;40801.75
ITEM;1651;2;0.88;46865.63
ITEM;621;4;0.98;12707.08
ITEM;1631;4;1.02;53865.63
ITEM;1541;18;1.16;55996.38
ITEM;751;38;0.91;43529.06
ITEM;757;2;0.69;33629.06
ITEM;1551;12;0.97;51365.63
ITEM;1561;15;0.54;32254.88
ITEM;1611;16;0.69;25408.63
ITEM;1501;13;0.67;30547.13
ITEM;1591;4;1.08;45492.50
ITEM;305;8;0.54;139.29
ITEM;2427;19;1.18;45963.68
ITEM;20;193;1.19;26.19
ITEM;304;1;1.08;858.22
ITEM;747;34;0.62;67731.25
ITEM;211;35;0.78;136.85
ITEM;758;5;0.51;56731.25
ITEM;209;34;0.75;108.37
ITEM;1460;9;1.05;27682.81
ITEM;158;126;1.08;26.82
ITEM;155;87;0.75;14.31
ITEM;104;243;0.73;2.94
ITEM;166;16;0.89;55.38
ITEM;672;22;0.77;19855.50
ITEM;678;5;0.85;24497.44
ITEM;214;41;0.81;189.34
ITEM;160;7;1.23;38.62
ITEM;210;39;0.74;119.02
ITEM;2397;6;1.20;9226.16
ITEM;2201;5;0.74;1275700.00
ITEM;212;41;0.85;162.76
ITEM;601;1;0.55;7439.58
ITEM;150;64;1.13;13.06
ITEM;303;17;1.00;966.26
ITEM;407;19;1.21;6.97
ITEM;103;251;1.13;2.56
ITEM;330;0;1.34;2653.52
ITEM;2171;5;1.03;10934870.00
ITEM;165;82;1.17;65.23
ITEM;2110;18;1.25;2157965.00
ITEM;2116;25;1.19;2246098.00
ITEM;213;39;0.82;173.89
ITEM;600;2;1.02;7541.19
ITEM;2315;3;0.53;7555059.00
ITEM;2111;71;1.04;6339620.00
ITEM;2117;72;1.16;7672264.00
ITEM;77;25;1.03;1032.10
ITEM;154;67;0.57;27.55
ITEM;114;217;1.20;3.26
ITEM;21;187;0.61;23.82
ITEM;216;25;0.68;192.89
ITEM;703;14;0.57;4391.19
ITEM;217;43;0.84;258.59
ITEM;215;27;0.81;207.09
ITEM;159;1;0.66;34.66
ITEM;710;17;0.70;6058.50
ITEM;1450;10;0.90;10051.78
ITEM;156;37;0.79;16.51
ITEM;640;6;0.56;4321.19
ITEM;162;128;0.66;26.04
ITEM;744;21;1.04;274328.10
ITEM;1300;0;2.50;44752.97
ITEM;333;0;1.26;12424.05
ITEM;100;38;0.79;1.27
ITEM;408;4;0.75;9.77
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;31;1.17
SKILL;47;1.34
SKILL;11;1.41
SKILL;6;1.26
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;120;45;530616;CHAT_PILOT#sector_14_station_1.txt#sector_47.txt#Miner Ilera Fastyer#npc_ship_data_(recon_escort_raider)#6#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Miner Ilera Fastyer</i></color> in <color='cyan'>Adrenal</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color>;3;<i>Ribbeck Faedae</i> has requested that debt be collected from <color='yellow'><i>Miner Ilera Fastyer</i></color>. After 3 payments to the Trade faction for transport fines, <color='yellow'><i>Miner Ilera Fastyer</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Miner Ilera Fastyer</i></color> was in the vicinity of the <color='cyan'>Adrenal</color> system. Have a chat with them, collect the debt, and return to the Horizons in the <color='cyan'>Gate of Alpharis</color> system to deliver the payment.;9150;4000
MISSION;40;45;910712;SCAN_PILOT#sector_4_station_0.txt#sector_56.txt#Enforcer Lasda Komimes#npc_ship_data_(attack_cruiser_1)#2#null#null#null;Locate and scan <color='yellow'><i>Enforcer Lasda Komimes</i></color> in <color='cyan'>Hunu</color> and return to The Dunes in <color='cyan'>The Dunes of Caliph</color>;5;<i>Oazae Leicie</i> has requested a location verification on a recent employee. <color='yellow'><i>Enforcer Lasda Komimes</i></color> is supposed to be running a survey in <color='cyan'>Hunu</color>. Please verify the location of this pilot by scanning their ship and return to The Dunes in <color='cyan'>The Dunes of Caliph</color>.;5000;1500
MISSION;143;90;466126;REFINE#31#4#sector_58_station_0.txt#sector_2_station_0.txt#null#null#null#null;Refine medium shipment of <color='yellow'>31</color> <color='yellow'>Lokken Ores</color> in <color='cyan'>Lins</color> at the CoraVault station refinery;3;Oro Omniplex Center Station has contacted our client informing them of some medium cargo that remains unclaimed by former employees, <i>Tadorn Xepea</i> of the Trade Faction. <color='yellow'>31</color> <color='yellow'>Lokken Ores</color> need to be refined in <color='cyan'>Lins</color>, at the CoraVault Station refinery.;57077;24117
MISSION;91;90;706356;KILL_PILOT#sector_78_station_0.txt#sector_1.txt#Mr. Eitad Barbidpi#npc_ship_data_(transport_shuttle_1)#5#null#null#null;Assassinate in-experienced <color='yellow'><i>Mr. Eitad Barbidpi</i></color> in <color='cyan'>Dellis Primeria</color> and return to Tella's in <color='cyan'>Bitcola</color>;4;The Financial faction has released a kill contract for the criminal <color='yellow'><i>Mr. Eitad Barbidpi</i></color>. Wanted for capital crimes including theft and hijacking, the ASP has approved the contract and have released <color='yellow'><i>Mr. Eitad Barbidpi</i></color>'s last known location. Head to <color='cyan'>Dellis Primeria</color>, and eliminate <color='yellow'><i>Mr. Eitad Barbidpi</i></color>'s ship. Once complete, head to <color='cyan'>Bitcola</color> and dock at Tella's for payment.;18638;7875
MISSION;60;45;252122;HARVEST#47#1#sector_0.txt#sector_14_station_1.txt#null#null#null#null;Harvest special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Void Starcross</color> and return with <color='yellow'>47</color> ore to Horizons in <color='cyan'>Gate of Alpharis</color>;3;A local prospector, <i>Jagino Biddue</i> of the Trade faction has located a light quantity of special <color='yellow'>Special Adamyte Ore</color> in the <color='cyan'>Void Starcross</color> sector. Head over there and harvest all of the special <color='yellow'>Special Adamyte Ore</color>, and meet <i>Jagino Biddue</i> back at Horizons station located in the <color='cyan'>Gate of Alpharis</color>.;6863;2250
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.95;ship_data_(transport_escort_1).txt
SHIP;2;0.91;ship_data_(transport_utility_1).txt
SHIP;3;1.01;ship_data_(battle_carrier_1).txt
SHIP;4;1.05;ship_data_(recon_escort_1).txt
SHIP;5;1.06;ship_data_(recon_frigate_1).txt
SHIP;6;1.05;ship_data_(battle_carrier_1).txt
SHIP;7;1.03;ship_data_(support_frigate_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

