// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Crystalis Broadcasting
STATION;type;Communications Hub
STATION;owner;Xapaeda Akhas
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;2
STATION;icon;crystalis.png
STATION;filename;sector_15_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-6-1-5-4-2-8-0-7-7-3-1-90
STATION;interior_seed;4-3-15-7
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.42;npc_ship_data_(support_utility_1).txt
MERC;3;1.05;npc_ship_data_(excavation_carrier_1).txt
MERC;5;1.20;npc_ship_data_(excavation_escort_1).txt
MERC;7;1.56;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Inventory: (1) Items ;121x138;4366;72429.48
ITEM;601;2;0.62;5559.708
ITEM;661;3;0.71;5559.708
ITEM;620;6;0.51;5559.708
ITEM;641;8;1.11;5559.708
ITEM;660;8;0.64;5559.708
ITEM;302;514;0.88;5559.708
ITEM;404;14;1.16;5559.708
ITEM;407;14;0.62;5559.708
ITEM;304;16;0.90;5559.708
ITEM;405;3;1.12;5559.708
ITEM;305;986;0.81;197.0829
ITEM;403;11;0.65;0.7449354
ITEM;406;920;0.58;0.7449354
ITEM;408;12;1.07;13.32361
ITEM;303;14;0.65;13.32361
ITEM;301;15;1.09;13.32361
ITEM;300;9;1.18;13.32361
ITEM;1;123;0.55;4.088145
ITEM;20;4305;0.60;13.286
ITEM;2;4770;0.98;13.286
ITEM;21;31;0.67;13.286
ITEM;101;69;1.19;13.286
ITEM;114;99;1.06;2.814967
ITEM;100;98;1.03;1.585212
ITEM;103;161;1.24;1.585212
ITEM;104;209;1.13;4.330777
ITEM;102;156;0.72;2.341888
ITEM;156;123;1.21;2.341888
ITEM;163;8;0.81;2.341888
ITEM;167;65;1.09;2.341888
ITEM;168;76;0.95;2.341888
ITEM;164;67;1.14;2.341888
ITEM;160;174;1.01;2.341888
ITEM;153;45;1.13;17.03545
ITEM;151;128;0.71;17.03545
ITEM;169;122;0.52;17.03545
ITEM;155;25;0.96;17.03545
ITEM;158;62;0.94;17.03545
ITEM;161;132;1.01;17.03545
ITEM;154;33;1.01;45.6307
ITEM;165;284;1.08;45.6307
ITEM;162;143;0.73;45.6307
ITEM;2131;14;0.52;45.6307
ITEM;2396;4;1.01;6948.659
ITEM;2171;8;0.99;6948.659
ITEM;2444;12;1.03;6948.659
ITEM;2253;1;0.88;6948.659
ITEM;2110;7;0.71;6948.659
ITEM;2340;13;1.13;86735.76
ITEM;2290;11;0.95;86735.76
ITEM;2274;19;0.69;86735.76
ITEM;2201;2;1.17;86735.76
ITEM;2314;14;0.84;86735.76
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;52;0.99
SKILL;230;1.89
SKILL;47;0.50
SKILL;51;0.95
SKILL;17;1.25
SKILL;224;1.78
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.04;ship_data_(transport_utility_1).txt
SHIP;2;0.92;ship_data_(support_utility_1).txt
SHIP;3;1.06;ship_data_(battle_escort_1).txt
SHIP;4;1.06;ship_data_(recon_shuttle_1).txt
SHIP;5;0.99;ship_data_(battle_frigate_1).txt
SHIP;6;1.08;ship_data_(battle_carrier_1).txt
SHIP;7;0.91;ship_data_(battle_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
