// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Mazu Starship
STATION;type;Weapons Plant
STATION;owner;Anres Xadue
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;4
STATION;icon;mazu_starship.png
STATION;filename;sector_41_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-3-5-2-7-1-3-9-1-1-0-2-0-3-9-90
STATION;interior_seed;5-5-45-0
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;35046
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.21;npc_ship_data_(recon_escort_1).txt
MERC;5;0.88;npc_ship_data_(battle_utility_1).txt
MERC;4;0.69;npc_ship_data_(pirate_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Inventory: (3) Items ;124x741,110x734,122x580;103736;75859.34
ITEM;322;35;1.10;792.96
ITEM;702;74;0.65;7490.63
ITEM;643;6;0.50;22474.43
ITEM;112;60;0.73;27.43
ITEM;660;9;1.21;9163.44
ITEM;108;50;0.68;10.37
ITEM;661;15;0.73;10156.02
ITEM;301;38;1.05;36.34
ITEM;2322;18;0.55;4440032.00
ITEM;2324;27;0.78;5591397.00
ITEM;300;0;2.50;323.42
ITEM;200;19;1.13;91.26
ITEM;404;38;1.14;1.36
ITEM;325;22;1.03;364.64
ITEM;603;9;0.54;23975.07
ITEM;110;51;0.74;13.40
ITEM;623;5;0.82;34479.55
ITEM;168;96;1.05;29.81
ITEM;101;250;0.25;0.63
ITEM;205;192;1.06;138.60
ITEM;403;2;0.63;0.80
ITEM;406;18;0.78;0.97
ITEM;109;250;0.25;1.56
ITEM;116;46;0.79;51.13
ITEM;311;3;1.22;168.46
ITEM;727;10;0.60;10485.94
ITEM;115;62;0.65;20.84
ITEM;208;103;0.74;133.55
ITEM;400;190;0.74;1342.50
ITEM;1590;16;1.12;24381.25
ITEM;1059;4;0.75;7132.13
ITEM;1560;10;1.15;33724.69
ITEM;201;128;0.51;49.75
ITEM;2119;35;0.82;32167.19
ITEM;2113;185;0.89;41540.63
ITEM;1009;38;0.84;7888.13
ITEM;1161;51;0.72;6338.44
ITEM;1201;27;1.23;18606.88
ITEM;2125;37;1.24;51553.91
ITEM;1730;33;1.01;27726.56
ITEM;60;154;0.70;89.89
ITEM;1008;6;0.97;7483.44
ITEM;1710;38;0.66;18976.56
ITEM;1711;12;0.73;20726.56
ITEM;1171;57;0.63;6130.50
ITEM;1630;14;1.14;30976.56
ITEM;1007;19;0.69;6075.78
ITEM;312;6;0.53;44.42
ITEM;620;16;0.68;5453.44
ITEM;2243;19;1.18;399067.50
ITEM;70;9;1.06;144.88
ITEM;2299;21;1.01;332718.80
ITEM;1720;0;1.35;45346.86
ITEM;1722;0;1.35;45307.12
ITEM;2300;32;0.66;227718.80
ITEM;1721;0;1.33;44646.71
ITEM;1620;5;1.00;32971.88
ITEM;169;379;1.21;92.60
ITEM;167;17;1.12;78.40
ITEM;302;22;1.05;65.41
ITEM;2409;35;0.95;16300.33
ITEM;111;49;0.78;20.24
ITEM;310;14;0.96;144.69
ITEM;2133;7;0.55;333942.70
ITEM;1069;32;0.81;93542.53
ITEM;76;149;0.51;256.95
ITEM;1552;1;0.91;100906.30
ITEM;1403;11;1.11;207354.20
ITEM;1065;15;0.52;53084.61
ITEM;641;8;0.99;13341.02
ITEM;1163;47;0.81;86193.07
ITEM;2163;29;0.82;788096.10
ITEM;2337;20;0.79;53343.75
ITEM;61;141;1.21;331.36
ITEM;1173;46;0.79;91148.09
ITEM;1632;4;1.14;123906.30
ITEM;1113;7;1.23;125363.80
ITEM;1019;15;0.95;98952.82
ITEM;622;10;1.03;24204.84
ITEM;2250;22;0.92;1369620.00
ITEM;1582;21;1.24;149975.00
ITEM;1642;30;0.84;93906.25
ITEM;2320;17;1.12;7936887.00
ITEM;2314;37;1.08;8666973.00
ITEM;1522;5;0.62;57525.00
ITEM;51;123;1.06;97.80
ITEM;1;173;1.21;9.16
ITEM;2000;45;0.74;16.16
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;55;1.86
SKILL;53;1.95
SKILL;25;1.22
SKILL;35;1.85
SKILL;60;1.24
SKILL;41;1.34
SKILL;34;1.21
SKILL;54;1.33
SKILL;59;1.57
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;31;45;775135;TRANSPORT#120#305#sector_77_station_0.txt#sector_47_station_0.txt#null#null#null#null;Head to Lacuna Bandits in <color='cyan'>Ballast Crow</color>, pick up <color='yellow'>120</color> <color='yellow'>Interior Lightings</color> for a light shipment to Gunstellar in <color='cyan'>Adrenal</color>;15;The Law faction advisor <i>Demisiv Sihaswha</i> has placed a light shipment transport order to move <color='yellow'>120</color> <color='yellow'>Interior Lightings</color> from the Lacuna Bandits storage in <color='cyan'>Ballast Crow</color>, to the Gunstellar in <color='cyan'>Adrenal</color>.;14894;5907
MISSION;12;30;235673;DELIVERY#94#407#sector_0_station_0.txt#sector_0_station_1.txt#null#null#null#null;Light delivery of <color='yellow'>Ornaments</color> to Biomate University Station in <color='cyan'>Void Starcross</color>;16;<i>Zilsca Ceevi</i> from Lammassu Financial Station has commissioned a delivery . He has required a small transport delivery of <color='yellow'>94</color> <color='yellow'>Ornaments</color>. Set your GPS autopilot to <color='cyan'>Void Starcross</color> and deliver these <color='yellow'>Ornaments</color> to Biomate University immediately.;11331;1531
MISSION;41;45;357604;SCAN_PILOT#sector_78_station_0.txt#sector_35.txt#Miner Rilow Oueroso#npc_ship_data_(VVS_Infiltrator)#5#null#null#null;Find <color='yellow'><i>Miner Rilow Oueroso</i></color> in <color='cyan'>Felishar</color>, scan their ship, and return to Tella's in <color='cyan'>Bitcola</color>;16;<color='yellow'><i>Miner Rilow Oueroso</i></color> has recently been paroled for a capital crime, and their parole officer has received information about a possible raid in <color='cyan'>Felishar</color>. Head to <color='cyan'>Felishar</color> and perform a scan of <color='yellow'><i>Miner Rilow Oueroso</i></color>'s ship and return to Tella's in <color='cyan'>Bitcola</color> with the scan data for review.;10035;2625
MISSION;102;120;725002;KILL_RECOVER#sector_56_station_0.txt#sector_35.txt#Entertainer Bueoi Sadcaejoh#npc_ship_data_(Drone_cruiser_6)#7#1#1553#null;Hijack and kill <color='yellow'><i>Entertainer Bueoi Sadcaejoh</i></color> in <color='cyan'>Felishar</color> and steal <color='yellow'>1</color> <color='yellow'>Premium Shield Booster</color>. Return to Transporteers in <color='cyan'>Hunu</color>;15;The Law faction has been following an escaped fugitive named <color='yellow'><i>Entertainer Bueoi Sadcaejoh</i></color>. He was recently seen around the <color='cyan'>Felishar</color> system, but his exact location is unknown. <color='yellow'><i>Entertainer Bueoi Sadcaejoh</i></color> is carrying some cargo that was taken from the security facility. Return the <color='yellow'>Premium Shield Booster</color> by any means, and head back to Transporteers in <color='cyan'>Hunu</color>.;30731;8039
MISSION;52;30;228411;SCAN_STRUCTURE#sector_5_station_0.txt#sector_2.txt#Defensive Gun Platform#structure_gun_platform_1.txt#1#null#null#null;Track and scan the target <color='yellow'>Defensive Gun Platform</color> structure in <color='cyan'>Merces Academy</color> and return to Mazu Starship in <color='cyan'>Enoch Estates</color>;17;The Judicial faction has commissioned scientific survey of a strange vibration taking place at <color='yellow'>Defensive Gun Platform</color> in the <color='cyan'>Merces Academy</color> sector. Head over to <color='cyan'>Merces Academy</color> and scan the <color='yellow'>Defensive Gun Platform</color> structure. Once complete, return to the Mazu Starship station located in the <color='cyan'>Enoch Estates</color> with the scan data.;36010;10719
MISSION;72;45;862245;ESCORT#sector_56_station_1.txt#sector_63_station_0.txt#Mr. Demiwit Nibid#npc_ship_data_(VVS_Dweller)#7#null#null#null;A ship in ValueStar in <color='cyan'>Hunu</color> needs an escort to Lammassu Hub in <color='cyan'>Numbu</color>;15;After being selected for an academic grant, Dr. <color='yellow'><i>Mr. Demiwit Nibid</i></color> has requested an escort to the Lammassu Hub station in the <color='cyan'>Numbu</color> system. <color='yellow'><i>Mr. Demiwit Nibid</i></color> has posted his pick-up location as ValueStar in <color='cyan'>Hunu</color>. Be sure to protect the doctor at all cost, and under no circumstances are you to abandon him.;19600;6125
MISSION;110;60;644591;KILL_RAIDERS#sector_61_station_0.txt#sector_57.txt#1#10#npc_ship_data_(transport_utility_2)#random#random#random;Hunt <color='yellow'>1 Raider</color> level 10 Raider(s) in <color='cyan'>Ponze</color> and return to Transporteers Hub in <color='cyan'>Ambervellis Drea</color>;15;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Ponze</color>. The Law faction has requested a sector clearance contract. Head on over to the <color='cyan'>Ponze</color> and clear out the <color='yellow'>1 Raider</color>, level 10 Raiders that have set up camp there. Dock at the Transporteers Hub station in <color='cyan'>Ambervellis Drea</color> when complete.;12414;4125
MISSION;141;90;639170;REFINE#4#8#sector_56_station_0.txt#sector_14_station_1.txt#null#null#null#null;Refine a light container of <color='yellow'>4</color> <color='yellow'>Belasite Ores</color> at the Transporteers station in <color='cyan'>Hunu</color>;16;The Enforcement Faction has commissioned a refinery liaison, <i>Oinine Bruvak</i> at Horizons. After an audit, <color='yellow'>4</color> items of <color='yellow'>Belasite Ores</color> were left unused. Head on over to <color='cyan'>Hunu</color> and refine these <color='yellow'>Belasite Ores</color> at the Transporteers refinery.;15488;3938
MISSION;132;45;859346;SALVAGE#93#20#sector_14.txt#sector_15_station_0.txt#null#null#null#null;Dismantle <color='yellow'>Special Junk Part</color> in <color='cyan'>Gate of Alpharis</color> and return with <color='yellow'>93</color> to Crystalis Broadcasting in <color='cyan'>Jermicus</color>;16;<i>Risrib Tadyanbe</i> has discovered a light cache of <color='yellow'>Special Junk Part</color> in <color='cyan'>Gate of Alpharis</color>. He is currently unable to dismantle the <color='yellow'>Special Junk Part</color>, and has requested a pilot to head over and salvage the <color='yellow'>93</color> <color='yellow'>Special Junk Part</color>. Once complete, head over and meet <i>Risrib Tadyanbe</i> at the Crystalis Broadcasting station located in the <color='cyan'>Jermicus</color>.;23774;8614
MISSION;41;45;319389;SCAN_PILOT#sector_14_station_0.txt#sector_38.txt#Private Xobor Samelxa#npc_ship_data_(ATC_Jericho)#4#null#null#null;Find <color='yellow'><i>Private Xobor Samelxa</i></color> in <color='cyan'>Equalias Val</color>, scan their ship, and return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;15;<color='yellow'><i>Private Xobor Samelxa</i></color> has recently been paroled for a capital crime, and their parole officer has received information about a possible raid in <color='cyan'>Equalias Val</color>. Head to <color='cyan'>Equalias Val</color> and perform a scan of <color='yellow'><i>Private Xobor Samelxa</i></color>'s ship and return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color> with the scan data for review.;11529;1750
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.99;ship_data_(pirate_shuttle_1).txt
SHIP;2;0.97;ship_data_(excavation_shuttle_1).txt
SHIP;3;1.07;ship_data_(battle_escort_3).txt
SHIP;4;1.05;ship_data_(support_carrier_1).txt
SHIP;5;1.03;ship_data_(pirate_carrier_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

