// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Nostra
STATION;type;Civil Housing Facility
STATION;owner;Yitwo Yanlespea
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;8
STATION;icon;nostra.png
STATION;filename;sector_27_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-6-0-5-7-1-8-1-6-0-2-9-1-4-2-2-9-1-3-3-3-0-90
STATION;interior_seed;4-6-15-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;49754.54
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.83;npc_ship_data_(support_escort_1).txt
MERC;8;1.54;npc_ship_data_(pirate_carrier_1).txt
MERC;8;0.81;npc_ship_data_(recon_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Production: (1) Items ;2024x266;243123.00;73570.20
ITEM;742;62;0.51;54140
ITEM;747;111;1.15;54140
ITEM;677;158;0.68;54140
ITEM;712;10;0.66;54140
ITEM;209;328;1.10;54140
ITEM;691;32;0.55;4651.2
ITEM;700;140;1.24;4651.2
ITEM;1460;37;0.77;4651.2
ITEM;4;624;1.05;4651.2
ITEM;155;50;0.96;4651.2
ITEM;104;6;0.61;4651.2
ITEM;166;527;1.19;71.40305
ITEM;203;307;0.87;89.08537
ITEM;350;0;0.74;5030.4
ITEM;320;69;0.94;5030.4
ITEM;352;71;0.53;5030.4
ITEM;680;66;0.62;17587.8
ITEM;672;77;1.05;17587.8
ITEM;2455;70;0.91;17587.8
ITEM;674;7;0.61;17587.8
ITEM;676;139;0.72;17587.8
ITEM;750;111;1.19;17587.8
ITEM;670;78;0.88;17587.8
ITEM;1461;12;0.72;17587.8
ITEM;711;73;1.23;17587.8
ITEM;157;30;0.71;17587.8
ITEM;23;124;1.20;17587.8
ITEM;210;637;0.55;17587.8
ITEM;2015;242;0.86;17587.8
ITEM;25;362;0.67;17587.8
ITEM;212;455;0.80;17587.8
ITEM;321;0;0.89;2355.467
ITEM;121;635;0.94;2355.467
ITEM;106;693;0.69;2355.467
ITEM;601;32;0.82;2355.467
ITEM;303;13;0.65;2355.467
ITEM;342;0;0.90;3712.933
ITEM;107;760;0.77;3712.933
ITEM;644;4;0.86;3712.933
ITEM;206;476;0.85;3712.933
ITEM;103;40;0.56;3712.933
ITEM;330;24;0.74;3712.933
ITEM;607;12;0.78;3712.933
ITEM;2171;55;0.52;3712.933
ITEM;6;186;1.03;3712.933
ITEM;165;258;0.99;3712.933
ITEM;118;612;0.69;3712.933
ITEM;170;760;0.73;3712.933
ITEM;1025;10;0.52;3712.933
ITEM;1072;20;0.69;238161.5
ITEM;2128;94;0.93;1586972
ITEM;2116;88;0.70;1586972
ITEM;1070;75;0.68;1586972
ITEM;1553;0;1.22;1586972
ITEM;1563;0;1.17;324378
ITEM;1503;73;0.82;324378
ITEM;600;24;1.14;8199.8
ITEM;2227;65;0.93;8199.8
ITEM;2287;70;1.19;8199.8
ITEM;1584;73;0.83;8199.8
ITEM;2217;16;1.13;8199.8
ITEM;1115;49;1.07;8199.8
ITEM;2129;199;0.59;8199.8
ITEM;2165;9;0.50;8199.8
ITEM;2123;392;0.64;8199.8
ITEM;1405;41;0.62;8199.8
ITEM;2181;53;0.95;8199.8
ITEM;1554;0;1.35;8199.8
ITEM;1564;0;1.23;8199.8
ITEM;3;503;0.63;8199.8
ITEM;726;127;0.74;8199.8
ITEM;207;705;1.00;8199.8
ITEM;164;411;0.57;8199.8
ITEM;114;332;1.20;8199.8
ITEM;21;0;0.96;35.39298
ITEM;113;413;0.75;35.39298
ITEM;722;73;1.24;35.39298
ITEM;216;172;0.62;171.3703
ITEM;703;66;0.89;171.3703
ITEM;720;31;1.01;171.3703
ITEM;2378;77;0.68;171.3703
ITEM;723;10;0.88;171.3703
ITEM;710;47;1.07;171.3703
ITEM;323;74;0.93;171.3703
ITEM;117;522;1.06;171.3703
ITEM;2018;175;0.77;171.3703
ITEM;625;9;0.52;171.3703
ITEM;642;28;1.02;171.3703
ITEM;340;50;0.95;171.3703
ITEM;640;8;0.57;171.3703
ITEM;645;35;1.09;171.3703
ITEM;202;501;0.60;171.3703
ITEM;647;36;0.99;171.3703
ITEM;744;107;1.19;305350
ITEM;749;89;0.79;305350
ITEM;734;128;1.09;305350
ITEM;754;153;1.06;305350
ITEM;760;138;0.51;305350
ITEM;124;1129;1.17;305350
ITEM;2020;623;1.03;305350
ITEM;2021;590;0.70;305350
ITEM;5;620;0.53;305350
ITEM;333;33;0.73;305350
ITEM;22;579;1.05;305350
ITEM;2022;37;0.66;305350
ITEM;624;25;1.10;305350
ITEM;2434;37;0.88;305350
ITEM;663;25;0.99;305350
ITEM;662;29;0.68;305350
ITEM;100;611;0.70;305350
ITEM;26;517;0.71;305350
ITEM;408;70;1.21;305350
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;72;1.10
SKILL;213;1.38
SKILL;64;1.09
SKILL;11;0.93
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;83;60;825607;RECOVER#13#343#sector_103.txt#sector_0_station_5.txt#null#null#null#null;Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Vindicati</color> and bring back to Proctors Center in <color='cyan'>Void Starcross</color>;2;A medium shipping crate has come up missing from a mining operation move in <color='cyan'>Vindicati</color>. <i>Daebira Rapoebun</i> is looking for an able pilot to scoop up the shipment of <color='yellow'>13</color> <color='yellow'>Foodservice Equipments</color>. Once the crate has been recovered, take it to the Proctors Center station located in the <color='cyan'>Void Starcross</color> where <i>Daebira Rapoebun</i> will be waiting with your payment.;63310;33162
MISSION;63;45;367612;HARVEST#128#9#sector_84.txt#sector_42_station_0.txt#null#null#null#null;Extract special <color='yellow'>Special Xenox Ore</color> in <color='cyan'>Archon</color> and return to Desban in <color='cyan'>Ellisar</color> with minimum of <color='yellow'>128</color>;0;The Alpha faction has reported that a special medium load of <color='yellow'>Special Xenox Ore</color> has been scanned in the <color='cyan'>Archon</color> system. <i>Ribwa Qusijel</i> is credited with the find, but His claim is currently invalid. Hurry up and harvest the <color='yellow'>Special Xenox Ore</color> and return to Desban, in the <color='cyan'>Ellisar</color>.;72354;42207
MISSION;44;45;816061;SCAN_PILOT#sector_82_station_0.txt#sector_87.txt#Ensign Xonfie Lomuo#npc_ship_data_(Mining_barge_10)#9#null#null#null;Scan <color='yellow'><i>Ensign Xonfie Lomuo</i></color> recently spotted in <color='cyan'>Yellon</color> and return to Kith in <color='cyan'>Kidd Overture</color>;1;In <color='cyan'>Yellon</color>, a pilot named <color='yellow'><i>Ensign Xonfie Lomuo</i></color> is suspected to be operating under a false identity. He is believed to be the wanted criminal <i>Eayi Foza</i> by the Science faction. Before ASP can take action, they have requested we transfer a hard copy of a recent scan. Return to Kith in <color='cyan'>Kidd Overture</color> with an up to date scan record.;117238;70343
MISSION;61;45;289201;HARVEST#87#1#sector_35.txt#sector_95_station_1.txt#null#null#null#null;Mine special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Felishar</color> and return with <color='yellow'>87</color> to Acrondia Hub in <color='cyan'>Temple Gates</color>;0;While collecting some junk in the <color='cyan'>Felishar</color> system, <i>Renori Lindopeiue</i> discovered a light haul of <color='yellow'>87</color> <color='yellow'>Special Adamyte Ore</color>. Unable to collect the material alone, <i>Renori Lindopeiue</i> has requested that a capable pilot harvest the <color='yellow'>Special Adamyte Ore</color> and drop it off at the Acrondia Hub station located in the <color='cyan'>Temple Gates</color>.;21620;7876
MISSION;94;90;467538;KILL_PILOT#sector_63_station_0.txt#sector_85.txt#Engineer Birato Doemelyou#npc_ship_data_(support_carrier_1)#15#null#null#null;Destroy the ship of <color='yellow'><i>Engineer Birato Doemelyou</i></color> and head to Lammassu Hub in <color='cyan'>Numbu</color> for the bounty;1;A kill contract has been placed on <color='yellow'><i>Engineer Birato Doemelyou</i></color> by the Science faction for various crimes committed in the <color='cyan'>Gemini Els</color>. <i>Ouris Meyizeno</i> has issued this contract and will be waiting at the Lammassu Hub station in <color='cyan'>Numbu</color> system for news that this criminal has been destroyed.;175856;105514
MISSION;62;45;773779;HARVEST#69#10#sector_83.txt#sector_17_station_0.txt#null#null#null#null;Excavate special <color='yellow'>Special Zai Ore</color> in <color='cyan'>Kolkax Prime</color> and return with <color='yellow'>69</color> to Holosynth Industries in <color='cyan'>Rats Of Mortalis</color>;0;<i>Whivaj Bidrores</i> has discovered a light deposit of <color='yellow'>Special Zai Ore</color> in <color='cyan'>Kolkax Prime</color>. He is currently unable to mine the <color='yellow'>Special Zai Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>69</color> <color='yellow'>Special Zai Ore</color>. Once complete, head over and meet <i>Whivaj Bidrores</i> at the Holosynth Industries station located in the <color='cyan'>Rats Of Mortalis</color>.;48340;22396
MISSION;124;45;166113;CHAT_PILOT#sector_108_station_0.txt#sector_106.txt#General Bodee Akfeieno#npc_ship_data_(transport_escort_1)#2#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>General Bodee Akfeieno</i></color> over an outstanding warrant in <color='cyan'>Crown of Imperium</color> and return to Ferce in <color='cyan'>Allabentoris</color>;2;<i>Caejanco Sersogilla</i> of the Civil faction has sent out a warrent for the arrest of <color='yellow'><i>General Bodee Akfeieno</i></color>. Last known sighting of <color='yellow'><i>General Bodee Akfeieno</i></color> was in the area of <color='cyan'>Crown of Imperium</color>. Bring them back alive to the Ferce in the <color='cyan'>Allabentoris</color> system to complete this contract.;137309;65653
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.05;ship_data_(support_escort_1).txt
SHIP;2;0.93;ship_data_(excavation_carrier_1).txt
SHIP;3;1.05;ship_data_(excavation_frigate_1).txt
SHIP;4;0.97;ship_data_(battle_shuttle_1).txt
SHIP;5;1.06;ship_data_(recon_cruiser_1).txt
SHIP;6;1.04;ship_data_(excavation_frigate_1).txt
SHIP;7;0.97;ship_data_(battle_frigate_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
STORAGE;8;4;0

