// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Oro Omniplex Center
STATION;type;Recon Sentry
STATION;owner;Hasrastast Belbar
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;oro_omniplex.png
STATION;filename;sector_2_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-9-0-2-7-2-7-1-5-0-2-7-0-4-8-1-0-0-3-4-1-0-0
STATION;interior_seed;3-9-15-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;13622.23
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.07;npc_ship_data_(battle_escort_1).txt
MERC;1;1.05;npc_ship_data_(excavation_escort_1).txt
MERC;1;1.05;npc_ship_data_(excavation_escort_2).txt
MERC;1;1.05;npc_ship_data_(excavation_escort_3).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Goods: (2) Items ;77x452,52x88;156989;83536.97
ITEM;101;195;0.97;1.91
ITEM;168;201;0.66;19.55
ITEM;404;2;0.84;1.03
ITEM;200;216;0.95;77.49
ITEM;300;17;0.68;77.02
ITEM;301;24;0.75;21.35
ITEM;661;3;1.03;13765.17
ITEM;660;10;0.83;6465.81
ITEM;2190;24;0.70;744082.00
ITEM;151;3;0.83;11.18
ITEM;204;3;1.06;125.42
ITEM;735;35;1.06;8652656.00
ITEM;1001;6;0.62;1570.11
ITEM;1110;17;1.00;2406.11
ITEM;2142;27;1.20;14230.56
ITEM;1003;10;1.12;2912.85
ITEM;1054;15;1.24;3200.85
ITEM;313;22;0.73;242.19
ITEM;2;538;0.77;9.98
ITEM;405;28;0.51;0.66
ITEM;602;2;0.58;14442.51
ITEM;681;44;1.05;92638.69
ITEM;673;45;0.71;57865.50
ITEM;743;49;0.54;104558.40
ITEM;679;21;0.54;51328.69
ITEM;671;10;0.85;59452.31
ITEM;102;177;0.70;2.47
ITEM;1521;0;1.39;74086.48
ITEM;741;2;1.23;59565.94
ITEM;746;15;0.68;34815.94
ITEM;1511;0;1.46;85345.14
ITEM;1651;29;0.83;46184.38
ITEM;621;7;0.88;11927.67
ITEM;2279;12;1.13;734212.50
ITEM;1014;19;1.00;26795.34
ITEM;1541;21;0.72;37429.63
ITEM;1205;12;1.14;60450.69
ITEM;2162;17;0.91;245903.40
ITEM;2114;60;1.07;171062.10
ITEM;751;32;1.24;60015.94
ITEM;2120;27;1.11;147451.70
ITEM;1402;27;1.15;60940.69
ITEM;1616;15;0.87;36620.13
ITEM;1601;10;1.08;42252.75
ITEM;1501;0;1.07;60990.80
ITEM;1064;1;0.58;19806.41
ITEM;305;9;0.94;241.06
ITEM;2427;10;0.65;27626.50
ITEM;20;258;0.60;14.57
ITEM;304;11;0.99;817.75
ITEM;742;43;1.18;127368.70
ITEM;677;31;0.69;35265.94
ITEM;712;29;1.17;90985.50
ITEM;691;48;1.01;8829.50
ITEM;690;39;0.55;4505.81
ITEM;158;265;1.06;27.20
ITEM;155;97;0.74;14.77
ITEM;104;49;0.63;2.70
ITEM;166;3;0.88;56.92
ITEM;203;234;0.58;66.58
ITEM;680;5;0.60;18729.56
ITEM;676;51;0.53;9355.31
ITEM;732;35;0.60;10405.31
ITEM;756;1;0.52;9205.31
ITEM;670;58;1.05;24017.44
ITEM;157;275;0.72;17.45
ITEM;160;3;0.98;32.21
ITEM;601;3;0.79;10825.17
ITEM;150;94;0.97;11.70
ITEM;303;5;1.02;1017.78
ITEM;206;23;1.24;175.43
ITEM;407;15;1.17;6.95
ITEM;103;188;0.70;1.71
ITEM;165;112;0.87;51.22
ITEM;118;415;1.16;6.73
ITEM;170;14;0.86;64.37
ITEM;2362;17;1.05;771.99
ITEM;1523;0;1.36;290346.00
ITEM;2286;9;0.67;1832850.00
ITEM;1513;0;1.38;323780.60
ITEM;2291;6;0.51;1448850.00
ITEM;2128;92;1.21;2151982.00
ITEM;2122;87;0.60;1040965.00
ITEM;1503;0;1.39;311163.30
ITEM;600;3;0.79;6185.81
ITEM;42;165;0.84;106.63
ITEM;52;32;0.64;139.28
ITEM;1524;0;1.41;600691.90
ITEM;1514;0;1.43;669561.10
ITEM;2111;11;1.10;6896418.00
ITEM;62;42;0.66;429.25
ITEM;2129;11;1.24;7705254.00
ITEM;2141;26;1.20;6794691.00
ITEM;2123;90;0.58;3538333.00
ITEM;1504;0;1.50;668526.50
ITEM;2212;10;0.56;2635668.00
ITEM;77;21;0.73;781.86
ITEM;2447;6;0.68;891288.00
ITEM;3;170;0.74;15.89
ITEM;726;29;0.80;13405.31
ITEM;207;160;0.57;96.03
ITEM;164;71;0.94;16.65
ITEM;114;60;0.89;2.55
ITEM;21;85;0.88;34.76
ITEM;113;348;0.79;5.70
ITEM;693;51;1.03;5618.44
ITEM;723;43;0.61;4222.13
ITEM;159;3;0.97;51.40
ITEM;710;13;1.19;10269.50
ITEM;156;37;1.04;22.10
ITEM;642;1;0.72;17443.83
ITEM;640;13;0.66;5275.81
ITEM;162;249;0.75;30.63
ITEM;202;153;0.54;56.93
ITEM;749;43;0.73;205921.90
ITEM;734;47;0.51;150921.90
ITEM;2453;21;1.09;1515120.00
ITEM;22;11;0.89;59.70
ITEM;662;10;1.15;26662.17
ITEM;100;302;0.64;1.10
ITEM;408;14;1.00;13.23
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;1;0.76
SKILL;11;1.08
SKILL;21;1.88
SKILL;31;1.50
SKILL;41;0.78
SKILL;58;1.57
SKILL;71;1.21
SKILL;100;1.11
SKILL;210;1.13
SKILL;233;1.31
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;70;45;232294;ESCORT#sector_0_station_3.txt#sector_47_station_0.txt#Bishop Lesrast Jidgore#npc_ship_data_(Super_heavy_transport_10)#12#null#null#null;Escort <color='yellow'><i>Bishop Lesrast Jidgore</i></color> from StarShepards Headquarters in <color='cyan'>Void Starcross</color> to Gunstellar in <color='cyan'>Adrenal</color>;14;A wealthy council member from the Extractors faction has set up an escort for his oldest son <color='yellow'><i>Bishop Lesrast Jidgore</i></color>. He was recently released from a rehab center for bliss addiction, and <i>Eayo Leivakla</i>, his father, would prefer he doesn't travel alone. You can meet up with <color='yellow'><i>Bishop Lesrast Jidgore</i></color> at the StarShepards Headquarters station before heading over to Gunstellar.;6000;2500
MISSION;141;90;797661;REFINE#4#25#sector_0_station_3.txt#sector_78_station_0.txt#null#null#null#null;Refine a light container of <color='yellow'>4</color> <color='yellow'>Module Fragments</color> at the StarShepards Headquarters station in <color='cyan'>Void Starcross</color>;12;The Labor Faction has commissioned a refinery liaison, <i>Portkom Xenvis</i> at Tella's. After an audit, <color='yellow'>4</color> items of <color='yellow'>Module Fragments</color> were left unused. Head on over to <color='cyan'>Void Starcross</color> and refine these <color='yellow'>Module Fragments</color> at the StarShepards Headquarters refinery.;13125;3938
MISSION;100;120;524591;KILL_RECOVER#sector_15_station_0.txt#sector_35.txt#Engineer Cakom Lelqijo#npc_ship_data_(Light_destroyer_2)#3#20#2040#null;Kill and Rob <color='yellow'><i>Engineer Cakom Lelqijo</i></color> in <color='cyan'>Felishar</color> and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color> with <color='yellow'>20</color> of <color='yellow'>Fusion Chambers</color>;12;<i>Horema Xonaj</i> was hijacked for <color='yellow'>20</color> <color='yellow'>Fusion Chambers</color> by a pilot named <color='yellow'><i>Engineer Cakom Lelqijo</i></color>. The Labor has approved a 'Kill and Recover' contract for the criminal <color='yellow'><i>Engineer Cakom Lelqijo</i></color>. Last seen in the <color='cyan'>Felishar</color> system, <color='yellow'><i>Engineer Cakom Lelqijo</i></color> is considered to be un-prepared for combat. Take him out and return the <color='yellow'>Fusion Chambers</color> to Crystalis Broadcasting in <color='cyan'>Jermicus</color>.;12810;4375
MISSION;120;45;276401;CHAT_PILOT#sector_14_station_1.txt#sector_4.txt#Accountant Godoe Leiqeada#npc_ship_data_(missile_escort_2)#11#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Accountant Godoe Leiqeada</i></color> in <color='cyan'>The Dunes of Caliph</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color>;12;<i>Zaejanco Welipae</i> has requested that debt be collected from <color='yellow'><i>Accountant Godoe Leiqeada</i></color>. After 3 payments to the Labor faction for transport fines, <color='yellow'><i>Accountant Godoe Leiqeada</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Accountant Godoe Leiqeada</i></color> was in the vicinity of the <color='cyan'>The Dunes of Caliph</color> system. Have a chat with them, collect the debt, and return to the Horizons in the <color='cyan'>Gate of Alpharis</color> system to deliver the payment.;4500;1000
MISSION;126;45;394249;CHAT_PILOT#sector_61_station_0.txt#sector_3.txt#Major Zansip Tubirades#npc_ship_data_(ATC_Libra)#4#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Major Zansip Tubirades</i></color> in <color='cyan'>Starfort Ramos</color> and return with signature to Transporteers Hub in <color='cyan'>Ambervellis Drea</color>;12;<i>Geeme Vajamkile</i> has a bonus payment for <color='yellow'><i>Major Zansip Tubirades</i></color>. The Labor faction has recognized <color='yellow'><i>Major Zansip Tubirades</i></color> and has award a bonus payment. <color='yellow'><i>Major Zansip Tubirades</i></color> was last working in the <color='cyan'>Starfort Ramos</color> system. Find them, deliver this envelope, and return to the Transporteers Hub in the <color='cyan'>Ambervellis Drea</color> system with a signature.;213757;43085
MISSION;151;120;152419;FABRICATE#6#2384#sector_47_station_0.txt#sector_0_station_5.txt#null#null#null#null;Produce a light container of <color='yellow'>6</color> <color='yellow'>Copperi Pipes</color> at the Gunstellar fabricator in <color='cyan'>Adrenal</color>;12;The Labor Faction has commissioned a production liaison, <i>Reslea Foyi</i> at Proctors Center. After an audit, <color='yellow'>6</color> items of <color='yellow'>Copperi Pipes</color> were deemed required. Head on over to <color='cyan'>Adrenal</color> and manufacture these <color='yellow'>Copperi Pipes</color> at Gunstellar.;18375;7656
MISSION;22;120;586093;COLLECT#58#312#sector_0_station_2.txt#sector_95_station_0.txt#null#null#null#null;Return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color> with a light collection of <color='yellow'>58</color> <color='yellow'>Basic Food Rations</color>;14;A request has been made by the Overseer of StarGypsy Warehouse in <color='cyan'>Void Starcross</color> for the acquisition of <color='yellow'>58</color> <color='yellow'>Basic Food Rations</color>. <i>Qibino Foewelived</i> will reimburse you for the cost of the items, as well as payment for your troubles.;18950;4211
MISSION;110;60;257110;KILL_RAIDERS#sector_77_station_0.txt#sector_57.txt#1#10#npc_ship_data_(missile_escort_3)#random#random#random;Hunt <color='yellow'>1 Raider</color> level 10 Raider(s) in <color='cyan'>Ponze</color> and return to Lacuna Bandits in <color='cyan'>Ballast Crow</color>;12;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Ponze</color>. The Labor faction has requested a sector clearance contract. Head on over to the <color='cyan'>Ponze</color> and clear out the <color='yellow'>1 Raider</color>, level 10 Raiders that have set up camp there. Dock at the Lacuna Bandits station in <color='cyan'>Ballast Crow</color> when complete.;8938;4125
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.04;ship_data_(support_escort_1).txt
SHIP;2;0.93;ship_data_(transport_escort_1).txt
SHIP;3;0.93;ship_data_(excavation_escort_1).txt
SHIP;4;0.93;ship_data_(excavation_escort_2).txt
SHIP;5;0.93;ship_data_(excavation_escort_3).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

