// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Daemon Ammunitions
STATION;type;Ordinance Storage Facility
STATION;owner;Bella Mazu
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;daemon_ammunition.png
STATION;filename;sector_3_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-4-2-0-2-0-6-5-2-2-1-2-9-3-6-90
STATION;interior_seed;3-1-30-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;43618.74
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.27;npc_ship_data_(recon_shuttle_1).txt
MERC;1;1.69;npc_ship_data_(battle_carrier_1).txt
MERC;2;0.96;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Sale Request Order: (1) Items ;1002x17;38203;84953.95
ITEM;114;250;0.25;0.89
ITEM;1008;18;0.81;6319.14
ITEM;2113;42;0.74;34974.84
ITEM;732;47;1.09;17741.02
ITEM;2119;34;0.96;36845.70
ITEM;1161;27;1.24;10262.05
ITEM;2101;17;0.63;25295.70
ITEM;162;295;0.81;32.77
ITEM;163;0;0.83;36.84
ITEM;1451;7;0.57;17065.41
ITEM;1450;15;0.99;11368.71
ITEM;1171;11;0.97;8926.97
ITEM;1401;1;1.12;16978.28
ITEM;165;24;1.19;68.18
ITEM;167;260;0.98;68.99
ITEM;160;211;0.61;21.08
ITEM;1201;16;0.56;9138.28
ITEM;169;121;0.89;69.52
ITEM;1552;18;0.90;99273.44
ITEM;1542;12;1.14;113411.60
ITEM;692;0;2.50;19445.51
ITEM;691;0;2.50;25927.34
ITEM;693;8;1.05;7142.09
ITEM;22;0;2.50;196.69
ITEM;701;0;0.75;7584.61
ITEM;1522;4;0.97;85018.75
ITEM;3;258;0.87;18.35
ITEM;690;0;2.50;22686.43
ITEM;1502;15;1.19;107749.70
ITEM;207;134;0.71;116.15
ITEM;2311;27;0.55;4994548.00
ITEM;1752;1;0.68;123637.50
ITEM;118;12;1.06;6.19
ITEM;1700;9;1.23;33068.36
ITEM;1642;17;0.98;107273.40
ITEM;113;250;0.25;2.21
ITEM;109;250;0.25;1.54
ITEM;170;0;0.90;67.01
ITEM;201;137;1.11;98.24
ITEM;202;115;1.00;98.17
ITEM;1572;12;0.67;79324.38
ITEM;204;113;0.56;70.96
ITEM;205;107;1.16;149.80
ITEM;203;25;0.98;106.02
ITEM;208;35;0.67;121.40
ITEM;662;3;1.21;27928.02
ITEM;642;0;1.09;25355.46
ITEM;2275;21;1.02;1602338.00
ITEM;622;3;0.75;18066.54
ITEM;206;99;0.86;125.32
ITEM;602;0;1.08;25141.08
ITEM;313;0;0.54;186.04
ITEM;312;0;1.19;90.59
ITEM;311;16;1.07;148.49
ITEM;310;17;0.95;142.46
ITEM;2126;124;0.89;132423.50
ITEM;2120;41;1.14;151010.00
ITEM;1205;12;0.63;35413.98
ITEM;2114;15;0.50;87131.95
ITEM;1701;12;0.25;8568.36
ITEM;2276;21;1.01;3175875.00
ITEM;2102;27;0.85;115485.00
ITEM;2221;21;1.11;2309250.00
ITEM;2450;16;1.07;186037.50
ITEM;1014;11;0.74;20401.99
ITEM;23;0;2.50;334.37
ITEM;105;250;0.32;3.19
ITEM;729;23;0.59;10241.02
ITEM;106;250;0.25;3.18
ITEM;107;45;0.71;8.95
ITEM;1062;5;1.15;33491.69
ITEM;2388;1;1.03;5034.34
ITEM;2386;3;1.05;4234.97
ITEM;2385;1;0.98;3614.04
ITEM;24;3153;1.05;250.53
ITEM;2309;15;0.99;8315400.00
ITEM;2304;6;1.24;399820.30
ITEM;108;125;0.25;4.58
ITEM;2000;191;0.25;6.60
ITEM;1702;38;0.82;22818.36
ITEM;110;0;0.80;14.33
ITEM;2127;16;1.21;614402.10
ITEM;752;28;1.20;129273.40
ITEM;747;17;1.15;124273.40
ITEM;2340;22;0.85;70705.08
ITEM;25;0;2.50;966.34
ITEM;2334;9;1.12;60636.72
ITEM;41;103;1.16;63.43
ITEM;2202;1;0.64;1172375.00
ITEM;76;44;1.03;473.66
ITEM;674;0;2.50;58336.52
ITEM;727;5;0.59;10241.02
ITEM;2121;-99;0.93;438497.40
ITEM;2121;127;1.04;485659.80
ITEM;678;13;1.04;30583.83
ITEM;2115;116;0.90;510761.80
ITEM;111;42;0.68;17.86
ITEM;676;0;2.50;48613.77
ITEM;115;164;0.25;9.50
ITEM;400;293;0.72;1300.38
ITEM;670;0;2.50;68059.28
ITEM;672;8;1.05;34282.03
ITEM;112;250;0.25;11.41
ITEM;117;250;0.31;19.30
ITEM;26;0;2.50;1642.79
ITEM;121;191;0.25;13.69
ITEM;2407;13;1.19;16471.59
ITEM;2116;121;0.60;1247442.00
ITEM;116;250;0.25;19.71
ITEM;2418;7;1.01;26702.71
ITEM;2128;6;0.57;1093968.00
ITEM;124;250;0.25;23.65
ITEM;27;5;1.05;1230.88
ITEM;737;49;0.57;372788.10
ITEM;743;57;0.89;162151.20
ITEM;671;29;1.05;89990.33
ITEM;28;0;2.50;4747.65
ITEM;673;0;2.50;233346.10
ITEM;675;0;2.50;175009.60
ITEM;677;0;2.50;145841.30
ITEM;2429;3;0.97;47768.85
ITEM;712;8;1.02;80116.88
ITEM;119;38;0.40;40.80
ITEM;123;41;0.76;84.74
ITEM;754;46;0.87;240683.60
ITEM;749;47;0.66;188183.60
ITEM;2123;37;0.99;5686725.00
ITEM;29;3375;1.05;3557.26
ITEM;2129;12;0.60;4002208.00
ITEM;734;54;0.96;263183.60
ITEM;77;145;0.55;610.10
ITEM;52;65;1.18;241.62
ITEM;735;25;0.82;6845508.00
ITEM;122;250;0.25;49.04
ITEM;120;40;0.77;102.88
ITEM;42;90;0.78;99.41
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;34;1.23
SKILL;44;0.58
SKILL;226;1.55
SKILL;73;1.32
SKILL;60;0.99
SKILL;47;0.70
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;127;45;912624;CHAT_PILOT#sector_1_station_0.txt#sector_35.txt#Entertainer Alvis Wedalebac#npc_ship_data_(ATC_Zephyr)#10#missions_transfer_pilot.txt#0#null;Transfer a legal document to <color='yellow'><i>Entertainer Alvis Wedalebac</i></color> in <color='cyan'>Felishar</color>. Return with confirmation at Quantex in <color='cyan'>Dellis Primeria</color>;12;<color='yellow'><i>Entertainer Alvis Wedalebac</i></color> is required to provide the Labor faction a signed legal document. <color='yellow'><i>Entertainer Alvis Wedalebac</i></color> has returned this document unsigned. Last known sighting of <color='yellow'><i>Entertainer Alvis Wedalebac</i></color> was in the area of <color='cyan'>Felishar</color>. Locate them and resolve this problem. Then return to Quantex in the <color='cyan'>Dellis Primeria</color> system to deliver confirmation.;306617;75398
MISSION;127;45;248001;CHAT_PILOT#sector_41_station_0.txt#sector_40.txt#Miner Arsrast Mosa#npc_ship_data_(ATC_Ronin)#23#missions_transfer_pilot.txt#0#null;Transfer a legal document to <color='yellow'><i>Miner Arsrast Mosa</i></color> in <color='cyan'>Dogstar Prime</color>. Return with confirmation at Mazu Starship in <color='cyan'>Volox</color>;12;<color='yellow'><i>Miner Arsrast Mosa</i></color> is required to provide the Labor faction a signed legal document. <color='yellow'><i>Miner Arsrast Mosa</i></color> has returned this document unsigned. Last known sighting of <color='yellow'><i>Miner Arsrast Mosa</i></color> was in the area of <color='cyan'>Dogstar Prime</color>. Locate them and resolve this problem. Then return to Mazu Starship in the <color='cyan'>Volox</color> system to deliver confirmation.;337278;100530
MISSION;126;45;399863;CHAT_PILOT#sector_15_station_0.txt#sector_19.txt#Father Witqa Atefa#npc_ship_data_(Heavy_Assault_Frigate_10)#23#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Father Witqa Atefa</i></color> in <color='cyan'>Crellara</color> and return with signature to Crystalis Broadcasting in <color='cyan'>Jermicus</color>;13;<i>Lomwo Oacaetaj</i> has a bonus payment for <color='yellow'><i>Father Witqa Atefa</i></color>. The Contractor faction has recognized <color='yellow'><i>Father Witqa Atefa</i></color> and has award a bonus payment. <color='yellow'><i>Father Witqa Atefa</i></color> was last working in the <color='cyan'>Crellara</color> system. Find them, deliver this envelope, and return to the Crystalis Broadcasting in the <color='cyan'>Jermicus</color> system with a signature.;210252;71808
MISSION;32;45;679847;TRANSPORT#143#312#sector_13_station_0.txt#sector_4_station_0.txt#null#null#null#null;Move light cargo from Gemini Mining in <color='cyan'>Jala</color> and dock with <color='yellow'>143</color> <color='yellow'>Basic Food Rations</color> at The Dunes in <color='cyan'>The Dunes of Caliph</color>;13;<i>Komcou Dosiv</i> was unable to complete a large shipment from Gemini Mining to The Dunes. A light shipment containing <color='yellow'>143</color> <color='yellow'>Basic Food Rations</color> is located at the storage bay at Gemini Mining in <color='cyan'>Jala</color>. Retrieve the <color='yellow'>Basic Food Rations</color> and transport them to The Dunes in <color='cyan'>The Dunes of Caliph</color>.;18950;6891
MISSION;60;45;104976;HARVEST#67#1#sector_17.txt#sector_58_station_0.txt#null#null#null#null;Harvest special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Rats Of Mortalis</color> and return with <color='yellow'>67</color> ore to CoraVault in <color='cyan'>Lins</color>;12;A local prospector, <i>Ateop Cayoupoe</i> of the Labor faction has located a light quantity of special <color='yellow'>Special Adamyte Ore</color> in the <color='cyan'>Rats Of Mortalis</color> sector. Head over there and harvest all of the special <color='yellow'>Special Adamyte Ore</color>, and meet <i>Ateop Cayoupoe</i> back at CoraVault station located in the <color='cyan'>Lins</color>.;8235;2813
MISSION;152;120;541536;FABRICATE#7#2428#sector_36_station_0.txt#sector_15_station_0.txt#null#null#null#null;Manufacture <color='yellow'>7</color> <color='yellow'>Large Motors</color> at Blargg's station fabricator in <color='cyan'>Beacon Spita</color>;13;<i>Demilel Binfoe</i> from Crystalis Broadcasting Station has commissioned a production run . He has required a small manufacturing run of <color='yellow'>7</color> <color='yellow'>Large Motors</color>. Set your GPS autopilot to <color='cyan'>Beacon Spita</color> and produce these <color='yellow'>Large Motors</color> on site at the Blargg's immediately.;39232;13399
MISSION;62;45;965326;HARVEST#98#1#sector_58.txt#sector_20_station_0.txt#null#null#null#null;Excavate special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color> and return with <color='yellow'>98</color> to Medicore University in <color='cyan'>Cliffs of Drameria</color>;12;<i>Dayi Whovajqe</i> has discovered a light deposit of <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color>. He is currently unable to mine the <color='yellow'>Special Adamyte Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>98</color> <color='yellow'>Special Adamyte Ore</color>. Once complete, head over and meet <i>Dayi Whovajqe</i> at the Medicore University station located in the <color='cyan'>Cliffs of Drameria</color>.;25641;6891
MISSION;112;60;302960;KILL_RAIDERS#sector_77_station_0.txt#sector_17.txt#1#20#npc_ship_data_(ATC_Vulture_MK2)#random#random#random;Destroy <color='yellow'>1 Raider</color> level 20 Raider(s) in <color='cyan'>Rats Of Mortalis</color> and return to Lacuna Bandits in <color='cyan'>Ballast Crow</color>;13;A large Raider gang has been seen lurking around in <color='cyan'>Rats Of Mortalis</color>. Their leader, <i>Imestaf Dayan</i>, is a wanted criminal and the Contractor faction has requested a bounty on <i>Imestaf Dayan</i> and his crew. Travel to the <color='cyan'>Rats Of Mortalis</color> and clear out the <color='yellow'>1 Raider</color>, level 20 Raiders that have been lurking around. Dock at the Lacuna Bandits station in <color='cyan'>Ballast Crow</color> when complete.;33907;10528
MISSION;90;90;646455;KILL_PILOT#sector_0_station_3.txt#sector_68.txt#Major Akas Seryerfei#npc_ship_data_(ATC_Arrow_MK3)#3#null#null#null;Hunt down a low level <color='yellow'><i>Major Akas Seryerfei</i></color> in <color='cyan'>Kriox</color> and return to StarShepards Headquarters in <color='cyan'>Void Starcross</color>;13;<i>Emiah Gorewa</i> has put out a kill contract for <color='yellow'><i>Major Akas Seryerfei</i></color>. Wanted for capital crimes against the Contractor faction for raiding multiple transports. Last known sighting of <color='yellow'><i>Major Akas Seryerfei</i></color> was in the vicinity of the <color='cyan'>Kriox</color> system. After <color='yellow'><i>Major Akas Seryerfei</i></color> is dispatched, return to the StarShepards Headquarters in the <color='cyan'>Void Starcross</color> system to collect the bounty payment.;13908;5250
MISSION;60;45;832857;HARVEST#62#5#sector_20.txt#sector_18_station_0.txt#null#null#null#null;Harvest special <color='yellow'>Special Torim Ore</color> in <color='cyan'>Cliffs of Drameria</color> and return with <color='yellow'>62</color> ore to Dreamstar in <color='cyan'>Gendaria</color>;14;A local prospector, <i>Telast Diegamel</i> of the Extractors faction has located a light quantity of special <color='yellow'>Special Torim Ore</color> in the <color='cyan'>Cliffs of Drameria</color> sector. Head over there and harvest all of the special <color='yellow'>Special Torim Ore</color>, and meet <i>Telast Diegamel</i> back at Dreamstar station located in the <color='cyan'>Gendaria</color>.;11051;2813
MISSION;62;45;717931;HARVEST#123#5#sector_63.txt#sector_78_station_0.txt#null#null#null#null;Excavate special <color='yellow'>Special Torim Ore</color> in <color='cyan'>Numbu</color> and return with <color='yellow'>123</color> to Tella's in <color='cyan'>Bitcola</color>;13;<i>Xenoa Peakomyit</i> has discovered a light deposit of <color='yellow'>Special Torim Ore</color> in <color='cyan'>Numbu</color>. He is currently unable to mine the <color='yellow'>Special Torim Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>123</color> <color='yellow'>Special Torim Ore</color>. Once complete, head over and meet <i>Xenoa Peakomyit</i> at the Tella's station located in the <color='cyan'>Bitcola</color>.;33628;10337
MISSION;134;45;321140;SALVAGE#214#22#sector_57.txt#sector_69_station_1.txt#null#null#null#null;In <color='cyan'>Ponze</color>, Salvage <color='yellow'>Special Undamaged Part</color> and return to Oak Industries in <color='cyan'>Dorando Corridor</color> with at least <color='yellow'>214</color>;13;A local company in <color='cyan'>Ponze</color> has requested a medium salvage of <color='yellow'>214</color> <color='yellow'>Special Undamaged Part</color>. This is a rare find, and the client has requested someone bring the parts back to Oak Industries station located in the <color='cyan'>Dorando Corridor</color>. A Contractor faction representative will be waiting to take the salvage from you.;90110;21103
MISSION;63;45;600294;HARVEST#144#1#sector_58.txt#sector_16_station_0.txt#null#null#null#null;Extract special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color> and return to Rendo Labs in <color='cyan'>Entropy</color> with minimum of <color='yellow'>144</color>;12;The Labor faction has reported that a special medium load of <color='yellow'>Special Adamyte Ore</color> has been scanned in the <color='cyan'>Lins</color> system. <i>Andoe Diejancojag</i> is credited with the find, but His claim is currently invalid. Hurry up and harvest the <color='yellow'>Special Adamyte Ore</color> and return to Rendo Labs, in the <color='cyan'>Entropy</color>.;51492;12059
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.01;ship_data_(transport_frigate_1).txt
SHIP;2;0.99;ship_data_(battle_shuttle_1).txt
SHIP;3;1.00;ship_data_(transport_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
STORAGE;623;1;0;FABRICATOR


