// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Acrondia Hub
STATION;type;Organization Center
STATION;owner;Bidbruei Lowtibem
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;2
STATION;icon;acrondia.png
STATION;filename;sector_95_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-0-1-7-4-3-3-0-3-0-2-0-0
STATION;interior_seed;3-1-0-5
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.68;npc_ship_data_(excavation_escort_1).txt
MERC;7;0.99;npc_ship_data_(support_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Selling Items: (2) Items ;123x30,1101x6;29425;102142.80
ITEM;1640;7;1.07;49066.24
ITEM;1600;18;1.18;23348.44
ITEM;1591;18;1.02;45397.43
ITEM;1560;12;0.53;17576.07
ITEM;1501;15;0.62;17576.07
ITEM;62;78;1.08;17576.07
ITEM;63;15;0.60;17576.07
ITEM;2121;88;0.72;17576.07
ITEM;2117;6;0.79;17576.07
ITEM;2131;72;0.76;17576.07
ITEM;2127;19;0.65;17576.07
ITEM;2116;68;0.55;17576.07
ITEM;2113;47;0.54;17576.07
ITEM;76;10;0.55;17576.07
ITEM;52;89;0.63;17576.07
ITEM;40;20;0.50;17576.07
ITEM;672;22;1.16;17576.07
ITEM;746;18;0.52;17576.07
ITEM;744;37;0.91;17576.07
ITEM;723;23;0.94;17576.07
ITEM;753;26;0.91;170205.3
ITEM;674;21;1.28;25110.74
ITEM;677;2;0.85;25110.74
ITEM;741;18;0.66;25110.74
ITEM;729;31;0.79;13648.64
ITEM;691;23;1.11;9862.49
ITEM;754;34;0.58;9862.49
ITEM;758;32;0.68;80149.08
ITEM;749;18;0.58;80149.08
ITEM;711;28;0.64;80149.08
ITEM;734;34;0.86;80149.08
ITEM;721;24;1.01;6768.955
ITEM;720;1;1.10;6768.955
ITEM;601;9;0.85;11814.04
ITEM;640;3;0.73;11814.04
ITEM;600;2;0.76;11814.04
ITEM;660;3;0.89;11814.04
ITEM;620;8;1.07;11814.04
ITEM;641;8;0.60;11814.04
ITEM;621;9;1.21;11814.04
ITEM;661;9;0.92;12756.54
ITEM;301;4;0.94;12756.54
ITEM;404;17;0.89;12756.54
ITEM;300;18;0.77;88.07738
ITEM;304;18;0.80;88.07738
ITEM;407;7;1.07;6.564676
ITEM;302;18;1.07;6.564676
ITEM;405;8;0.51;6.564676
ITEM;406;2;0.65;0.8437453
ITEM;408;7;0.59;0.8437453
ITEM;303;18;0.57;627.0466
ITEM;403;15;0.98;627.0466
ITEM;21;129;1.16;627.0466
ITEM;20;81;0.60;627.0466
ITEM;2;10;0.53;627.0466
ITEM;1;172;1.20;9.23801
ITEM;100;215;0.66;9.23801
ITEM;104;107;0.83;4.423292
ITEM;103;206;1.06;4.423292
ITEM;101;205;0.60;4.423292
ITEM;114;188;1.07;4.423292
ITEM;102;32;0.99;4.294844
ITEM;162;186;1.07;43.05182
ITEM;150;111;1.09;43.05182
ITEM;156;144;0.66;43.05182
ITEM;157;10;1.21;43.05182
ITEM;169;105;0.95;43.05182
ITEM;164;109;0.84;15.4959
ITEM;167;148;0.95;68.85362
ITEM;155;44;0.79;68.85362
ITEM;160;28;1.08;68.85362
ITEM;166;70;1.10;68.85362
ITEM;151;93;0.58;68.85362
ITEM;168;28;0.58;68.85362
ITEM;152;51;0.57;68.85362
ITEM;159;158;0.55;32.55198
ITEM;153;42;0.69;32.55198
ITEM;2417;16;1.18;32.55198
ITEM;2240;1;0.82;32.55198
ITEM;2101;12;1.25;47755.96
ITEM;2284;11;0.84;47755.96
ITEM;2190;7;0.81;872913.6
ITEM;2345;5;0.88;872913.6
ITEM;2438;5;1.15;872913.6
ITEM;2269;17;0.54;872913.6
ITEM;2432;3;0.66;872913.6
ITEM;2441;5;0.81;872913.6
ITEM;2285;10;0.59;844698.9
ITEM;2445;17;0.66;12403.02
ITEM;2289;8;0.79;12403.02
ITEM;2170;5;1.22;12403.02
ITEM;2387;3;0.89;12403.02
ITEM;2330;13;0.85;12403.02
ITEM;2434;4;1.18;12403.02
ITEM;2362;1;1.12;12403.02
ITEM;2406;14;1.01;12403.02
ITEM;2439;4;0.72;12403.02
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;75;1.95
SKILL;36;0.95
SKILL;16;0.71
SKILL;63;1.51
SKILL;74;1.49
SKILL;228;0.89
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.92;ship_data_(battle_escort_1).txt
SHIP;2;1.08;ship_data_(battle_escort_1).txt
SHIP;3;1.01;ship_data_(pirate_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
