// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Foodmaid
STATION;type;Food Production Plant
STATION;owner;Astto Xulaoyel
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;9
STATION;icon;foodmaid.png
STATION;filename;sector_55_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-1-1-4-1-4-0-2-4-1-9-0-5-6-2-7-1-6-4-3-3-90
STATION;interior_seed;4-3-15-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;48741.34
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.56;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.17;npc_ship_data_(transport_carrier_1).txt
MERC;3;1.95;npc_ship_data_(battle_escort_1).txt
MERC;3;1.98;npc_ship_data_(excavation_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Surplus: (1) Items ;404x218;68;93945.45
ITEM;3;802;1.23;31.55
ITEM;402;468;0.65;10714.50
ITEM;1594;52;1.04;362900.00
ITEM;1051;76;0.81;949661.60
ITEM;2141;21;1.19;6744138.00
ITEM;2165;70;0.93;10757140.00
ITEM;2338;75;1.08;352218.80
ITEM;2111;123;1.11;6956358.00
ITEM;1574;31;0.60;288730.00
ITEM;2321;70;0.86;10870250.00
ITEM;1772;60;0.71;812686.90
ITEM;1624;82;0.55;309150.00
ITEM;42;301;0.52;69.95
ITEM;600;42;0.72;5698.44
ITEM;120;33;0.70;95.03
ITEM;1593;31;0.90;159050.00
ITEM;2261;78;1.15;2149740.00
ITEM;1618;55;0.66;114617.50
ITEM;2116;318;1.08;2114193.00
ITEM;1164;35;0.52;202725.40
ITEM;2128;393;1.01;1822463.00
ITEM;1543;55;0.81;166347.50
ITEM;1174;86;0.72;293184.60
ITEM;2281;43;1.11;2889750.00
ITEM;1633;5;1.16;250812.50
ITEM;1653;80;1.01;220812.50
ITEM;1643;42;0.79;176812.50
ITEM;2308;61;0.61;2703600.00
ITEM;2226;67;0.71;1929750.00
ITEM;1623;77;1.10;286575.00
ITEM;1523;80;0.65;119050.00
ITEM;170;859;1.04;76.55
ITEM;118;1347;0.74;4.48
ITEM;165;232;0.96;56.02
ITEM;6;115;1.05;122.43
ITEM;607;21;1.19;451805.10
ITEM;330;70;0.56;996.46
ITEM;103;10;0.56;1.41
ITEM;407;31;0.99;5.96
ITEM;644;25;1.19;84301.27
ITEM;107;973;0.52;6.85
ITEM;342;40;0.61;2806.68
ITEM;303;39;0.59;625.15
ITEM;150;639;1.02;12.25
ITEM;601;44;1.04;13892.27
ITEM;106;1260;1.05;10.63
ITEM;121;649;0.64;29.31
ITEM;321;28;0.64;1876.56
ITEM;25;640;1.05;426.41
ITEM;2015;758;0.99;795.47
ITEM;728;52;0.98;16110.94
ITEM;23;682;1.05;147.54
ITEM;157;228;0.61;15.10
ITEM;214;728;1.14;268.31
ITEM;711;63;0.91;24097.50
ITEM;670;55;1.11;25285.31
ITEM;678;163;0.98;28999.69
ITEM;756;137;0.80;13410.94
ITEM;2467;53;0.65;59525.00
ITEM;750;54;0.63;10860.94
ITEM;676;94;0.91;15060.94
ITEM;674;61;0.90;17893.13
ITEM;2455;9;1.23;105925.00
ITEM;740;176;0.95;15660.94
ITEM;352;87;1.02;10013.43
ITEM;320;29;1.06;1638.63
ITEM;350;55;0.71;5243.40
ITEM;203;532;1.21;128.88
ITEM;166;769;1.22;76.82
ITEM;104;62;1.22;4.90
ITEM;155;859;1.15;22.04
ITEM;4;72;1.05;44.96
ITEM;690;0;1.19;8988.44
ITEM;700;117;0.79;7956.56
ITEM;692;116;0.79;5304.38
ITEM;691;168;0.85;7552.50
ITEM;701;103;1.02;10026.56
ITEM;2047;435;0.60;3119.75
ITEM;712;25;0.80;64372.50
ITEM;752;91;0.94;103406.30
ITEM;2396;12;0.52;4096.41
ITEM;2014;445;0.76;569.73
ITEM;211;75;0.63;118.28
ITEM;2046;543;0.64;2999.59
ITEM;677;130;1.12;54632.81
ITEM;747;89;1.15;124406.30
ITEM;742;142;1.13;122406.30
ITEM;304;78;1.20;976.50
ITEM;20;117;1.05;30.03
ITEM;2009;92;0.71;479.91
ITEM;105;1267;0.59;5.29
ITEM;2045;533;1.13;4547.15
ITEM;305;24;0.93;238.81
ITEM;1611;66;0.98;36518.13
ITEM;757;90;0.80;40232.81
ITEM;2120;363;0.97;130347.70
ITEM;2120;-99;0.79;108297.70
ITEM;2114;449;0.59;100557.20
ITEM;1015;52;1.22;38633.44
ITEM;2150;14;0.59;221225.80
ITEM;1162;43;0.74;22477.98
ITEM;2126;22;1.02;150119.90
ITEM;621;38;0.76;10462.27
ITEM;1651;67;0.86;47703.13
ITEM;1581;34;1.13;68547.50
ITEM;746;33;0.86;42932.81
ITEM;646;27;0.83;185792.00
ITEM;331;52;0.78;188.45
ITEM;627;35;1.20;455323.70
ITEM;102;392;0.83;2.87
ITEM;2426;42;0.98;36272.16
ITEM;29;0;1.22;4076.49
ITEM;753;175;0.57;109570.30
ITEM;743;40;0.92;167320.30
ITEM;673;138;1.14;88852.50
ITEM;681;17;1.19;104009.10
ITEM;602;13;0.83;19810.05
ITEM;648;38;0.80;550516.30
ITEM;405;16;1.11;1.32
ITEM;604;5;1.15;81675.19
ITEM;2423;72;1.25;34102.90
ITEM;2041;493;0.53;1583.41
ITEM;2;282;1.05;16.52
ITEM;313;79;0.84;274.64
ITEM;123;250;0.61;69.84
ITEM;2006;364;0.52;275.36
ITEM;2130;151;1.25;16128.75
ITEM;1054;77;0.52;1473.75
ITEM;1400;30;0.56;2616.25
ITEM;2118;117;0.56;6540.63
ITEM;2112;179;0.79;10608.75
ITEM;1170;58;0.51;1449.75
ITEM;324;89;0.95;2607.02
ITEM;2040;383;1.21;3007.95
ITEM;2039;884;1.25;4331.94
ITEM;341;23;0.89;5189.36
ITEM;343;53;0.78;5435.95
ITEM;204;375;0.73;89.58
ITEM;322;89;0.51;399.48
ITEM;27;497;1.05;1232.31
ITEM;738;145;0.80;905238.30
ITEM;2005;309;1.05;466.39
ITEM;24;643;1.05;250.82
ITEM;11;97;0.79;124.87
ITEM;2037;80;1.10;3180.56
ITEM;2036;299;0.69;1898.61
ITEM;2035;198;1.04;2496.49
ITEM;643;8;0.59;25663.29
ITEM;2190;76;0.56;613183.60
ITEM;1478;14;0.55;301904.30
ITEM;7;564;1.05;202.00
ITEM;112;156;0.64;24.43
ITEM;2034;797;0.92;2029.38
ITEM;660;10;0.97;7448.44
ITEM;628;15;0.95;642878.40
ITEM;2003;35;1.07;392.18
ITEM;2002;334;0.55;197.26
ITEM;108;670;1.18;17.03
ITEM;218;56;1.08;373.73
ITEM;2033;359;0.91;1826.70
ITEM;661;8;0.89;12054.77
ITEM;666;7;1.01;221982.80
ITEM;28;788;1.05;2094.94
ITEM;2031;406;1.06;1735.20
ITEM;332;42;0.72;2266.88
ITEM;2030;432;0.91;1372.43
ITEM;301;15;0.58;17.05
ITEM;1778;16;0.79;503966.00
ITEM;2324;10;0.71;5114349.00
ITEM;1779;44;0.50;326767.10
ITEM;300;23;0.64;73.08
ITEM;200;736;1.23;98.31
ITEM;404;32;0.96;1.16
ITEM;325;3;0.52;198.32
ITEM;603;37;0.91;37668.41
ITEM;605;4;0.82;105018.50
ITEM;110;551;0.63;11.62
ITEM;606;5;0.85;189813.20
ITEM;623;30;1.11;45171.61
ITEM;2351;71;0.98;278.18
ITEM;101;250;0.95;1.88
ITEM;205;22;1.09;141.59
ITEM;403;64;0.86;1.05
ITEM;406;73;0.94;1.14
ITEM;353;21;0.95;4562.29
ITEM;109;250;1.08;5.25
ITEM;116;474;0.85;54.29
ITEM;729;176;1.23;19860.94
ITEM;311;15;1.14;157.60
ITEM;727;10;0.89;14760.94
ITEM;668;22;0.60;427366.90
ITEM;665;26;0.66;86635.75
ITEM;664;36;0.80;58696.99
ITEM;115;40;0.55;17.86
ITEM;8;51;1.05;333.31
ITEM;400;387;0.90;1590.50
ITEM;2131;418;1.09;49730.63
ITEM;75;304;0.51;113.26
ITEM;1500;77;0.87;20245.31
ITEM;1610;34;0.81;15369.06
ITEM;736;80;1.08;293515.60
ITEM;1550;21;0.81;22601.56
ITEM;201;733;1.23;108.15
ITEM;2119;159;0.57;23242.19
ITEM;1101;28;0.82;6398.44
ITEM;1201;53;1.04;15876.87
ITEM;2125;182;1.11;46356.41
ITEM;2302;82;0.70;238218.80
ITEM;1732;45;1.04;28351.56
ITEM;1731;61;0.50;14851.56
ITEM;2336;36;0.83;11088.75
ITEM;60;400;0.51;67.96
ITEM;1008;66;0.73;5768.44
ITEM;1712;24;0.69;19601.56
ITEM;1171;4;0.66;6334.13
ITEM;312;77;0.96;74.37
ITEM;620;38;0.90;6958.44
ITEM;2288;81;1.13;367218.80
ITEM;1650;18;0.81;22601.56
ITEM;2213;84;1.07;307312.50
ITEM;1765;47;0.60;242946.20
ITEM;2411;22;1.05;21509.52
ITEM;169;418;0.93;72.44
ITEM;2360;20;0.80;574.88
ITEM;153;191;0.78;12.80
ITEM;351;34;0.54;3513.29
ITEM;2197;74;0.92;380273.40
ITEM;302;48;0.70;36.16
ITEM;111;1322;1.14;28.52
ITEM;2025;286;0.82;1173.78
ITEM;310;13;1.13;167.23
ITEM;667;39;0.54;223098.70
ITEM;401;443;0.54;3043.50
ITEM;2327;76;1.10;35821880.00
ITEM;1069;12;1.11;123898.00
ITEM;1502;77;0.74;70061.25
ITEM;737;133;0.92;570410.20
ITEM;2240;78;0.91;1301265.00
ITEM;641;3;0.85;11564.77
ITEM;2127;202;1.12;570224.10
ITEM;2127;-99;1.00;515987.20
ITEM;1067;13;0.69;73956.70
ITEM;61;54;1.20;327.57
ITEM;1173;78;1.13;125956.00
ITEM;622;15;0.57;14236.17
ITEM;1512;61;1.00;96277.50
ITEM;1582;41;1.09;132615.00
ITEM;2245;88;1.09;1477710.00
ITEM;1776;58;1.16;680396.60
ITEM;51;220;0.95;88.10
ITEM;41;23;1.02;56.40
ITEM;1;41;1.05;10.01
ITEM;2166;37;0.58;3370313.00
ITEM;2000;1038;0.61;13.56
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;64;1.14
SKILL;37;1.15
SKILL;42;1.77
SKILL;5;1.48
SKILL;51;1.79
SKILL;58;1.05
SKILL;17;1.12
SKILL;44;1.36
SKILL;230;1.87
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;80;60;159776;RECOVER#3#1110#sector_50.txt#sector_109_station_0.txt#null#null#null#null;Recover a light quantity of <color='yellow'>3</color> <color='yellow'>Generic Heavy Lasers</color> in <color='cyan'>Kilotorish</color>, and return to Vita Assembly in <color='cyan'>Capital Void</color>;12;The Labor faction has lost track of a light crate somewhere in the <color='cyan'>Kilotorish</color> system. Head over there and recover the crate containing <color='yellow'>3</color> units of <color='yellow'>Generic Heavy Lasers</color>, and dock at the Vita Assembly in the <color='cyan'>Capital Void</color> sector. <i>Fieso Bohinta</i> has been instructed to wait for the lost cargo at the Vita Assembly station.;8921;1688
MISSION;152;120;655047;FABRICATE#7#2385#sector_95_station_1.txt#sector_16_station_0.txt#null#null#null#null;Manufacture <color='yellow'>7</color> <color='yellow'>Copperi Plates</color> at Acrondia Hub station fabricator in <color='cyan'>Temple Gates</color>;12;<i>Lesada Zetaerose</i> from Rendo Labs Station has commissioned a production run . He has required a small manufacturing run of <color='yellow'>7</color> <color='yellow'>Copperi Plates</color>. Set your GPS autopilot to <color='cyan'>Temple Gates</color> and produce these <color='yellow'>Copperi Plates</color> on site at the Acrondia Hub immediately.;37517;10719
MISSION;83;60;842151;RECOVER#2#1205#sector_108.txt#sector_0_station_3.txt#null#null#null#null;Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Allabentoris</color> and bring back to StarShepards Headquarters in <color='cyan'>Void Starcross</color>;13;A medium shipping crate has come up missing from a mining operation move in <color='cyan'>Allabentoris</color>. <i>Coota Astweop</i> is looking for an able pilot to scoop up the shipment of <color='yellow'>2</color> <color='yellow'>Improved Ore Harvesters</color>. Once the crate has been recovered, take it to the StarShepards Headquarters station located in the <color='cyan'>Void Starcross</color> where <i>Coota Astweop</i> will be waiting with your payment.;91950;45221
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.96;ship_data_(excavation_escort_1).txt
SHIP;2;1.02;ship_data_(recon_utility_1).txt
SHIP;3;1.09;ship_data_(pirate_cruiser_1).txt
SHIP;4;1.07;ship_data_(support_utility_1).txt
SHIP;5;0.95;ship_data_(battle_frigate_1).txt
SHIP;6;1.00;ship_data_(support_frigate_1).txt
SHIP;7;0.91;ship_data_(pirate_utility_1).txt
SHIP;8;1.06;ship_data_(excavation_carrier_1).txt
SHIP;9;0.94;ship_data_(recon_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
STORAGE;1451;1;0
STORAGE;61;470;0
STORAGE;1101;6;0
STORAGE;1400;1;0
STORAGE;1062;2;0
STORAGE;1060;2;0
STORAGE;690;100;0
STORAGE;670;33;0
STORAGE;1583;1;0
STORAGE;62;156;0
STORAGE;1594;1;0

