// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Oak Industries
STATION;type;Fabrication Plant
STATION;owner;Foexonhas Xulwenars
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;7
STATION;icon;oak.png
STATION;filename;sector_69_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-0-1-2-2-6-0-7-4-2-3-0
STATION;interior_seed;5-0-45-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;22484.41
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;1.39;npc_ship_data_(transport_escort_1).txt
MERC;8;1.67;npc_ship_data_(support_shuttle_1).txt
MERC;9;1.53;npc_ship_data_(battle_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Goods: (1) Items ;41x776;11813;79461.34
ITEM;620;3;0.58;4462.897
ITEM;312;24;0.67;4462.897
ITEM;1007;0;1.19;12008.35
ITEM;2143;59;0.79;12008.35
ITEM;60;72;0.80;12008.35
ITEM;1731;10;0.55;15189.24
ITEM;1732;44;1.07;15189.24
ITEM;1057;38;1.22;15189.24
ITEM;1201;15;1.19;15189.24
ITEM;1702;18;1.17;15189.24
ITEM;1101;27;0.64;15189.24
ITEM;2113;289;0.79;15189.24
ITEM;1600;3;1.16;15189.24
ITEM;75;261;0.57;116.8093
ITEM;400;12;1.17;1957.183
ITEM;115;617;1.22;35.22833
ITEM;664;26;0.64;35.22833
ITEM;665;12;0.78;35.22833
ITEM;727;48;1.20;35.22833
ITEM;311;26;0.87;118.1078
ITEM;109;518;0.88;4.200805
ITEM;353;61;1.12;5120.682
ITEM;406;40;1.16;5120.682
ITEM;403;49;1.00;1.164282
ITEM;2368;19;0.57;1.164282
ITEM;101;1024;0.80;1.164282
ITEM;2351;20;0.52;149.575
ITEM;623;15;1.11;149.575
ITEM;606;27;1.15;241596.9
ITEM;110;220;0.89;15.13291
ITEM;605;29;0.68;15.13291
ITEM;603;30;1.02;40169.6
ITEM;325;12;0.54;191.9976
ITEM;404;30;0.95;1.100567
ITEM;300;4;0.86;91.38773
ITEM;1780;4;0.65;91.38773
ITEM;301;41;1.03;91.38773
ITEM;332;37;0.68;91.38773
ITEM;28;0;1.51;91.38773
ITEM;666;18;1.01;214002.6
ITEM;661;28;0.50;6742.625
ITEM;218;427;0.96;6742.625
ITEM;108;307;1.17;16.36103
ITEM;2002;397;0.71;16.36103
ITEM;2003;672;0.54;200.9565
ITEM;660;12;0.67;200.9565
ITEM;112;616;0.96;33.89378
ITEM;2004;373;0.72;33.89378
ITEM;7;322;0.82;33.89378
ITEM;1477;55;1.00;198189.3
ITEM;1476;34;0.80;198189.3
ITEM;643;30;1.15;45144.14
ITEM;11;99;0.53;45144.14
ITEM;24;77;1.12;45144.14
ITEM;2005;356;1.19;505.535
ITEM;27;0;1.37;505.535
ITEM;322;66;0.48;354.9267
ITEM;204;523;0.55;65.26399
ITEM;2420;14;1.11;34126.22
ITEM;343;51;0.63;4236.04
ITEM;341;52;0.81;4236.04
ITEM;324;23;0.81;2149.45
ITEM;735;89;0.54;2149.45
ITEM;1001;0;1.49;4259.141
ITEM;1110;44;0.66;4259.141
ITEM;2124;104;0.71;4259.141
ITEM;1200;24;1.17;4259.141
ITEM;2112;214;0.79;10078.48
ITEM;2118;143;1.05;11029.44
ITEM;2130;141;0.81;11029.44
ITEM;2006;133;1.12;526.929
ITEM;313;7;0.56;181.1543
ITEM;2;371;0.47;6.005569
ITEM;604;21;0.99;6.005569
ITEM;405;31;0.75;0.8866689
ITEM;602;7;1.14;25601.71
ITEM;2007;45;0.66;351.034
ITEM;2389;34;0.51;351.034
ITEM;743;33;0.75;351.034
ITEM;748;51;0.73;351.034
ITEM;753;120;0.59;106096.4
ITEM;671;57;0.74;50316.93
ITEM;29;0;1.41;4570.872
ITEM;102;1;0.94;3.077296
ITEM;331;34;0.62;3.077296
ITEM;646;27;1.09;3.077296
ITEM;1521;22;0.60;3.077296
ITEM;2224;14;0.77;3.077296
ITEM;746;92;0.75;36372.52
ITEM;1751;55;0.47;36372.52
ITEM;1571;2;0.81;44788.46
ITEM;1651;5;0.83;44788.46
ITEM;621;5;0.98;44788.46
ITEM;1013;0;1.20;44788.46
ITEM;1112;20;0.69;19958.65
ITEM;1172;1;1.04;19958.65
ITEM;730;135;0.74;19958.65
ITEM;2126;0;1.09;19958.65
ITEM;2126;271;0.88;19958.65
ITEM;1102;65;0.75;19958.65
ITEM;1015;67;0.97;30035.84
ITEM;1060;53;0.73;30035.84
ITEM;2120;108;0.48;30035.84
ITEM;757;45;1.12;52957.02
ITEM;2474;65;0.99;166395.2
ITEM;2269;29;1.12;166395.2
ITEM;305;10;0.75;188.6617
ITEM;2427;13;0.95;37388.09
ITEM;105;363;0.88;37388.09
ITEM;2010;694;1.04;37388.09
ITEM;2392;61;0.82;3961.506
ITEM;20;553;1.05;3961.506
ITEM;219;587;1.11;3961.506
ITEM;304;2;0.79;639.6106
ITEM;742;109;1.08;639.6106
ITEM;677;37;0.90;43056.86
ITEM;211;442;0.88;152.8389
ITEM;2014;635;0.65;152.8389
ITEM;2396;26;0.76;152.8389
ITEM;752;34;0.75;152.8389
ITEM;758;113;0.55;152.8389
ITEM;209;383;1.06;150.4686
ITEM;2429;31;0.73;35442.8
ITEM;701;87;0.65;6365.368
ITEM;690;46;1.21;6365.368
ITEM;1460;23;0.52;14477.57
ITEM;4;671;1.06;14477.57
ITEM;104;935;0.79;3.144827
ITEM;166;181;0.54;34.9063
ITEM;203;202;0.89;93.28668
ITEM;350;15;1.14;93.28668
ITEM;320;4;0.96;93.28668
ITEM;352;50;0.75;7197.328
ITEM;680;97;0.84;7197.328
ITEM;672;22;1.09;7197.328
ITEM;674;118;0.48;9633.208
ITEM;732;132;0.84;13375.34
ITEM;756;19;1.05;13375.34
ITEM;711;35;0.56;14678.36
ITEM;214;212;1.02;14678.36
ITEM;157;611;0.86;14678.36
ITEM;23;218;1.02;14678.36
ITEM;728;32;1.17;14678.36
ITEM;25;465;1.00;393.1027
ITEM;321;52;1.09;2932.247
ITEM;121;944;0.73;31.45592
ITEM;106;836;0.72;31.45592
ITEM;601;11;1.04;31.45592
ITEM;150;376;0.52;6.298953
ITEM;303;69;1.19;1139.904
ITEM;342;8;0.56;2431.877
ITEM;107;50;0.67;2431.877
ITEM;644;4;0.83;2431.877
ITEM;407;7;0.88;2431.877
ITEM;103;450;0.57;1.340092
ITEM;330;52;1.03;1.340092
ITEM;2171;8;0.96;1.023171E+07
ITEM;6;153;0.51;1.023171E+07
ITEM;165;384;0.54;1.023171E+07
ITEM;118;548;1.05;1.023171E+07
ITEM;170;14;0.56;1.023171E+07
ITEM;2221;15;0.91;1857863
ITEM;1623;58;1.03;1857863
ITEM;2308;54;1.22;1857863
ITEM;1513;42;0.62;117814.7
ITEM;1025;0;1.43;612705.1
ITEM;1164;59;0.54;612705.1
ITEM;2122;123;0.89;1424178
ITEM;1404;3;0.54;357803.4
ITEM;1618;37;0.74;357803.4
ITEM;1603;48;0.63;357803.4
ITEM;2376;31;1.06;357803.4
ITEM;600;6;0.64;4863.253
ITEM;42;182;0.62;4863.253
ITEM;52;69;0.76;155.092
ITEM;1534;45;0.83;354194.9
ITEM;1777;57;0.77;781626.3
ITEM;1654;2;0.81;343928.9
ITEM;1005;0;1.54;2299414
ITEM;2111;217;0.81;4982534
ITEM;62;103;0.72;439.3964
ITEM;2129;114;0.97;439.3964
ITEM;2165;31;1.14;439.3964
ITEM;2117;122;0.52;3587943
ITEM;1405;52;1.06;2330561
ITEM;1604;62;0.55;173435.9
ITEM;77;381;0.28;320.6135
ITEM;2135;65;0.94;6240281
ITEM;3;180;1.17;6240281
ITEM;726;89;0.61;9906.291
ITEM;207;458;0.94;143.2292
ITEM;164;115;1.19;20.00342
ITEM;114;974;0.63;20.00342
ITEM;21;0;1.24;20.00342
ITEM;2440;55;0.61;20.00342
ITEM;113;499;0.69;4.786716
ITEM;2016;144;1.18;993.2245
ITEM;2017;120;0.74;993.2245
ITEM;723;112;0.95;6032.404
ITEM;159;47;0.73;6032.404
ITEM;725;49;0.92;6032.404
ITEM;626;27;0.47;104941.5
ITEM;323;54;0.75;1439.776
ITEM;1450;56;1.19;13035.57
ITEM;117;726;0.72;13035.57
ITEM;152;604;0.54;13035.57
ITEM;2018;19;0.74;775.2369
ITEM;625;16;0.50;64234.52
ITEM;642;9;0.64;64234.52
ITEM;340;53;0.79;1254.157
ITEM;640;16;1.16;8495.826
ITEM;645;31;0.79;8495.826
ITEM;162;499;1.07;40.80434
ITEM;744;109;0.87;40.80434
ITEM;2471;66;1.04;1406601
ITEM;760;65;0.56;1406601
ITEM;2021;502;0.96;1406601
ITEM;5;651;1.07;1406601
ITEM;333;56;0.79;1406601
ITEM;22;62;1.05;1406601
ITEM;624;14;0.98;1406601
ITEM;663;6;0.50;20654
ITEM;662;34;0.70;20654
ITEM;100;921;1.10;20654
ITEM;26;272;1.05;20654
ITEM;408;14;1.16;14.69397
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;34;1.80
SKILL;232;1.00
SKILL;15;1.80
SKILL;229;1.73
SKILL;230;0.89
SKILL;33;0.51
SKILL;51;1.36
SKILL;13;1.13
SKILL;53;1.23
SKILL;223;0.56
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;80;60;365556;RECOVER#357#157#sector_59.txt#sector_71_station_0.txt#null#null#null#null;Recover a light quantity of <color='yellow'>357</color> <color='yellow'>Metal Brackets</color> in <color='cyan'>Coralor</color>, and return to Inovex in <color='cyan'>Goru Populan</color>;3;The Trade faction has lost track of a light crate somewhere in the <color='cyan'>Coralor</color> system. Head over there and recover the crate containing <color='yellow'>357</color> units of <color='yellow'>Metal Brackets</color>, and dock at the Inovex in the <color='cyan'>Goru Populan</color> sector. <i>Jelea Meljel</i> has been instructed to wait for the lost cargo at the Inovex station.;7549;2250
MISSION;22;120;902639;COLLECT#19#2043#sector_15_station_0.txt#sector_56_station_1.txt#null#null#null#null;Return to Crystalis Broadcasting in <color='cyan'>Jermicus</color> with a light collection of <color='yellow'>19</color> <color='yellow'>Heating Units</color>;3;A request has been made by the Overseer of Crystalis Broadcasting in <color='cyan'>Jermicus</color> for the acquisition of <color='yellow'>19</color> <color='yellow'>Heating Units</color>. <i>Necou Kaddgalegee</i> will reimburse you for the cost of the items, as well as payment for your troubles.;23161;8422
MISSION;71;45;620084;ESCORT#sector_2_station_0.txt#sector_56_station_1.txt#Bishop Daela Coowhe#npc_ship_data_(battle_escort_2)#18#null#null#null;<color='yellow'><i>Bishop Daela Coowhe</i></color> requests an escort from Oro Omniplex Center in <color='cyan'>Merces Academy</color> to ValueStar in <color='cyan'>Hunu</color>;3;The Astrox Security Patrol has posted a contract for the safe delivery of a <color='yellow'><i>Bishop Daela Coowhe</i></color>, wanted for questioning in a non-violent incident a few cycles ago in the <color='cyan'>Merces Academy</color> system. Escort <color='yellow'><i>Bishop Daela Coowhe</i></color> from Oro Omniplex Center to ValueStar in the <color='cyan'>Hunu</color> system.;10500;4375
MISSION;81;60;605928;RECOVER#4#8#sector_56.txt#sector_15_station_0.txt#null#null#null#null;Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Hunu</color> sector, and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>;3;<i>Seddemi Ferxenne</i> has lost track of a shipment crate from his last haul. It has been reported found in <color='cyan'>Hunu</color>. In an effort to save time, <i>Seddemi Ferxenne</i> has sub-contracted the task of returning the light shipment to Crystalis Broadcasting in <color='cyan'>Jermicus</color>. The Trade faction is aware of the situation and has sent a representative to Crystalis Broadcasting.;15614;5907
MISSION;101;120;464033;KILL_RECOVER#sector_77_station_0.txt#sector_62.txt#Major Lowfae Angore#npc_ship_data_(VVS_Jaeger)#5#2#1540#null;Hijack <color='yellow'><i>Major Lowfae Angore</i></color> in <color='cyan'>Jelumus</color> for <color='yellow'>2</color> <color='yellow'>Basic Mass Reductions</color> and deliver them to Lacuna Bandits in <color='cyan'>Ballast Crow</color>;4;Authorities in <color='cyan'>Jelumus</color> have reported the location of a known criminal, <color='yellow'><i>Major Lowfae Angore</i></color>. He is carrying some stolen property belonging to members of the Financial faction. Destroy <color='yellow'><i>Major Lowfae Angore</i></color>'s ship and recover the <color='yellow'>2</color> <color='yellow'>Basic Mass Reductions</color>. When finished, meet up with <i>Quwhe Fevelsiv</i>, you can find him at Lacuna Bandits in <color='cyan'>Ballast Crow</color>.;15313;4594
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.93;ship_data_(pirate_utility_1).txt
SHIP;2;1.01;ship_data_(support_cruiser_1).txt
SHIP;3;1.10;ship_data_(support_shuttle_1).txt
SHIP;4;1.04;ship_data_(excavation_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

