// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;SimKitten
STATION;type;Tavern Station
STATION;owner;Bruwhikadd Xenbue
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;4
STATION;icon;simkitten.png
STATION;filename;sector_83_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-0-0-6-9-1-2-1-7-9-0-9-0-6-4-1-9-90
STATION;interior_seed;4-1-30-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;41707.62
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.47;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.08;npc_ship_data_(battle_cruiser_1).txt
MERC;4;1.90;npc_ship_data_(transport_cruiser_1).txt
MERC;9;1.36;npc_ship_data_(recon_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (1) Items ;312x250;23580.00;46262.23
ITEM;1540;3;0.60;15797.8
ITEM;1731;19;1.09;15797.8
ITEM;1201;31;0.57;15797.8
ITEM;1161;32;0.53;15797.8
ITEM;2113;197;0.95;15797.8
ITEM;1055;29;0.70;15797.8
ITEM;2119;66;1.01;15797.8
ITEM;736;78;0.80;15797.8
ITEM;1610;22;0.95;15797.8
ITEM;2131;141;1.15;15797.8
ITEM;2253;3;0.74;15797.8
ITEM;400;279;0.93;15797.8
ITEM;311;0;1.26;15797.8
ITEM;109;481;1.23;15797.8
ITEM;406;11;0.90;15797.8
ITEM;403;0;1.35;15797.8
ITEM;101;176;1.03;15797.8
ITEM;168;255;1.20;15797.8
ITEM;623;19;1.16;15797.8
ITEM;603;11;0.55;15797.8
ITEM;325;9;0.58;15797.8
ITEM;404;0;1.29;15797.8
ITEM;300;24;1.10;15797.8
ITEM;301;13;0.83;23.15841
ITEM;661;16;1.18;23.15841
ITEM;660;9;0.64;23.15841
ITEM;2190;30;0.74;780534.1
ITEM;643;14;0.67;780534.1
ITEM;322;35;1.14;780534.1
ITEM;151;288;0.78;780534.1
ITEM;2040;28;0.81;780534.1
ITEM;324;14;1.18;3159.169
ITEM;2124;91;0.58;3159.169
ITEM;2160;22;0.53;3159.169
ITEM;2118;135;0.67;3159.169
ITEM;1400;25;0.90;3159.169
ITEM;313;0;1.37;3159.169
ITEM;2;37;1.16;3159.169
ITEM;2041;41;0.67;3159.169
ITEM;405;0;1.26;3159.169
ITEM;2042;26;0.81;3159.169
ITEM;602;13;1.03;3159.169
ITEM;2043;26;0.67;2337.473
ITEM;743;73;1.14;202848.2
ITEM;748;57;0.54;103247.4
ITEM;731;18;0.67;103247.4
ITEM;753;28;1.05;187265.2
ITEM;671;31;0.78;187265.2
ITEM;2044;36;0.68;187265.2
ITEM;102;101;0.50;187265.2
ITEM;1621;0;1.50;118835.1
ITEM;741;20;0.64;118835.1
ITEM;1751;25;0.75;118835.1
ITEM;1641;0;1.56;103259.9
ITEM;1581;38;0.74;103259.9
ITEM;1511;1;0.76;103259.9
ITEM;1651;0;1.56;103259.9
ITEM;2289;16;1.16;103259.9
ITEM;621;8;1.05;103259.9
ITEM;1013;7;1.07;103259.9
ITEM;1631;0;1.26;103259.9
ITEM;2279;24;0.63;103259.9
ITEM;1014;2;0.94;25256.31
ITEM;2102;4;0.85;25256.31
ITEM;2450;36;0.61;25256.31
ITEM;1062;5;0.52;25256.31
ITEM;1205;12;0.79;25256.31
ITEM;1060;13;1.10;25256.31
ITEM;2120;48;1.00;25256.31
ITEM;305;19;1.03;260.7623
ITEM;2045;37;0.88;3609.808
ITEM;105;169;1.00;3609.808
ITEM;20;329;1.05;3609.808
ITEM;304;34;0.66;3609.808
ITEM;742;58;0.90;3609.808
ITEM;2451;5;0.82;3609.808
ITEM;2046;29;0.85;3609.808
ITEM;211;303;0.98;3609.808
ITEM;752;62;0.83;92163.2
ITEM;758;49;1.01;92163.2
ITEM;2047;58;0.58;2987.849
ITEM;701;43;0.67;2987.849
ITEM;700;7;1.08;2987.849
ITEM;1460;14;1.21;2987.849
ITEM;4;277;1.19;2987.849
ITEM;155;369;0.98;2987.849
ITEM;104;237;0.85;2987.849
ITEM;2048;28;0.78;2987.849
ITEM;203;29;0.81;2987.849
ITEM;320;27;1.12;2987.849
ITEM;680;19;1.09;2987.849
ITEM;672;29;0.77;20636.96
ITEM;674;24;1.23;20636.96
ITEM;676;53;0.54;20636.96
ITEM;756;24;0.75;20636.96
ITEM;670;6;0.88;20636.96
ITEM;157;332;1.20;20636.96
ITEM;23;137;1.18;20636.96
ITEM;160;315;1.02;20636.96
ITEM;210;250;0.94;20636.96
ITEM;321;13;0.90;20636.96
ITEM;106;332;0.97;20636.96
ITEM;601;17;1.00;20636.96
ITEM;150;234;0.50;20636.96
ITEM;303;3;1.08;20636.96
ITEM;107;282;0.75;20636.96
ITEM;407;29;1.21;20636.96
ITEM;103;357;0.91;20636.96
ITEM;118;530;0.75;20636.96
ITEM;170;373;0.88;65.07741
ITEM;2221;17;0.99;65.07741
ITEM;1623;0;1.49;65.07741
ITEM;2276;31;0.63;2063665
ITEM;1753;40;0.74;2063665
ITEM;1643;0;1.26;2063665
ITEM;1583;26;1.13;2063665
ITEM;1653;0;1.55;410263.1
ITEM;2291;13;0.97;410263.1
ITEM;1633;0;1.41;410263.1
ITEM;2128;13;0.53;410263.1
ITEM;2116;188;0.82;1643264
ITEM;2122;189;0.76;1643264
ITEM;2271;31;1.18;1643264
ITEM;1603;2;1.08;168797.9
ITEM;2211;1;1.11;2424108
ITEM;213;188;1.09;2424108
ITEM;600;4;1.17;2424108
ITEM;2335;28;0.72;2424108
ITEM;1624;0;1.42;904333.1
ITEM;1754;40;0.83;904333.1
ITEM;2315;25;0.67;904333.1
ITEM;1644;0;1.51;904333.1
ITEM;2287;31;0.68;904333.1
ITEM;1654;0;1.56;825989.7
ITEM;2111;21;0.86;825989.7
ITEM;1634;0;1.46;774290.7
ITEM;62;86;0.67;774290.7
ITEM;2129;74;1.21;774290.7
ITEM;2153;23;1.14;774290.7
ITEM;2117;3;1.22;774290.7
ITEM;2123;195;1.25;7010831
ITEM;2272;34;0.87;3481689
ITEM;77;125;1.16;3481689
ITEM;2257;39;1.08;3481689
ITEM;3;121;0.80;3481689
ITEM;2049;58;0.61;3481689
ITEM;726;38;0.80;13385.45
ITEM;207;335;0.69;13385.45
ITEM;164;340;1.12;13385.45
ITEM;154;233;0.69;13385.45
ITEM;114;15;0.57;13385.45
ITEM;21;73;0.81;13385.45
ITEM;113;106;1.15;13385.45
ITEM;216;314;0.67;13385.45
ITEM;693;50;1.00;13385.45
ITEM;703;27;0.91;13385.45
ITEM;2399;25;0.75;13385.45
ITEM;215;117;0.75;201.1466
ITEM;323;36;0.52;201.1466
ITEM;152;385;0.90;13.21469
ITEM;156;225;1.18;13.21469
ITEM;642;10;0.80;13.21469
ITEM;640;15;0.64;13.21469
ITEM;744;59;0.98;266624.3
ITEM;2465;11;0.63;266624.3
ITEM;754;21;1.05;266624.3
ITEM;1300;17;0.67;266624.3
ITEM;22;372;0.59;41.01858
ITEM;2434;18;1.12;41.01858
ITEM;663;5;1.03;41.01858
ITEM;662;2;1.16;41.01858
ITEM;100;198;1.26;2.025647
ITEM;408;30;1.24;2.025647
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;25;1.80
SKILL;212;0.97
SKILL;211;1.03
SKILL;3;1.59
SKILL;27;1.68
SKILL;58;1.56
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;41;45;952201;SCAN_PILOT#sector_63_station_0.txt#sector_0.txt#Lieutenant Nacie Kolbelkee#npc_ship_data_(VVS_Valkyr)#20#null#null#null;Find <color='yellow'><i>Lieutenant Nacie Kolbelkee</i></color> in <color='cyan'>Void Starcross</color>, scan their ship, and return to Lammassu Hub in <color='cyan'>Numbu</color>;6;<color='yellow'><i>Lieutenant Nacie Kolbelkee</i></color> has recently been paroled for a capital crime, and their parole officer has received information about a possible raid in <color='cyan'>Void Starcross</color>. Head to <color='cyan'>Void Starcross</color> and perform a scan of <color='yellow'><i>Lieutenant Nacie Kolbelkee</i></color>'s ship and return to Lammassu Hub in <color='cyan'>Numbu</color> with the scan data for review.;14875;6125
MISSION;63;45;715114;HARVEST#143#10#sector_106.txt#sector_56_station_0.txt#null#null#null#null;Extract special <color='yellow'>Special Zai Ore</color> in <color='cyan'>Crown of Imperium</color> and return to Transporteers in <color='cyan'>Hunu</color> with minimum of <color='yellow'>143</color>;6;The Pirate faction has reported that a special medium load of <color='yellow'>Special Zai Ore</color> has been scanned in the <color='cyan'>Crown of Imperium</color> system. <i>Sedbru Resriwho</i> is credited with the find, but His claim is currently invalid. Hurry up and harvest the <color='yellow'>Special Zai Ore</color> and return to Transporteers, in the <color='cyan'>Hunu</color>.;55170;15074
MISSION;100;120;772778;KILL_RECOVER#sector_109_station_0.txt#sector_0.txt#Rookie Ilewen Quyeldie#npc_ship_data_(pirate_utility_1)#3#2#1617#null;Kill and Rob <color='yellow'><i>Rookie Ilewen Quyeldie</i></color> in <color='cyan'>Void Starcross</color> and return to Vita Assembly in <color='cyan'>Capital Void</color> with <color='yellow'>2</color> of <color='yellow'>Advanced Scan Boosters</color>;7;<i>Asxad Dielockieno</i> was hijacked for <color='yellow'>2</color> <color='yellow'>Advanced Scan Boosters</color> by a pilot named <color='yellow'><i>Rookie Ilewen Quyeldie</i></color>. The Outlaw has approved a 'Kill and Recover' contract for the criminal <color='yellow'><i>Rookie Ilewen Quyeldie</i></color>. Last seen in the <color='cyan'>Void Starcross</color> system, <color='yellow'><i>Rookie Ilewen Quyeldie</i></color> is considered to be un-prepared for combat. Take him out and return the <color='yellow'>Advanced Scan Boosters</color> to Vita Assembly in <color='cyan'>Capital Void</color>.;14875;6125
MISSION;130;45;390062;SALVAGE#59#25#sector_62.txt#sector_63_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Module Fragment</color> in <color='cyan'>Jelumus</color> and return with <color='yellow'>59</color> to Lammassu Hub in <color='cyan'>Numbu</color>;8;A local prospector, <i>Nineron Vedda</i> of the Sovereign faction has located a light quantity of special <color='yellow'>Special Module Fragment</color> in the <color='cyan'>Jelumus</color> sector. Head over there and salvage all of the special <color='yellow'>Special Module Fragment</color>, and meet <i>Nineron Vedda</i> back at Lammassu Hub station located in the <color='cyan'>Numbu</color>.;14411;6188
MISSION;130;45;776577;SALVAGE#63#25#sector_70.txt#sector_36_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Module Fragment</color> in <color='cyan'>Beaondus</color> and return with <color='yellow'>63</color> to Blargg's in <color='cyan'>Beacon Spita</color>;7;A local prospector, <i>Xima Biragillalom</i> of the Outlaw faction has located a light quantity of special <color='yellow'>Special Module Fragment</color> in the <color='cyan'>Beaondus</color> sector. Head over there and salvage all of the special <color='yellow'>Special Module Fragment</color>, and meet <i>Xima Biragillalom</i> back at Blargg's station located in the <color='cyan'>Beacon Spita</color>.;20093;7875
MISSION;84;60;900724;RECOVER#1#1025#sector_105.txt#sector_82_station_0.txt#null#null#null#null;Recover a medium shipment <color='yellow'>crate</color> in <color='cyan'>Astrelia Gentris</color> and bring back to Kith in <color='cyan'>Kidd Overture</color>;6;In the <color='cyan'>Astrelia Gentris</color> sector, a medium shipment of <color='yellow'>Premium Heavy Cannon</color> have been reported to the local Pirate authorities as derelict. <i>Sedvaj Caedo</i> has filed a claim on the crate, and has requested a recovery contract for <color='yellow'>1</color> <color='yellow'>Premium Heavy Cannon</color> to be delivered Kith station in <color='cyan'>Kidd Overture</color>.;90110;21103
MISSION;30;45;220652;TRANSPORT#4#1171#sector_14_station_0.txt#sector_16_station_0.txt#null#null#null#null;Transport a light shipment of <color='yellow'>4</color> <color='yellow'>Basic Ion Beams</color> from Imperium Republica  in <color='cyan'>Gate of Alpharis</color> to Rendo Labs in <color='cyan'>Entropy</color>;6;Transport manager <i>Gotlea Homop</i> has requested a transport of a light shipment of <color='yellow'>4</color> <color='yellow'>Basic Ion Beams</color>. They need to be picked up at the storage facility at Imperium Republica  in <color='cyan'>Gate of Alpharis</color>, and transported to Rendo Labs in <color='cyan'>Entropy</color>. <i>Gotlea Homop</i> will be waiting at Rendo Labs to receive the shipment.;6750;1125
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.99;ship_data_(recon_carrier_1).txt
SHIP;2;1.08;ship_data_(excavation_cruiser_1).txt
SHIP;3;1.02;ship_data_(battle_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

