// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Scrapdogs
STATION;type;Civil League
STATION;owner;Timwhilei Jaliszaesiv
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;2
STATION;icon;scrapdogs.png
STATION;filename;sector_85_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-4-1-3-4-2-1-0-1-7-3-2-1-6-7-2-7-90
STATION;interior_seed;5-1-0-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;42950.23
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.09;npc_ship_data_(transport_carrier_1).txt
MERC;3;0.63;npc_ship_data_(excavation_escort_1).txt
MERC;6;1.35;npc_ship_data_(recon_shuttle_1).txt
MERC;5;1.97;npc_ship_data_(excavation_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (1) Items ;305x812;127489.00;51813.37
ITEM;168;23;1.17;32.70045
ITEM;110;29;0.78;13.93149
ITEM;300;7;1.16;124.5696
ITEM;301;5;1.10;124.5696
ITEM;661;8;0.64;8902.545
ITEM;108;35;0.70;8902.545
ITEM;660;7;0.68;5386.97
ITEM;112;41;0.78;28.78057
ITEM;151;94;0.67;28.78057
ITEM;343;0;1.31;28.78057
ITEM;341;0;1.31;9241.886
ITEM;1110;11;0.73;1810.867
ITEM;1170;5;1.19;1810.867
ITEM;2100;19;0.61;1810.867
ITEM;2124;43;0.86;1810.867
ITEM;1200;2;0.64;1810.867
ITEM;1003;5;1.23;3167.649
ITEM;123;41;0.74;3167.649
ITEM;2;132;1.06;3167.649
ITEM;405;12;1.19;3167.649
ITEM;743;26;1.18;3167.649
ITEM;679;16;0.80;3167.649
ITEM;671;4;0.71;3167.649
ITEM;102;266;0.57;2.040929
ITEM;1531;9;0.59;2.040929
ITEM;746;17;0.70;35402.76
ITEM;1511;1;0.86;35402.76
ITEM;621;8;1.08;35402.76
ITEM;1631;8;1.10;59524.36
ITEM;2126;73;1.14;165652.1
ITEM;757;20;0.70;165652.1
ITEM;1616;0;1.05;165652.1
ITEM;1601;0;1.35;165652.1
ITEM;1561;1;1.02;165652.1
ITEM;1611;0;1.29;58667.5
ITEM;2264;9;0.63;58667.5
ITEM;1591;0;1.22;58667.5
ITEM;305;19;1.25;313.209
ITEM;105;41;0.84;313.209
ITEM;20;106;0.70;16.49297
ITEM;304;13;0.83;16.49297
ITEM;742;10;0.99;108400.9
ITEM;700;1;1.05;10212.6
ITEM;158;91;1.05;10212.6
ITEM;155;130;0.84;10212.6
ITEM;104;51;0.91;3.723569
ITEM;166;22;1.19;3.723569
ITEM;732;24;1.06;3.723569
ITEM;678;12;0.51;3.723569
ITEM;157;143;0.86;3.723569
ITEM;160;199;1.11;3.723569
ITEM;161;159;1.07;3.723569
ITEM;2201;16;0.89;3.723569
ITEM;121;39;0.80;3.723569
ITEM;106;44;0.70;3.723569
ITEM;601;9;0.92;3.723569
ITEM;150;67;0.95;3.723569
ITEM;303;11;0.92;3.723569
ITEM;342;0;1.31;3.723569
ITEM;107;33;0.72;3.723569
ITEM;407;13;0.82;3.723569
ITEM;103;226;1.15;3.723569
ITEM;165;172;1.03;3.723569
ITEM;118;32;0.82;4.86249
ITEM;2116;85;0.83;4.86249
ITEM;2122;43;0.69;1171449
ITEM;1618;0;1.30;1171449
ITEM;1603;0;1.32;1171449
ITEM;1613;0;1.30;1171449
ITEM;1593;0;1.23;1171449
ITEM;120;29;0.75;1171449
ITEM;600;5;0.83;1171449
ITEM;42;92;0.84;1171449
ITEM;52;45;0.68;1171449
ITEM;2315;10;1.00;1171449
ITEM;2111;44;0.95;1171449
ITEM;2111;-99;1.17;1171449
ITEM;62;79;0.71;1171449
ITEM;1619;0;1.26;1171449
ITEM;1604;0;1.35;1171449
ITEM;1614;0;1.27;1171449
ITEM;77;95;0.76;1171449
ITEM;1594;0;1.35;1171449
ITEM;164;69;1.12;1171449
ITEM;154;80;1.24;58.26033
ITEM;114;1;1.24;58.26033
ITEM;21;188;0.55;58.26033
ITEM;113;40;0.75;58.26033
ITEM;119;31;0.75;58.26033
ITEM;722;5;1.20;58.26033
ITEM;720;32;0.76;58.26033
ITEM;159;38;0.99;58.26033
ITEM;117;26;0.68;58.26033
ITEM;152;106;0.69;58.26033
ITEM;156;76;0.54;58.26033
ITEM;340;0;1.24;58.26033
ITEM;640;4;0.96;58.26033
ITEM;162;62;1.19;58.26033
ITEM;744;38;0.58;58.26033
ITEM;124;38;0.70;58.26033
ITEM;1300;12;0.83;58.26033
ITEM;122;43;0.84;58.26033
ITEM;100;116;0.68;58.26033
ITEM;408;3;0.75;58.26033
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;21;1.50
SKILL;220;1.90
SKILL;232;1.99
SKILL;5;0.85
SKILL;16;1.69
SKILL;59;1.57
SKILL;13;0.54
SKILL;34;0.70
SKILL;233;1.52
SKILL;57;0.79
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;124;45;655309;CHAT_PILOT#sector_106_station_0.txt#sector_86.txt#Liaison Daledemi Asastcor#npc_ship_data_(excavation_utility_1)#5#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Liaison Daledemi Asastcor</i></color> over an outstanding warrant in <color='cyan'>Jonisae</color> and return to Acrondia Corp. in <color='cyan'>Crown of Imperium</color>;7;<i>Xiop Portbemel</i> of the Outlaw faction has sent out a warrent for the arrest of <color='yellow'><i>Liaison Daledemi Asastcor</i></color>. Last known sighting of <color='yellow'><i>Liaison Daledemi Asastcor</i></color> was in the area of <color='cyan'>Jonisae</color>. Bring them back alive to the Acrondia Corp. in the <color='cyan'>Crown of Imperium</color> system to complete this contract.;68654;9379
MISSION;153;120;807635;FABRICATE#14#2370#sector_20_station_0.txt#sector_58_station_0.txt#null#null#null#null;Produce a medium shipment of <color='yellow'>14</color> <color='yellow'>Regulators</color> in <color='cyan'>Cliffs of Drameria</color> at the Medicore University station fabricator;8;CoraVault Station has contacted our client informing them of some medium cargo that remains missing by a former employee, <i>Padvi Ronwit</i> of the Sovereign Faction. <color='yellow'>14</color> <color='yellow'>Regulators</color> production run in <color='cyan'>Cliffs of Drameria</color>, at the Medicore University fabricator.;75032;28137
MISSION;102;120;518022;KILL_RECOVER#sector_14_station_0.txt#sector_108.txt#General Wohom Yanbrudo#npc_ship_data_(ATC_Vulture)#7#3#1701#null;Hijack and kill <color='yellow'><i>General Wohom Yanbrudo</i></color> in <color='cyan'>Allabentoris</color> and steal <color='yellow'>3</color> <color='yellow'>Basic Projectile Energy Mods</color>. Return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;6;The Pirate faction has been following an escaped fugitive named <color='yellow'><i>General Wohom Yanbrudo</i></color>. He was recently seen around the <color='cyan'>Allabentoris</color> system, but his exact location is unknown. <color='yellow'><i>General Wohom Yanbrudo</i></color> is carrying some cargo that was taken from the security facility. Return the <color='yellow'>Basic Projectile Energy Mods</color> by any means, and head back to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>.;49039;13399
MISSION;133;45;205232;SALVAGE#120#24#sector_68.txt#sector_103_station_0.txt#null#null#null#null;Dismantle <color='yellow'>Special Electronic Fragment</color> in <color='cyan'>Kriox</color> and return to Temple of the Void in <color='cyan'>Vindicati</color> with minimum of <color='yellow'>120</color>;6;The Pirate faction has reported that a special medium load of <color='yellow'>Special Electronic Fragment</color> has been scanned in the <color='cyan'>Kriox</color> system. <i>Sedne Vota</i> is credited with the find, but His claim is currently invalid. Hurry up and salvage the <color='yellow'>Special Electronic Fragment</color> and return to Temple of the Void, in the <color='cyan'>Vindicati</color>.;88272;42207
MISSION;30;45;903347;TRANSPORT#4#1531#sector_47_station_0.txt#sector_9_station_0.txt#null#null#null#null;Transport a light shipment of <color='yellow'>4</color> <color='yellow'>Improved Cargo Expansions</color> from Gunstellar in <color='cyan'>Adrenal</color> to Foodmaid Hub in <color='cyan'>Forges of Mintar</color>;6;Transport manager <i>Bartim Uokom</i> has requested a transport of a light shipment of <color='yellow'>4</color> <color='yellow'>Improved Cargo Expansions</color>. They need to be picked up at the storage facility at Gunstellar in <color='cyan'>Adrenal</color>, and transported to Foodmaid Hub in <color='cyan'>Forges of Mintar</color>. <i>Bartim Uokom</i> will be waiting at Foodmaid Hub to receive the shipment.;13725;5625
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.09;ship_data_(battle_shuttle_1).txt
SHIP;2;0.91;ship_data_(support_frigate_1).txt
SHIP;3;0.92;ship_data_(transport_utility_1).txt
SHIP;4;0.98;ship_data_(battle_shuttle_1).txt
SHIP;5;0.97;ship_data_(transport_shuttle_1).txt
SHIP;6;1.04;ship_data_(support_shuttle_1).txt
SHIP;7;1.05;ship_data_(recon_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

