// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Imperium Republica 
STATION;type;Civil Housing Facility
STATION;owner;Fonmi Duemelze
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;6
STATION;icon;ad_image_7.png
STATION;filename;sector_14_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-2-0-2-3-3-7-0-7-1-0-3-0-2-5-1-2-0-4-9-0-8-0
STATION;interior_seed;3-4-45-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;6810.823
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.72;npc_ship_data_(excavation_escort_1).txt
MERC;9;1.96;npc_ship_data_(support_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (1) Items ;403x632;1376;72436.88
ITEM;1002;31;1.22;2350.063
ITEM;1052;37;1.19;2350.063
ITEM;1200;48;0.78;2350.063
ITEM;1100;21;1.20;2350.063
ITEM;2112;256;1.23;2350.063
ITEM;2118;276;1.03;2350.063
ITEM;2388;42;1.10;2350.063
ITEM;313;0;1.23;2350.063
ITEM;2;153;0.80;2350.063
ITEM;604;24;1.12;2350.063
ITEM;405;855;1.12;1.587172
ITEM;602;15;1.03;1.587172
ITEM;2007;507;0.57;298.2112
ITEM;2008;145;0.61;298.2112
ITEM;2390;45;0.86;298.2112
ITEM;748;34;0.77;298.2112
ITEM;731;22;0.84;298.2112
ITEM;1462;38;0.84;298.2112
ITEM;102;847;1.22;298.2112
ITEM;331;34;1.19;298.2112
ITEM;1521;45;0.75;31123.18
ITEM;2274;45;0.53;31123.18
ITEM;1581;18;1.20;69215.16
ITEM;621;27;1.25;69215.16
ITEM;1014;10;1.07;69215.16
ITEM;730;129;0.67;31511.71
ITEM;2126;293;0.99;31511.71
ITEM;2114;45;1.12;169981.4
ITEM;751;82;0.75;169981.4
ITEM;2120;103;0.52;169981.4
ITEM;1551;0;1.16;169981.4
ITEM;1561;0;1.41;169981.4
ITEM;1501;47;1.21;169981.4
ITEM;1064;33;0.87;169981.4
ITEM;305;34;0.62;169981.4
ITEM;105;740;0.75;169981.4
ITEM;2010;62;0.90;169981.4
ITEM;2011;94;0.75;169981.4
ITEM;20;477;0.74;169981.4
ITEM;304;2;1.08;169981.4
ITEM;742;75;1.05;169981.4
ITEM;747;99;1.14;169981.4
ITEM;2013;276;0.75;169981.4
ITEM;733;23;1.03;106176.6
ITEM;2451;55;0.55;106176.6
ITEM;2428;48;0.99;106176.6
ITEM;211;459;0.86;106176.6
ITEM;752;62;1.11;106176.6
ITEM;758;77;0.54;106176.6
ITEM;712;84;0.91;106176.6
ITEM;2429;50;0.98;45627.09
ITEM;701;104;1.03;45627.09
ITEM;690;92;1.02;7336.37
ITEM;1460;43;0.70;7336.37
ITEM;4;3927;0.56;18.62548
ITEM;104;480;0.63;2.487632
ITEM;166;94;0.83;2.487632
ITEM;203;401;1.07;2.487632
ITEM;320;41;0.76;2.487632
ITEM;680;62;0.90;25159.36
ITEM;672;62;0.51;12927.97
ITEM;740;8;0.62;12927.97
ITEM;745;72;0.92;12927.97
ITEM;676;58;0.80;12479.01
ITEM;2449;8;0.69;12479.01
ITEM;750;67;1.04;12479.01
ITEM;756;42;0.71;12479.01
ITEM;2473;57;1.10;12479.01
ITEM;678;89;1.09;12479.01
ITEM;670;5;0.76;12479.01
ITEM;1461;12;0.58;12479.01
ITEM;214;432;1.01;227.377
ITEM;23;520;1.09;227.377
ITEM;160;372;0.90;227.377
ITEM;161;163;0.65;227.377
ITEM;728;58;0.64;227.377
ITEM;210;484;0.52;227.377
ITEM;2015;237;0.99;227.377
ITEM;25;205;0.84;227.377
ITEM;212;480;1.04;227.377
ITEM;2375;18;1.03;227.377
ITEM;321;38;1.05;227.377
ITEM;106;246;0.89;227.377
ITEM;601;14;0.66;227.377
ITEM;150;475;1.13;12.82915
ITEM;303;32;0.90;12.82915
ITEM;342;28;0.73;12.82915
ITEM;107;852;0.81;12.82915
ITEM;644;21;0.48;33520.72
ITEM;206;502;0.63;33520.72
ITEM;407;12;0.96;33520.72
ITEM;103;873;1.04;2.306094
ITEM;330;896;0.71;1132.518
ITEM;6;391;0.56;1132.518
ITEM;2358;31;0.71;1132.518
ITEM;118;673;0.97;5.379236
ITEM;170;580;0.77;5.379236
ITEM;1025;55;0.63;5.379236
ITEM;2128;177;0.81;5.379236
ITEM;1104;9;0.75;5.379236
ITEM;2116;189;1.24;5.379236
ITEM;2122;265;1.21;5.379236
ITEM;1553;0;1.38;5.379236
ITEM;1563;0;1.35;5.379236
ITEM;1613;8;1.16;5.379236
ITEM;2211;34;0.82;5.379236
ITEM;213;469;0.95;193.2876
ITEM;600;5;0.96;193.2876
ITEM;42;10;0.60;193.2876
ITEM;1524;30;0.56;188022.8
ITEM;1624;45;0.51;188022.8
ITEM;1777;52;0.77;188022.8
ITEM;1584;57;0.95;188022.8
ITEM;2111;254;0.57;188022.8
ITEM;1115;67;1.07;1275496
ITEM;1634;14;0.54;1275496
ITEM;1004;5;0.54;1275496
ITEM;62;2141;0.56;336.0494
ITEM;2129;206;0.67;4068215
ITEM;2141;59;0.66;3646452
ITEM;1405;17;0.77;3646452
ITEM;1619;54;0.89;3646452
ITEM;1604;1;0.91;3646452
ITEM;1554;9;1.05;3646452
ITEM;1564;0;1.42;3646452
ITEM;1504;17;0.97;336762.1
ITEM;2212;53;0.76;336762.1
ITEM;1075;14;0.52;690949.8
ITEM;3;4919;0.72;14.30252
ITEM;207;404;1.00;148.8208
ITEM;154;664;0.61;28.14841
ITEM;114;1007;1.08;2.878453
ITEM;21;155;1.08;2.878453
ITEM;113;893;0.98;2.878453
ITEM;2016;435;0.58;491.8734
ITEM;720;54;0.96;491.8734
ITEM;2357;7;0.87;491.8734
ITEM;710;46;1.20;491.8734
ITEM;323;59;0.88;491.8734
ITEM;152;607;0.70;9.788085
ITEM;156;11;0.86;9.788085
ITEM;2018;169;0.54;557.6027
ITEM;625;11;0.62;557.6027
ITEM;642;21;1.18;557.6027
ITEM;340;14;0.96;557.6027
ITEM;640;21;0.62;557.6027
ITEM;645;3;1.01;557.6027
ITEM;162;31;0.65;557.6027
ITEM;202;538;0.89;557.6027
ITEM;2443;21;1.05;557.6027
ITEM;760;54;0.84;557.6027
ITEM;2019;693;0.73;820.7203
ITEM;2401;13;0.64;820.7203
ITEM;2020;25;0.70;820.7203
ITEM;2021;27;0.72;820.7203
ITEM;2170;29;1.15;820.7203
ITEM;5;203;0.75;820.7203
ITEM;333;31;0.50;820.7203
ITEM;22;3915;0.64;40.77324
ITEM;2022;60;0.72;40.77324
ITEM;624;10;0.56;40.77324
ITEM;663;4;0.55;22020.04
ITEM;662;28;0.52;22020.04
ITEM;100;152;1.10;22020.04
ITEM;408;849;1.17;14.50729
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;55;1.00
SKILL;2;1.37
SKILL;44;0.65
SKILL;15;1.70
SKILL;231;1.57
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;21;120;672227;COLLECT#18#2050#sector_95_station_0.txt#sector_1_station_0.txt#null#null#null#null;Gather a collection of <color='yellow'>18</color> <color='yellow'>Sensor Arrays</color> and dock the light shipment at Star Shepards Hub in <color='cyan'>Temple Gates</color>;0;<i>Viea Fiebecae</i> has requested an small collection of <color='yellow'>18</color> <color='yellow'>Sensor Arrays</color> in preparation for an upcoming exploration run. Backed by the Alphas after these items have been collected, return to the Star Shepards Hub Station located in the <color='cyan'>Temple Gates</color> Sector.;14386;4813
MISSION;91;90;962512;KILL_PILOT#sector_95_station_0.txt#sector_0.txt#Watchman Dornxon Yoileza#npc_ship_data_(ATC_Raider_MK1)#5#null#null#null;Assassinate in-experienced <color='yellow'><i>Watchman Dornxon Yoileza</i></color> in <color='cyan'>Void Starcross</color> and return to Star Shepards Hub in <color='cyan'>Temple Gates</color>;0;The Alpha faction has released a kill contract for the criminal <color='yellow'><i>Watchman Dornxon Yoileza</i></color>. Wanted for capital crimes including theft and hijacking, the ASP has approved the contract and have released <color='yellow'><i>Watchman Dornxon Yoileza</i></color>'s last known location. Head to <color='cyan'>Void Starcross</color>, and eliminate <color='yellow'><i>Watchman Dornxon Yoileza</i></color>'s ship. Once complete, head to <color='cyan'>Temple Gates</color> and dock at Star Shepards Hub for payment.;10238;2625
MISSION;90;90;281576;KILL_PILOT#sector_0_station_5.txt#sector_19.txt#Doctor Nortisma Nostradie#npc_ship_data_(ATC_Mantis)#3#null#null#null;Hunt down a low level <color='yellow'><i>Doctor Nortisma Nostradie</i></color> in <color='cyan'>Crellara</color> and return to Proctors Center in <color='cyan'>Void Starcross</color>;0;<i>Fajanco Nineqe</i> has put out a kill contract for <color='yellow'><i>Doctor Nortisma Nostradie</i></color>. Wanted for capital crimes against the Alpha faction for raiding multiple transports. Last known sighting of <color='yellow'><i>Doctor Nortisma Nostradie</i></color> was in the vicinity of the <color='cyan'>Crellara</color> system. After <color='yellow'><i>Doctor Nortisma Nostradie</i></color> is dispatched, return to the Proctors Center in the <color='cyan'>Void Starcross</color> system to collect the bounty payment.;8052;2250
MISSION;120;45;676353;CHAT_PILOT#sector_16_station_0.txt#sector_13.txt#Major Enosed Vakpea#npc_ship_data_(VVS_Dweller)#19#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Major Enosed Vakpea</i></color> in <color='cyan'>Jala</color> and return to Rendo Labs in <color='cyan'>Entropy</color>;0;<i>Foxon Vissobun</i> has requested that debt be collected from <color='yellow'><i>Major Enosed Vakpea</i></color>. After 3 payments to the Alpha faction for transport fines, <color='yellow'><i>Major Enosed Vakpea</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Major Enosed Vakpea</i></color> was in the vicinity of the <color='cyan'>Jala</color> system. Have a chat with them, collect the debt, and return to the Rendo Labs in the <color='cyan'>Entropy</color> system to deliver the payment.;5978;2000
MISSION;111;60;908400;KILL_RAIDERS#sector_16_station_0.txt#sector_19.txt#1#20#npc_ship_data_(Heavy_drone_carrier_7)#random#random#random;Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Crellara</color>. Return to Rendo Labs in <color='cyan'>Entropy</color>;0;A medium group of thugs decided to set up camp in the <color='cyan'>Crellara</color> system. <i>Yerbo Sacorimes</i>, who has recently been elected as Overseer of <color='cyan'>Crellara</color> by the Alphas, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 20 raiders and return to the Rendo Labs station.;12918;3610
MISSION;21;120;440610;COLLECT#3#1003#sector_0_station_2.txt#sector_0_station_5.txt#null#null#null#null;Gather a collection of <color='yellow'>3</color> <color='yellow'>Generic Railguns</color> and dock the light shipment at StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;2;<i>Leiaj Lestu</i> has requested an small collection of <color='yellow'>3</color> <color='yellow'>Generic Railguns</color> in preparation for an upcoming exploration run. Backed by the Civils after these items have been collected, return to the StarGypsy Warehouse Station located in the <color='cyan'>Void Starcross</color> Sector.;8182;1203
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.93;ship_data_(support_cruiser_1).txt
SHIP;2;0.97;ship_data_(support_shuttle_1).txt
SHIP;3;0.98;ship_data_(transport_utility_1).txt
SHIP;4;0.91;ship_data_(recon_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

