// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Lammassu Financial
STATION;type;Market Center
STATION;owner;Jelegus
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color; 0.0 , 1.0 , 0.0 , 1.0
STATION;level;7
STATION;icon;lammassu.png
STATION;filename;sector_0_station_1.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;3-4-0-1-7-0-6-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-180
STATION;interior_seed;4-5-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;44110.39
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(transport_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(transport_escort_1).txt
MERC;9;1.93;npc_ship_data_(transport_utility_1).txt
MERC;12;1.23;npc_ship_data_(transport_utility_2).txt
MERC;15;1.47;npc_ship_data_(transport_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (1) Items ;50x232;9050.00;65785.03
ITEM;1160;65;0.90;2099.25
ITEM;2112;-99;1.01;12770.47
ITEM;2112;260;0.96;12170.47
ITEM;1050;35;0.69;1488.41
ITEM;2130;229;0.70;9050.48
ITEM;313;933;0.71;224.70
ITEM;2;3714;0.60;7.56
ITEM;604;8;0.91;63302.07
ITEM;405;952;0.56;0.68
ITEM;602;35;0.89;20241.89
ITEM;2007;304;0.65;347.36
ITEM;673;25;0.25;21902.85
ITEM;743;72;0.75;132694.00
ITEM;748;121;0.78;137644.00
ITEM;675;25;0.25;16427.14
ITEM;731;120;0.56;101344.00
ITEM;759;92;0.79;139294.00
ITEM;671;25;0.25;19164.99
ITEM;102;1270;0.77;2.56
ITEM;331;812;0.69;160.45
ITEM;646;8;0.69;149630.10
ITEM;1521;20;1.03;43368.25
ITEM;741;30;1.01;47889.28
ITEM;1641;61;1.13;59210.31
ITEM;1571;36;1.17;63658.72
ITEM;2244;43;0.46;320864.70
ITEM;621;20;1.02;13159.03
ITEM;1631;68;0.86;45710.31
ITEM;730;76;0.70;33939.28
ITEM;2126;291;0.77;111061.80
ITEM;2114;180;0.70;110868.30
ITEM;2114;-99;0.65;103518.30
ITEM;751;107;1.07;50589.29
ITEM;757;82;1.06;50139.28
ITEM;1601;52;0.84;32191.42
ITEM;2264;64;1.15;491316.20
ITEM;305;907;1.05;257.50
ITEM;105;739;0.57;4.83
ITEM;2010;164;0.86;416.54
ITEM;2011;814;0.90;478.24
ITEM;20;4631;1.14;25.08
ITEM;304;775;0.74;599.31
ITEM;747;69;1.00;105420.60
ITEM;677;25;0.25;13689.28
ITEM;2451;49;1.19;398146.00
ITEM;211;447;0.65;115.03
ITEM;2374;26;0.86;1493.81
ITEM;2014;597;0.62;449.75
ITEM;752;22;0.76;81420.63
ITEM;712;40;1.07;80942.85
ITEM;209;541;0.87;124.77
ITEM;691;25;0.25;2433.65
ITEM;692;25;0.25;1825.24
ITEM;690;25;0.25;2129.44
ITEM;158;536;0.75;18.96
ITEM;4;409;0.69;23.40
ITEM;104;180;0.53;2.18
ITEM;166;735;0.94;58.12
ITEM;203;615;0.55;59.71
ITEM;350;10;0.77;5374.76
ITEM;320;828;1.11;1653.03
ITEM;352;772;0.89;8486.72
ITEM;680;126;0.75;21713.57
ITEM;672;25;0.25;7300.95
ITEM;740;139;0.90;14313.09
ITEM;674;5;0.26;5655.71
ITEM;676;25;0.25;4563.09
ITEM;756;107;0.50;8313.09
ITEM;678;65;0.88;25223.57
ITEM;670;25;0.25;6388.33
ITEM;1461;56;0.70;160268.80
ITEM;711;101;1.05;26500.95
ITEM;214;685;0.99;227.03
ITEM;157;194;1.09;24.53
ITEM;23;4010;0.94;102.57
ITEM;161;690;1.05;36.44
ITEM;728;148;1.23;19263.09
ITEM;25;4332;0.72;230.85
ITEM;321;1036;1.04;2797.23
ITEM;121;1203;0.61;26.52
ITEM;106;960;0.53;5.43
ITEM;601;6;0.54;7279.03
ITEM;303;872;0.98;945.14
ITEM;342;727;0.89;3763.98
ITEM;107;815;0.95;11.20
ITEM;644;10;0.58;41636.91
ITEM;206;768;0.87;121.57
ITEM;407;1000;0.25;1.67
ITEM;103;641;0.67;1.56
ITEM;330;987;0.82;1331.85
ITEM;2171;41;0.51;5674101.00
ITEM;6;4240;0.51;48.30
ITEM;165;232;0.95;53.37
ITEM;118;578;0.56;3.30
ITEM;2203;21;1.14;7463789.00
ITEM;1523;48;0.53;93472.99
ITEM;1573;34;1.11;242154.90
ITEM;1114;73;0.69;245690.80
ITEM;1174;53;1.21;455303.90
ITEM;2128;202;0.58;1046877.00
ITEM;2116;127;0.52;1034002.00
ITEM;1618;15;0.73;119199.40
ITEM;2241;34;0.85;2343703.00
ITEM;600;37;0.84;6259.44
ITEM;42;0;2.50;363.69
ITEM;52;33;1.05;262.03
ITEM;1772;60;1.08;1146372.00
ITEM;2318;4;1.06;13513880.00
ITEM;1777;67;1.07;1067400.00
ITEM;1762;31;1.02;1217331.00
ITEM;2111;169;1.04;6321674.00
ITEM;62;0;2.50;1818.37
ITEM;1006;63;0.70;950695.80
ITEM;2272;46;0.52;2094704.00
ITEM;1614;55;1.06;303064.10
ITEM;77;0;2.50;3030.63
ITEM;3;5520;1.03;20.66
ITEM;114;364;0.80;2.21
ITEM;21;4070;0.48;19.07
ITEM;113;648;0.71;4.93
ITEM;2016;273;0.67;584.56
ITEM;216;443;1.22;335.22
ITEM;693;25;0.25;1521.03
ITEM;217;296;0.64;200.89
ITEM;2378;13;0.69;1780.14
ITEM;159;659;1.15;58.19
ITEM;626;30;0.49;109418.10
ITEM;323;18;1.17;2192.31
ITEM;117;361;1.05;52.91
ITEM;152;563;0.54;7.91
ITEM;156;556;0.54;11.58
ITEM;625;34;0.51;64822.79
ITEM;642;22;0.49;11666.69
ITEM;340;57;0.80;1262.86
ITEM;640;28;0.47;3669.44
ITEM;645;11;0.84;102737.10
ITEM;162;540;0.59;23.38
ITEM;2354;71;0.76;295.56
ITEM;202;598;0.85;81.23
ITEM;744;39;0.54;148551.60
ITEM;749;69;0.56;153551.60
ITEM;2465;50;0.72;990984.10
ITEM;2453;48;1.14;1528584.00
ITEM;754;12;0.73;196051.60
ITEM;5;4241;1.05;57.29
ITEM;333;885;0.86;6901.12
ITEM;22;4875;1.03;65.80
ITEM;2022;539;0.85;872.37
ITEM;624;30;0.57;40980.39
ITEM;2434;52;0.88;43456.47
ITEM;663;21;0.96;38048.96
ITEM;662;34;1.13;25387.01
ITEM;100;1129;0.71;1.15
ITEM;2444;44;0.87;70934.68
ITEM;26;4211;0.61;336.68
ITEM;408;1000;0.25;3.68
ITEM;2174;40;1.02;16430110.00
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;223;1.90
SKILL;224;1.34
SKILL;225;0.96
SKILL;226;0.54
SKILL;232;0.70
SKILL;233;0.99
SKILL;221;1.03
SKILL;100;0.98
SKILL;101;0.73
SKILL;59;0.56
SKILL;114;1.24
SKILL;117;1.26
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;60;45;532366;HARVEST#49#5#sector_59.txt#sector_95_station_1.txt#null#null#null#null;Harvest special <color='yellow'>Special Torim Ore</color> in <color='cyan'>Coralor</color> and return with <color='yellow'>49</color> ore to Acrondia Hub in <color='cyan'>Temple Gates</color>;4;A local prospector, <i>Sevjan Ribkaddbo</i> of the Financial faction has located a light quantity of special <color='yellow'>Special Torim Ore</color> in the <color='cyan'>Coralor</color> sector. Head over there and harvest all of the special <color='yellow'>Special Torim Ore</color>, and meet <i>Sevjan Ribkaddbo</i> back at Acrondia Hub station located in the <color='cyan'>Temple Gates</color>.;6188;2250
MISSION;90;90;764651;KILL_PILOT#sector_41_station_0.txt#sector_14.txt#Accountant Beltel Bazti#npc_ship_data_(excavation_carrier_5)#3#null#null#null;Hunt down a low level <color='yellow'><i>Accountant Beltel Bazti</i></color> in <color='cyan'>Gate of Alpharis</color> and return to Mazu Starship in <color='cyan'>Volox</color>;3;<i>Melyan Sednaliabin</i> has put out a kill contract for <color='yellow'><i>Accountant Beltel Bazti</i></color>. Wanted for capital crimes against the Trade faction for raiding multiple transports. Last known sighting of <color='yellow'><i>Accountant Beltel Bazti</i></color> was in the vicinity of the <color='cyan'>Gate of Alpharis</color> system. After <color='yellow'><i>Accountant Beltel Bazti</i></color> is dispatched, return to the Mazu Starship in the <color='cyan'>Volox</color> system to collect the bounty payment.;6750;1500
MISSION;11;30;271641;DELIVERY#47#2036#sector_1_station_0.txt#sector_61_station_0.txt#null#null#null#null;Deliver light container of <color='yellow'>47</color> <color='yellow'>Electrical Regulators</color> to Quantex Station in <color='cyan'>Dellis Primeria</color>;4;The Financial Faction has commissioned a transport liaison, <i>Homile Bazan</i> at Transporteers Hub. After an audit, <color='yellow'>47</color> items of <color='yellow'>Electrical Regulators</color> were left un accounted for. Head on over to <color='cyan'>Dellis Primeria</color> and deliver these <color='yellow'>Electrical Regulators</color> to Quantex.;13878;5250
MISSION;32;45;268625;TRANSPORT#249#163#sector_56_station_0.txt#sector_2_station_0.txt#null#null#null#null;Move light cargo from Transporteers in <color='cyan'>Hunu</color> and dock with <color='yellow'>249</color> <color='yellow'>Aluminium Rivets</color> at Oro Omniplex Center in <color='cyan'>Merces Academy</color>;3;<i>Desnortis Gillarast</i> was unable to complete a large shipment from Transporteers to Oro Omniplex Center. A light shipment containing <color='yellow'>249</color> <color='yellow'>Aluminium Rivets</color> is located at the storage bay at Transporteers in <color='cyan'>Hunu</color>. Retrieve the <color='yellow'>Aluminium Rivets</color> and transport them to Oro Omniplex Center in <color='cyan'>Merces Academy</color>.;20673;8614
MISSION;142;90;659787;REFINE#6#25#sector_69_station_1.txt#sector_0_station_0.txt#null#null#null#null;Refine <color='yellow'>6</color> <color='yellow'>Module Fragments</color> at Oak Industries station refinery in <color='cyan'>Dorando Corridor</color>;5;<i>Ninemos Inosih</i> from Biomate University Station has commissioned a refinery run . He has required a small batch of <color='yellow'>6</color> <color='yellow'>Module Fragments</color> to be processed. Set your GPS autopilot to <color='cyan'>Dorando Corridor</color> and refine these <color='yellow'>Module Fragments</color> to Oak Industries refinery immediately.;32158;16079
MISSION;61;45;369181;HARVEST#86#4#sector_39.txt#sector_0_station_3.txt#null#null#null#null;Mine special <color='yellow'>Special Lokken Ore</color> in <color='cyan'>Chaferea</color> and return with <color='yellow'>86</color> to StarShepards Headquarters in <color='cyan'>Void Starcross</color>;4;While collecting some junk in the <color='cyan'>Chaferea</color> system, <i>Ahea Desemilow</i> discovered a light haul of <color='yellow'>86</color> <color='yellow'>Special Lokken Ore</color>. Unable to collect the material alone, <i>Ahea Desemilow</i> has requested that a capable pilot harvest the <color='yellow'>Special Lokken Ore</color> and drop it off at the StarShepards Headquarters station located in the <color='cyan'>Void Starcross</color>.;10830;3938
MISSION;152;120;795935;FABRICATE#11#2411#sector_2_station_0.txt#sector_57_station_0.txt#null#null#null#null;Manufacture <color='yellow'>11</color> <color='yellow'>Basic Computers</color> at Oro Omniplex Center station fabricator in <color='cyan'>Merces Academy</color>;3;<i>Youno Paearvi</i> from OmniTrust Station has commissioned a production run . He has required a small manufacturing run of <color='yellow'>11</color> <color='yellow'>Basic Computers</color>. Set your GPS autopilot to <color='cyan'>Merces Academy</color> and produce these <color='yellow'>Basic Computers</color> on site at the Oro Omniplex Center immediately.;38052;16079
MISSION;82;60;397694;RECOVER#1#1564#sector_13.txt#sector_20_station_0.txt#null#null#null#null;Retrieve a light cache of <color='yellow'>Prototype Shield Generator</color> from a <color='yellow'>crate</color> in <color='cyan'>Jala</color> sector, drop at Medicore University in <color='cyan'>Cliffs of Drameria</color>;3;After a skirmish in <color='cyan'>Jala</color>, the Trade's <i>Fiehin Youser</i> cannot account for a light shipment of <color='yellow'>Prototype Shield Generator</color> he was transporting before the attack. Head out to the <color='cyan'>Jala</color> sector and look for the crate. When found, take the contents of the crate back to the Medicore University station in the <color='cyan'>Cliffs of Drameria</color> sector.;19295;5168
MISSION;53;30;878650;SCAN_STRUCTURE#sector_56_station_0.txt#sector_35.txt#Recon Center#structure_recon_1.txt#1#null#null#null;Scan the <color='yellow'>Recon Center</color> structure in <color='cyan'>Felishar</color> and return to Transporteers in <color='cyan'>Hunu</color>;4;Space rats have infested the <color='yellow'>Recon Center</color> structure over in <color='cyan'>Felishar</color>. <i>Kinco Sofieaj</i> has been trying to get help with the infestation, but until the structure is scanned, Financial union members are not going to come. Head back to the Transporteers station located in the <color='cyan'>Hunu</color> with a scan report.;33347;5360
MISSION;151;120;370384;FABRICATE#6#2382#sector_15_station_0.txt#sector_13_station_0.txt#null#null#null#null;Produce a light container of <color='yellow'>6</color> <color='yellow'>Keypads</color> at the Crystalis Broadcasting fabricator in <color='cyan'>Jermicus</color>;5;The Commerce Faction has commissioned a production liaison, <i>Galemel Wapae</i> at Gemini Mining. After an audit, <color='yellow'>6</color> items of <color='yellow'>Keypads</color> were deemed required. Head on over to <color='cyan'>Jermicus</color> and manufacture these <color='yellow'>Keypads</color> at Crystalis Broadcasting.;20213;7656
MISSION;121;45;472837;CHAT_PILOT#sector_17_station_0.txt#sector_82.txt#Senator Zenolas Eiinowit#npc_ship_data_(Super_heavy_transport_10)#10#missions_debt_collection.txt#0#null;Chat with <color='yellow'><i>Senator Zenolas Eiinowit</i></color> about his debt in <color='cyan'>Kidd Overture</color> and return to Holosynth Industries in <color='cyan'>Rats Of Mortalis</color>;3;<i>Atewhea Akan</i> has requested that debt be collected from <color='yellow'><i>Senator Zenolas Eiinowit</i></color>. After 3 payments to the Trade faction for transport fines, <color='yellow'><i>Senator Zenolas Eiinowit</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Senator Zenolas Eiinowit</i></color> was in the vicinity of the <color='cyan'>Kidd Overture</color> system. Have a chat with them, collect the debt, and return to the Holosynth Industries in the <color='cyan'>Rats Of Mortalis</color> system to deliver the payment.;20838;5250
MISSION;52;30;775684;SCAN_STRUCTURE#sector_101_station_0.txt#sector_80.txt#Storage Facility#structure_storage_1.txt#1#null#null#null;Track and scan the target <color='yellow'>Storage Facility</color> structure in <color='cyan'>Blades of Dandrow</color> and return to Vo Industries in <color='cyan'>Brimstone</color>;5;The Commerce faction has commissioned scientific survey of a strange vibration taking place at <color='yellow'>Storage Facility</color> in the <color='cyan'>Blades of Dandrow</color> sector. Head over to <color='cyan'>Blades of Dandrow</color> and scan the <color='yellow'>Storage Facility</color> structure. Once complete, return to the Vo Industries station located in the <color='cyan'>Brimstone</color> with the scan data.;26154;6125
MISSION;130;45;675743;SALVAGE#64#23#sector_39.txt#sector_41_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Metal Fragment</color> in <color='cyan'>Chaferea</color> and return with <color='yellow'>64</color> to Mazu Starship in <color='cyan'>Volox</color>;3;A local prospector, <i>Lasvaj Dornyahore</i> of the Trade faction has located a light quantity of special <color='yellow'>Special Metal Fragment</color> in the <color='cyan'>Chaferea</color> sector. Head over there and salvage all of the special <color='yellow'>Special Metal Fragment</color>, and meet <i>Lasvaj Dornyahore</i> back at Mazu Starship station located in the <color='cyan'>Volox</color>.;9608;2250
MISSION;102;120;454390;KILL_RECOVER#sector_85_station_0.txt#sector_59.txt#Mr. Faebino Zaron#npc_ship_data_(recon_battlecruiser_5)#7#1#1584#null;Hijack and kill <color='yellow'><i>Mr. Faebino Zaron</i></color> in <color='cyan'>Coralor</color> and steal <color='yellow'>1</color> <color='yellow'>Prototype Energy Generator</color>. Return to Scrapdogs in <color='cyan'>Gemini Els</color>;3;The Trade faction has been following an escaped fugitive named <color='yellow'><i>Mr. Faebino Zaron</i></color>. He was recently seen around the <color='cyan'>Coralor</color> system, but his exact location is unknown. <color='yellow'><i>Mr. Faebino Zaron</i></color> is carrying some cargo that was taken from the security facility. Return the <color='yellow'>Prototype Energy Generator</color> by any means, and head back to Scrapdogs in <color='cyan'>Gemini Els</color>.;45770;10719
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.0;ship_data_(transport_shuttle_1).txt
SHIP;1;1.0;ship_data_(transport_escort_1).txt
SHIP;1;1.0;ship_data_(transport_escort_2).txt
SHIP;4;1.0;ship_data_(transport_utility_1).txt
SHIP;4;1.0;ship_data_(transport_utility_2).txt
SHIP;4;1.0;ship_data_(transport_frigate_1).txt
</HANGAR>
// OFFICES;office_name;npc_name;faction_id;faction_req;level;img;scripting_file;scripting_id;
<OFFICE>
OFFICE;(AstyQuest);Asty;1;0.0;26;station.png;male_1.png;accessory_1.png;astys_quest_1.txt;1
OFFICE;(Tutorial Office) Ship Orbiting;Jonathan Hetcher;1;0.0;26;station.png;male_9.png;accessory_15.png;tutorial_ship_orbits.txt;2
OFFICE;(Tutorial Office) Camera Basics;Ratamaq Guru;1;0.0;26;station.png;male_2.png;accessory_18.png;tutorial_camera_basics.txt;2
OFFICE;(Tutorial Office) Navigation Basics;Arji Darn;1;0.0;26;station.png;male_3.png;accessory_18.png;tutorial_navigation_basics.txt;2
OFFICE;(Tutorial Office) Life Support Basics;Carter Burke;1;0.0;26;station.png;male_4.png;accessory_19.png;tutorial_life_support.txt;2
OFFICE;(Tutorial Office) Basic Drones;Daniel Traek;1;0.0;43;station.png;male_4.png;accessory_17.png;tutorial_drones.txt;2
</OFFICE>
// STORAGE;item_id;Qty;0
<STORAGE>

