// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Vita Assembly
STATION;type;Assembly Station
STATION;owner;Yergale Feivel
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;3
STATION;icon;vita.png
STATION;filename;sector_109_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-3-1-5-2-3-7-1-1-6-0-5-1-4-2-0-0-90
STATION;interior_seed;5-9-0-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;39119.63
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.29;npc_ship_data_(support_utility_1).txt
MERC;6;1.42;npc_ship_data_(recon_shuttle_1).txt
MERC;9;1.93;npc_ship_data_(excavation_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (1) Items ;6x722;76450.00;50214.32
ITEM;753;39;0.72;135668.30
ITEM;759;2;1.03;187574.10
ITEM;679;41;1.16;102611.80
ITEM;102;44;0.86;3.01
ITEM;1521;2;0.55;26272.50
ITEM;1621;17;0.69;47808.75
ITEM;1531;15;1.20;65340.63
ITEM;741;41;0.80;40731.83
ITEM;746;41;0.70;36369.41
ITEM;1751;13;0.75;68545.00
ITEM;2306;24;1.24;1292940.00
ITEM;1511;4;1.03;50019.75
ITEM;621;13;0.54;7923.45
ITEM;1172;4;0.62;21368.29
ITEM;1541;24;0.63;33893.38
ITEM;730;40;0.77;39593.46
ITEM;2450;23;1.05;185090.00
ITEM;1062;15;0.99;29559.10
ITEM;1015;0;1.34;53272.66
ITEM;2114;20;0.91;149471.40
ITEM;751;32;0.74;38070.15
ITEM;1402;19;0.92;50313.81
ITEM;757;44;0.72;37321.17
ITEM;1561;7;0.72;44647.88
ITEM;1501;12;1.12;51526.13
ITEM;2132;6;1.24;197981.40
ITEM;1591;1;1.02;45072.50
ITEM;305;2;1.13;288.42
ITEM;20;169;0.52;13.16
ITEM;304;15;1.16;955.94
ITEM;742;59;0.84;94681.25
ITEM;747;27;0.76;86966.38
ITEM;677;11;0.62;32706.56
ITEM;733;5;0.57;67681.25
ITEM;752;29;0.72;82411.48
ITEM;758;54;0.58;68681.25
ITEM;701;10;0.62;6541.31
ITEM;692;31;0.75;5140.88
ITEM;700;12;0.85;8611.31
ITEM;4;0;1.30;55.36
ITEM;155;179;0.83;16.60
ITEM;104;1;0.62;2.71
ITEM;166;299;1.19;75.81
ITEM;203;175;0.88;97.53
ITEM;350;28;0.80;5886.88
ITEM;352;34;0.66;6864.75
ITEM;680;7;1.02;30423.94
ITEM;740;25;0.64;11215.20
ITEM;745;25;0.67;11654.26
ITEM;732;38;0.80;13656.22
ITEM;750;9;0.54;9702.19
ITEM;756;28;0.69;11948.94
ITEM;670;51;0.72;17363.06
ITEM;157;160;0.93;22.23
ITEM;160;262;1.00;33.20
ITEM;161;62;0.62;23.98
ITEM;728;1;0.63;11052.19
ITEM;2397;17;0.54;4746.31
ITEM;601;10;0.51;7555.95
ITEM;150;164;0.83;10.30
ITEM;303;25;0.70;737.33
ITEM;206;257;1.21;173.21
ITEM;407;28;0.53;3.50
ITEM;103;139;0.95;2.28
ITEM;6;0;1.23;143.29
ITEM;165;65;0.67;41.29
ITEM;2358;2;1.06;620.74
ITEM;118;338;0.85;5.14
ITEM;170;283;1.04;77.41
ITEM;2128;36;0.68;1298782.00
ITEM;1027;0;1.24;607744.30
ITEM;600;6;0.55;4597.69
ITEM;42;47;1.21;150.00
ITEM;52;24;0.77;166.45
ITEM;62;115;0.75;487.98
ITEM;2129;119;0.85;5527895.00
ITEM;1006;0;1.35;2296149.00
ITEM;2212;14;0.92;4140108.00
ITEM;3;89;1.05;27.56
ITEM;726;15;0.65;11332.79
ITEM;207;101;1.20;189.08
ITEM;164;144;1.25;21.86
ITEM;2346;4;0.88;158.88
ITEM;154;128;1.11;53.44
ITEM;114;417;0.61;1.86
ITEM;21;181;0.64;26.66
ITEM;113;304;0.60;4.56
ITEM;721;40;0.76;5209.46
ITEM;722;31;0.72;4990.50
ITEM;693;48;1.08;5934.06
ITEM;720;35;0.64;4466.81
ITEM;723;38;0.72;4965.75
ITEM;755;31;1.09;7180.88
ITEM;159;130;1.10;58.31
ITEM;725;34;0.76;12950.41
ITEM;156;34;1.20;25.47
ITEM;642;9;0.73;17939.59
ITEM;640;5;0.90;7047.69
ITEM;162;91;0.73;30.38
ITEM;202;38;1.22;119.20
ITEM;2433;13;1.03;48073.53
ITEM;744;39;0.67;195431.40
ITEM;749;44;0.74;210813.00
ITEM;734;20;0.69;199203.10
ITEM;754;15;0.72;206330.80
ITEM;760;36;0.80;227532.30
ITEM;5;0;1.18;83.48
ITEM;2202;14;1.15;2010900.00
ITEM;1300;24;0.78;12415.38
ITEM;22;74;0.67;47.14
ITEM;662;1;0.56;14295.13
ITEM;100;202;0.67;1.17
ITEM;408;2;1.06;14.12
ITEM;9;0;1.31;681.82
ITEM;10;0;1.33;1138.86
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;11;1.66
SKILL;23;1.63
SKILL;73;1.07
SKILL;3;1.82
SKILL;31;1.11
SKILL;36;0.82
SKILL;61;1.92
SKILL;229;1.37
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;80;60;548914;RECOVER#1#1065#sector_47.txt#sector_78_station_0.txt#null#null#null#null;Recover a light quantity of <color='yellow'>1</color> <color='yellow'>Advanced Rocket Launcher</color> in <color='cyan'>Adrenal</color>, and return to Tella's in <color='cyan'>Bitcola</color>;9;The Temple faction has lost track of a light crate somewhere in the <color='cyan'>Adrenal</color> system. Head over there and recover the crate containing <color='yellow'>1</color> units of <color='yellow'>Advanced Rocket Launcher</color>, and dock at the Tella's in the <color='cyan'>Bitcola</color> sector. <i>Bastfall Deeasrib</i> has been instructed to wait for the lost cargo at the Tella's station.;16058;7875
MISSION;51;30;363075;SCAN_STRUCTURE#sector_13_station_0.txt#sector_107.txt#Community Farming Center#structure_farm_1.txt#1#null#null#null;Find the target <color='yellow'>Community Farming Center</color> structure in <color='cyan'>Daefore</color>, scan, and return to Gemini Mining in <color='cyan'>Jala</color>;10;<i>Farves Mepae</i> has requested that someone verify the location of <color='yellow'>Community Farming Center</color> in the <color='cyan'>Daefore</color> sector. After a recent mix-up at the zoning office, the Missionary reps are concerned that construction guidelines were not followed properly. Return to the Gemini Mining station located in the <color='cyan'>Jala</color> with the scan data.;14305;3500
MISSION;131;45;856150;SALVAGE#98#23#sector_13.txt#sector_106_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Metal Fragment</color> in <color='cyan'>Jala</color> and return with <color='yellow'>98</color> to Acrondia Corp. in <color='cyan'>Crown of Imperium</color>;9;While collecting some junk in the <color='cyan'>Jala</color> system, <i>Ampae Vajbidsed</i> discovered a light haul of <color='yellow'>98</color> <color='yellow'>Special Metal Fragment</color>. Unable to collect the material alone, <i>Ampae Vajbidsed</i> has requested that a capable pilot salvage the <color='yellow'>Special Metal Fragment</color> and drop it off at the Acrondia Corp. station located in the <color='cyan'>Crown of Imperium</color>.;25703;11814
MISSION;23;120;526495;COLLECT#102#302#sector_103_station_0.txt#sector_47_station_0.txt#null#null#null#null;Procure a medium collection of <color='yellow'>102</color> <color='yellow'>Anti-Freezes</color>, and return to Temple of the Void in <color='cyan'>Vindicati</color>;9;A team at the Temple of the Void Station is looking for an experienced collector who might be able to help gather together a medium shipment of <color='yellow'>102</color> <color='yellow'>Anti-Freezes</color>. Once the items have been collected, they will need to be dropped at Temple of the Void in the <color='cyan'>Vindicati</color> Sector.;67795;33161
MISSION;124;45;183077;CHAT_PILOT#sector_0_station_2.txt#sector_3.txt#Foreman Asbru Akxonni#npc_ship_data_(recon_cruiser_1)#5#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Foreman Asbru Akxonni</i></color> over an outstanding warrant in <color='cyan'>Starfort Ramos</color> and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;9;<i>Witam Lomqi</i> of the Temple faction has sent out a warrent for the arrest of <color='yellow'><i>Foreman Asbru Akxonni</i></color>. Last known sighting of <color='yellow'><i>Foreman Asbru Akxonni</i></color> was in the area of <color='cyan'>Starfort Ramos</color>. Bring them back alive to the StarGypsy Warehouse in the <color='cyan'>Void Starcross</color> system to complete this contract.;116712;51585
MISSION;91;90;988749;KILL_PILOT#sector_20_station_0.txt#sector_1.txt#Senator Mirest Moslea#npc_ship_data_(VVS_Ogre_Mk2)#5#null#null#null;Assassinate in-experienced <color='yellow'><i>Senator Mirest Moslea</i></color> in <color='cyan'>Dellis Primeria</color> and return to Medicore University in <color='cyan'>Cliffs of Drameria</color>;9;The Temple faction has released a kill contract for the criminal <color='yellow'><i>Senator Mirest Moslea</i></color>. Wanted for capital crimes including theft and hijacking, the ASP has approved the contract and have released <color='yellow'><i>Senator Mirest Moslea</i></color>'s last known location. Head to <color='cyan'>Dellis Primeria</color>, and eliminate <color='yellow'><i>Senator Mirest Moslea</i></color>'s ship. Once complete, head to <color='cyan'>Cliffs of Drameria</color> and dock at Medicore University for payment.;27563;14438
MISSION;61;45;520912;HARVEST#52#1#sector_17.txt#sector_78_station_0.txt#null#null#null#null;Mine special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Rats Of Mortalis</color> and return with <color='yellow'>52</color> to Tella's in <color='cyan'>Bitcola</color>;9;While collecting some junk in the <color='cyan'>Rats Of Mortalis</color> system, <i>Gotwho Garon</i> discovered a light haul of <color='yellow'>52</color> <color='yellow'>Special Adamyte Ore</color>. Unable to collect the material alone, <i>Gotwho Garon</i> has requested that a capable pilot harvest the <color='yellow'>Special Adamyte Ore</color> and drop it off at the Tella's station located in the <color='cyan'>Bitcola</color>.;22644;12799
MISSION;104;120;256557;KILL_RECOVER#sector_69_station_1.txt#sector_1.txt#Lieutenant Cieve Buesawmel#npc_ship_data_(recon_frigate_1)#15#2#1059#null;Frag <color='yellow'><i>Lieutenant Cieve Buesawmel</i></color> in <color='cyan'>Dellis Primeria</color> and take back <color='yellow'>2</color> <color='yellow'>Basic Torpedo Launchers</color>. Return to Oak Industries in <color='cyan'>Dorando Corridor</color>;9;Mr. <i>Naweli Leiron</i> has finally been arrested in the <color='cyan'>Dellis Primeria</color> system by Temple authorities. His accomplice, Mr. <color='yellow'><i>Lieutenant Cieve Buesawmel</i></color> is still at large. Destroy his ship and return the <color='yellow'>2</color> <color='yellow'>Basic Torpedo Launchers</color> to the Oak Industries station in the <color='cyan'>Dorando Corridor</color> sector.;172337;90272
MISSION;126;45;528107;CHAT_PILOT#sector_15_station_0.txt#sector_19.txt#Colonel Whihin Tujid#npc_ship_data_(excavation_carrier_5)#9#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Colonel Whihin Tujid</i></color> in <color='cyan'>Crellara</color> and return with signature to Crystalis Broadcasting in <color='cyan'>Jermicus</color>;9;<i>Beckbar Kinkol</i> has a bonus payment for <color='yellow'><i>Colonel Whihin Tujid</i></color>. The Temple faction has recognized <color='yellow'><i>Colonel Whihin Tujid</i></color> and has award a bonus payment. <color='yellow'><i>Colonel Whihin Tujid</i></color> was last working in the <color='cyan'>Crellara</color> system. Find them, deliver this envelope, and return to the Crystalis Broadcasting in the <color='cyan'>Jermicus</color> system with a signature.;330315;186700
MISSION;50;30;695721;SCAN_STRUCTURE#sector_17_station_0.txt#sector_41.txt#Storage Facility#structure_storage_1.txt#1#null#null#null;Locate and scan the <color='yellow'>Storage Facility</color> structure in <color='cyan'>Volox</color> and return to Holosynth Industries in <color='cyan'>Rats Of Mortalis</color>;10;A recent construction permit was delivered by the Missionary faction. They are demanding a survey of a new structure that has been constructed by <i>Visgo Tadsi</i>. Scan the <color='yellow'>Storage Facility</color> structure and return back to the Holosynth Industries located in the <color='cyan'>Rats Of Mortalis</color> with the survey data. Once the data is verified, payment will be rendered.;17117;6500
MISSION;94;90;209801;KILL_PILOT#sector_57_station_0.txt#sector_15.txt#Father Velea Farris#npc_ship_data_(pirate_utility_1)#15#null#null#null;Destroy the ship of <color='yellow'><i>Father Velea Farris</i></color> and head to OmniTrust in <color='cyan'>Ponze</color> for the bounty;10;A kill contract has been placed on <color='yellow'><i>Father Velea Farris</i></color> by the Missionary faction for various crimes committed in the <color='cyan'>Jermicus</color>. <i>Diena Whodalefoe</i> has issued this contract and will be waiting at the OmniTrust station in <color='cyan'>Ponze</color> system for news that this criminal has been destroyed.;188799;84411
MISSION;152;120;341517;FABRICATE#10#2427#sector_20_station_0.txt#sector_47_station_0.txt#null#null#null#null;Manufacture <color='yellow'>10</color> <color='yellow'>Ionization Plates</color> at Medicore University station fabricator in <color='cyan'>Cliffs of Drameria</color>;9;<i>Qixen Ilskee</i> from Gunstellar Station has commissioned a production run . He has required a small manufacturing run of <color='yellow'>10</color> <color='yellow'>Ionization Plates</color>. Set your GPS autopilot to <color='cyan'>Cliffs of Drameria</color> and produce these <color='yellow'>Ionization Plates</color> on site at the Medicore University immediately.;48236;21438
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.96;ship_data_(excavation_frigate_1).txt
SHIP;2;0.91;ship_data_(recon_shuttle_1).txt
SHIP;3;1.02;ship_data_(battle_cruiser_1).txt
SHIP;4;0.98;ship_data_(battle_frigate_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>



