// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Astrox Security Patrol
STATION;type;Headquarters
STATION;owner;Akweliile Kinastop
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;4
STATION;icon;asp.png
STATION;filename;sector_35_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-6-0-3-3-3-6-1-3-9-3-4-0-6-4-2-2-0
STATION;interior_seed;3-0-0-6
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;25283.74
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.80;npc_ship_data_(battle_escort_1).txt
MERC;7;1.54;npc_ship_data_(transport_carrier_1).txt
MERC;2;1.54;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Production: (1) Items ;52x724;92898;108306.80
ITEM;40;40;0.79;19.93
ITEM;2330;30;1.08;9432.50
ITEM;50;43;0.72;30.88
ITEM;1520;34;0.67;15381.25
ITEM;70;79;0.58;84.88
ITEM;1640;38;0.76;21476.56
ITEM;1570;22;0.67;19995.63
ITEM;620;11;0.94;7273.44
ITEM;312;3;1.14;87.50
ITEM;1171;31;0.74;7048.13
ITEM;1008;32;0.93;7203.44
ITEM;60;184;0.76;96.47
ITEM;1057;37;0.85;7307.78
ITEM;2125;131;0.71;31148.91
ITEM;1701;24;0.54;15976.56
ITEM;1700;4;1.00;27476.56
ITEM;1101;16;0.72;5733.44
ITEM;2113;-99;0.54;26840.63
ITEM;2113;153;0.52;26000.63
ITEM;2119;146;1.00;38467.19
ITEM;201;178;1.18;104.47
ITEM;2364;33;0.64;603.81
ITEM;1560;38;1.12;32914.69
ITEM;1500;27;0.92;21400.31
ITEM;75;45;0.79;165.78
ITEM;1590;7;0.78;17581.25
ITEM;2326;18;0.84;5634375.00
ITEM;400;328;1.05;1838.50
ITEM;208;43;0.50;95.35
ITEM;311;3;1.12;155.69
ITEM;109;454;1.12;5.46
ITEM;406;4;1.05;1.58
ITEM;403;29;0.92;1.12
ITEM;205;290;1.20;155.34
ITEM;101;253;1.21;2.36
ITEM;623;11;0.99;40857.27
ITEM;603;5;0.75;31853.43
ITEM;325;2;0.68;251.61
ITEM;404;13;0.84;1.03
ITEM;300;12;0.91;100.45
ITEM;301;18;0.96;26.79
ITEM;661;18;1.05;14076.02
ITEM;218;376;1.02;356.22
ITEM;660;6;1.20;9093.44
ITEM;2191;34;1.02;2622803.00
ITEM;643;12;0.94;38981.47
ITEM;738;22;1.22;1335551.00
ITEM;322;27;0.98;713.61
ITEM;151;172;0.77;10.52
ITEM;324;6;0.98;2694.42
ITEM;1001;23;0.64;1625.94
ITEM;1100;33;1.19;2578.13
ITEM;2112;14;1.17;15228.75
ITEM;1400;38;0.77;3476.25
ITEM;2130;23;0.91;12108.75
ITEM;313;31;0.70;234.95
ITEM;2;184;1.11;13.96
ITEM;405;28;0.66;0.83
ITEM;602;2;1.06;24847.98
ITEM;681;63;0.57;54194.06
ITEM;673;67;1.18;92092.50
ITEM;675;74;0.88;52869.38
ITEM;679;26;0.94;84164.06
ITEM;102;58;0.58;2.11
ITEM;1751;32;0.89;79125.00
ITEM;1571;6;1.16;65471.25
ITEM;1651;20;1.11;60453.13
ITEM;621;9;1.23;16281.02
ITEM;1112;24;0.98;29080.73
ITEM;2279;17;0.66;455437.50
ITEM;1014;2;1.18;31337.03
ITEM;1062;12;0.55;17492.23
ITEM;1205;37;1.09;58264.07
ITEM;1015;16;1.01;32606.44
ITEM;1402;20;0.70;39154.06
ITEM;1611;16;1.24;45528.13
ITEM;1591;27;0.78;35162.50
ITEM;305;27;0.79;207.33
ITEM;105;23;1.22;10.21
ITEM;20;31;0.57;14.05
ITEM;304;15;0.55;489.78
ITEM;747;11;0.74;83906.25
ITEM;2396;13;0.80;5997.65
ITEM;752;28;0.83;92906.25
ITEM;758;16;0.93;102906.30
ITEM;712;30;0.71;58252.50
ITEM;209;399;1.12;164.57
ITEM;692;63;1.17;7614.38
ITEM;700;17;1.06;10431.56
ITEM;690;3;1.13;8603.44
ITEM;158;252;0.92;24.03
ITEM;4;52;1.17;39.90
ITEM;104;487;0.75;3.17
ITEM;166;311;1.06;67.76
ITEM;203;10;0.51;60.19
ITEM;320;22;1.20;1844.51
ITEM;740;73;0.84;14085.94
ITEM;750;42;1.13;18435.94
ITEM;756;36;0.81;13635.94
ITEM;678;77;0.74;22654.69
ITEM;157;212;1.21;28.07
ITEM;23;62;1.06;119.58
ITEM;161;33;0.61;23.40
ITEM;728;21;0.59;10335.94
ITEM;212;257;0.78;157.96
ITEM;321;25;0.71;2068.29
ITEM;106;17;0.65;6.96
ITEM;601;13;1.18;15668.51
ITEM;150;196;0.52;6.81
ITEM;303;29;0.78;803.36
ITEM;107;304;1.21;14.60
ITEM;206;16;0.87;127.47
ITEM;407;6;1.05;7.90
ITEM;103;530;0.62;1.55
ITEM;118;258;1.14;6.65
ITEM;1523;30;1.11;193450.00
ITEM;1753;14;0.65;239700.00
ITEM;1583;32;1.10;268590.00
ITEM;1543;13;0.66;139667.50
ITEM;2116;62;0.88;1763047.00
ITEM;1553;35;0.86;191812.50
ITEM;1563;19;1.16;271957.50
ITEM;2241;33;0.66;1967490.00
ITEM;1503;20;0.84;157762.50
ITEM;600;9;0.96;7413.44
ITEM;42;43;0.67;87.26
ITEM;52;19;0.65;141.75
ITEM;2335;39;1.07;292265.60
ITEM;2111;131;0.75;4905379.00
ITEM;62;74;0.75;483.57
ITEM;2123;113;0.62;3776652.00
ITEM;2212;34;0.98;4350780.00
ITEM;77;143;0.97;1014.78
ITEM;3;281;0.77;16.56
ITEM;726;75;0.76;12885.94
ITEM;114;559;0.61;1.84
ITEM;21;352;0.67;27.46
ITEM;2432;22;0.70;30718.36
ITEM;2440;2;0.99;89746.38
ITEM;113;128;0.78;5.67
ITEM;216;221;0.56;173.39
ITEM;693;43;0.66;3795.31
ITEM;720;7;1.24;8034.38
ITEM;217;73;1.13;355.67
ITEM;215;92;1.10;286.77
ITEM;323;28;0.54;1144.43
ITEM;1450;10;0.58;7130.16
ITEM;152;167;0.96;14.10
ITEM;2344;24;0.71;107.61
ITEM;156;316;1.05;22.40
ITEM;642;9;1.14;26563.02
ITEM;640;13;0.50;4193.44
ITEM;749;53;0.85;237265.60
ITEM;734;25;1.10;299765.60
ITEM;760;49;1.16;314765.60
ITEM;1300;21;0.65;10486.88
ITEM;22;137;0.78;53.35
ITEM;663;15;0.63;27351.51
ITEM;662;14;0.82;19702.86
ITEM;100;461;1.08;1.77
ITEM;408;15;1.05;17.38
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;45;0.89
SKILL;51;1.24
SKILL;53;0.54
SKILL;61;0.55
SKILL;222;0.89
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;31;45;629226;TRANSPORT#32#2057#sector_16_station_0.txt#sector_57_station_0.txt#null#null#null#null;Head to Rendo Labs in <color='cyan'>Entropy</color>, pick up <color='yellow'>32</color> <color='yellow'>Micro Computers</color> for a light shipment to OmniTrust in <color='cyan'>Ponze</color>;15;The Law faction advisor <i>Youfo Rozetadae</i> has placed a light shipment transport order to move <color='yellow'>32</color> <color='yellow'>Micro Computers</color> from the Rendo Labs storage in <color='cyan'>Entropy</color>, to the OmniTrust in <color='cyan'>Ponze</color>.;11814;4923
MISSION;20;120;342462;COLLECT#8#2046#sector_0_station_0.txt#sector_3_station_0.txt#null#null#null#null;Collect a light shipment of <color='yellow'>Large Motors</color> and return to Biomate University in <color='cyan'>Void Starcross</color>;15;The Law Faction's fabrication representative <i>Neue Jancobortaf</i> is running a bit short on some items needed for an upcoming production run at Biomate University Station in <color='cyan'>Void Starcross</color>. Perhaps you can collect <color='yellow'>8</color> <color='yellow'>Large Motors</color> and bring them by the fabricator at Biomate University.;6188;1375
MISSION;62;45;513472;HARVEST#117#1#sector_58.txt#sector_0_station_1.txt#null#null#null#null;Excavate special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color> and return with <color='yellow'>117</color> to Lammassu Financial in <color='cyan'>Void Starcross</color>;16;<i>Wouo Tuwen</i> has discovered a light deposit of <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color>. He is currently unable to mine the <color='yellow'>Special Adamyte Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>117</color> <color='yellow'>Special Adamyte Ore</color>. Once complete, head over and meet <i>Wouo Tuwen</i> at the Lammassu Financial station located in the <color='cyan'>Void Starcross</color>.;18950;6891
MISSION;31;45;902568;TRANSPORT#4#1651#sector_15_station_0.txt#sector_69_station_1.txt#null#null#null#null;Head to Crystalis Broadcasting in <color='cyan'>Jermicus</color>, pick up <color='yellow'>4</color> <color='yellow'>Improved Explosive Armors</color> for a light shipment to Oak Industries in <color='cyan'>Dorando Corridor</color>;17;The Judicial faction advisor <i>Timjoh Jelyo</i> has placed a light shipment transport order to move <color='yellow'>4</color> <color='yellow'>Improved Explosive Armors</color> from the Crystalis Broadcasting storage in <color='cyan'>Jermicus</color>, to the Oak Industries in <color='cyan'>Dorando Corridor</color>.;15752;8861
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(excavation_escort_1).txt
SHIP;2;0.97;ship_data_(support_carrier_1).txt
SHIP;3;1.01;ship_data_(support_escort_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

