// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Legistron
STATION;type;Reclamation Center
STATION;owner;Akno Vakjanco
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;9
STATION;icon;legistron.png
STATION;filename;sector_40_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-9-1-1-3-1-0-1-2-6-2-7-1-3-0-2-7-0
STATION;interior_seed;3-6-45-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;56512.57
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;0.69;npc_ship_data_(battle_utility_1).txt
MERC;2;1.15;npc_ship_data_(excavation_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (1) Items ;322x66;53111.00;57384.95
ITEM;2126;32;0.56;88614.97
ITEM;730;105;1.16;56593.13
ITEM;1014;54;0.68;18992.19
ITEM;1631;65;1.12;60881.25
ITEM;1013;64;0.73;22200.97
ITEM;621;35;1.13;15038.41
ITEM;1641;35;1.08;58881.25
ITEM;746;176;0.67;34543.13
ITEM;1521;62;0.72;32705.00
ITEM;646;36;0.83;186508.30
ITEM;331;30;1.04;245.27
ITEM;627;14;0.92;358057.50
ITEM;102;629;0.80;2.79
ITEM;2044;112;1.04;3841.87
ITEM;679;68;0.98;87287.63
ITEM;731;96;0.73;136558.10
ITEM;675;22;0.56;35511.75
ITEM;748;74;0.75;139858.10
ITEM;743;97;0.61;116758.10
ITEM;681;27;0.53;50837.62
ITEM;2043;322;1.14;3799.62
ITEM;602;13;0.92;21815.85
ITEM;648;14;1.16;774378.80
ITEM;405;32;1.20;1.43
ITEM;604;37;0.64;48426.55
ITEM;2;791;0.93;11.87
ITEM;313;24;1.12;358.02
ITEM;123;403;1.18;126.96
ITEM;2130;81;0.97;12811.50
ITEM;1050;26;0.95;2095.25
ITEM;2112;40;0.83;11131.50
ITEM;2124;446;1.00;12073.88
ITEM;1002;55;0.74;1683.08
ITEM;1170;13;0.79;2130.30
ITEM;1001;50;0.65;1643.08
ITEM;324;23;1.05;3582.02
ITEM;341;43;1.04;5999.15
ITEM;343;24;1.20;8070.16
ITEM;2038;587;1.11;3538.37
ITEM;322;30;1.05;948.68
ITEM;27;473;1.25;1161.26
ITEM;738;147;1.24;1354345.00
ITEM;2387;65;1.18;5208.88
ITEM;24;878;1.01;194.27
ITEM;11;373;0.79;125.38
ITEM;2037;29;0.51;1618.50
ITEM;643;20;1.11;45305.26
ITEM;7;594;0.55;91.48
ITEM;2386;26;1.08;4364.28
ITEM;2004;297;0.82;340.07
ITEM;112;695;0.55;21.55
ITEM;660;18;1.05;8033.38
ITEM;628;2;0.69;484977.70
ITEM;108;1090;0.57;8.93
ITEM;2033;352;0.68;1414.74
ITEM;661;2;1.18;15650.91
ITEM;666;34;1.04;228730.90
ITEM;2414;3;0.77;14349.65
ITEM;2032;606;0.97;1765.77
ITEM;28;117;0.90;1461.43
ITEM;2031;90;1.17;1905.95
ITEM;332;23;0.74;2332.49
ITEM;2412;53;1.15;17053.79
ITEM;2030;55;0.74;1144.93
ITEM;301;80;1.15;31.56
ITEM;300;71;1.20;129.18
ITEM;404;53;0.54;0.70
ITEM;325;0;2.50;1048.66
ITEM;603;35;0.84;35175.94
ITEM;605;25;0.88;112321.30
ITEM;110;1076;1.06;18.58
ITEM;606;30;1.15;250847.50
ITEM;623;23;0.52;23170.82
ITEM;168;97;1.15;32.36
ITEM;101;933;0.76;1.54
ITEM;403;36;0.96;1.16
ITEM;406;35;0.70;0.88
ITEM;353;76;0.50;2611.47
ITEM;109;37;0.98;4.83
ITEM;116;638;1.24;76.93
ITEM;311;65;0.86;122.30
ITEM;727;175;0.83;13914.38
ITEM;668;4;1.07;718961.60
ITEM;665;11;0.82;105427.80
ITEM;664;27;0.79;58274.36
ITEM;115;1070;0.63;20.18
ITEM;8;25;1.24;311.76
ITEM;208;358;0.88;155.60
ITEM;2131;57;1.19;54080.25
ITEM;75;310;1.22;247.05
ITEM;1550;10;1.20;32440.63
ITEM;2258;75;0.55;139887.00
ITEM;2119;5;0.79;31066.88
ITEM;2113;340;0.88;40850.25
ITEM;2113;-99;1.06;48620.25
ITEM;1700;0;1.30;43699.75
ITEM;1702;0;1.31;44048.36
ITEM;1701;0;1.25;42016.11
ITEM;1161;44;0.63;5602.71
ITEM;1731;12;0.89;24690.63
ITEM;60;127;1.01;124.61
ITEM;1008;60;0.71;5680.07
ITEM;2298;13;0.97;320287.50
ITEM;1712;39;1.21;32690.63
ITEM;2297;16;0.86;287287.50
ITEM;1630;81;0.62;17940.63
ITEM;1111;35;0.60;5371.71
ITEM;1007;59;0.67;5939.92
ITEM;312;67;0.62;50.68
ITEM;620;43;1.03;7893.38
ITEM;1580;14;0.94;29053.50
ITEM;1640;36;1.02;27940.63
ITEM;2319;74;1.20;4827648.00
ITEM;1770;88;0.92;335849.80
ITEM;1750;53;0.51;24305.00
ITEM;70;347;1.06;144.70
ITEM;50;20;1.18;47.91
ITEM;40;121;0.59;15.47
ITEM;169;99;0.59;48.64
ITEM;167;567;0.91;64.80
ITEM;351;69;0.90;5527.76
ITEM;302;17;1.20;59.09
ITEM;2027;174;1.03;1752.10
ITEM;2408;52;0.82;12961.45
ITEM;111;409;0.56;15.20
ITEM;163;227;0.66;30.25
ITEM;2001;261;0.50;166.40
ITEM;2025;834;1.24;1717.68
ITEM;310;44;1.23;181.38
ITEM;667;31;1.01;389724.50
ITEM;2340;10;0.93;77071.88
ITEM;76;213;1.08;496.82
ITEM;2024;718;0.99;1269.68
ITEM;1562;88;1.13;132583.50
ITEM;1602;60;0.96;76149.00
ITEM;2270;72;1.13;1119594.00
ITEM;1403;41;0.50;102492.70
ITEM;2121;205;0.58;290531.70
ITEM;641;16;0.54;7810.91
ITEM;2115;234;0.98;554438.10
ITEM;1103;22;1.11;103553.80
ITEM;1067;71;1.06;109193.00
ITEM;61;349;1.03;285.44
ITEM;1542;70;0.99;100061.50
ITEM;1020;64;0.73;71125.32
ITEM;1632;33;0.62;71762.50
ITEM;1113;87;1.25;127114.70
ITEM;1019;57;0.76;81318.41
ITEM;622;31;0.74;17957.01
ITEM;1572;35;0.84;97513.00
ITEM;2285;67;0.56;789150.00
ITEM;1771;72;1.14;714800.20
ITEM;1532;76;0.97;106762.50
ITEM;51;159;0.75;71.52
ITEM;41;432;0.59;34.81
ITEM;1;110;0.94;7.26
ITEM;2000;434;0.98;20.76
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;63;0.54
SKILL;32;1.72
SKILL;6;1.49
SKILL;55;1.93
SKILL;210;1.09
SKILL;17;1.85
SKILL;42;1.42
SKILL;32;0.83
SKILL;225;1.06
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;151;120;188212;FABRICATE#7#2356#sector_35_station_0.txt#sector_107_station_0.txt#null#null#null#null;Produce a light container of <color='yellow'>7</color> <color='yellow'>Rubber Tubings</color> at the Astrox Security Patrol fabricator in <color='cyan'>Felishar</color>;15;The Law Faction has commissioned a production liaison, <i>Jaghas Xeveskom</i> at RestJag Outlet. After an audit, <color='yellow'>7</color> items of <color='yellow'>Rubber Tubings</color> were deemed required. Head on over to <color='cyan'>Felishar</color> and manufacture these <color='yellow'>Rubber Tubings</color> at Astrox Security Patrol.;27563;12250
MISSION;104;120;372665;KILL_RECOVER#sector_80_station_0.txt#sector_78.txt#Professor Risbue Eadaxen#npc_ship_data_(ATC_Raider_MK3)#15#87#311#null;Frag <color='yellow'><i>Professor Risbue Eadaxen</i></color> in <color='cyan'>Bitcola</color> and take back <color='yellow'>87</color> <color='yellow'>Bottled Whiskeys</color>. Return to Genistar in <color='cyan'>Blades of Dandrow</color>;15;Mr. <i>Pami Fouqu</i> has finally been arrested in the <color='cyan'>Bitcola</color> system by Law authorities. His accomplice, Mr. <color='yellow'><i>Professor Risbue Eadaxen</i></color> is still at large. Destroy his ship and return the <color='yellow'>87</color> <color='yellow'>Bottled Whiskeys</color> to the Genistar station in the <color='cyan'>Blades of Dandrow</color> sector.;123098;41033
MISSION;60;45;453229;HARVEST#42#6#sector_70.txt#sector_0_station_2.txt#null#null#null#null;Harvest special <color='yellow'>Special Plasite Ore</color> in <color='cyan'>Beaondus</color> and return with <color='yellow'>42</color> ore to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;16;A local prospector, <i>Foewe Wheails</i> of the Enforcement faction has located a light quantity of special <color='yellow'>Special Plasite Ore</color> in the <color='cyan'>Beaondus</color> sector. Head over there and harvest all of the special <color='yellow'>Special Plasite Ore</color>, and meet <i>Foewe Wheails</i> back at StarGypsy Warehouse station located in the <color='cyan'>Void Starcross</color>.;13725;5625
MISSION;32;45;500225;TRANSPORT#129#2033#sector_0_station_5.txt#sector_60_station_0.txt#null#null#null#null;Move light cargo from Proctors Center in <color='cyan'>Void Starcross</color> and dock with <color='yellow'>129</color> <color='yellow'>Cooling Units</color> at Biomart in <color='cyan'>Veloxi</color>;15;<i>Vakfo Paeza</i> was unable to complete a large shipment from Proctors Center to Biomart. A light shipment containing <color='yellow'>129</color> <color='yellow'>Cooling Units</color> is located at the storage bay at Proctors Center in <color='cyan'>Void Starcross</color>. Retrieve the <color='yellow'>Cooling Units</color> and transport them to Biomart in <color='cyan'>Veloxi</color>.;24119;6891
MISSION;102;120;271710;KILL_RECOVER#sector_3_station_0.txt#sector_72.txt#Engineer Veldorn Nostrafon#npc_ship_data_(excavation_utility_1)#7#19#2055#null;Hijack and kill <color='yellow'><i>Engineer Veldorn Nostrafon</i></color> in <color='cyan'>Xenolin</color> and steal <color='yellow'>19</color> <color='yellow'>Auxiliary System Mounts</color>. Return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;15;The Law faction has been following an escaped fugitive named <color='yellow'><i>Engineer Veldorn Nostrafon</i></color>. He was recently seen around the <color='cyan'>Xenolin</color> system, but his exact location is unknown. <color='yellow'><i>Engineer Veldorn Nostrafon</i></color> is carrying some cargo that was taken from the security facility. Return the <color='yellow'>Auxiliary System Mounts</color> by any means, and head back to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>.;53595;26798
MISSION;94;90;495328;KILL_PILOT#sector_56_station_1.txt#sector_84.txt#General Enoah Bacdaegale#npc_ship_data_(excavation_frigate_3)#15#null#null#null;Destroy the ship of <color='yellow'><i>General Enoah Bacdaegale</i></color> and head to ValueStar in <color='cyan'>Hunu</color> for the bounty;17;A kill contract has been placed on <color='yellow'><i>General Enoah Bacdaegale</i></color> by the Judicial faction for various crimes committed in the <color='cyan'>Archon</color>. <i>Lowvel Qedie</i> has issued this contract and will be waiting at the ValueStar station in <color='cyan'>Hunu</color> system for news that this criminal has been destroyed.;140685;70343
MISSION;111;60;261389;KILL_RAIDERS#sector_23_station_0.txt#sector_16.txt#1#20#npc_ship_data_(ATC_Enigma)#random#random#random;Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Entropy</color>. Return to PharmaLife in <color='cyan'>Carioullis</color>;15;A medium group of thugs decided to set up camp in the <color='cyan'>Entropy</color> system. <i>Sersi Balomwo</i>, who has recently been elected as Overseer of <color='cyan'>Entropy</color> by the Laws, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 20 raiders and return to the PharmaLife station.;18049;6016
MISSION;81;60;623626;RECOVER#1360#407#sector_55.txt#sector_69_station_0.txt#null#null#null#null;Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Daelus</color> sector, and return to Mass Market in <color='cyan'>Dorando Corridor</color>;15;<i>Xades Baccousiv</i> has lost track of a shipment crate from his last haul. It has been reported found in <color='cyan'>Daelus</color>. In an effort to save time, <i>Xades Baccousiv</i> has sub-contracted the task of returning the light shipment to Mass Market in <color='cyan'>Dorando Corridor</color>. The Law faction is aware of the situation and has sent a representative to Mass Market.;14768;4923
MISSION;132;45;685331;SALVAGE#130#28#sector_88.txt#sector_109_station_0.txt#null#null#null#null;Dismantle <color='yellow'>Special Computer Component</color> in <color='cyan'>Estura Cove</color> and return with <color='yellow'>130</color> to Vita Assembly in <color='cyan'>Capital Void</color>;15;<i>Sipba Lockijanco</i> has discovered a light cache of <color='yellow'>Special Computer Component</color> in <color='cyan'>Estura Cove</color>. He is currently unable to dismantle the <color='yellow'>Special Computer Component</color>, and has requested a pilot to head over and salvage the <color='yellow'>130</color> <color='yellow'>Special Computer Component</color>. Once complete, head over and meet <i>Sipba Lockijanco</i> at the Vita Assembly station located in the <color='cyan'>Capital Void</color>.;37901;20673
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.08;ship_data_(recon_frigate_1).txt
SHIP;2;1.07;ship_data_(transport_utility_1).txt
SHIP;3;0.91;ship_data_(support_cruiser_1).txt
SHIP;4;1.10;ship_data_(transport_frigate_1).txt
SHIP;5;1.03;ship_data_(excavation_escort_1).txt
SHIP;6;0.97;ship_data_(recon_dreadnought_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

