// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;ValueStar
STATION;type;Trade Floor Facility
STATION;owner;Binofesiv Sedkeesed
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;8
STATION;icon;valuestar.png
STATION;filename;sector_56_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-7-1-3-9-3-8-0-7-7-3-6-0-6-7-1-5-1-6-5-1-0-0
STATION;interior_seed;5-0-15-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;14001.83
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.60;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.84;npc_ship_data_(pirate_escort_1).txt
MERC;3;1.34;npc_ship_data_(pirate_shuttle_1).txt
MERC;6;0.72;npc_ship_data_(pirate_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Sell Order Request for (1) Items ;113x65;302;51784.49
ITEM;1530;41;0.73;19708.59
ITEM;1760;30;0.59;19708.59
ITEM;1640;43;0.87;19708.59
ITEM;1570;69;1.12;19708.59
ITEM;620;6;0.78;5846
ITEM;312;0;1.90;5846
ITEM;2143;42;0.80;5846
ITEM;1630;3;0.82;5846
ITEM;1712;12;0.78;5846
ITEM;1540;12;0.78;5846
ITEM;60;365;1.15;135.8459
ITEM;1057;40;0.82;135.8459
ITEM;2125;68;1.18;135.8459
ITEM;1701;15;1.00;26307.28
ITEM;2295;9;1.11;26307.28
ITEM;2113;161;0.76;26307.28
ITEM;1600;16;1.09;26307.28
ITEM;201;56;1.10;94.24615
ITEM;1560;77;1.14;94.24615
ITEM;75;243;0.85;94.24615
ITEM;1059;8;1.08;94.24615
ITEM;2131;161;0.93;94.24615
ITEM;2253;26;0.99;94.24615
ITEM;208;548;0.95;94.24615
ITEM;8;301;1.06;94.24615
ITEM;115;281;0.70;94.24615
ITEM;664;5;1.01;69940.43
ITEM;665;30;0.70;69940.43
ITEM;311;0;1.84;69940.43
ITEM;116;482;0.95;69940.43
ITEM;109;123;0.66;69940.43
ITEM;353;46;1.09;69940.43
ITEM;406;30;0.64;69940.43
ITEM;403;0;1.88;69940.43
ITEM;101;129;0.62;69940.43
ITEM;168;653;0.95;69940.43
ITEM;623;30;0.79;69940.43
ITEM;606;3;0.99;69940.43
ITEM;110;222;0.73;69940.43
ITEM;605;21;0.96;69940.43
ITEM;603;12;0.78;69940.43
ITEM;325;18;0.85;69940.43
ITEM;404;0;1.88;69940.43
ITEM;200;411;0.53;69940.43
ITEM;300;49;1.13;69940.43
ITEM;301;56;0.92;69940.43
ITEM;2030;622;0.91;69940.43
ITEM;332;32;0.63;69940.43
ITEM;2031;31;0.78;69940.43
ITEM;2032;35;0.68;69940.43
ITEM;666;33;0.81;69940.43
ITEM;661;10;0.60;69940.43
ITEM;2033;93;0.92;69940.43
ITEM;108;245;1.01;14.25155
ITEM;2385;34;0.89;14.25155
ITEM;660;2;1.26;9201.498
ITEM;2034;41;0.79;9201.498
ITEM;112;462;0.86;9201.498
ITEM;2004;508;0.73;9201.498
ITEM;7;729;0.92;137.4928
ITEM;643;33;0.69;137.4928
ITEM;2035;146;1.19;137.4928
ITEM;2036;36;0.76;137.4928
ITEM;2037;150;0.25;137.4928
ITEM;11;582;0.89;137.4928
ITEM;24;70;0.73;138.4181
ITEM;27;237;0.95;138.4181
ITEM;322;35;0.76;138.4181
ITEM;204;462;0.78;91.0709
ITEM;2038;34;0.71;91.0709
ITEM;343;53;0.80;91.0709
ITEM;341;21;1.14;6279.427
ITEM;2039;42;0.74;6279.427
ITEM;324;43;0.86;6279.427
ITEM;735;91;0.82;6279.427
ITEM;2154;34;0.79;10121.22
ITEM;1002;14;0.86;10121.22
ITEM;2124;179;0.84;10121.22
ITEM;2118;9;1.00;10121.22
ITEM;1400;72;1.21;10121.22
ITEM;2130;114;0.87;10121.22
ITEM;313;0;1.86;10121.22
ITEM;2;691;0.97;10121.22
ITEM;604;16;0.60;10121.22
ITEM;405;0;1.88;10121.22
ITEM;602;38;0.77;10121.22
ITEM;2007;160;0.58;10121.22
ITEM;673;48;1.14;10121.22
ITEM;2464;43;1.18;10121.22
ITEM;675;115;0.54;32135.72
ITEM;753;10;1.07;32135.72
ITEM;2426;66;1.24;43626.52
ITEM;102;655;0.60;43626.52
ITEM;627;25;0.92;43626.52
ITEM;331;21;1.14;43626.52
ITEM;646;22;1.18;43626.52
ITEM;1531;25;0.78;43626.52
ITEM;746;30;1.05;43626.52
ITEM;1571;50;1.04;43626.52
ITEM;1581;79;1.01;43626.52
ITEM;621;17;1.03;43626.52
ITEM;1013;47;0.56;43626.52
ITEM;1172;54;1.09;43626.52
ITEM;1541;40;0.67;43626.52
ITEM;730;136;1.10;43626.52
ITEM;2126;277;0.96;43626.52
ITEM;2114;32;0.95;43626.52
ITEM;751;2;0.92;43626.52
ITEM;2120;309;1.13;43626.52
ITEM;757;99;1.22;43626.52
ITEM;1601;1;0.61;23849.34
ITEM;2254;36;0.62;324582
ITEM;305;45;0.65;164.88
ITEM;105;548;1.03;164.88
ITEM;2009;352;1.22;164.88
ITEM;2010;224;1.27;601.27
ITEM;20;466;0.51;601.27
ITEM;304;14;0.55;601.27
ITEM;742;93;0.75;601.27
ITEM;747;68;1.02;601.27
ITEM;2012;252;0.81;477.8572
ITEM;677;53;1.00;477.8572
ITEM;733;101;0.99;477.8572
ITEM;2014;564;0.70;477.8572
ITEM;2469;55;0.59;477.8572
ITEM;758;94;0.67;477.8572
ITEM;2475;78;0.53;477.8572
ITEM;691;13;1.22;477.8572
ITEM;692;13;0.76;477.8572
ITEM;690;122;1.08;477.8572
ITEM;4;323;0.67;477.8572
ITEM;155;249;0.87;477.8572
ITEM;104;1124;0.96;477.8572
ITEM;166;51;1.02;477.8572
ITEM;2366;23;0.96;477.8572
ITEM;350;45;0.75;477.8572
ITEM;320;68;0.82;477.8572
ITEM;352;38;1.23;11586.61
ITEM;680;57;0.54;11586.61
ITEM;740;134;0.89;11586.61
ITEM;674;64;0.52;11586.61
ITEM;676;131;0.88;11586.61
ITEM;670;37;0.71;16074.12
ITEM;711;26;0.68;16074.12
ITEM;23;69;0.51;16074.12
ITEM;161;313;0.81;16074.12
ITEM;728;15;0.77;12313.58
ITEM;210;93;0.70;12313.58
ITEM;25;355;1.18;368.3507
ITEM;321;43;0.95;368.3507
ITEM;121;154;1.12;368.3507
ITEM;106;226;1.14;11.09055
ITEM;601;7;1.14;11.09055
ITEM;150;708;0.51;11.09055
ITEM;303;66;0.63;11.09055
ITEM;342;56;1.22;11.09055
ITEM;107;1099;0.87;10.32068
ITEM;644;37;0.90;10.32068
ITEM;2369;58;1.14;10.32068
ITEM;407;41;0.64;10.32068
ITEM;103;971;1.13;10.32068
ITEM;330;9;0.84;10.32068
ITEM;607;24;0.74;10.32068
ITEM;6;716;0.72;10.32068
ITEM;118;302;1.04;5.863081
ITEM;2276;34;0.67;5.863081
ITEM;1533;44;0.73;157018.4
ITEM;1543;12;0.63;157018.4
ITEM;2122;387;0.81;157018.4
ITEM;1404;13;0.80;157018.4
ITEM;1603;2;0.52;157018.4
ITEM;1074;48;1.07;157018.4
ITEM;213;346;0.67;157018.4
ITEM;600;25;0.84;157018.4
ITEM;42;344;0.70;157018.4
ITEM;2332;31;1.04;157018.4
ITEM;52;396;0.96;157018.4
ITEM;1524;65;0.78;157018.4
ITEM;1624;76;0.97;157018.4
ITEM;1534;35;0.74;157018.4
ITEM;2227;75;0.51;157018.4
ITEM;1754;58;1.16;157018.4
ITEM;2111;101;0.59;3716398
ITEM;2105;53;0.74;3716398
ITEM;1544;12;0.26;116179.6
ITEM;62;272;0.66;408.7724
ITEM;1053;75;0.52;408.7724
ITEM;2129;361;1.21;7322858
ITEM;1210;50;0.56;1282313
ITEM;1105;47;0.61;1282313
ITEM;2123;270;0.65;1282313
ITEM;2341;18;0.53;1282313
ITEM;3;63;0.47;1282313
ITEM;2479;71;0.50;1282313
ITEM;207;265;1.11;1282313
ITEM;114;520;1.02;1282313
ITEM;21;790;0.86;1282313
ITEM;113;542;0.89;6.074834
ITEM;722;112;1.20;7542.548
ITEM;2016;596;1.09;7542.548
ITEM;693;143;1.11;7542.548
ITEM;703;94;0.84;7542.548
ITEM;720;31;0.76;4882.494
ITEM;217;737;0.70;4882.494
ITEM;626;24;0.66;143501.5
ITEM;323;18;0.79;143501.5
ITEM;117;1184;0.63;32.68563
ITEM;152;227;1.07;14.91505
ITEM;2018;59;0.54;14.91505
ITEM;625;1;1.01;14.91505
ITEM;642;26;0.82;14.91505
ITEM;340;64;0.71;14.91505
ITEM;640;17;0.73;14.91505
ITEM;645;28;0.58;14.91505
ITEM;162;797;0.82;31.56069
ITEM;647;23;1.18;31.56069
ITEM;749;62;0.61;166720.2
ITEM;760;141;1.02;269637.9
ITEM;2477;73;1.23;269637.9
ITEM;124;389;1.16;269637.9
ITEM;2401;21;0.55;269637.9
ITEM;2020;556;0.95;269637.9
ITEM;2402;1;1.25;269637.9
ITEM;5;471;0.63;269637.9
ITEM;1300;31;0.70;269637.9
ITEM;333;52;0.78;269637.9
ITEM;22;45;0.77;269637.9
ITEM;624;16;0.57;269637.9
ITEM;663;32;0.69;28033.59
ITEM;662;29;0.57;28033.59
ITEM;100;128;0.68;1.09923
ITEM;26;419;0.69;1.09923
ITEM;408;25;0.65;1.09923
ITEM;2174;35;1.22;1.09923
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;16;0.55
SKILL;226;0.72
SKILL;213;1.24
SKILL;225;1.32
SKILL;16;1.12
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;151;120;798632;FABRICATE#6#2378#sector_20_station_0.txt#sector_14_station_1.txt#null#null#null#null;Produce a light container of <color='yellow'>6</color> <color='yellow'>Small Pumps</color> at the Medicore University fabricator in <color='cyan'>Cliffs of Drameria</color>;3;The Trade Faction has commissioned a production liaison, <i>Yopad Whareno</i> at Horizons. After an audit, <color='yellow'>6</color> items of <color='yellow'>Small Pumps</color> were deemed required. Head on over to <color='cyan'>Cliffs of Drameria</color> and manufacture these <color='yellow'>Small Pumps</color> at Medicore University.;16440;4594
MISSION;61;45;768247;HARVEST#98#1#sector_14.txt#sector_95_station_0.txt#null#null#null#null;Mine special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Gate of Alpharis</color> and return with <color='yellow'>98</color> to Star Shepards Hub in <color='cyan'>Temple Gates</color>;5;While collecting some junk in the <color='cyan'>Gate of Alpharis</color> system, <i>Fouqo Sawres</i> discovered a light haul of <color='yellow'>98</color> <color='yellow'>Special Adamyte Ore</color>. Unable to collect the material alone, <i>Fouqo Sawres</i> has requested that a capable pilot harvest the <color='yellow'>Special Adamyte Ore</color> and drop it off at the Star Shepards Hub station located in the <color='cyan'>Temple Gates</color>.;10570;2954
MISSION;31;45;419095;TRANSPORT#9#1052#sector_18_station_0.txt#sector_95_station_1.txt#null#null#null#null;Head to Dreamstar in <color='cyan'>Gendaria</color>, pick up <color='yellow'>9</color> <color='yellow'>Generic Missile Launchers</color> for a light shipment to Acrondia Hub in <color='cyan'>Temple Gates</color>;4;The Financial faction advisor <i>Qiils Leaxad</i> has placed a light shipment transport order to move <color='yellow'>9</color> <color='yellow'>Generic Missile Launchers</color> from the Dreamstar storage in <color='cyan'>Gendaria</color>, to the Acrondia Hub in <color='cyan'>Temple Gates</color>.;12972;4923
MISSION;41;45;710455;SCAN_PILOT#sector_14_station_1.txt#sector_78.txt#Mr. Fiwhi Sipyan#npc_ship_data_(Advanced_Assault_carrier_1)#8#null#null#null;Find <color='yellow'><i>Mr. Fiwhi Sipyan</i></color> in <color='cyan'>Bitcola</color>, scan their ship, and return to Horizons in <color='cyan'>Gate of Alpharis</color>;3;<color='yellow'><i>Mr. Fiwhi Sipyan</i></color> has recently been paroled for a capital crime, and their parole officer has received information about a possible raid in <color='cyan'>Bitcola</color>. Head to <color='cyan'>Bitcola</color> and perform a scan of <color='yellow'><i>Mr. Fiwhi Sipyan</i></color>'s ship and return to Horizons in <color='cyan'>Gate of Alpharis</color> with the scan data for review.;10462;3500
MISSION;100;120;190411;KILL_RECOVER#sector_35_station_0.txt#sector_0.txt#Overseer Qimi Bosed#npc_ship_data_(ATC_Jester_MK2)#3#1#1202#null;Kill and Rob <color='yellow'><i>Overseer Qimi Bosed</i></color> in <color='cyan'>Void Starcross</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color> with <color='yellow'>1</color> of <color='yellow'>Advanced Ore Harvester</color>;3;<i>Oapi Desfi</i> was hijacked for <color='yellow'>1</color> <color='yellow'>Advanced Ore Harvester</color> by a pilot named <color='yellow'><i>Overseer Qimi Bosed</i></color>. The Trade has approved a 'Kill and Recover' contract for the criminal <color='yellow'><i>Overseer Qimi Bosed</i></color>. Last seen in the <color='cyan'>Void Starcross</color> system, <color='yellow'><i>Overseer Qimi Bosed</i></color> is considered to be un-prepared for combat. Take him out and return the <color='yellow'>Advanced Ore Harvester</color> to Astrox Security Patrol in <color='cyan'>Felishar</color>.;6825;1750
MISSION;126;45;513348;CHAT_PILOT#sector_0_station_5.txt#sector_3.txt#Scribe Madto Lockibazris#npc_ship_data_(battle_escort_1)#16#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Scribe Madto Lockibazris</i></color> in <color='cyan'>Starfort Ramos</color> and return with signature to Proctors Center in <color='cyan'>Void Starcross</color>;4;<i>Qial Ferkintu</i> has a bonus payment for <color='yellow'><i>Scribe Madto Lockibazris</i></color>. The Financial faction has recognized <color='yellow'><i>Scribe Madto Lockibazris</i></color> and has award a bonus payment. <color='yellow'><i>Scribe Madto Lockibazris</i></color> was last working in the <color='cyan'>Starfort Ramos</color> system. Find them, deliver this envelope, and return to the Proctors Center in the <color='cyan'>Void Starcross</color> system with a signature.;154185;43085
MISSION;60;45;861546;HARVEST#45#1#sector_35.txt#sector_35_station_0.txt#null#null#null#null;Harvest special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Felishar</color> and return with <color='yellow'>45</color> ore to Astrox Security Patrol in <color='cyan'>Felishar</color>;3;A local prospector, <i>Emiyou Sawbue</i> of the Trade faction has located a light quantity of special <color='yellow'>Special Adamyte Ore</color> in the <color='cyan'>Felishar</color> sector. Head over there and harvest all of the special <color='yellow'>Special Adamyte Ore</color>, and meet <i>Emiyou Sawbue</i> back at Astrox Security Patrol station located in the <color='cyan'>Felishar</color>.;6039;1688
MISSION;82;60;206781;RECOVER#827#151#sector_14.txt#sector_0_station_0.txt#null#null#null#null;Retrieve a light cache of <color='yellow'>Fasteners</color> from a <color='yellow'>crate</color> in <color='cyan'>Gate of Alpharis</color> sector, drop at Biomate University in <color='cyan'>Void Starcross</color>;5;After a skirmish in <color='cyan'>Gate of Alpharis</color>, the Commerce's <i>Akbast Boyidoe</i> cannot account for a light shipment of <color='yellow'>Fasteners</color> he was transporting before the attack. Head out to the <color='cyan'>Gate of Alpharis</color> sector and look for the crate. When found, take the contents of the crate back to the Biomate University station in the <color='cyan'>Void Starcross</color> sector.;18495;5168
MISSION;62;45;716485;HARVEST#133#1#sector_14.txt#sector_16_station_0.txt#null#null#null#null;Excavate special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Gate of Alpharis</color> and return with <color='yellow'>133</color> to Rendo Labs in <color='cyan'>Entropy</color>;5;<i>Restme Couweli</i> has discovered a light deposit of <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Gate of Alpharis</color>. He is currently unable to mine the <color='yellow'>Special Adamyte Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>133</color> <color='yellow'>Special Adamyte Ore</color>. Once complete, head over and meet <i>Restme Couweli</i> at the Rendo Labs station located in the <color='cyan'>Entropy</color>.;15160;5168
MISSION;101;120;108773;KILL_RECOVER#sector_35_station_0.txt#sector_15.txt#Private Arshom Befermad#npc_ship_data_(kj_shuttle_2)#5#19#2018#null;Hijack <color='yellow'><i>Private Arshom Befermad</i></color> in <color='cyan'>Jermicus</color> for <color='yellow'>19</color> <color='yellow'>Steelium Plates</color> and deliver them to Astrox Security Patrol in <color='cyan'>Felishar</color>;3;Authorities in <color='cyan'>Jermicus</color> have reported the location of a known criminal, <color='yellow'><i>Private Arshom Befermad</i></color>. He is carrying some stolen property belonging to members of the Trade faction. Destroy <color='yellow'><i>Private Arshom Befermad</i></color>'s ship and recover the <color='yellow'>19</color> <color='yellow'>Steelium Plates</color>. When finished, meet up with <i>Ahimes Dornwheaxen</i>, you can find him at Astrox Security Patrol in <color='cyan'>Felishar</color>.;15006;6125
MISSION;130;45;826650;SALVAGE#60#27#sector_2.txt#sector_4_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Engine Component</color> in <color='cyan'>Merces Academy</color> and return with <color='yellow'>60</color> to The Dunes in <color='cyan'>The Dunes of Caliph</color>;3;A local prospector, <i>Qaast Astnefu</i> of the Trade faction has located a light quantity of special <color='yellow'>Special Engine Component</color> in the <color='cyan'>Merces Academy</color> sector. Head over there and salvage all of the special <color='yellow'>Special Engine Component</color>, and meet <i>Qaast Astnefu</i> back at The Dunes station located in the <color='cyan'>The Dunes of Caliph</color>.;8235;2813
MISSION;152;120;249959;FABRICATE#11#2437#sector_0_station_3.txt#sector_78_station_0.txt#null#null#null#null;Manufacture <color='yellow'>11</color> <color='yellow'>Auxiliary System Mounts</color> at StarShepards Headquarters station fabricator in <color='cyan'>Void Starcross</color>;3;<i>Imesbac Janqa</i> from Tella's Station has commissioned a production run . He has required a small manufacturing run of <color='yellow'>11</color> <color='yellow'>Auxiliary System Mounts</color>. Set your GPS autopilot to <color='cyan'>Void Starcross</color> and produce these <color='yellow'>Auxiliary System Mounts</color> on site at the StarShepards Headquarters immediately.;26798;8039
MISSION;61;45;379028;HARVEST#99#2#sector_78.txt#sector_2_station_0.txt#null#null#null#null;Mine special <color='yellow'>Special Gradeon Ore</color> in <color='cyan'>Bitcola</color> and return with <color='yellow'>99</color> to Oro Omniplex Center in <color='cyan'>Merces Academy</color>;3;While collecting some junk in the <color='cyan'>Bitcola</color> system, <i>Caehom Erowhiri</i> discovered a light haul of <color='yellow'>99</color> <color='yellow'>Special Gradeon Ore</color>. Unable to collect the material alone, <i>Caehom Erowhiri</i> has requested that a capable pilot harvest the <color='yellow'>Special Gradeon Ore</color> and drop it off at the Oro Omniplex Center station located in the <color='cyan'>Merces Academy</color>.;13212;3938
MISSION;111;60;673252;KILL_RAIDERS#sector_58_station_0.txt#sector_38.txt#1#20#npc_ship_data_(transport_battlecruiser_4)#random#random#random;Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Equalias Val</color>. Return to CoraVault in <color='cyan'>Lins</color>;3;A medium group of thugs decided to set up camp in the <color='cyan'>Equalias Val</color> system. <i>Cieyer Asttel</i>, who has recently been elected as Overseer of <color='cyan'>Equalias Val</color> by the Trades, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 20 raiders and return to the CoraVault station.;16148;4813
MISSION;21;120;462795;COLLECT#50#2004#sector_56_station_0.txt#sector_35_station_0.txt#null#null#null#null;Gather a collection of <color='yellow'>50</color> <color='yellow'>Dynex Crystal Resonators</color> and dock the light shipment at Transporteers in <color='cyan'>Hunu</color>;4;<i>Adalea Malocki</i> has requested an small collection of <color='yellow'>50</color> <color='yellow'>Dynex Crystal Resonators</color> in preparation for an upcoming exploration run. Backed by the Financials after these items have been collected, return to the Transporteers Station located in the <color='cyan'>Hunu</color> Sector.;12033;3610
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.02;ship_data_(battle_utility_1).txt
SHIP;2;1.02;ship_data_(recon_shuttle_1).txt
SHIP;3;1.04;ship_data_(pirate_frigate_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

