// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Kith
STATION;type;Ordinance Storage Facility
STATION;owner;Fegalefae Sizilswhea
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;6
STATION;icon;kith.png
STATION;filename;sector_82_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-6-1-2-4-0-5-1-5-0-1-4-1-3-9-0-5-1-3-3-0-5-90
STATION;interior_seed;3-8-15-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;41063.05
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.01;npc_ship_data_(excavation_escort_1).txt
MERC;7;1.73;npc_ship_data_(battle_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Surplus: (1) Items ;123x229;10912;135449.10
ITEM;605;17;0.70;90656.25
ITEM;603;26;1.00;40857.04
ITEM;325;56;1.10;384.02
ITEM;404;6;0.68;0.85
ITEM;300;27;0.56;64.61
ITEM;301;54;1.16;31.60
ITEM;332;38;1.17;3506.03
ITEM;28;0;1.21;2373.07
ITEM;661;25;1.23;16158.44
ITEM;218;63;1.17;400.78
ITEM;108;250;0.73;10.95
ITEM;2002;300;0.91;305.99
ITEM;2003;317;0.80;299.53
ITEM;660;29;0.95;7273.39
ITEM;112;697;1.01;36.58
ITEM;2004;357;0.75;310.95
ITEM;643;28;0.76;31853.19
ITEM;24;221;1.05;249.72
ITEM;2005;184;0.83;374.66
ITEM;702;67;1.11;11990.56
ITEM;27;0;1.40;1600.57
ITEM;322;54;1.17;832.64
ITEM;151;138;1.08;14.15
ITEM;204;367;0.82;98.82
ITEM;343;55;1.12;7519.34
ITEM;341;16;0.76;4477.41
ITEM;324;7;1.17;3143.86
ITEM;1001;38;1.24;2923.92
ITEM;1110;18;1.12;2659.92
ITEM;2100;13;1.08;11690.56
ITEM;2124;217;0.82;9999.62
ITEM;1200;56;1.12;4836.23
ITEM;1160;8;0.67;1669.92
ITEM;123;39;0.73;81.39
ITEM;313;49;1.18;373.14
ITEM;2;112;0.64;8.42
ITEM;604;10;1.07;76094.37
ITEM;405;58;1.17;1.38
ITEM;602;12;0.57;14128.85
ITEM;2007;470;0.81;443.48
ITEM;2008;556;0.60;373.88
ITEM;673;0;1.25;120235.60
ITEM;743;29;1.01;181344.30
ITEM;675;0;1.10;80051.71
ITEM;731;1;0.84;153294.30
ITEM;753;3;0.75;138444.30
ITEM;671;43;1.07;91520.19
ITEM;29;0;1.36;4501.16
ITEM;102;665;0.77;2.67
ITEM;331;39;1.14;264.98
ITEM;1531;52;0.95;51952.81
ITEM;2456;57;0.72;129449.00
ITEM;746;90;1.23;59357.53
ITEM;621;3;0.90;12115.94
ITEM;1172;38;0.72;23786.25
ITEM;730;37;0.84;41807.53
ITEM;2126;214;0.70;106325.30
ITEM;1102;9;0.76;20801.88
ITEM;2114;79;0.82;133631.30
ITEM;751;112;0.57;29657.53
ITEM;1060;42;1.10;29131.88
ITEM;2120;62;0.84;113809.40
ITEM;2474;14;0.91;159849.00
ITEM;1601;8;0.55;23006.03
ITEM;1561;26;1.06;62049.04
ITEM;1501;35;0.94;43220.36
ITEM;1591;33;0.60;27562.25
ITEM;305;38;1.13;284.28
ITEM;105;250;1.18;9.82
ITEM;2009;253;0.59;405.30
ITEM;2011;38;1.14;615.99
ITEM;20;400;1.09;31.03
ITEM;219;285;0.86;240.23
ITEM;304;10;0.76;640.70
ITEM;677;111;1.05;64071.91
ITEM;2013;353;0.56;393.61
ITEM;2014;443;1.06;766.51
ITEM;752;26;1.15;123905.60
ITEM;758;98;0.55;63905.63
ITEM;712;43;1.11;86332.05
ITEM;691;0;1.33;14159.51
ITEM;692;0;1.23;9869.64
ITEM;690;0;1.29;12039.58
ITEM;1460;17;0.88;24226.41
ITEM;158;530;0.87;22.61
ITEM;4;49;0.66;23.55
ITEM;104;207;0.54;2.34
ITEM;166;442;1.16;73.02
ITEM;2359;24;0.55;373.85
ITEM;203;568;0.61;69.09
ITEM;320;47;0.73;1162.96
ITEM;680;117;1.12;32644.52
ITEM;672;0;1.37;43678.55
ITEM;740;19;0.54;9435.84
ITEM;674;0;1.37;32758.91
ITEM;676;0;1.34;26736.59
ITEM;750;94;1.18;19035.84
ITEM;678;65;0.86;25624.52
ITEM;670;0;1.37;38218.73
ITEM;711;71;0.88;23257.35
ITEM;214;254;1.24;288.96
ITEM;23;154;1.05;146.90
ITEM;160;490;0.59;20.37
ITEM;161;338;1.25;44.19
ITEM;2353;12;0.89;323.09
ITEM;728;41;0.72;12135.84
ITEM;210;339;1.06;170.63
ITEM;2015;110;0.59;498.28
ITEM;25;0;1.14;456.93
ITEM;321;26;0.56;1659.25
ITEM;121;33;0.83;36.70
ITEM;106;407;0.51;5.57
ITEM;601;21;1.01;13463.44
ITEM;150;65;1.19;14.07
ITEM;303;19;0.89;894.74
ITEM;342;14;0.86;3783.32
ITEM;107;250;1.06;12.80
ITEM;644;27;0.63;47207.48
ITEM;206;282;1.08;153.78
ITEM;407;53;0.87;5.27
ITEM;103;607;0.83;1.99
ITEM;330;24;0.81;1369.71
ITEM;6;471;1.18;108.64
ITEM;118;579;0.63;3.86
ITEM;170;52;0.62;47.86
ITEM;2276;53;0.94;2963682.00
ITEM;1753;34;0.54;201298.00
ITEM;1025;6;0.65;243990.50
ITEM;1633;3;1.07;231811.30
ITEM;1174;41;0.77;309389.10
ITEM;2164;47;0.61;2098043.00
ITEM;1164;44;0.87;316620.90
ITEM;2122;280;1.03;1679284.00
ITEM;1404;33;0.56;389596.00
ITEM;1563;51;1.18;274116.10
ITEM;2241;16;1.18;3289394.00
ITEM;2256;17;0.81;1726188.00
ITEM;213;472;0.76;167.82
ITEM;120;43;0.73;97.67
ITEM;600;12;1.16;8743.39
ITEM;42;137;0.91;113.80
ITEM;1524;12;0.99;345298.00
ITEM;1777;4;0.55;606764.80
ITEM;1762;13;1.12;1370149.00
ITEM;2111;258;1.22;7562950.00
ITEM;1634;42;1.04;451622.50
ITEM;1004;40;0.93;1070455.00
ITEM;2338;28;1.01;329716.90
ITEM;2129;246;0.79;5078665.00
ITEM;1210;22;1.16;2624111.00
ITEM;1006;10;0.88;1221520.00
ITEM;2117;64;0.96;6611808.00
ITEM;1051;25;0.71;839359.00
ITEM;2123;214;0.70;4144272.00
ITEM;2181;52;0.91;10494460.00
ITEM;2212;15;1.17;5076515.00
ITEM;77;100;0.60;654.07
ITEM;2328;21;0.70;118358400.00
ITEM;3;41;0.66;14.28
ITEM;164;268;0.77;13.84
ITEM;114;241;0.67;1.97
ITEM;21;545;1.05;50.83
ITEM;113;250;0.96;6.78
ITEM;119;43;0.70;65.34
ITEM;722;97;0.77;5154.34
ITEM;2016;304;1.21;1048.56
ITEM;2398;59;1.04;9113.74
ITEM;2379;15;1.07;3049.48
ITEM;693;59;1.05;7119.10
ITEM;720;78;1.07;6954.34
ITEM;217;548;1.13;352.77
ITEM;215;83;1.23;315.47
ITEM;755;54;0.95;6234.34
ITEM;159;418;0.75;40.54
ITEM;2478;55;0.60;27562.25
ITEM;323;47;0.89;1753.29
ITEM;117;44;0.84;44.52
ITEM;2018;380;1.23;1288.28
ITEM;625;4;0.86;109039.00
ITEM;642;8;1.10;25490.99
ITEM;340;31;0.68;1136.97
ITEM;640;28;1.03;7833.39
ITEM;645;28;0.63;82613.81
ITEM;162;416;0.92;36.63
ITEM;2365;21;0.68;690.61
ITEM;749;103;0.73;204764.10
ITEM;754;4;1.10;297264.10
ITEM;2471;17;1.14;1573192.00
ITEM;760;11;0.67;189764.10
ITEM;124;42;0.67;52.38
ITEM;2019;530;0.75;901.43
ITEM;5;1495;0.55;33.15
ITEM;1300;19;0.54;8806.79
ITEM;333;57;0.51;4522.13
ITEM;22;485;1.05;86.41
ITEM;122;39;0.84;132.94
ITEM;624;3;1.22;85942.16
ITEM;2434;25;0.62;32983.17
ITEM;663;2;0.51;22474.19
ITEM;662;4;1.22;28063.55
ITEM;100;884;1.10;1.78
ITEM;26;0;1.27;859.15
ITEM;408;41;0.79;10.64
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;31;1.43
SKILL;227;1.42
SKILL;6;1.64
SKILL;3;0.61
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;33;45;585577;TRANSPORT#3#1069#sector_0_station_3.txt#sector_35_station_0.txt#null#null#null#null;Transport <color='yellow'>3</color> units of <color='yellow'>Advanced Torpedo Launchers</color> from StarShepards Headquarters in <color='cyan'>Void Starcross</color> to Astrox Security Patrol in <color='cyan'>Felishar</color>;6;A Transport request has been posted by <i>Woal Zora</i>. <color='yellow'>3</color> <color='yellow'>Advanced Torpedo Launchers</color> needs to be picked up at the storage facility at StarShepards Headquarters in <color='cyan'>Void Starcross</color>. Once the medium shipment has been loaded, transport it to Astrox Security Patrol in <color='cyan'>Felishar</color> where <i>Woal Zora</i> will be waiting to receive it.;36177;6030
MISSION;113;60;282274;KILL_RAIDERS#sector_1_station_0.txt#sector_39.txt#1#30#npc_ship_data_(kj_utility_2)#random#random#random;Exterminate <color='yellow'>1 Raider</color> Skilled Raider(s) in <color='cyan'>Chaferea</color> and dock at Quantex in <color='cyan'>Dellis Primeria</color>;7;Reports of a small skilled gang in the <color='cyan'>Chaferea</color> system have locals concerned, and Outlaw faction members are worried about the increase in criminal activity around their local production facilities. Eliminate <color='yellow'>1 Raider</color> raiders in total, and return to Quantex station in <color='cyan'>Dellis Primeria</color> when complete.;70006;33161
MISSION;93;90;286569;KILL_PILOT#sector_69_station_1.txt#sector_57.txt#Doctor Bastvak Goreveswo#npc_ship_data_(ATC_Mantis)#10#null#null#null;Frag <color='yellow'><i>Doctor Bastvak Goreveswo</i></color>, in <color='cyan'>Ponze</color> and return to Oak Industries in <color='cyan'>Dorando Corridor</color>;6;An intermediate level pilot has been sentenced by ASP for extermination. <color='yellow'><i>Doctor Bastvak Goreveswo</i></color>, found guilty of raiding, and murder, has been hanging out in the <color='cyan'>Ponze</color> system. When complete, return to the Oak Industries station in the <color='cyan'>Dorando Corridor</color> system. The Pirate's will be very happy to hear of <color='yellow'><i>Doctor Bastvak Goreveswo</i></color>'s demise.;88268;32156
MISSION;62;45;807454;HARVEST#124#8#sector_8.txt#sector_95_station_1.txt#null#null#null#null;Excavate special <color='yellow'>Special Belasite Ore</color> in <color='cyan'>The Moon of Crystalis</color> and return with <color='yellow'>124</color> to Acrondia Hub in <color='cyan'>Temple Gates</color>;7;<i>Goqe Sadyer</i> has discovered a light deposit of <color='yellow'>Special Belasite Ore</color> in <color='cyan'>The Moon of Crystalis</color>. He is currently unable to mine the <color='yellow'>Special Belasite Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>124</color> <color='yellow'>Special Belasite Ore</color>. Once complete, head over and meet <i>Goqe Sadyer</i> at the Acrondia Hub station located in the <color='cyan'>Temple Gates</color>.;36178;18950
MISSION;110;60;915848;KILL_RAIDERS#sector_0_station_2.txt#sector_104.txt#1#10#npc_ship_data_(titan)#random#random#random;Hunt <color='yellow'>1 Raider</color> level 10 Raider(s) in <color='cyan'>Junia</color> and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;7;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Junia</color>. The Outlaw faction has requested a sector clearance contract. Head on over to the <color='cyan'>Junia</color> and clear out the <color='yellow'>1 Raider</color>, level 10 Raiders that have set up camp there. Dock at the StarGypsy Warehouse station in <color='cyan'>Void Starcross</color> when complete.;12375;5500
MISSION;53;30;323193;SCAN_STRUCTURE#sector_3_station_0.txt#sector_63.txt#Community Farming Center#structure_farm_1.txt#1#null#null#null;Scan the <color='yellow'>Community Farming Center</color> structure in <color='cyan'>Numbu</color> and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;7;Space rats have infested the <color='yellow'>Community Farming Center</color> structure over in <color='cyan'>Numbu</color>. <i>Dokile Timfeised</i> has been trying to get help with the infestation, but until the structure is scanned, Outlaw union members are not going to come. Head back to the Daemon Ammunitions station located in the <color='cyan'>Starfort Ramos</color> with a scan report.;65386;26798
MISSION;141;90;191593;REFINE#2#27#sector_0_station_4.txt#sector_58_station_0.txt#null#null#null#null;Refine a light container of <color='yellow'>2</color> <color='yellow'>Engine Components</color> at the Starbase Corporate Center station in <color='cyan'>Void Starcross</color>;6;The Pirate Faction has commissioned a refinery liaison, <i>Tajmad Ciepei</i> at CoraVault. After an audit, <color='yellow'>2</color> items of <color='yellow'>Engine Components</color> were left unused. Head on over to <color='cyan'>Void Starcross</color> and refine these <color='yellow'>Engine Components</color> at the Starbase Corporate Center refinery.;17063;3938
MISSION;103;120;395843;KILL_RECOVER#sector_14_station_0.txt#sector_38.txt#Engineer Rijid Jaliszogore#npc_ship_data_(Super_heavy_transport_10)#10#1#1205#null;Eradicate <color='yellow'><i>Engineer Rijid Jaliszogore</i></color> in <color='cyan'>Equalias Val</color> and recover <color='yellow'>1</color> <color='yellow'>Improved Ore Harvester</color>. Return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;7;After <color='yellow'>1</color> <color='yellow'>Improved Ore Harvester</color> were hijacked from a transport in <color='cyan'>Equalias Val</color>, Outlaw authorities began hunting for <color='yellow'><i>Engineer Rijid Jaliszogore</i></color>. A well known lowlife from the area, <color='yellow'><i>Engineer Rijid Jaliszogore</i></color> has been on the run from the ASP for various crimes and recently had a bounty commissioned by <i>Portfoe Foetadpea</i>. Return the stolen cargo and meet <i>Portfoe Foetadpea</i> at Imperium Republica  in <color='cyan'>Gate of Alpharis</color>.;84411;37516
MISSION;91;90;136242;KILL_PILOT#sector_71_station_1.txt#sector_103.txt#Scribe Xalel Barwehin#npc_ship_data_(ATC_Spear_MK2)#5#null#null#null;Assassinate in-experienced <color='yellow'><i>Scribe Xalel Barwehin</i></color> in <color='cyan'>Vindicati</color> and return to Parisan in <color='cyan'>Goru Populan</color>;6;The Pirate faction has released a kill contract for the criminal <color='yellow'><i>Scribe Xalel Barwehin</i></color>. Wanted for capital crimes including theft and hijacking, the ASP has approved the contract and have released <color='yellow'><i>Scribe Xalel Barwehin</i></color>'s last known location. Head to <color='cyan'>Vindicati</color>, and eliminate <color='yellow'><i>Scribe Xalel Barwehin</i></color>'s ship. Once complete, head to <color='cyan'>Goru Populan</color> and dock at Parisan for payment.;32025;13125
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(transport_cruiser_1).txt
SHIP;2;0.92;ship_data_(excavation_carrier_1).txt
SHIP;3;0.95;ship_data_(support_frigate_1).txt
SHIP;4;1.00;ship_data_(recon_utility_1).txt
SHIP;5;0.98;ship_data_(support_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

