// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Genistar
STATION;type;Deep Space Array
STATION;owner;Couue Atelow
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;1
STATION;icon;genistar.png
STATION;filename;sector_80_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-1-4-1-1-5-0-6-3-0-1-90
STATION;interior_seed;5-9-45-1
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.93;npc_ship_data_(pirate_frigate_1).txt
MERC;9;0.76;npc_ship_data_(battle_shuttle_1).txt
MERC;6;1.49;npc_ship_data_(recon_escort_1).txt
MERC;6;1.66;npc_ship_data_(pirate_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (2) Items ;25x934,22x118;292100;134378.40
ITEM;672;17;1.15;106946.9
ITEM;760;7;0.64;106946.9
ITEM;600;4;0.82;106946.9
ITEM;640;2;0.69;106946.9
ITEM;660;3;0.90;106946.9
ITEM;620;4;1.18;106946.9
ITEM;300;3;0.54;106946.9
ITEM;406;4;1.14;106946.9
ITEM;302;2;0.69;106946.9
ITEM;404;1;1.24;106946.9
ITEM;405;1;0.98;106946.9
ITEM;301;1;1.07;106946.9
ITEM;408;7;0.82;106946.9
ITEM;403;7;0.64;106946.9
ITEM;407;2;0.95;106946.9
ITEM;20;80;0.81;106946.9
ITEM;1;69;0.88;106946.9
ITEM;101;145;0.90;106946.9
ITEM;103;79;0.81;106946.9
ITEM;100;67;0.98;106946.9
ITEM;152;86;0.95;106946.9
ITEM;155;0;0.54;11.15419
ITEM;153;94;1.19;11.15419
ITEM;158;89;1.16;11.15419
ITEM;156;34;0.74;11.15419
ITEM;151;76;0.97;11.15419
ITEM;164;27;0.76;11.15419
ITEM;150;96;0.86;11.15419
ITEM;157;95;1.11;11.15419
ITEM;168;56;0.70;11.15419
ITEM;2289;5;0.53;11.15419
ITEM;2279;8;1.12;725681.3
ITEM;2314;4;0.75;6170710
ITEM;2329;8;0.86;6170710
ITEM;2324;6;0.67;6170710
ITEM;2210;4;0.70;6170710
ITEM;2264;1;0.83;375143.3
ITEM;2110;2;0.83;375143.3
ITEM;2550;1;0.80;375143.3
ITEM;2150;7;0.91;375143.3
ITEM;2385;9;1.25;375143.3
ITEM;2434;6;0.77;375143.3
ITEM;2284;2;0.99;375143.3
ITEM;2319;6;0.91;375143.3
ITEM;2344;8;1.05;375143.3
ITEM;2299;1;0.81;375143.3
ITEM;2240;5;0.69;1010192
ITEM;2170;8;0.77;1010192
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;26;0.81
SKILL;59;1.21
SKILL;31;1.89
SKILL;15;1.47
SKILL;13;0.98
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(excavation_escort_1).txt
SHIP;2;1.08;ship_data_(battle_utility_1).txt
SHIP;3;1.08;ship_data_(recon_shuttle_1).txt
SHIP;4;0.94;ship_data_(pirate_frigate_1).txt
SHIP;5;0.91;ship_data_(transport_escort_1).txt
SHIP;6;1.02;ship_data_(recon_escort_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
