// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Horizons
STATION;type;Headquarters
STATION;owner;Serzokom Qireno
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .40, .19, 1
STATION;level;2
STATION;icon;horizons.png
STATION;filename;sector_14_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-4-0-3-0-0-0-1-4-7-1-8-90
STATION;interior_seed;3-4-15-0
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;26027.13
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.67;npc_ship_data_(transport_escort_1).txt
MERC;8;1.28;npc_ship_data_(recon_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Surplus: (3) Items ;52x374,51x696,62x124;113293;50297.89
ITEM;711;23;0.51;13024.27
ITEM;157;94;0.84;18.71
ITEM;160;41;0.75;23.48
ITEM;161;119;1.03;35.07
ITEM;728;32;1.24;19090.17
ITEM;2397;4;1.16;8751.87
ITEM;601;10;0.53;6892.81
ITEM;150;76;0.56;6.52
ITEM;303;516;0.80;760.97
ITEM;407;0;2.50;17.41
ITEM;103;227;0.65;1.47
ITEM;165;140;1.18;64.45
ITEM;2128;44;1.00;1704629.00
ITEM;2116;7;0.60;1139295.00
ITEM;600;2;0.73;5338.75
ITEM;42;39;0.75;89.15
ITEM;52;27;0.68;135.29
ITEM;62;623;0.55;331.85
ITEM;2117;76;0.98;6382531.00
ITEM;77;33;0.70;695.47
ITEM;726;10;0.77;12040.17
ITEM;164;167;0.76;12.77
ITEM;154;65;0.85;38.77
ITEM;114;129;0.94;2.52
ITEM;21;3711;0.94;34.72
ITEM;2432;21;0.63;25475.33
ITEM;2442;4;0.98;64236.20
ITEM;156;132;1.16;23.25
ITEM;640;3;1.14;8208.75
ITEM;162;152;0.70;26.60
ITEM;2433;18;0.99;43247.01
ITEM;749;41;0.65;170669.50
ITEM;754;12;1.23;315669.50
ITEM;100;262;0.78;1.22
ITEM;2444;5;0.82;65444.75
ITEM;408;0;2.50;38.31
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;60;1.34
SKILL;231;1.28
SKILL;22;1.28
SKILL;228;1.58
SKILL;37;0.74
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;126;45;288013;CHAT_PILOT#sector_56_station_1.txt#sector_3.txt#Captain Yohom Johlel#npc_ship_data_(VVS_Infiltrator)#0#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Captain Yohom Johlel</i></color> in <color='cyan'>Starfort Ramos</color> and return with signature to ValueStar in <color='cyan'>Hunu</color>;0;<i>Whaemi Qezeno</i> has a bonus payment for <color='yellow'><i>Captain Yohom Johlel</i></color>. The Alpha faction has recognized <color='yellow'><i>Captain Yohom Johlel</i></color> and has award a bonus payment. <color='yellow'><i>Captain Yohom Johlel</i></color> was last working in the <color='cyan'>Starfort Ramos</color> system. Find them, deliver this envelope, and return to the ValueStar in the <color='cyan'>Hunu</color> system with a signature.;154185;43085
MISSION;20;120;526101;COLLECT#2#1522#sector_35_station_0.txt#sector_0_station_3.txt#null#null#null#null;Collect a light shipment of <color='yellow'>Advanced Afterburners</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color>;2;The Civil Faction's fabrication representative <i>Tilocki Tadnortis</i> is running a bit short on some items needed for an upcoming production run at Astrox Security Patrol Station in <color='cyan'>Felishar</color>. Perhaps you can collect <color='yellow'>2</color> <color='yellow'>Advanced Afterburners</color> and bring them by the fabricator at Astrox Security Patrol.;5363;1375
MISSION;101;120;371266;KILL_RECOVER#sector_0_station_5.txt#sector_35.txt#Engineer Faegilla Fezenogo#npc_ship_data_(ATC_Stalker)#5#218#151#null;Hijack <color='yellow'><i>Engineer Faegilla Fezenogo</i></color> in <color='cyan'>Felishar</color> for <color='yellow'>218</color> <color='yellow'>Fasteners</color> and deliver them to Proctors Center in <color='cyan'>Void Starcross</color>;2;Authorities in <color='cyan'>Felishar</color> have reported the location of a known criminal, <color='yellow'><i>Engineer Faegilla Fezenogo</i></color>. He is carrying some stolen property belonging to members of the Civil faction. Destroy <color='yellow'><i>Engineer Faegilla Fezenogo</i></color>'s ship and recover the <color='yellow'>218</color> <color='yellow'>Fasteners</color>. When finished, meet up with <i>Jidsih Fakadd</i>, you can find him at Proctors Center in <color='cyan'>Void Starcross</color>.;16440;4594
MISSION;126;45;877891;CHAT_PILOT#sector_95_station_0.txt#sector_96.txt#Accountant Whaal Sivjalisao#npc_ship_data_(freighter_4)#18#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Accountant Whaal Sivjalisao</i></color> in <color='cyan'>Arch of Mori</color> and return with signature to Star Shepards Hub in <color='cyan'>Temple Gates</color>;0;<i>Doar Beckrest</i> has a bonus payment for <color='yellow'><i>Accountant Whaal Sivjalisao</i></color>. The Alpha faction has recognized <color='yellow'><i>Accountant Whaal Sivjalisao</i></color> and has award a bonus payment. <color='yellow'><i>Accountant Whaal Sivjalisao</i></color> was last working in the <color='cyan'>Arch of Mori</color> system. Find them, deliver this envelope, and return to the Star Shepards Hub in the <color='cyan'>Temple Gates</color> system with a signature.;171706;57446
MISSION;31;45;982485;TRANSPORT#10#24#sector_95_station_1.txt#sector_35_station_0.txt#null#null#null#null;Head to Acrondia Hub in <color='cyan'>Temple Gates</color>, pick up <color='yellow'>10</color> <color='yellow'>Electronic Fragments</color> for a light shipment to Astrox Security Patrol in <color='cyan'>Felishar</color>;2;The Civil faction advisor <i>Gorebin Vibungo</i> has placed a light shipment transport order to move <color='yellow'>10</color> <color='yellow'>Electronic Fragments</color> from the Acrondia Hub storage in <color='cyan'>Temple Gates</color>, to the Astrox Security Patrol in <color='cyan'>Felishar</color>.;8664;2954
MISSION;126;45;341468;CHAT_PILOT#sector_3_station_0.txt#sector_77.txt#Laborer Vakwhea Demita#npc_ship_data_(ATC_Scorpion_MK2)#19#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Laborer Vakwhea Demita</i></color> in <color='cyan'>Ballast Crow</color> and return with signature to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;0;<i>Tajgore Nuhxon</i> has a bonus payment for <color='yellow'><i>Laborer Vakwhea Demita</i></color>. The Alpha faction has recognized <color='yellow'><i>Laborer Vakwhea Demita</i></color> and has award a bonus payment. <color='yellow'><i>Laborer Vakwhea Demita</i></color> was last working in the <color='cyan'>Ballast Crow</color> system. Find them, deliver this envelope, and return to the Daemon Ammunitions in the <color='cyan'>Starfort Ramos</color> system with a signature.;154185;43085
MISSION;121;45;741076;CHAT_PILOT#sector_56_station_0.txt#sector_77.txt#Accountant Caehas Oawheda#npc_ship_data_(VVS_Mule)#9#missions_debt_collection.txt#0#null;Chat with <color='yellow'><i>Accountant Caehas Oawheda</i></color> about his debt in <color='cyan'>Ballast Crow</color> and return to Transporteers in <color='cyan'>Hunu</color>;1;<i>Zemes Foedeefer</i> has requested that debt be collected from <color='yellow'><i>Accountant Caehas Oawheda</i></color>. After 3 payments to the Science faction for transport fines, <color='yellow'><i>Accountant Caehas Oawheda</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Accountant Caehas Oawheda</i></color> was in the vicinity of the <color='cyan'>Ballast Crow</color> system. Have a chat with them, collect the debt, and return to the Transporteers in the <color='cyan'>Hunu</color> system to deliver the payment.;9394;2625
MISSION;142;90;787887;REFINE#3#27#sector_15_station_0.txt#sector_0_station_0.txt#null#null#null#null;Refine <color='yellow'>3</color> <color='yellow'>Engine Components</color> at Crystalis Broadcasting station refinery in <color='cyan'>Jermicus</color>;0;<i>Kinbor Fouport</i> from Biomate University Station has commissioned a refinery run . He has required a small batch of <color='yellow'>3</color> <color='yellow'>Engine Components</color> to be processed. Set your GPS autopilot to <color='cyan'>Jermicus</color> and refine these <color='yellow'>Engine Components</color> to Crystalis Broadcasting refinery immediately.;20214;6891
MISSION;92;90;696111;KILL_PILOT#sector_95_station_0.txt#sector_20.txt#Doctor Nostrazo Ueue#npc_ship_data_(ATC_Spear)#7#null#null#null;Execute <color='yellow'><i>Doctor Nostrazo Ueue</i></color> in <color='cyan'>Cliffs of Drameria</color> and return to Star Shepards Hub in <color='cyan'>Temple Gates</color>;0;A low level criminal has finally hit the radar of the Astrox Security Patrol. A new kill contract has been issued for <color='yellow'><i>Doctor Nostrazo Ueue</i></color> located in <color='cyan'>Cliffs of Drameria</color>. <color='yellow'><i>Doctor Nostrazo Ueue</i></color> has been know to pull some sneaky tricks during combat, so be careful when engaging him. After his ship has been destroyed, head to Star Shepards Hub station in the <color='cyan'>Temple Gates</color> system.;24661;6891
MISSION;72;45;202256;ESCORT#sector_0_station_3.txt#sector_56_station_1.txt#Privateer Kaddgen Whaborser#npc_ship_data_(ATC_Libra)#12#null#null#null;A ship in StarShepards Headquarters in <color='cyan'>Void Starcross</color> needs an escort to ValueStar in <color='cyan'>Hunu</color>;1;After being selected for an academic grant, Dr. <color='yellow'><i>Privateer Kaddgen Whaborser</i></color> has requested an escort to the ValueStar station in the <color='cyan'>Hunu</color> system. <color='yellow'><i>Privateer Kaddgen Whaborser</i></color> has posted his pick-up location as StarShepards Headquarters in <color='cyan'>Void Starcross</color>. Be sure to protect the doctor at all cost, and under no circumstances are you to abandon him.;11944;3063
MISSION;123;45;542698;CHAT_PILOT#sector_95_station_0.txt#sector_77.txt#Czar Keeweli Anba#npc_ship_data_(Heavy_Assault_Frigate_10)#12#missions_arrest_escort.txt#0#null;Detain <color='yellow'><i>Czar Keeweli Anba</i></color> in <color='cyan'>Ballast Crow</color> and escort them to Star Shepards Hub in <color='cyan'>Temple Gates</color>;0;<i>Horefast Heagen</i> has requested that <color='yellow'><i>Czar Keeweli Anba</i></color> be escorted back into custody. Authorities of the Alpha faction has determined guilt opon the accused. <color='yellow'><i>Czar Keeweli Anba</i></color> has refused to cooperate with the courts. Last known sighting of <color='yellow'><i>Czar Keeweli Anba</i></color> was in the vicinity of the <color='cyan'>Ballast Crow</color> system. Have a chat with them ann bring them back for further questioning.;23582;8039
MISSION;23;120;260602;COLLECT#123#212#sector_57_station_0.txt#sector_3_station_0.txt#null#null#null#null;Procure a medium collection of <color='yellow'>123</color> <color='yellow'>Motion Sensors</color>, and return to OmniTrust in <color='cyan'>Ponze</color>;0;A team at the OmniTrust Station is looking for an experienced collector who might be able to help gather together a medium shipment of <color='yellow'>123</color> <color='yellow'>Motion Sensors</color>. Once the items have been collected, they will need to be dropped at OmniTrust in the <color='cyan'>Ponze</color> Sector.;42740;14738
MISSION;11;30;525558;DELIVERY#4#1501#sector_57_station_0.txt#sector_14_station_0.txt#null#null#null#null;Deliver light container of <color='yellow'>4</color> <color='yellow'>Improved Thrusters</color> to OmniTrust Station in <color='cyan'>Ponze</color>;1;The Science Faction has commissioned a transport liaison, <i>Lesro Fabeck</i> at Imperium Republica . After an audit, <color='yellow'>4</color> items of <color='yellow'>Improved Thrusters</color> were left un accounted for. Head on over to <color='cyan'>Ponze</color> and deliver these <color='yellow'>Improved Thrusters</color> to OmniTrust.;10150;3500
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.91;ship_data_(recon_escort_1).txt
SHIP;2;1.02;ship_data_(excavation_cruiser_1).txt
SHIP;3;1.04;ship_data_(excavation_escort_1).txt
SHIP;4;0.92;ship_data_(pirate_carrier_1).txt
SHIP;5;0.90;ship_data_(transport_frigate_1).txt
SHIP;6;1.02;ship_data_(battle_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

