// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Temple of the Void
STATION;type;Worship Center
STATION;owner;Gobaz Jaliswen
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;9
STATION;icon;totv.png
STATION;filename;sector_103_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-1-0-4-9-2-9-0-5-1-3-2-0
STATION;interior_seed;3-3-45-0
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;37003.22
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;0.90;npc_ship_data_(pirate_frigate_1).txt
MERC;4;1.90;npc_ship_data_(transport_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (2) Items ;313x58,312x110;47306.00;68840.93
ITEM;726;19;1.12;173.1668
ITEM;2049;827;1.02;6128.564
ITEM;3;4249;1.24;25.67025
ITEM;2168;81;1.21;25.67025
ITEM;1787;52;0.83;1.171016E+07
ITEM;2341;8;0.79;1.171016E+07
ITEM;77;2580;0.87;927.21
ITEM;1554;41;0.76;927.21
ITEM;2123;101;0.94;927.21
ITEM;1051;24;1.12;927.21
ITEM;2117;392;1.06;927.21
ITEM;1165;58;0.84;927.21
ITEM;1210;7;0.51;927.21
ITEM;2129;20;0.55;3794673
ITEM;1053;68;0.76;3794673
ITEM;2111;286;0.57;3794673
ITEM;1654;3;1.18;3794673
ITEM;1584;63;0.64;3794673
ITEM;1762;0;1.39;3794673
ITEM;1777;0;1.24;3794673
ITEM;1767;10;1.05;3794673
ITEM;1772;79;1.05;3794673
ITEM;1624;21;0.67;3794673
ITEM;2222;81;0.94;4019760
ITEM;1524;68;0.87;4019760
ITEM;52;282;0.85;4019760
ITEM;600;11;0.91;4019760
ITEM;1593;70;0.52;4019760
ITEM;1503;73;0.83;4019760
ITEM;1618;45;1.18;4019760
ITEM;2122;333;0.52;4019760
ITEM;1070;55;0.68;4019760
ITEM;2116;416;0.58;4019760
ITEM;1543;15;0.78;163173.5
ITEM;1573;89;0.76;163173.5
ITEM;2308;9;1.16;163173.5
ITEM;1753;71;0.92;163173.5
ITEM;1623;77;1.17;306435
ITEM;2362;1;1.05;306435
ITEM;170;214;1.04;77.40984
ITEM;118;1250;0.64;77.40984
ITEM;6;3373;1.17;109.3079
ITEM;607;1;0.90;109.3079
ITEM;330;89;0.68;109.3079
ITEM;103;345;1.07;109.3079
ITEM;407;858;1.11;6.692469
ITEM;2369;12;0.85;1258.208
ITEM;206;474;0.70;1258.208
ITEM;644;14;0.55;1258.208
ITEM;107;1230;0.67;1258.208
ITEM;342;839;0.62;2897.365
ITEM;303;3;1.15;2897.365
ITEM;150;230;1.12;2897.365
ITEM;601;26;1.02;13803.45
ITEM;106;441;0.52;13803.45
ITEM;121;649;0.61;13803.45
ITEM;321;50;1.20;13803.45
ITEM;25;209;1.11;13803.45
ITEM;2015;115;0.89;13803.45
ITEM;728;117;0.76;13803.45
ITEM;161;287;1.09;13803.45
ITEM;23;5635;1.00;114.1898
ITEM;157;80;0.67;114.1898
ITEM;214;576;0.90;114.1898
ITEM;670;167;1.20;27443.06
ITEM;678;53;0.80;27443.06
ITEM;732;79;0.67;27443.06
ITEM;676;32;0.71;27443.06
ITEM;674;167;0.77;27443.06
ITEM;745;22;0.83;27443.06
ITEM;740;31;0.99;27443.06
ITEM;672;26;0.78;27443.06
ITEM;680;149;0.52;27443.06
ITEM;352;756;0.93;9319.089
ITEM;320;78;1.19;9319.089
ITEM;350;915;0.72;5391.752
ITEM;203;428;1.22;5391.752
ITEM;2048;516;1.24;6659.193
ITEM;104;1218;1.19;6659.193
ITEM;4;35;0.96;6659.193
ITEM;158;504;0.86;6659.193
ITEM;690;31;0.71;6659.193
ITEM;692;25;0.57;6659.193
ITEM;691;173;0.91;6659.193
ITEM;2047;214;0.63;6659.193
ITEM;209;115;1.06;6659.193
ITEM;758;48;0.89;99681.25
ITEM;752;132;0.81;91681.25
ITEM;2014;134;0.82;91681.25
ITEM;211;40;0.88;91681.25
ITEM;2046;806;0.64;91681.25
ITEM;2013;442;0.71;91681.25
ITEM;677;25;0.83;91681.25
ITEM;2012;760;1.00;91681.25
ITEM;747;118;0.81;91681.25
ITEM;742;7;0.57;91681.25
ITEM;304;797;1.25;1023.851
ITEM;20;146;1.19;1023.851
ITEM;2392;82;0.57;3083.558
ITEM;105;8;0.57;3083.558
ITEM;305;576;0.94;244.1167
ITEM;2132;74;0.74;124481.4
ITEM;1611;45;1.22;124481.4
ITEM;1561;21;0.63;124481.4
ITEM;2120;117;0.83;124481.4
ITEM;751;25;0.80;40806.56
ITEM;2114;109;0.85;40806.56
ITEM;1015;42;0.93;30482.29
ITEM;1205;69;0.93;50803.81
ITEM;2126;274;0.61;50803.81
ITEM;621;39;0.59;50803.81
ITEM;1571;10;1.21;50803.81
ITEM;2462;75;1.05;185090
ITEM;746;118;0.77;185090
ITEM;741;89;1.16;185090
ITEM;1531;63;0.73;185090
ITEM;646;21;0.64;185090
ITEM;331;42;1.09;185090
ITEM;627;24;1.25;477402.6
ITEM;102;215;0.83;477402.6
ITEM;671;178;1.04;72249.19
ITEM;679;198;0.75;69401.81
ITEM;759;146;0.67;69401.81
ITEM;731;40;1.15;207374.1
ITEM;675;25;0.84;207374.1
ITEM;2458;11;1.24;207374.1
ITEM;743;34;0.92;207374.1
ITEM;673;44;0.58;49450.5
ITEM;2043;337;1.22;49450.5
ITEM;2008;22;0.64;49450.5
ITEM;2007;758;0.58;49450.5
ITEM;602;36;0.94;49450.5
ITEM;648;29;0.81;49450.5
ITEM;405;41;1.05;49450.5
ITEM;604;11;0.95;49450.5
ITEM;2041;686;0.82;49450.5
ITEM;2;223;1.11;49450.5
ITEM;313;876;1.05;425.172
ITEM;123;1077;0.50;60.29896
ITEM;2006;515;1.15;60.29896
ITEM;2130;55;0.58;60.29896
ITEM;2118;107;0.58;60.29896
ITEM;2112;181;0.76;60.29896
ITEM;1003;86;1.17;3064.35
ITEM;1200;95;0.96;4267.25
ITEM;2124;109;0.89;10964.94
ITEM;1052;62;0.65;10964.94
ITEM;1170;0;0.72;1984.35
ITEM;1170;74;0.93;1984.35
ITEM;1110;44;0.53;1984.35
ITEM;735;26;0.73;1984.35
ITEM;324;973;0.68;1964.671
ITEM;2039;140;0.60;1964.671
ITEM;341;45;0.80;1964.671
ITEM;343;982;0.67;4831.137
ITEM;204;867;0.89;108.3635
ITEM;322;69;1.09;108.3635
ITEM;27;102;1.17;108.3635
ITEM;702;47;1.01;11168.13
ITEM;738;4;0.65;11168.13
ITEM;2005;769;0.70;11168.13
ITEM;24;4230;0.83;164.3075
ITEM;11;296;0.97;164.3075
ITEM;2035;46;0.78;164.3075
ITEM;643;9;0.57;164.3075
ITEM;1477;71;1.16;164.3075
ITEM;7;545;0.91;164.3075
ITEM;2004;63;0.67;164.3075
ITEM;112;1160;0.83;164.3075
ITEM;2034;424;0.85;164.3075
ITEM;660;21;0.68;164.3075
ITEM;628;36;0.62;164.3075
ITEM;2003;604;0.89;164.3075
ITEM;2002;342;0.86;164.3075
ITEM;108;327;1.19;164.3075
ITEM;2033;84;1.09;2177.373
ITEM;661;9;0.81;2177.373
ITEM;666;20;1.07;2177.373
ITEM;2032;309;0.94;2177.373
ITEM;28;511;0.98;2177.373
ITEM;332;64;0.73;2177.373
ITEM;2030;75;0.62;2177.373
ITEM;301;89;0.51;2177.373
ITEM;1778;96;0.72;471330.3
ITEM;1780;71;0.62;471330.3
ITEM;300;71;0.74;471330.3
ITEM;2363;58;0.51;471330.3
ITEM;200;214;0.87;471330.3
ITEM;404;999;1.07;1.618117
ITEM;325;78;0.84;1.618117
ITEM;603;25;0.96;1.618117
ITEM;605;13;0.84;1.618117
ITEM;110;658;0.86;15.51734
ITEM;606;38;1.10;15.51734
ITEM;623;6;0.93;38897.06
ITEM;101;766;0.89;38897.06
ITEM;205;365;0.78;106.045
ITEM;403;64;1.05;106.045
ITEM;406;685;0.81;1.008494
ITEM;353;771;0.72;3612.964
ITEM;109;1386;0.80;4.06252
ITEM;116;992;0.64;4.06252
ITEM;2482;4;0.59;111490
ITEM;729;70;0.82;111490
ITEM;311;34;1.05;111490
ITEM;727;64;0.78;111490
ITEM;668;32;0.98;111490
ITEM;665;38;0.90;111490
ITEM;664;18;0.76;111490
ITEM;115;1259;1.23;37.06981
ITEM;8;4038;1.11;283.6025
ITEM;2200;51;0.77;1402900
ITEM;2371;1;0.55;1402900
ITEM;400;78;0.52;1402900
ITEM;1785;42;0.73;418406.3
ITEM;2131;47;0.79;418406.3
ITEM;75;421;1.19;418406.3
ITEM;1500;44;0.58;418406.3
ITEM;736;147;0.55;418406.3
ITEM;1550;64;0.68;418406.3
ITEM;2268;86;0.88;224993.3
ITEM;2119;372;1.12;224993.3
ITEM;1055;20;1.08;224993.3
ITEM;2113;273;1.11;51106.13
ITEM;2113;0;1.26;51106.13
ITEM;1101;34;0.69;51106.13
ITEM;1201;32;0.65;51106.13
ITEM;2125;290;0.72;51106.13
ITEM;1730;80;0.73;51106.13
ITEM;2304;55;0.60;51106.13
ITEM;1732;17;1.08;51106.13
ITEM;60;445;0.58;51106.13
ITEM;2297;55;0.87;51106.13
ITEM;2155;2;1.16;51106.13
ITEM;1171;94;0.70;6777.225
ITEM;2143;39;0.96;41072.28
ITEM;312;1012;1.21;116.2416
ITEM;620;19;0.88;116.2416
ITEM;1650;18;1.11;116.2416
ITEM;1510;50;0.78;116.2416
ITEM;1640;83;0.71;116.2416
ITEM;1760;24;1.05;116.2416
ITEM;1775;0;1.26;116.2416
ITEM;1765;0;1.24;116.2416
ITEM;1770;0;1.21;116.2416
ITEM;2223;45;0.67;233043.8
ITEM;1530;7;1.00;233043.8
ITEM;1620;13;0.87;233043.8
ITEM;2330;72;0.72;233043.8
ITEM;169;139;0.77;62.02571
ITEM;153;250;0.75;62.02571
ITEM;351;28;0.58;62.02571
ITEM;2436;73;1.03;62.02571
ITEM;2028;471;0.97;62.02571
ITEM;302;37;1.06;62.02571
ITEM;111;936;0.76;62.02571
ITEM;163;207;0.69;31.81672
ITEM;2001;390;0.55;31.81672
ITEM;310;0;1.05;31.81672
ITEM;667;44;0.68;31.81672
ITEM;1786;43;0.81;31.81672
ITEM;1069;44;0.50;31.81672
ITEM;76;353;1.22;31.81672
ITEM;737;97;0.70;31.81672
ITEM;1617;77;1.12;93237.75
ITEM;2121;305;1.06;93237.75
ITEM;1065;11;1.13;93237.75
ITEM;641;33;0.84;93237.75
ITEM;2115;109;0.57;348220
ITEM;1103;15;1.06;348220
ITEM;1202;40;1.08;348220
ITEM;2127;189;1.12;578595.4
ITEM;61;207;0.73;578595.4
ITEM;622;3;1.21;578595.4
ITEM;1642;51;0.79;578595.4
ITEM;1761;0;1.20;578595.4
ITEM;1776;0;1.19;578595.4
ITEM;1766;0;1.34;578595.4
ITEM;1771;0;1.34;578595.4
ITEM;1752;40;0.68;578595.4
ITEM;1622;2;0.73;578595.4
ITEM;51;421;0.88;578595.4
ITEM;1;275;0.67;578595.4
ITEM;2000;222;0.68;578595.4
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;76;1.08
SKILL;24;1.81
SKILL;234;1.98
SKILL;33;0.88
SKILL;15;1.21
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;123;45;303226;CHAT_PILOT#sector_58_station_0.txt#sector_70.txt#General Portsa Kiledalebeck#npc_ship_data_(ATC_Raider_MK4)#20#missions_arrest_escort.txt#0#null;Detain <color='yellow'><i>General Portsa Kiledalebeck</i></color> in <color='cyan'>Beaondus</color> and escort them to CoraVault in <color='cyan'>Lins</color>;9;<i>Whopad Whamolerib</i> has requested that <color='yellow'><i>General Portsa Kiledalebeck</i></color> be escorted back into custody. Authorities of the Temple faction has determined guilt opon the accused. <color='yellow'><i>General Portsa Kiledalebeck</i></color> has refused to cooperate with the courts. Last known sighting of <color='yellow'><i>General Portsa Kiledalebeck</i></color> was in the vicinity of the <color='cyan'>Beaondus</color> system. Have a chat with them ann bring them back for further questioning.;69963;32157
MISSION;93;90;862117;KILL_PILOT#sector_0_station_1.txt#sector_35.txt#Overseer Ceevis Opyo#npc_ship_data_(attack_beam_cruiser_7)#10#null#null#null;Frag <color='yellow'><i>Overseer Ceevis Opyo</i></color>, in <color='cyan'>Felishar</color> and return to Lammassu Financial in <color='cyan'>Void Starcross</color>;10;An intermediate level pilot has been sentenced by ASP for extermination. <color='yellow'><i>Overseer Ceevis Opyo</i></color>, found guilty of raiding, and murder, has been hanging out in the <color='cyan'>Felishar</color> system. When complete, return to the Lammassu Financial station in the <color='cyan'>Void Starcross</color> system. The Missionary's will be very happy to hear of <color='yellow'><i>Overseer Ceevis Opyo</i></color>'s demise.;75518;24117
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.06;ship_data_(pirate_utility_1).txt
SHIP;2;0.94;ship_data_(pirate_frigate_1).txt
SHIP;3;1.04;ship_data_(support_frigate_1).txt
SHIP;4;0.99;ship_data_(support_carrier_1).txt
SHIP;5;1.08;ship_data_(support_escort_1).txt
SHIP;6;0.92;ship_data_(recon_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

