// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Quantex
STATION;type;Production Factory
STATION;owner;Binohom Xadnortisfall
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;ad_image_11.png
STATION;filename;sector_1_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-6-0-1-7-0-1-8-1-0-1-6-3-1-7-90
STATION;interior_seed;4-0-45-4
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;25455.19
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.95;npc_ship_data_(excavation_escort_1).txt
MERC;5;0.66;npc_ship_data_(recon_shuttle_1).txt
MERC;1;1.13;npc_ship_data_(battle_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Production: (3) Items ;52x413,77x488,52x292;190389;103791.90
ITEM;101;417;0.95;1.88
ITEM;168;240;0.67;19.79
ITEM;404;15;1.15;1.37
ITEM;200;17;0.84;69.26
ITEM;300;11;1.19;127.70
ITEM;301;24;0.61;17.78
ITEM;28;7;1.05;2094.11
ITEM;661;10;0.81;11058.50
ITEM;660;9;0.58;4709.14
ITEM;2190;8;1.13;1146314.00
ITEM;2418;21;0.64;17743.16
ITEM;24;0;2.50;568.42
ITEM;27;0;2.50;2792.73
ITEM;151;278;0.55;7.78
ITEM;204;157;1.01;119.88
ITEM;1001;11;0.85;2074.02
ITEM;1002;0;2.50;6481.84
ITEM;1052;11;0.58;1480.02
ITEM;2124;106;0.67;8390.08
ITEM;1100;5;0.53;1245.47
ITEM;1050;28;0.70;1585.47
ITEM;2118;45;0.97;10627.34
ITEM;1400;7;0.97;4250.94
ITEM;2388;24;1.02;4989.50
ITEM;313;14;0.68;227.21
ITEM;2;182;0.88;11.24
ITEM;405;8;0.67;0.84
ITEM;602;10;0.90;21282.24
ITEM;681;28;1.23;107141.50
ITEM;743;22;1.11;198451.20
ITEM;748;26;0.51;99451.17
ITEM;731;36;0.63;119251.20
ITEM;753;10;1.15;205051.20
ITEM;671;25;0.66;47422.27
ITEM;29;21;1.05;3557.26
ITEM;102;90;1.02;3.46
ITEM;1621;7;0.83;55364.06
ITEM;1531;23;0.90;49636.72
ITEM;741;58;0.65;33423.05
ITEM;2306;9;0.82;876225.00
ITEM;1511;22;1.00;48080.31
ITEM;621;13;0.52;7506.00
ITEM;1014;27;1.07;35636.26
ITEM;1541;24;1.07;53485.79
ITEM;730;54;0.93;46023.05
ITEM;2450;29;0.85;150837.50
ITEM;1062;11;0.56;17591.19
ITEM;2126;97;1.07;156678.50
ITEM;1102;10;0.87;23586.99
ITEM;1551;29;0.67;38136.72
ITEM;2264;23;1.06;470315.60
ITEM;1591;24;0.55;25709.38
ITEM;305;3;0.93;238.50
ITEM;20;15;1.05;30.00
ITEM;304;19;0.78;658.57
ITEM;747;26;1.08;117273.40
ITEM;733;23;0.83;92273.44
ITEM;758;59;0.56;65273.44
ITEM;2429;24;1.18;57208.14
ITEM;691;18;1.09;9461.88
ITEM;692;14;1.03;6736.41
ITEM;690;14;0.65;5199.14
ITEM;158;96;0.79;20.81
ITEM;155;291;0.73;14.58
ITEM;104;377;0.84;3.48
ITEM;2430;2;1.21;64412.40
ITEM;166;36;1.24;77.91
ITEM;203;67;0.55;63.52
ITEM;740;39;0.99;16241.02
ITEM;745;8;0.97;15941.02
ITEM;756;31;0.68;11591.02
ITEM;678;8;1.19;34633.83
ITEM;23;0;2.50;334.37
ITEM;161;193;1.22;43.32
ITEM;728;50;0.96;15791.02
ITEM;25;0;2.50;966.34
ITEM;601;9;0.98;13141.00
ITEM;150;29;0.68;8.50
ITEM;303;11;1.12;1108.29
ITEM;407;11;0.53;3.43
ITEM;103;346;1.01;2.38
ITEM;165;145;0.92;53.83
ITEM;118;228;1.11;6.46
ITEM;1026;8;1.10;447167.90
ITEM;2128;133;0.77;1424105.00
ITEM;2122;113;0.63;1084553.00
ITEM;600;10;0.96;7369.14
ITEM;42;2500;0.25;39.04
ITEM;52;2500;0.25;65.06
ITEM;2111;55;0.87;5562108.00
ITEM;1004;8;1.05;1500464.00
ITEM;62;2500;0.25;195.20
ITEM;2129;82;0.50;3424467.00
ITEM;2123;49;0.69;4111068.00
ITEM;77;49;0.69;742.99
ITEM;3;231;0.75;16.06
ITEM;726;41;1.07;17441.02
ITEM;207;125;1.17;182.71
ITEM;154;29;0.59;29.99
ITEM;114;48;1.04;2.93
ITEM;21;0;2.50;115.70
ITEM;113;421;1.13;7.89
ITEM;721;25;1.25;8056.41
ITEM;693;38;0.73;4113.67
ITEM;720;31;0.70;4756.41
ITEM;2448;24;0.93;40909.38
ITEM;723;16;1.08;7036.41
ITEM;725;53;0.82;13691.02
ITEM;1450;12;0.55;6748.71
ITEM;152;181;1.19;17.07
ITEM;2344;4;1.19;170.60
ITEM;156;166;1.11;23.44
ITEM;642;13;1.11;25784.22
ITEM;640;4;1.15;8699.14
ITEM;162;133;1.04;41.12
ITEM;202;51;1.20;116.14
ITEM;2443;22;0.78;60895.04
ITEM;744;37;0.54;158183.60
ITEM;749;38;1.11;300683.60
ITEM;754;8;0.94;258183.60
ITEM;1300;8;1.21;18238.28
ITEM;22;34;1.05;86.69
ITEM;2434;25;1.09;55017.26
ITEM;662;7;0.66;16137.12
ITEM;100;231;1.13;1.83
ITEM;2444;8;0.57;50866.19
ITEM;26;0;2.50;1642.79
ITEM;408;25;0.91;12.13
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;36;0.89
SKILL;61;1.26
SKILL;5;0.96
SKILL;58;0.54
SKILL;71;1.55
SKILL;223;0.97
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;81;60;470117;RECOVER#262#202#sector_47.txt#sector_0_station_5.txt#null#null#null#null;Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Adrenal</color> sector, and return to Proctors Center in <color='cyan'>Void Starcross</color>;12;<i>Poezils Sedsed</i> has lost track of a shipment crate from his last haul. It has been reported found in <color='cyan'>Adrenal</color>. In an effort to save time, <i>Poezils Sedsed</i> has sub-contracted the task of returning the light shipment to Proctors Center in <color='cyan'>Void Starcross</color>. The Labor faction is aware of the situation and has sent a representative to Proctors Center.;16095;6892
MISSION;50;30;697760;SCAN_STRUCTURE#sector_56_station_1.txt#sector_78.txt#Defensive Gun Platform#structure_gun_platform_1.txt#1#null#null#null;Locate and scan the <color='yellow'>Defensive Gun Platform</color> structure in <color='cyan'>Bitcola</color> and return to ValueStar in <color='cyan'>Hunu</color>;13;A recent construction permit was delivered by the Contractor faction. They are demanding a survey of a new structure that has been constructed by <i>Fibun Keenetu</i>. Scan the <color='yellow'>Defensive Gun Platform</color> structure and return back to the ValueStar located in the <color='cyan'>Hunu</color> with the survey data. Once the data is verified, payment will be rendered.;5700;2500
MISSION;82;60;302013;RECOVER#2#1621#sector_69.txt#sector_0_station_5.txt#null#null#null#null;Retrieve a light cache of <color='yellow'>Improved Armor Exteriors</color> from a <color='yellow'>crate</color> in <color='cyan'>Dorando Corridor</color> sector, drop at Proctors Center in <color='cyan'>Void Starcross</color>;12;After a skirmish in <color='cyan'>Dorando Corridor</color>, the Labor's <i>Fastzo Xawhifie</i> cannot account for a light shipment of <color='yellow'>Improved Armor Exteriors</color> he was transporting before the attack. Head out to the <color='cyan'>Dorando Corridor</color> sector and look for the crate. When found, take the contents of the crate back to the Proctors Center station in the <color='cyan'>Void Starcross</color> sector.;33628;15505
MISSION;141;90;542901;REFINE#32#20#sector_3_station_0.txt#sector_69_station_1.txt#null#null#null#null;Refine a light container of <color='yellow'>32</color> <color='yellow'>Junk Parts</color> at the Daemon Ammunitions station in <color='cyan'>Starfort Ramos</color>;13;The Contractor Faction has commissioned a refinery liaison, <i>Kaddils Tunuhrib</i> at Oak Industries. After an audit, <color='yellow'>32</color> items of <color='yellow'>Junk Parts</color> were left unused. Head on over to <color='cyan'>Starfort Ramos</color> and refine these <color='yellow'>Junk Parts</color> at the Daemon Ammunitions refinery.;19688;10500
MISSION;82;60;375820;RECOVER#1444#111#sector_62.txt#sector_1_station_0.txt#null#null#null#null;Retrieve a light cache of <color='yellow'>Aluminium Shards</color> from a <color='yellow'>crate</color> in <color='cyan'>Jelumus</color> sector, drop at Quantex in <color='cyan'>Dellis Primeria</color>;13;After a skirmish in <color='cyan'>Jelumus</color>, the Contractor's <i>Ougen Jidwhi</i> cannot account for a light shipment of <color='yellow'>Aluminium Shards</color> he was transporting before the attack. Head out to the <color='cyan'>Jelumus</color> sector and look for the crate. When found, take the contents of the crate back to the Quantex station in the <color='cyan'>Dellis Primeria</color> sector.;29425;12059
MISSION;120;45;619539;CHAT_PILOT#sector_20_station_0.txt#sector_72.txt#Major Ahxa Doelei#npc_ship_data_(ATC_Lucky)#5#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Major Ahxa Doelei</i></color> in <color='cyan'>Xenolin</color> and return to Medicore University in <color='cyan'>Cliffs of Drameria</color>;12;<i>Wofast Naliaaslas</i> has requested that debt be collected from <color='yellow'><i>Major Ahxa Doelei</i></color>. After 3 payments to the Labor faction for transport fines, <color='yellow'><i>Major Ahxa Doelei</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Major Ahxa Doelei</i></color> was in the vicinity of the <color='cyan'>Xenolin</color> system. Have a chat with them, collect the debt, and return to the Medicore University in the <color='cyan'>Cliffs of Drameria</color> system to deliver the payment.;10370;5000
MISSION;33;45;642393;TRANSPORT#234#112#sector_4_station_0.txt#sector_9_station_0.txt#null#null#null#null;Transport <color='yellow'>234</color> units of <color='yellow'>Dynex Crystals</color> from The Dunes in <color='cyan'>The Dunes of Caliph</color> to Foodmaid Hub in <color='cyan'>Forges of Mintar</color>;12;A Transport request has been posted by <i>Foused Akzaada</i>. <color='yellow'>234</color> <color='yellow'>Dynex Crystals</color> needs to be picked up at the storage facility at The Dunes in <color='cyan'>The Dunes of Caliph</color>. Once the medium shipment has been loaded, transport it to Foodmaid Hub in <color='cyan'>Forges of Mintar</color> where <i>Foused Akzaada</i> will be waiting to receive it.;33102;6030
MISSION;120;45;207047;CHAT_PILOT#sector_13_station_0.txt#sector_78.txt#Senator Whaam Maqelom#npc_ship_data_(pirate_cruiser_1)#15#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Senator Whaam Maqelom</i></color> in <color='cyan'>Bitcola</color> and return to Gemini Mining in <color='cyan'>Jala</color>;12;<i>Lelop Borris</i> has requested that debt be collected from <color='yellow'><i>Senator Whaam Maqelom</i></color>. After 3 payments to the Labor faction for transport fines, <color='yellow'><i>Senator Whaam Maqelom</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Senator Whaam Maqelom</i></color> was in the vicinity of the <color='cyan'>Bitcola</color> system. Have a chat with them, collect the debt, and return to the Gemini Mining in the <color='cyan'>Jala</color> system to deliver the payment.;7320;2500
MISSION;133;45;582350;SALVAGE#130#20#sector_56.txt#sector_0_station_2.txt#null#null#null#null;Dismantle <color='yellow'>Special Junk Part</color> in <color='cyan'>Hunu</color> and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color> with minimum of <color='yellow'>130</color>;12;The Labor faction has reported that a special medium load of <color='yellow'>Special Junk Part</color> has been scanned in the <color='cyan'>Hunu</color> system. <i>Feibem Nineatemi</i> is credited with the find, but His claim is currently invalid. Hurry up and salvage the <color='yellow'>Special Junk Part</color> and return to StarGypsy Warehouse, in the <color='cyan'>Void Starcross</color>.;33162;12059
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.8134612;ship_data_(StinVec_SOLV_B_BDN1_Filament).txt
SHIP;1;0.98;ship_data_(excavation_carrier_1).txt
SHIP;2;1.02;ship_data_(support_escort_1).txt
SHIP;3;0.97;ship_data_(transport_carrier_1).txt
SHIP;4;1.05;ship_data_(recon_carrier_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>


