// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;SimKitten
STATION;type;Tavern Station
STATION;owner;Bruwhikadd Xenbue
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;4
STATION;icon;simkitten.png
STATION;filename;sector_83_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-0-0-6-9-1-2-1-7-9-0-9-0-6-4-1-9-90
STATION;interior_seed;4-1-30-1
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.47;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.08;npc_ship_data_(battle_cruiser_1).txt
MERC;4;1.90;npc_ship_data_(transport_cruiser_1).txt
MERC;9;1.36;npc_ship_data_(recon_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Wanted (1) Items ;1059x15;139181;134318.00
ITEM;2113;197;0.95;58.30318
ITEM;43;111;0.53;58.30318
ITEM;2124;91;0.58;58.30318
ITEM;2111;21;0.86;58.30318
ITEM;2127;141;0.82;58.30318
ITEM;2120;48;1.00;58.30318
ITEM;2123;195;1.23;58.30318
ITEM;2116;188;0.78;58.30318
ITEM;2128;13;0.53;58.30318
ITEM;2119;66;1.01;58.30318
ITEM;758;49;1.05;114556.4
ITEM;744;59;0.93;114556.4
ITEM;748;57;0.52;100750.2
ITEM;701;43;0.67;100750.2
ITEM;756;24;0.75;100750.2
ITEM;700;7;1.08;100750.2
ITEM;754;21;1.05;100750.2
ITEM;726;38;0.80;13485.56
ITEM;752;62;0.80;13485.56
ITEM;741;20;0.64;13485.56
ITEM;670;6;0.92;21372.52
ITEM;703;27;0.91;21372.52
ITEM;743;73;1.12;21372.52
ITEM;742;58;0.90;21372.52
ITEM;676;53;0.54;21372.52
ITEM;753;28;1.03;21372.52
ITEM;680;19;1.09;21372.52
ITEM;736;78;0.80;21372.52
ITEM;672;29;0.73;21372.52
ITEM;674;24;1.23;21372.52
ITEM;693;50;1.00;21372.52
ITEM;671;31;0.82;57613.26
ITEM;731;18;0.69;129259.3
ITEM;661;16;1.18;129259.3
ITEM;620;3;0.58;129259.3
ITEM;642;10;0.83;19801.69
ITEM;640;15;0.64;19801.69
ITEM;623;19;1.16;19801.69
ITEM;602;13;1.03;19801.69
ITEM;621;8;1.05;19801.69
ITEM;662;2;1.19;27569.8
ITEM;663;5;1.08;44089.14
ITEM;600;4;1.17;44089.14
ITEM;660;9;0.64;44089.14
ITEM;641;15;0.78;10783.29
ITEM;601;17;1.00;10783.29
ITEM;622;7;1.19;10783.29
ITEM;643;14;0.67;10783.29
ITEM;603;11;0.55;10783.29
ITEM;321;13;0.90;10783.29
ITEM;403;7;1.12;10783.29
ITEM;405;38;0.61;10783.29
ITEM;310;32;0.55;110.6941
ITEM;311;15;0.55;110.6941
ITEM;408;30;1.28;16.68089
ITEM;406;11;0.90;16.68089
ITEM;320;27;1.13;1744.051
ITEM;305;19;1.01;1744.051
ITEM;313;1;1.14;1744.051
ITEM;325;9;0.58;1744.051
ITEM;302;15;0.90;45.405
ITEM;404;29;1.09;45.405
ITEM;312;14;1.18;45.405
ITEM;323;36;0.52;45.405
ITEM;322;35;1.14;45.405
ITEM;300;24;1.10;45.405
ITEM;304;34;0.66;45.405
ITEM;324;14;1.15;3112.108
ITEM;303;3;1.08;3112.108
ITEM;407;29;1.21;3112.108
ITEM;301;13;0.78;3112.108
ITEM;20;329;1.05;3112.108
ITEM;4;277;1.19;3112.108
ITEM;23;137;1.18;3112.108
ITEM;3;121;0.80;3112.108
ITEM;21;73;0.81;3112.108
ITEM;22;372;0.54;3112.108
ITEM;2;37;1.16;3112.108
ITEM;1;42;0.53;4.357068
ITEM;109;481;1.25;6.012643
ITEM;101;176;1.03;6.012643
ITEM;113;106;1.15;6.012643
ITEM;105;169;1.00;6.012643
ITEM;107;282;0.75;6.012643
ITEM;100;198;1.22;6.012643
ITEM;118;530;0.75;6.012643
ITEM;103;357;0.91;6.012643
ITEM;114;15;0.57;6.012643
ITEM;106;332;0.97;6.012643
ITEM;102;101;0.50;6.012643
ITEM;104;237;0.85;6.012643
ITEM;152;385;0.86;6.012643
ITEM;170;373;0.86;6.012643
ITEM;210;250;0.94;6.012643
ITEM;167;175;1.25;6.012643
ITEM;400;279;0.93;6.012643
ITEM;203;29;0.81;6.012643
ITEM;164;340;1.12;6.012643
ITEM;169;308;0.77;6.012643
ITEM;153;173;1.23;6.012643
ITEM;168;255;1.20;6.012643
ITEM;211;303;0.98;6.012643
ITEM;151;288;0.78;6.012643
ITEM;157;332;1.20;6.012643
ITEM;213;188;1.09;6.012643
ITEM;207;335;0.69;6.012643
ITEM;216;314;0.67;6.012643
ITEM;154;233;0.69;6.012643
ITEM;150;234;0.50;6.012643
ITEM;155;369;0.98;6.012643
ITEM;215;117;0.72;6.012643
ITEM;156;225;1.18;6.012643
ITEM;160;315;1.02;6.012643
ITEM;2272;34;0.82;6.012643
ITEM;2289;16;1.16;6.012643
ITEM;2153;23;1.14;6.012643
ITEM;2434;18;1.12;6.012643
ITEM;2279;24;0.63;6.012643
ITEM;2291;13;1.00;2620411
ITEM;2211;1;1.10;2620411
ITEM;2287;31;0.68;2620411
ITEM;2270;18;0.83;2620411
ITEM;2307;16;1.24;2620411
ITEM;2102;4;0.87;118242.1
ITEM;2190;30;0.76;805075.5
ITEM;2544;8;0.67;805075.5
ITEM;2221;17;0.99;805075.5
ITEM;2465;11;0.63;805075.5
ITEM;2160;22;0.53;805075.5
ITEM;2407;7;0.91;805075.5
ITEM;2315;25;0.67;805075.5
ITEM;2276;31;0.58;805075.5
ITEM;2257;39;1.08;805075.5
ITEM;2450;36;0.61;805075.5
ITEM;2399;25;0.75;805075.5
ITEM;2271;31;1.18;805075.5
ITEM;2451;5;0.82;805075.5
ITEM;2335;28;0.72;805075.5
ITEM;2253;3;0.74;805075.5
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;25;1.80
SKILL;212;0.97
SKILL;211;1.03
SKILL;3;1.59
SKILL;27;1.68
SKILL;58;1.56
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.99;ship_data_(recon_carrier_1).txt
SHIP;2;1.08;ship_data_(excavation_cruiser_1).txt
SHIP;3;1.02;ship_data_(battle_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
