// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Communications Hub
STATION;type;Base
STATION;owner;Mastei Gorebira
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;1
STATION;icon;xellon.png
STATION;filename;sector_66_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-1-0-1-5-2-7-1-1-3-2-6-0-5-5-2-7-90
STATION;interior_seed;5-1-45-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;57427.79
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.83;npc_ship_data_(recon_escort_1).txt
MERC;1;1.83;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.58;npc_ship_data_(battle_cruiser_1).txt
MERC;8;0.50;npc_ship_data_(transport_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Supply: (2) Items ;51x338,62x860;252063.00;65675.26
ITEM;2111;34;1.09;6614264.00
ITEM;62;25;0.77;469.78
ITEM;2123;16;1.10;6065490.00
ITEM;77;38;0.76;773.07
ITEM;2431;8;0.77;44862.77
ITEM;726;14;1.21;18972.75
ITEM;164;62;0.76;13.13
ITEM;693;19;0.70;3774.25
ITEM;703;13;0.61;4653.95
ITEM;720;8;1.13;7109.10
ITEM;710;8;1.00;8438.80
ITEM;152;34;0.89;12.58
ITEM;156;16;0.82;17.05
ITEM;640;1;0.73;5493.95
ITEM;2434;5;0.70;35113.36
ITEM;100;35;1.02;1.61
ITEM;408;9;0.68;8.89
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;34;0.87
SKILL;56;1.09
SKILL;228;0.83
SKILL;56;0.86
SKILL;31;1.91
SKILL;61;1.68
SKILL;31;0.98
SKILL;232;1.80
SKILL;36;0.91
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;10;30;278929;DELIVERY#37#2040#sector_16_station_0.txt#sector_60_station_0.txt#null#null#null#null;Dock at Rendo Labs in <color='cyan'>Entropy</color> to deliver a light shipment of <color='yellow'>37</color> <color='yellow'>Fusion Chambers</color>;4;<i>Mase Fonsawweli</i> runs a Financial shipping company at Biomart. After having some issues with a transport ship, <color='yellow'>37</color> items of <color='yellow'>Fusion Chambers</color> were left behind. Head on over to <color='cyan'>Entropy</color> and deliver these <color='yellow'>Fusion Chambers</color> to Rendo Labs.;8300;3000
MISSION;30;45;610855;TRANSPORT#2#1504#sector_12_station_0.txt#sector_23_station_0.txt#null#null#null#null;Transport a light shipment of <color='yellow'>2</color> <color='yellow'>Prototype Thrusters</color> from Gek Mining in <color='cyan'>Alias Outpost</color> to PharmaLife in <color='cyan'>Carioullis</color>;3;Transport manager <i>Mila Kaddze</i> has requested a transport of a light shipment of <color='yellow'>2</color> <color='yellow'>Prototype Thrusters</color>. They need to be picked up at the storage facility at Gek Mining in <color='cyan'>Alias Outpost</color>, and transported to PharmaLife in <color='cyan'>Carioullis</color>. <i>Mila Kaddze</i> will be waiting at PharmaLife to receive the shipment.;12764;4500
MISSION;62;45;324790;HARVEST#116#3#sector_38.txt#sector_95_station_0.txt#null#null#null#null;Excavate special <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Equalias Val</color> and return with <color='yellow'>116</color> to Star Shepards Hub in <color='cyan'>Temple Gates</color>;3;<i>Lazo Jancoya</i> has discovered a light deposit of <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Equalias Val</color>. He is currently unable to mine the <color='yellow'>Special Quazor Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>116</color> <color='yellow'>Special Quazor Ore</color>. Once complete, head over and meet <i>Lazo Jancoya</i> at the Star Shepards Hub station located in the <color='cyan'>Temple Gates</color>.;41194;15505
MISSION;145;90;395244;REFINE#260#1#sector_2_station_0.txt#sector_65_station_0.txt#null#null#null#null;Dock with Oro Omniplex Center refinery and process a medium shipment of <color='yellow'>260</color> <color='yellow'>Adamyte Ores</color> in <color='cyan'>Merces Academy</color>;3;<i>Foekin Sivbodemi</i> has relocated from CoraVault Hub and requests processing of <color='yellow'>260</color> <color='yellow'>Adamyte Ores</color> to be refined at the new refinery at Oro Omniplex Center. Head on over to <color='cyan'>Merces Academy</color> and process these <color='yellow'>Adamyte Ores</color>.;241271;110788
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.91;ship_data_(battle_carrier_1).txt
SHIP;2;0.93;ship_data_(recon_cruiser_1).txt
SHIP;3;0.92;ship_data_(support_cruiser_1).txt
SHIP;4;0.93;ship_data_(recon_cruiser_1).txt
SHIP;5;0.92;ship_data_(pirate_escort_1).txt
SHIP;6;0.97;ship_data_(battle_shuttle_1).txt
SHIP;7;1.08;ship_data_(pirate_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

