// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Acrondia Hub
STATION;type;Organization Center
STATION;owner;Bidbruei Lowtibem
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;2
STATION;icon;acrondia.png
STATION;filename;sector_95_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-0-1-7-4-3-3-0-3-0-2-0-0
STATION;interior_seed;3-1-0-5
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;25990.69
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.68;npc_ship_data_(excavation_escort_1).txt
MERC;7;0.99;npc_ship_data_(support_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (2) Items ;111x843,110x522;44131;75352.16
ITEM;1600;18;1.14;74.92208
ITEM;1560;12;0.55;17411.54
ITEM;1500;7;0.85;17411.54
ITEM;1059;17;1.09;17411.54
ITEM;2131;72;0.76;17411.54
ITEM;2445;17;0.62;17411.54
ITEM;2438;5;1.15;17411.54
ITEM;115;0;2.45;17411.54
ITEM;727;33;0.71;17411.54
ITEM;729;15;0.72;17411.54
ITEM;116;0;2.50;186.4461
ITEM;109;3;1.05;186.4461
ITEM;406;2;0.68;0.8468657
ITEM;403;15;1.03;1.234553
ITEM;101;0;2.50;5.835557
ITEM;168;28;0.58;5.835557
ITEM;110;0;2.50;5.835557
ITEM;404;17;0.89;5.835557
ITEM;300;18;0.75;5.835557
ITEM;301;4;0.94;5.835557
ITEM;332;37;0.71;5.835557
ITEM;2441;5;0.81;5.835557
ITEM;661;9;0.90;12178.95
ITEM;108;0;2.50;12178.95
ITEM;660;3;0.93;7180.29
ITEM;112;0;2.50;107.893
ITEM;2190;7;0.83;870465.1
ITEM;2417;16;1.19;28346.09
ITEM;2387;3;0.89;28346.09
ITEM;151;93;0.58;28346.09
ITEM;343;0;2.50;28346.09
ITEM;341;0;2.50;28346.09
ITEM;1001;1;0.68;28346.09
ITEM;1110;1;0.76;1874.786
ITEM;1170;16;0.96;1874.786
ITEM;1002;15;0.93;2049.788
ITEM;1100;11;0.55;2049.788
ITEM;1003;4;1.19;3092.087
ITEM;123;0;2.45;3092.087
ITEM;2;10;0.53;3092.087
ITEM;405;8;0.51;3092.087
ITEM;743;15;0.25;3092.087
ITEM;748;31;0.79;146589.7
ITEM;731;36;0.79;146589.7
ITEM;753;15;0.86;157932
ITEM;759;44;0.68;157932
ITEM;102;0;2.50;157932
ITEM;331;1000;0.25;157932
ITEM;1621;10;0.58;40157.57
ITEM;1531;19;1.05;57135.25
ITEM;741;18;0.66;57135.25
ITEM;746;15;0.47;57135.25
ITEM;1751;10;0.78;57135.25
ITEM;2284;11;0.84;57135.25
ITEM;1511;16;0.59;57135.25
ITEM;2289;8;0.79;57135.25
ITEM;621;9;1.21;57135.25
ITEM;1631;9;0.53;57135.25
ITEM;730;15;0.74;57135.25
ITEM;751;15;0.63;57135.25
ITEM;757;15;0.25;57135.25
ITEM;1616;17;1.22;57135.25
ITEM;2269;17;0.54;57135.25
ITEM;1561;9;0.91;54460.43
ITEM;1501;15;0.62;54460.43
ITEM;1591;18;0.99;54460.43
ITEM;105;18;1.05;54460.43
ITEM;20;81;0.61;14.87432
ITEM;304;18;0.80;14.87432
ITEM;742;15;0.25;14.87432
ITEM;747;28;0.65;14.87432
ITEM;677;2;0.86;42913.04
ITEM;733;15;0.25;42913.04
ITEM;752;33;0.87;96082.92
ITEM;758;15;0.25;96082.92
ITEM;691;23;1.08;96082.92
ITEM;1460;7;0.99;96082.92
ITEM;155;44;0.79;96082.92
ITEM;104;0;2.45;96082.92
ITEM;166;70;1.10;96082.92
ITEM;672;22;1.18;30553.55
ITEM;740;29;0.84;30553.55
ITEM;745;15;0.58;30553.55
ITEM;674;21;1.25;30553.55
ITEM;732;15;0.25;30553.55
ITEM;750;15;0.74;30553.55
ITEM;756;15;0.25;30553.55
ITEM;711;28;0.65;17869.53
ITEM;157;10;1.21;17869.53
ITEM;160;28;1.08;17869.53
ITEM;2439;4;0.73;62018.91
ITEM;728;15;0.26;5304.615
ITEM;121;1;1.05;5304.615
ITEM;106;0;2.50;5304.615
ITEM;601;9;0.85;11500.24
ITEM;150;111;1.09;11500.24
ITEM;303;18;0.52;11500.24
ITEM;342;0;2.50;11500.24
ITEM;107;0;2.50;11500.24
ITEM;407;7;1.03;11500.24
ITEM;103;18;1.05;11500.24
ITEM;330;42;0.74;11500.24
ITEM;118;0;2.50;17.39386
ITEM;2362;1;1.14;832.8886
ITEM;2116;68;0.55;832.8886
ITEM;120;0;2.50;832.8886
ITEM;600;2;0.76;832.8886
ITEM;52;89;0.63;832.8886
ITEM;62;78;1.08;832.8886
ITEM;2117;6;0.79;832.8886
ITEM;726;15;0.25;832.8886
ITEM;164;109;0.84;15.07032
ITEM;114;0;2.50;15.07032
ITEM;21;129;1.16;15.07032
ITEM;2432;3;0.66;15.07032
ITEM;113;12;1.05;15.07032
ITEM;119;0;2.50;15.07032
ITEM;721;15;0.83;15.07032
ITEM;722;15;0.78;15.07032
ITEM;720;2;1.08;15.07032
ITEM;723;15;0.77;15.07032
ITEM;755;15;0.70;15.07032
ITEM;159;158;0.52;15.07032
ITEM;725;33;0.66;15.07032
ITEM;1450;8;0.86;15.07032
ITEM;117;0;2.50;15.07032
ITEM;152;51;0.57;15.07032
ITEM;156;144;0.66;15.07032
ITEM;340;0;2.50;15.07032
ITEM;640;3;0.75;5890.44
ITEM;162;186;1.05;5890.44
ITEM;744;37;0.91;5890.44
ITEM;749;18;0.58;5890.44
ITEM;734;34;0.86;5890.44
ITEM;754;15;0.25;5890.44
ITEM;760;39;0.78;218302.5
ITEM;124;0;2.50;218302.5
ITEM;2170;5;1.24;1.163248E+07
ITEM;1300;2;0.81;1.163248E+07
ITEM;333;34;0.71;1.163248E+07
ITEM;122;10;1.05;1.163248E+07
ITEM;2434;4;1.18;1.163248E+07
ITEM;100;0;2.50;1.163248E+07
ITEM;408;7;0.64;8.871601
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;75;1.78
SKILL;36;0.88
SKILL;16;0.63
SKILL;63;1.43
SKILL;74;1.30
SKILL;228;0.88
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;10;30;617942;DELIVERY#3#1101#sector_58_station_0.txt#sector_35_station_0.txt#null#null#null#null;Dock at CoraVault in <color='cyan'>Lins</color> to deliver a light shipment of <color='yellow'>3</color> <color='yellow'>Basic Pulse Lasers</color>;10;<i>Yangen Fufaemi</i> runs a Missionary shipping company at Astrox Security Patrol. After having some issues with a transport ship, <color='yellow'>3</color> items of <color='yellow'>Basic Pulse Lasers</color> were left behind. Head on over to <color='cyan'>Lins</color> and deliver these <color='yellow'>Basic Pulse Lasers</color> to CoraVault.;5246;2000
MISSION;80;60;272576;RECOVER#1#1065#sector_57.txt#sector_56_station_0.txt#null#null#null#null;Recover a light quantity of <color='yellow'>1</color> <color='yellow'>Advanced Rocket Launcher</color> in <color='cyan'>Ponze</color>, and return to Transporteers in <color='cyan'>Hunu</color>;9;The Temple faction has lost track of a light crate somewhere in the <color='cyan'>Ponze</color> system. Head over there and recover the crate containing <color='yellow'>1</color> units of <color='yellow'>Advanced Rocket Launcher</color>, and dock at the Transporteers in the <color='cyan'>Hunu</color> sector. <i>Rabid Fiyi</i> has been instructed to wait for the lost cargo at the Transporteers station.;6314;2250
MISSION;72;45;359399;ESCORT#sector_0_station_4.txt#sector_58_station_0.txt#Enforcer Webo Janbesip#npc_ship_data_(ATC_Jericho)#4#null#null#null;A ship in Starbase Corporate Center in <color='cyan'>Void Starcross</color> needs an escort to CoraVault in <color='cyan'>Lins</color>;10;After being selected for an academic grant, Dr. <color='yellow'><i>Enforcer Webo Janbesip</i></color> has requested an escort to the CoraVault station in the <color='cyan'>Lins</color> system. <color='yellow'><i>Enforcer Webo Janbesip</i></color> has posted his pick-up location as Starbase Corporate Center in <color='cyan'>Void Starcross</color>. Be sure to protect the doctor at all cost, and under no circumstances are you to abandon him.;13475;4594
MISSION;70;45;112321;ESCORT#sector_78_station_0.txt#sector_0_station_1.txt#Doctor Doegilla Silelnuh#npc_ship_data_(VVS_Thorn)#18#null#null#null;Escort <color='yellow'><i>Doctor Doegilla Silelnuh</i></color> from Tella's in <color='cyan'>Bitcola</color> to Lammassu Financial in <color='cyan'>Void Starcross</color>;9;A wealthy council member from the Temple faction has set up an escort for his oldest son <color='yellow'><i>Doctor Doegilla Silelnuh</i></color>. He was recently released from a rehab center for bliss addiction, and <i>Barfoe Fonnortiscou</i>, his father, would prefer he doesn't travel alone. You can meet up with <color='yellow'><i>Doctor Doegilla Silelnuh</i></color> at the Tella's station before heading over to Lammassu Financial.;4400;1500
MISSION;132;45;846007;SALVAGE#90#25#sector_62.txt#sector_65_station_0.txt#null#null#null#null;Dismantle <color='yellow'>Special Module Fragment</color> in <color='cyan'>Jelumus</color> and return with <color='yellow'>90</color> to CoraVault Hub in <color='cyan'>Pindoris</color>;11;<i>Fonao Bacdee</i> has discovered a light cache of <color='yellow'>Special Module Fragment</color> in <color='cyan'>Jelumus</color>. He is currently unable to dismantle the <color='yellow'>Special Module Fragment</color>, and has requested a pilot to head over and salvage the <color='yellow'>90</color> <color='yellow'>Special Module Fragment</color>. Once complete, head over and meet <i>Fonao Bacdee</i> at the CoraVault Hub station located in the <color='cyan'>Pindoris</color>.;24801;10337
MISSION;110;60;853961;KILL_RAIDERS#sector_0_station_0.txt#sector_58.txt#1#10#npc_ship_data_(recon_frigate_2)#random#random#random;Hunt <color='yellow'>1 Raider</color> level 10 Raider(s) in <color='cyan'>Lins</color> and return to Biomate University in <color='cyan'>Void Starcross</color>;11;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Lins</color>. The Orthodox faction has requested a sector clearance contract. Head on over to the <color='cyan'>Lins</color> and clear out the <color='yellow'>1 Raider</color>, level 10 Raiders that have set up camp there. Dock at the Biomate University station in <color='cyan'>Void Starcross</color> when complete.;8220;2750
MISSION;42;45;686749;SCAN_PILOT#sector_0_station_3.txt#sector_3.txt#Lieutenant Ateved Binwhe#npc_ship_data_(titan)#24#null#null#null;Track down and scan <color='yellow'><i>Lieutenant Ateved Binwhe</i></color> in <color='cyan'>Starfort Ramos</color> and return to StarShepards Headquarters in <color='cyan'>Void Starcross</color>;9;Temple faction has requested that we verify the whereabouts of a <color='yellow'><i>Lieutenant Ateved Binwhe</i></color>. After a recent ban order from the high court minister <i>Lindoeno Ritajxo</i>, <color='cyan'>Starfort Ramos</color> officials are worried that <color='yellow'><i>Lieutenant Ateved Binwhe</i></color> might cause problems for the local merchants. Scan <color='yellow'><i>Lieutenant Ateved Binwhe</i></color>'s ship and return to StarShepards Headquarters in <color='cyan'>Void Starcross</color> with the scan record.;16440;4594
MISSION;22;120;252200;COLLECT#84#106#sector_35_station_0.txt#sector_97_station_0.txt#null#null#null#null;Return to Astrox Security Patrol in <color='cyan'>Felishar</color> with a light collection of <color='yellow'>84</color> <color='yellow'>Nitrogens</color>;11;A request has been made by the Overseer of Astrox Security Patrol in <color='cyan'>Felishar</color> for the acquisition of <color='yellow'>84</color> <color='yellow'>Nitrogens</color>. <i>Whilei Youdornvi</i> will reimburse you for the cost of the items, as well as payment for your troubles.;20634;8422
MISSION;132;45;773732;SALVAGE#94#20#sector_77.txt#sector_100_station_0.txt#null#null#null#null;Dismantle <color='yellow'>Special Junk Part</color> in <color='cyan'>Ballast Crow</color> and return with <color='yellow'>94</color> to Fellacore Research Center in <color='cyan'>Grace</color>;9;<i>Whabira Niduevi</i> has discovered a light cache of <color='yellow'>Special Junk Part</color> in <color='cyan'>Ballast Crow</color>. He is currently unable to dismantle the <color='yellow'>Special Junk Part</color>, and has requested a pilot to head over and salvage the <color='yellow'>94</color> <color='yellow'>Special Junk Part</color>. Once complete, head over and meet <i>Whabira Niduevi</i> at the Fellacore Research Center station located in the <color='cyan'>Grace</color>.;18495;5168
MISSION;32;45;510560;TRANSPORT#161#119#sector_0_station_1.txt#sector_97_station_0.txt#null#null#null#null;Move light cargo from Lammassu Financial in <color='cyan'>Void Starcross</color> and dock with <color='yellow'>161</color> <color='yellow'>Silverytes</color> at Temple of the Void in <color='cyan'>Valley of Truths</color>;11;<i>Xacoo Jagaojid</i> was unable to complete a large shipment from Lammassu Financial to Temple of the Void. A light shipment containing <color='yellow'>161</color> <color='yellow'>Silverytes</color> is located at the storage bay at Lammassu Financial in <color='cyan'>Void Starcross</color>. Retrieve the <color='yellow'>Silverytes</color> and transport them to Temple of the Void in <color='cyan'>Valley of Truths</color>.;15160;5168
MISSION;52;30;292701;SCAN_STRUCTURE#sector_14_station_0.txt#sector_38.txt#Public Energy Generator#structure_energy_gen_1.txt#1#null#null#null;Track and scan the target <color='yellow'>Public Energy Generator</color> structure in <color='cyan'>Equalias Val</color> and return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;9;The Temple faction has commissioned scientific survey of a strange vibration taking place at <color='yellow'>Public Energy Generator</color> in the <color='cyan'>Equalias Val</color> sector. Head over to <color='cyan'>Equalias Val</color> and scan the <color='yellow'>Public Energy Generator</color> structure. Once complete, return to the Imperium Republica  station located in the <color='cyan'>Gate of Alpharis</color> with the scan data.;18308;6125
MISSION;93;90;555412;KILL_PILOT#sector_56_station_0.txt#sector_74.txt#Chairman Nostrasaw Zanxadxa#npc_ship_data_(mining_barge_5)#10#null#null#null;Frag <color='yellow'><i>Chairman Nostrasaw Zanxadxa</i></color>, in <color='cyan'>Archteli</color> and return to Transporteers in <color='cyan'>Hunu</color>;10;An intermediate level pilot has been sentenced by ASP for extermination. <color='yellow'><i>Chairman Nostrasaw Zanxadxa</i></color>, found guilty of raiding, and murder, has been hanging out in the <color='cyan'>Archteli</color> system. When complete, return to the Transporteers station in the <color='cyan'>Hunu</color> system. The Missionary's will be very happy to hear of <color='yellow'><i>Chairman Nostrasaw Zanxadxa</i></color>'s demise.;73557;32156
MISSION;151;120;249278;FABRICATE#7#2368#sector_0_station_5.txt#sector_97_station_0.txt#null#null#null#null;Produce a light container of <color='yellow'>7</color> <color='yellow'>Capacitors</color> at the Proctors Center fabricator in <color='cyan'>Void Starcross</color>;9;The Temple Faction has commissioned a production liaison, <i>Heased Qaxon</i> at Temple of the Void. After an audit, <color='yellow'>7</color> items of <color='yellow'>Capacitors</color> were deemed required. Head on over to <color='cyan'>Void Starcross</color> and manufacture these <color='yellow'>Capacitors</color> at Proctors Center.;15313;4594
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.92;ship_data_(battle_escort_1).txt
SHIP;2;1.08;ship_data_(battle_escort_1).txt
SHIP;3;1.01;ship_data_(pirate_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

