// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Holosynth Industries
STATION;type;Scientific Analysis Facility
STATION;owner;Enolindo Yelbo
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;5
STATION;icon;ad_image_5.png
STATION;filename;sector_17_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-1-4-6-3-5-0-2-5-3-4-0-4-9-2-2-1-7-5-2-2-90
STATION;interior_seed;3-1-30-5
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;60654.45
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.52;npc_ship_data_(recon_escort_1).txt
MERC;2;1.93;npc_ship_data_(battle_shuttle_1).txt
MERC;4;1.80;npc_ship_data_(support_shuttle_1).txt
MERC;3;1.16;npc_ship_data_(battle_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (4) Items ;2x1151,5x217,4x413,331x331;215361;113196.60
ITEM;604;12;1.23;82803.59
ITEM;405;46;1.08;1.22
ITEM;602;24;0.79;17605.96
ITEM;2007;497;0.76;390.30
ITEM;2008;170;0.75;423.91
ITEM;673;35;0.66;49525.16
ITEM;743;44;1.08;183356.30
ITEM;2458;28;1.11;730400.00
ITEM;748;47;0.57;99206.25
ITEM;675;25;0.78;43995.52
ITEM;731;44;0.54;94256.26
ITEM;679;75;0.83;69761.25
ITEM;671;6;0.78;51052.86
ITEM;102;424;1.24;3.95
ITEM;331;45;1.05;291.40
ITEM;2462;11;0.93;153800.00
ITEM;1571;15;0.58;31785.00
ITEM;1581;6;1.11;63910.00
ITEM;2214;36;0.55;306900.00
ITEM;2289;38;1.15;708750.00
ITEM;621;24;0.65;8345.31
ITEM;1062;5;0.85;23749.69
ITEM;2126;174;0.51;72933.44
ITEM;2162;36;0.90;228156.30
ITEM;1102;26;0.96;24285.63
ITEM;2114;114;0.53;82503.74
ITEM;2468;9;0.57;96200.00
ITEM;1060;1;1.14;28695.63
ITEM;2120;87;0.70;89578.13
ITEM;757;69;0.75;35156.25
ITEM;1616;10;1.23;47927.50
ITEM;1561;6;0.68;38407.50
ITEM;1064;6;0.56;17382.75
ITEM;305;47;0.52;128.55
ITEM;105;249;0.74;5.97
ITEM;2009;2;0.61;382.74
ITEM;20;37;0.56;12.42
ITEM;304;31;0.65;514.07
ITEM;677;87;0.68;32006.25
ITEM;752;41;0.80;83125.00
ITEM;712;82;0.53;40410.00
ITEM;209;142;1.01;140.57
ITEM;2429;13;0.70;32868.96
ITEM;691;37;0.77;6373.16
ITEM;692;78;1.00;6187.50
ITEM;700;3;1.15;10631.25
ITEM;690;39;0.75;5454.19
ITEM;1460;5;1.23;31531.25
ITEM;158;449;0.56;13.94
ITEM;4;242;1.12;45.24
ITEM;155;67;1.17;21.29
ITEM;104;32;1.15;4.41
ITEM;203;149;0.75;77.21
ITEM;320;14;0.61;910.50
ITEM;672;37;0.79;19764.53
ITEM;740;93;0.78;12168.75
ITEM;2455;11;0.65;54500.00
ITEM;745;3;0.62;9768.75
ITEM;674;39;0.74;13946.67
ITEM;676;32;0.80;12416.75
ITEM;750;2;1.10;16968.75
ITEM;756;64;1.22;18768.75
ITEM;670;41;0.68;15025.20
ITEM;711;45;0.97;24030.00
ITEM;214;54;0.85;191.60
ITEM;23;233;1.23;130.12
ITEM;160;499;0.63;19.84
ITEM;161;248;0.62;21.49
ITEM;2397;49;1.10;8301.11
ITEM;321;6;0.72;1920.50
ITEM;106;511;1.11;10.60
ITEM;601;19;0.87;11040.31
ITEM;150;71;0.90;10.24
ITEM;303;32;0.97;915.02
ITEM;107;542;0.57;6.70
ITEM;644;17;0.72;49321.07
ITEM;407;9;0.61;3.53
ITEM;103;683;0.59;1.34
ITEM;330;0;1.05;2059.11
ITEM;2171;35;1.06;10974470.00
ITEM;6;0;1.33;145.30
ITEM;118;619;0.51;2.91
ITEM;170;21;1.13;78.38
ITEM;2203;5;1.19;7632813.00
ITEM;1583;24;1.09;251160.00
ITEM;2291;16;1.07;2643000.00
ITEM;1114;3;0.89;304139.60
ITEM;1026;1;0.95;294497.70
ITEM;2128;249;1.11;1883848.00
ITEM;2116;197;0.59;1118716.00
ITEM;2122;1;1.08;1667570.00
ITEM;1074;38;0.68;256156.70
ITEM;600;23;1.04;7498.75
ITEM;52;152;0.86;169.19
ITEM;1534;10;1.15;472500.00
ITEM;1754;26;1.19;781600.10
ITEM;1772;16;1.06;1102955.00
ITEM;1574;16;0.52;229320.00
ITEM;1584;49;0.59;278320.00
ITEM;1654;46;0.82;340500.00
ITEM;62;113;0.75;444.95
ITEM;2117;54;0.63;4167611.00
ITEM;3;14;1.05;25.76
ITEM;154;259;0.76;34.75
ITEM;114;661;1.01;2.70
ITEM;21;215;1.11;40.74
ITEM;113;633;0.69;4.65
ITEM;721;39;0.97;6007.50
ITEM;693;80;1.18;6056.25
ITEM;217;237;0.93;278.17
ITEM;215;98;1.11;272.94
ITEM;159;260;1.05;52.25
ITEM;725;29;1.16;17868.75
ITEM;323;37;1.16;2133.29
ITEM;1450;30;1.09;11773.13
ITEM;642;6;0.83;18463.48
ITEM;640;3;1.11;7988.75
ITEM;202;403;1.05;97.14
ITEM;744;81;1.22;312812.50
ITEM;2459;4;1.22;1601600.00
ITEM;2465;38;1.08;1422400.00
ITEM;5;470;1.05;70.12
ITEM;1300;18;1.06;15277.50
ITEM;333;13;1.06;10296.97
ITEM;22;187;0.63;40.13
ITEM;624;21;0.76;51947.14
ITEM;663;3;0.79;30810.02
ITEM;662;9;0.62;13961.50
ITEM;100;198;0.75;1.17
ITEM;408;11;0.90;11.27
ITEM;9;0;1.30;638.17
ITEM;10;0;1.22;990.62
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;226;1.00
SKILL;230;0.66
SKILL;32;1.44
SKILL;43;1.59
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;114;60;760887;KILL_RAIDERS#sector_77_station_0.txt#sector_0.txt#1#30#npc_ship_data_(battle_carrier_1)#random#random#random;Kill <color='yellow'>1 Raider</color> level 30 Skilled Raider(s) in <color='cyan'>Void Starcross</color> and dock at Lacuna Bandits in <color='cyan'>Ballast Crow</color>;0;A medium sized gang of skilled raiders have set up shop in <color='cyan'>Void Starcross</color>. Before they can get their operation up and running, head over to <color='cyan'>Void Starcross</color> and clear out all <color='yellow'>1 Raider</color> of them. Once you have secured the sector, head back to the Lacuna Bandits in the <color='cyan'>Ballast Crow</color> system to collect the bounty payment.;98010;25792
MISSION;144;90;786047;REFINE#8#25#sector_66_station_0.txt#sector_14_station_1.txt#null#null#null#null;Process medium crate of <color='yellow'>8</color> <color='yellow'>Module Fragments</color> in <color='cyan'>Ele</color> at the Communications Hub refinery;0;Alpha Manufacturing facilities have requested a processing of <color='yellow'>8</color> <color='yellow'>Module Fragments</color>. <i>Vissip Nostrazetaada</i> will meet you at the Communications Hub Station refinery in <color='cyan'>Ele</color> to sign for the processed minerals.;135058;56274
MISSION;83;60;216648;RECOVER#3#1481#sector_64.txt#sector_60_station_0.txt#null#null#null#null;Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Gemini Shoal</color> and bring back to Biomart in <color='cyan'>Veloxi</color>;0;A medium shipping crate has come up missing from a mining operation move in <color='cyan'>Gemini Shoal</color>. <i>Fallqe Duewo</i> is looking for an able pilot to scoop up the shipment of <color='yellow'>3</color> <color='yellow'>Anti-Laser Pods</color>. Once the crate has been recovered, take it to the Biomart station located in the <color='cyan'>Veloxi</color> where <i>Fallqe Duewo</i> will be waiting with your payment.;70618;24118
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.06;ship_data_(pirate_carrier_1).txt
SHIP;2;0.93;ship_data_(support_escort_1).txt
SHIP;3;0.93;ship_data_(battle_cruiser_1).txt
SHIP;4;1.05;ship_data_(recon_escort_1).txt
SHIP;5;0.93;ship_data_(transport_frigate_1).txt
SHIP;6;0.91;ship_data_(pirate_shuttle_1).txt
SHIP;7;1.01;ship_data_(support_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

