// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;CoraVault
STATION;type;Banking Facility
STATION;owner;Nexa Mapei
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;3
STATION;icon;coravault.png
STATION;filename;sector_58_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-2-0-6-4-3-2-1-6-4-1-3-1-6-5-0-5-0-5-5-1-4-0
STATION;interior_seed;5-1-45-7
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;64559.52
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.06;npc_ship_data_(support_utility_1).txt
MERC;3;1.54;npc_ship_data_(recon_cruiser_1).txt
MERC;5;1.85;npc_ship_data_(support_escort_1).txt
MERC;3;1.62;npc_ship_data_(excavation_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Selling Items: (1) Items ;1620x13;325684;71211.53
ITEM;1164;0;2.50;1053348.00
ITEM;1174;0;1.47;686730.80
ITEM;2362;1;0.75;541.69
ITEM;170;156;1.22;85.89
ITEM;118;246;0.64;3.72
ITEM;2358;8;1.18;655.69
ITEM;2171;23;0.89;9478551.00
ITEM;103;128;1.11;2.51
ITEM;407;17;0.70;4.14
ITEM;206;75;1.05;145.02
ITEM;303;21;1.20;1144.64
ITEM;601;5;0.91;11790.66
ITEM;321;0;1.47;4874.52
ITEM;2397;27;0.83;6475.81
ITEM;161;330;0.95;33.08
ITEM;160;206;0.63;20.48
ITEM;157;285;0.66;15.28
ITEM;670;43;0.75;16852.57
ITEM;750;1;1.21;18937.55
ITEM;732;14;0.48;7987.55
ITEM;676;2;0.93;14737.55
ITEM;674;1;1.24;23265.06
ITEM;2455;14;1.20;100200.30
ITEM;740;6;0.79;12637.55
ITEM;672;3;0.57;14940.08
ITEM;680;24;0.50;14917.58
ITEM;320;0;2.50;4530.31
ITEM;203;46;0.79;83.26
ITEM;166;159;0.63;39.90
ITEM;104;278;0.69;2.77
ITEM;155;206;1.04;19.36
ITEM;158;49;0.94;23.40
ITEM;2182;21;1.15;150312.90
ITEM;690;29;0.70;5267.52
ITEM;692;3;0.63;4095.02
ITEM;747;10;0.94;99250.31
ITEM;742;42;0.92;97250.31
ITEM;304;5;0.71;575.38
ITEM;20;20;1.13;24.83
ITEM;305;14;0.51;131.18
ITEM;1501;5;0.70;31605.13
ITEM;1551;1;1.01;53125.16
ITEM;1616;10;1.13;44935.12
ITEM;1060;25;0.75;19661.33
ITEM;751;42;0.55;27112.64
ITEM;1162;0;2.50;85987.45
ITEM;1205;26;1.08;55492.66
ITEM;2126;113;0.88;125654.80
ITEM;1014;23;0.83;21621.33
ITEM;1172;20;1.05;40516.99
ITEM;1013;26;0.73;21088.46
ITEM;621;6;0.83;10810.66
ITEM;2289;23;0.55;361501.90
ITEM;1571;24;1.05;57330.16
ITEM;746;9;0.85;40612.64
ITEM;741;68;1.21;56812.64
ITEM;1621;9;1.07;67350.19
ITEM;102;399;0.92;3.02
ITEM;602;3;0.83;18919.10
ITEM;405;16;0.76;0.89
ITEM;2;71;0.67;8.34
ITEM;313;29;1.12;344.75
ITEM;1054;11;0.94;2382.01
ITEM;2112;126;0.81;10350.04
ITEM;1160;0;2.50;7019.38
ITEM;2124;149;0.82;9597.53
ITEM;1052;28;0.94;2183.51
ITEM;1002;8;1.06;2225.01
ITEM;1170;20;1.05;3307.51
ITEM;2142;24;0.60;7177.54
ITEM;1001;22;0.69;1633.51
ITEM;735;5;0.36;3086429.00
ITEM;324;0;2.50;7967.00
ITEM;204;97;1.08;123.11
ITEM;322;0;2.50;2110.03
ITEM;2191;9;0.77;1927742.00
ITEM;660;6;1.10;8067.52
ITEM;661;3;1.13;14485.66
ITEM;301;656;1.06;28.15
ITEM;300;16;0.52;56.99
ITEM;2363;11;0.67;536.82
ITEM;200;153;0.51;41.77
ITEM;404;729;0.63;0.75
ITEM;325;0;2.50;1030.45
ITEM;101;298;0.65;1.26
ITEM;205;99;1.02;128.25
ITEM;403;5;0.58;0.70
ITEM;406;5;1.02;1.18
ITEM;109;34;1.16;5.43
ITEM;311;21;0.89;120.37
ITEM;727;24;0.55;9037.55
ITEM;208;219;0.52;91.12
ITEM;2445;14;0.82;13960.05
ITEM;400;47;0.62;1076.01
ITEM;2131;115;0.81;36225.13
ITEM;1059;2;0.67;6069.03
ITEM;75;2007;0.56;114.84
ITEM;1500;28;1.20;26302.57
ITEM;736;9;0.75;200625.80
ITEM;201;25;0.92;79.43
ITEM;1600;26;1.06;20025.05
ITEM;1615;16;0.68;13917.56
ITEM;2119;45;0.68;25637.61
ITEM;1009;2;0.49;4557.03
ITEM;1101;25;1.04;7647.52
ITEM;1161;15;1.05;10611.59
ITEM;1201;16;1.15;16835.04
ITEM;1057;29;0.76;6256.27
ITEM;1730;35;0.57;15562.58
ITEM;1008;24;0.74;5547.52
ITEM;1710;34;0.62;16812.58
ITEM;1171;0;2.50;26801.28
ITEM;1007;7;0.73;6025.27
ITEM;312;21;1.21;89.16
ITEM;620;6;1.18;8627.52
ITEM;1650;22;0.84;22312.58
ITEM;1570;6;1.19;32305.08
ITEM;1750;5;0.73;31300.13
ITEM;50;9;0.77;30.84
ITEM;169;258;0.67;51.11
ITEM;167;213;1.08;72.83
ITEM;302;20;0.62;30.63
ITEM;163;168;1.17;48.81
ITEM;310;13;1.10;157.46
ITEM;2435;1;0.71;39015.76
ITEM;2210;29;0.94;1000443.00
ITEM;737;57;0.89;530158.00
ITEM;1552;24;0.76;81250.31
ITEM;641;14;0.71;9340.66
ITEM;1163;1;1.05;129992.00
ITEM;2127;145;0.82;411494.30
ITEM;1173;0;2.50;328315.70
ITEM;622;4;0.88;19991.00
ITEM;1572;18;0.79;87620.33
ITEM;2320;14;0.59;4183112.00
ITEM;1622;14;1.22;152700.40
ITEM;1;11;0.66;4.99
ITEM;1451;12;0.75;20664.46
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;32;1.07
SKILL;223;0.58
SKILL;43;1.21
SKILL;15;1.18
SKILL;32;1.28
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;111;60;262264;KILL_RAIDERS#sector_35_station_0.txt#sector_36.txt#1#20#npc_ship_data_(pirate_escort_2)#random#random#random;Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Beacon Spita</color>. Return to Astrox Security Patrol in <color='cyan'>Felishar</color>;4;A medium group of thugs decided to set up camp in the <color='cyan'>Beacon Spita</color> system. <i>Sikin Whipeiba</i>, who has recently been elected as Overseer of <color='cyan'>Beacon Spita</color> by the Financials, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 20 raiders and return to the Astrox Security Patrol station.;15854;6016
MISSION;130;45;870277;SALVAGE#68#20#sector_58.txt#sector_95_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Lins</color> and return with <color='yellow'>68</color> to Star Shepards Hub in <color='cyan'>Temple Gates</color>;3;A local prospector, <i>Jancorib Sihemi</i> of the Trade faction has located a light quantity of special <color='yellow'>Special Junk Part</color> in the <color='cyan'>Lins</color> sector. Head over there and salvage all of the special <color='yellow'>Special Junk Part</color>, and meet <i>Jancorib Sihemi</i> back at Star Shepards Hub station located in the <color='cyan'>Temple Gates</color>.;4667;563
MISSION;131;45;430638;SALVAGE#81#23#sector_61.txt#sector_14_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Metal Fragment</color> in <color='cyan'>Ambervellis Drea</color> and return with <color='yellow'>81</color> to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;5;While collecting some junk in the <color='cyan'>Ambervellis Drea</color> system, <i>Robaz Zenonuh</i> discovered a light haul of <color='yellow'>81</color> <color='yellow'>Special Metal Fragment</color>. Unable to collect the material alone, <i>Robaz Zenonuh</i> has requested that a capable pilot salvage the <color='yellow'>Special Metal Fragment</color> and drop it off at the Imperium Republica  station located in the <color='cyan'>Gate of Alpharis</color>.;11223;1969
MISSION;120;45;940034;CHAT_PILOT#sector_2_station_0.txt#sector_56.txt#Govenor Taan Tipoefie#npc_ship_data_(ATC_Nomad)#10#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Govenor Taan Tipoefie</i></color> in <color='cyan'>Hunu</color> and return to Oro Omniplex Center in <color='cyan'>Merces Academy</color>;5;<i>Sakin Belerosaw</i> has requested that debt be collected from <color='yellow'><i>Govenor Taan Tipoefie</i></color>. After 3 payments to the Commerce faction for transport fines, <color='yellow'><i>Govenor Taan Tipoefie</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Govenor Taan Tipoefie</i></color> was in the vicinity of the <color='cyan'>Hunu</color> system. Have a chat with them, collect the debt, and return to the Oro Omniplex Center in the <color='cyan'>Merces Academy</color> system to deliver the payment.;6954;1000
MISSION;124;45;695525;CHAT_PILOT#sector_2_station_0.txt#sector_3.txt#Captain Mojo Leipaefo#npc_ship_data_(ATC_Lucky)#9#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Captain Mojo Leipaefo</i></color> over an outstanding warrant in <color='cyan'>Starfort Ramos</color> and return to Oro Omniplex Center in <color='cyan'>Merces Academy</color>;3;<i>Eifa Vaklelgo</i> of the Trade faction has sent out a warrent for the arrest of <color='yellow'><i>Captain Mojo Leipaefo</i></color>. Last known sighting of <color='yellow'><i>Captain Mojo Leipaefo</i></color> was in the area of <color='cyan'>Starfort Ramos</color>. Bring them back alive to the Oro Omniplex Center in the <color='cyan'>Merces Academy</color> system to complete this contract.;71280;18758
MISSION;42;45;980715;SCAN_PILOT#sector_78_station_0.txt#sector_16.txt#Major Zanna Wauo#npc_ship_data_(battle_escort_2)#5#null#null#null;Track down and scan <color='yellow'><i>Major Zanna Wauo</i></color> in <color='cyan'>Entropy</color> and return to Tella's in <color='cyan'>Bitcola</color>;4;Financial faction has requested that we verify the whereabouts of a <color='yellow'><i>Major Zanna Wauo</i></color>. After a recent ban order from the high court minister <i>Sevjoh Whocouam</i>, <color='cyan'>Entropy</color> officials are worried that <color='yellow'><i>Major Zanna Wauo</i></color> might cause problems for the local merchants. Scan <color='yellow'><i>Major Zanna Wauo</i></color>'s ship and return to Tella's in <color='cyan'>Bitcola</color> with the scan record.;30264;7656
MISSION;31;45;844173;TRANSPORT#120#123#sector_100_station_0.txt#sector_56_station_0.txt#null#null#null#null;Head to Fellacore Research Center in <color='cyan'>Grace</color>, pick up <color='yellow'>120</color> <color='yellow'>Goldytes</color> for a light shipment to Transporteers in <color='cyan'>Hunu</color>;3;The Trade faction advisor <i>Diebid Foudayi</i> has placed a light shipment transport order to move <color='yellow'>120</color> <color='yellow'>Goldytes</color> from the Fellacore Research Center storage in <color='cyan'>Grace</color>, to the Transporteers in <color='cyan'>Hunu</color>.;15949;4923
MISSION;70;45;784743;ESCORT#sector_78_station_0.txt#sector_66_station_1.txt#Chairman Sawmole Horejalis#npc_ship_data_(transport_battlecruiser_4)#22#null#null#null;Escort <color='yellow'><i>Chairman Sawmole Horejalis</i></color> from Tella's in <color='cyan'>Bitcola</color> to Xellon in <color='cyan'>Ele</color>;3;A wealthy council member from the Trade faction has set up an escort for his oldest son <color='yellow'><i>Chairman Sawmole Horejalis</i></color>. He was recently released from a rehab center for bliss addiction, and <i>Jagbar Galeanqi</i>, his father, would prefer he doesn't travel alone. You can meet up with <color='yellow'><i>Chairman Sawmole Horejalis</i></color> at the Tella's station before heading over to Xellon.;10100;4500
MISSION;85;60;810233;RECOVER#315#2007#sector_64.txt#sector_0_station_1.txt#null#null#null#null;Find and recover a medium <color='yellow'>crate</color> in <color='cyan'>Gemini Shoal</color> for <i>Nostraam Oupea</i>, and bring back to Lammassu Financial in <color='cyan'>Void Starcross</color>;5;<i>Nostraam Oupea</i> has requested a recovery contract for a medium sized shipping crate. After a recent accident in the <color='cyan'>Gemini Shoal</color> sector, <i>Nostraam Oupea</i>'s sister was not able to recover the crate, as the injuries she sustained were quite serious. Recover the crate and deliver the <color='yellow'>Hand Tools</color> to the Lammassu Financial station in the <color='cyan'>Void Starcross</color> sector.;159940;27697
MISSION;22;120;454483;COLLECT#71#300#sector_100_station_0.txt#sector_16_station_0.txt#null#null#null#null;Return to Fellacore Research Center in <color='cyan'>Grace</color> with a light collection of <color='yellow'>71</color> <color='yellow'>Cleaning Chemicals</color>;3;A request has been made by the Overseer of Fellacore Research Center in <color='cyan'>Grace</color> for the acquisition of <color='yellow'>71</color> <color='yellow'>Cleaning Chemicals</color>. <i>Tiyer Yobuesih</i> will reimburse you for the cost of the items, as well as payment for your troubles.;37478;12633
MISSION;131;45;944826;SALVAGE#64#24#sector_79.txt#sector_78_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Electronic Fragment</color> in <color='cyan'>Dragon Sea</color> and return with <color='yellow'>64</color> to Tella's in <color='cyan'>Bitcola</color>;5;While collecting some junk in the <color='cyan'>Dragon Sea</color> system, <i>Belvi Vakadabid</i> discovered a light haul of <color='yellow'>64</color> <color='yellow'>Special Electronic Fragment</color>. Unable to collect the material alone, <i>Belvi Vakadabid</i> has requested that a capable pilot salvage the <color='yellow'>Special Electronic Fragment</color> and drop it off at the Tella's station located in the <color='cyan'>Bitcola</color>.;20178;4923
MISSION;72;45;914445;ESCORT#sector_97_station_0.txt#sector_0_station_5.txt#Mr. Doah Leszobino#npc_ship_data_(pirate_utility_1)#10#null#null#null;A ship in Temple of the Void in <color='cyan'>Valley of Truths</color> needs an escort to Proctors Center in <color='cyan'>Void Starcross</color>;3;After being selected for an academic grant, Dr. <color='yellow'><i>Mr. Doah Leszobino</i></color> has requested an escort to the Proctors Center station in the <color='cyan'>Void Starcross</color> system. <color='yellow'><i>Mr. Doah Leszobino</i></color> has posted his pick-up location as Temple of the Void in <color='cyan'>Valley of Truths</color>. Be sure to protect the doctor at all cost, and under no circumstances are you to abandon him.;22663;4594
MISSION;73;45;759101;ESCORT#sector_61_station_0.txt#sector_0_station_5.txt#Colonel Pastres Arvo#npc_ship_data_(support_escort_2)#22#null#null#null;<color='yellow'><i>Colonel Pastres Arvo</i></color> is waiting at Transporteers Hub in <color='cyan'>Ambervellis Drea</color> and needs an escort to Proctors Center in <color='cyan'>Void Starcross</color>;3;The Trade political party has drafted an escort request for an incoming diplomat named <color='yellow'><i>Colonel Pastres Arvo</i></color>. He is currently awaiting in <color='cyan'>Ambervellis Drea</color>, and is docked at the Transporteers Hub station. Lead <color='yellow'><i>Colonel Pastres Arvo</i></color> to the Proctors Center station in the <color='cyan'>Void Starcross</color> system safely.;42340;10719
MISSION;81;60;329218;RECOVER#2#1511#sector_77.txt#sector_22_station_0.txt#null#null#null#null;Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Ballast Crow</color> sector, and return to Monarch Society in <color='cyan'>Solitudes of Frey</color>;4;<i>Tijoh Arrib</i> has lost track of a shipment crate from his last haul. It has been reported found in <color='cyan'>Ballast Crow</color>. In an effort to save time, <i>Tijoh Arrib</i> has sub-contracted the task of returning the light shipment to Monarch Society in <color='cyan'>Solitudes of Frey</color>. The Financial faction is aware of the situation and has sent a representative to Monarch Society.;18977;3938
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.01;ship_data_(pirate_frigate_1).txt
SHIP;2;1.05;ship_data_(recon_escort_1).txt
SHIP;3;0.99;ship_data_(pirate_cruiser_1).txt
SHIP;4;1.01;ship_data_(battle_frigate_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

