// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Oro Omniplex Center
STATION;type;Recon Sentry
STATION;owner;Hasrastast Belbar
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;oro_omniplex.png
STATION;filename;sector_2_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-9-0-2-7-2-7-1-5-0-2-7-0-4-8-1-0-0-3-4-1-0-0
STATION;interior_seed;3-9-15-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;59304.87
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.07;npc_ship_data_(battle_escort_1).txt
MERC;1;1.05;npc_ship_data_(excavation_escort_1).txt
MERC;1;1.05;npc_ship_data_(excavation_escort_2).txt
MERC;1;1.05;npc_ship_data_(excavation_escort_3).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Stock: (1) Items ;41x1135;45638;91252.30
ITEM;406;21;1.08;54807.17
ITEM;403;16;0.61;54807.17
ITEM;101;195;0.97;54807.17
ITEM;168;201;0.70;20.6258
ITEM;404;2;0.86;1.045222
ITEM;200;216;0.95;1.045222
ITEM;300;17;0.71;79.78639
ITEM;301;24;0.75;79.78639
ITEM;661;3;1.03;79.78639
ITEM;660;10;0.83;79.78639
ITEM;2190;24;0.70;79.78639
ITEM;151;3;0.83;79.78639
ITEM;204;3;1.06;79.78639
ITEM;735;35;1.06;79.78639
ITEM;1001;6;0.62;79.78639
ITEM;1110;17;1.00;79.78639
ITEM;2142;27;1.24;14699.02
ITEM;1003;10;1.12;14699.02
ITEM;1054;15;1.24;14699.02
ITEM;313;22;0.73;14699.02
ITEM;2;268;0.79;14699.02
ITEM;405;28;0.51;14699.02
ITEM;602;2;0.58;14699.02
ITEM;681;44;1.05;14699.02
ITEM;673;45;0.71;14699.02
ITEM;743;49;0.54;14699.02
ITEM;679;21;0.54;14699.02
ITEM;671;10;0.85;14699.02
ITEM;102;177;0.70;14699.02
ITEM;1521;3;1.09;59018.36
ITEM;741;2;1.28;61541.28
ITEM;746;15;0.68;61541.28
ITEM;1511;0;2.50;61541.28
ITEM;1651;29;0.83;61541.28
ITEM;621;7;0.88;61541.28
ITEM;2279;12;1.13;61541.28
ITEM;1014;19;1.04;27798.34
ITEM;1541;21;0.72;27798.34
ITEM;1205;12;1.14;27798.34
ITEM;2162;17;0.93;249584.5
ITEM;2114;60;1.07;249584.5
ITEM;751;32;1.26;60661.16
ITEM;2120;27;1.11;60661.16
ITEM;1402;27;1.15;60661.16
ITEM;1616;15;0.87;60661.16
ITEM;1601;10;1.08;60661.16
ITEM;1501;21;1.07;60661.16
ITEM;1064;1;0.58;60661.16
ITEM;305;9;0.94;60661.16
ITEM;2427;10;0.65;60661.16
ITEM;20;258;0.60;60661.16
ITEM;304;11;0.99;60661.16
ITEM;742;43;1.18;60661.16
ITEM;677;31;0.69;60661.16
ITEM;712;29;1.17;60661.16
ITEM;691;48;1.04;9070.356
ITEM;690;39;0.55;9070.356
ITEM;158;265;1.06;9070.356
ITEM;155;97;0.74;9070.356
ITEM;104;49;0.67;2.822079
ITEM;166;3;0.88;2.822079
ITEM;203;234;0.60;68.56479
ITEM;680;5;0.64;19865.42
ITEM;676;51;0.55;9607.511
ITEM;732;35;0.60;9607.511
ITEM;756;1;0.55;9687.189
ITEM;670;58;1.06;24230.89
ITEM;157;275;0.72;24230.89
ITEM;160;3;0.98;24230.89
ITEM;601;3;0.79;24230.89
ITEM;150;94;0.97;24230.89
ITEM;303;5;1.02;24230.89
ITEM;206;23;1.24;24230.89
ITEM;407;15;1.20;7.081658
ITEM;103;188;0.70;7.081658
ITEM;165;112;0.87;7.081658
ITEM;118;415;1.16;7.081658
ITEM;170;14;0.86;7.081658
ITEM;2362;17;1.05;7.081658
ITEM;1523;0;2.50;7.081658
ITEM;2286;9;0.67;7.081658
ITEM;1513;0;2.50;570085.3
ITEM;2291;6;0.51;570085.3
ITEM;2128;92;1.23;2182029
ITEM;2122;87;0.63;1083394
ITEM;1503;0;2.50;1083394
ITEM;600;3;0.80;6239.562
ITEM;42;117;0.86;6239.562
ITEM;52;39;0.61;6239.562
ITEM;1524;0;2.50;6239.562
ITEM;1514;12;1.08;6239.562
ITEM;2111;11;1.14;7095829
ITEM;62;35;0.66;7095829
ITEM;2129;11;1.24;7095829
ITEM;2141;26;1.24;7014511
ITEM;2123;90;0.58;7014511
ITEM;1504;0;2.50;1088345
ITEM;2212;10;0.56;1088345
ITEM;77;21;0.76;810.7527
ITEM;2447;6;0.68;810.7527
ITEM;3;170;0.74;810.7527
ITEM;726;29;0.80;810.7527
ITEM;207;160;0.57;810.7527
ITEM;164;71;0.99;17.40361
ITEM;114;60;0.89;17.40361
ITEM;21;85;0.91;35.82678
ITEM;113;348;0.79;35.82678
ITEM;693;51;1.03;35.82678
ITEM;723;43;0.61;35.82678
ITEM;159;3;0.97;35.82678
ITEM;710;13;1.19;35.82678
ITEM;156;37;1.04;35.82678
ITEM;642;1;0.72;35.82678
ITEM;640;13;0.66;35.82678
ITEM;162;249;0.75;35.82678
ITEM;202;153;0.54;35.82678
ITEM;749;43;0.73;35.82678
ITEM;734;47;0.51;35.82678
ITEM;2453;21;1.09;35.82678
ITEM;22;11;0.93;61.94156
ITEM;662;10;1.15;61.94156
ITEM;100;302;0.65;1.11944
ITEM;408;14;1.00;1.11944
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;1;0.89
SKILL;11;1.16
SKILL;21;1.99
SKILL;31;1.52
SKILL;41;0.89
SKILL;58;1.60
SKILL;71;1.40
SKILL;100;1.21
SKILL;210;1.29
SKILL;233;1.42
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;52;30;946906;SCAN_STRUCTURE#sector_57_station_0.txt#sector_61.txt#Recon Center#structure_recon_1.txt#1#null#null#null;Track and scan the target <color='yellow'>Recon Center</color> structure in <color='cyan'>Ambervellis Drea</color> and return to OmniTrust in <color='cyan'>Ponze</color>;14;The Extractors faction has commissioned scientific survey of a strange vibration taking place at <color='yellow'>Recon Center</color> in the <color='cyan'>Ambervellis Drea</color> sector. Head over to <color='cyan'>Ambervellis Drea</color> and scan the <color='yellow'>Recon Center</color> structure. Once complete, return to the OmniTrust station located in the <color='cyan'>Ponze</color> with the scan data.;23912;10719
MISSION;142;90;463029;REFINE#4#26#sector_0_station_4.txt#sector_1_station_0.txt#null#null#null#null;Refine <color='yellow'>4</color> <color='yellow'>Weapons Components</color> at Starbase Corporate Center station refinery in <color='cyan'>Void Starcross</color>;14;<i>Mino Jagfieron</i> from Quantex Station has commissioned a refinery run . He has required a small batch of <color='yellow'>4</color> <color='yellow'>Weapons Components</color> to be processed. Set your GPS autopilot to <color='cyan'>Void Starcross</color> and refine these <color='yellow'>Weapons Components</color> to Starbase Corporate Center refinery immediately.;22970;6891
MISSION;153;120;570535;FABRICATE#9#2352#sector_58_station_0.txt#sector_100_station_0.txt#null#null#null#null;Produce a medium shipment of <color='yellow'>9</color> <color='yellow'>Metal Gears</color> in <color='cyan'>Lins</color> at the CoraVault station fabricator;13;Fellacore Research Center Station has contacted our client informing them of some medium cargo that remains missing by a former employee, <i>Qewen Tajvedzan</i> of the Contractor Faction. <color='yellow'>9</color> <color='yellow'>Metal Gears</color> production run in <color='cyan'>Lins</color>, at the CoraVault fabricator.;60964;28137
MISSION;21;120;513556;COLLECT#47#118#sector_0_station_5.txt#sector_0_station_4.txt#null#null#null#null;Gather a collection of <color='yellow'>47</color> <color='yellow'>Plastix Strands</color> and dock the light shipment at Proctors Center in <color='cyan'>Void Starcross</color>;13;<i>Qesa Tafars</i> has requested an small collection of <color='yellow'>47</color> <color='yellow'>Plastix Strands</color> in preparation for an upcoming exploration run. Backed by the Contractors after these items have been collected, return to the Proctors Center Station located in the <color='cyan'>Void Starcross</color> Sector.;13958;1203
MISSION;53;30;459852;SCAN_STRUCTURE#sector_100_station_0.txt#sector_78.txt#Corporate Dock#structure_dock_1.txt#1#null#null#null;Scan the <color='yellow'>Corporate Dock</color> structure in <color='cyan'>Bitcola</color> and return to Fellacore Research Center in <color='cyan'>Grace</color>;12;Space rats have infested the <color='yellow'>Corporate Dock</color> structure over in <color='cyan'>Bitcola</color>. <i>Madaj Nuhbruco</i> has been trying to get help with the infestation, but until the structure is scanned, Labor union members are not going to come. Head back to the Fellacore Research Center station located in the <color='cyan'>Grace</color> with a scan report.;54270;16079
MISSION;13;30;661391;DELIVERY#6#1481#sector_61_station_0.txt#sector_35_station_0.txt#null#null#null#null;Take medium shipment of <color='yellow'>6</color> <color='yellow'>Anti-Laser Pods</color> and deliver to <color='cyan'>Ambervellis Drea</color> and dock at Transporteers Hub Station;13;Astrox Security Patrol Station has contacted our client informing them of some medium cargo that remains unclaimed by a former employee, <i>Binoxen Sivyo</i> of the Contractor Faction. <color='yellow'>6</color> <color='yellow'>Anti-Laser Pods</color> need to be delivered to <color='cyan'>Ambervellis Drea</color>, Transporteers Hub Station.;41804;13399
MISSION;50;30;857309;SCAN_STRUCTURE#sector_56_station_0.txt#sector_35.txt#Shlick Diamond's#structure_raider_hideout.txt#1#null#null#null;Locate and scan the <color='yellow'>Shlick Diamond's</color> structure in <color='cyan'>Felishar</color> and return to Transporteers in <color='cyan'>Hunu</color>;12;A recent construction permit was delivered by the Labor faction. They are demanding a survey of a new structure that has been constructed by <i>Ridae Couvoyou</i>. Scan the <color='yellow'>Shlick Diamond's</color> structure and return back to the Transporteers located in the <color='cyan'>Hunu</color> with the survey data. Once the data is verified, payment will be rendered.;7800;2500
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.04;ship_data_(support_escort_1).txt
SHIP;2;0.93;ship_data_(transport_escort_1).txt
SHIP;3;0.93;ship_data_(excavation_escort_1).txt
SHIP;4;0.93;ship_data_(excavation_escort_2).txt
SHIP;5;0.93;ship_data_(excavation_escort_3).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

