// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomate University
STATION;type;Academic University
STATION;owner;Telyoupea Akpi
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;10
STATION;icon;biomate.png
STATION;filename;sector_0_station_0.txt
STATION;max_hp;25000000
STATION;dockfee;0
STATION;lease;30
STATION;seed;4-8-1-5-5-2-9-1-2-6-3-1-1-5-4-1-2-1-4-4-0-4-0
STATION;interior_seed;0-0-15-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;81185.49
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(recon_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(recon_escort_1).txt
MERC;9;1.93;npc_ship_data_(recon_utility_1).txt
MERC;12;1.23;npc_ship_data_(recon_utility_2).txt
MERC;15;1.47;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (2) Items ;408x820,408x616;19221.00;89619.44
ITEM;24;4438;1.13;202.58
ITEM;11;4585;0.65;95.35
ITEM;2419;57;0.76;20910.88
ITEM;2037;880;1.02;2783.60
ITEM;2035;733;0.67;1530.02
ITEM;643;21;1.06;40706.03
ITEM;1476;23;1.04;79877.34
ITEM;2188;70;1.16;6943543.00
ITEM;7;5040;0.77;112.30
ITEM;112;1317;1.08;36.78
ITEM;628;47;0.53;341758.80
ITEM;2003;685;0.99;341.97
ITEM;108;525;1.08;14.77
ITEM;2415;10;1.00;18648.39
ITEM;661;44;0.76;9616.63
ITEM;666;5;0.96;198050.40
ITEM;28;3605;0.90;1355.09
ITEM;2031;574;0.91;1405.88
ITEM;332;751;0.97;2770.81
ITEM;301;932;0.72;18.85
ITEM;1480;68;0.92;1181289.00
ITEM;300;756;0.78;80.14
ITEM;404;942;1.03;1.16
ITEM;325;839;1.01;334.27
ITEM;603;27;0.94;36204.11
ITEM;605;48;1.03;121214.60
ITEM;110;186;1.08;17.74
ITEM;606;5;1.04;214135.20
ITEM;623;9;1.09;41831.52
ITEM;101;1654;1.18;2.17
ITEM;403;749;0.95;1.07
ITEM;406;190;1.05;1.48
ITEM;353;26;1.08;4828.71
ITEM;109;565;0.63;2.93
ITEM;116;1348;1.09;64.13
ITEM;729;102;0.74;11475.47
ITEM;311;286;1.01;132.18
ITEM;668;12;0.85;538797.90
ITEM;664;50;1.02;68608.39
ITEM;115;1379;0.56;16.22
ITEM;8;7037;0.87;208.60
ITEM;2056;1014;0.58;4120.55
ITEM;400;754;0.70;1160.05
ITEM;2326;61;0.55;3450188.00
ITEM;1785;75;0.51;267515.60
ITEM;2131;595;0.70;30451.31
ITEM;2131;-99;0.72;31291.31
ITEM;1059;77;0.60;5250.26
ITEM;75;1895;0.66;128.44
ITEM;736;5;0.30;81257.81
ITEM;1550;63;1.02;26125.78
ITEM;1600;81;1.02;18810.56
ITEM;2119;265;0.87;31326.09
ITEM;1009;32;0.66;5754.26
ITEM;2295;82;0.55;172509.40
ITEM;1702;33;1.05;26875.78
ITEM;1161;85;0.82;6506.74
ITEM;2125;496;0.54;21753.70
ITEM;60;2030;1.09;125.44
ITEM;2298;54;0.89;274509.40
ITEM;1712;15;1.00;25625.78
ITEM;1711;67;1.05;26875.78
ITEM;1171;96;1.01;8694.26
ITEM;312;1586;0.82;59.68
ITEM;620;51;0.79;5705.22
ITEM;1650;66;0.70;18125.78
ITEM;1770;9;0.89;301990.50
ITEM;2411;46;0.99;19083.60
ITEM;2029;678;0.70;1363.12
ITEM;70;2177;0.89;114.38
ITEM;1720;23;0.80;20625.78
ITEM;50;1509;0.87;33.56
ITEM;40;2002;1.12;25.76
ITEM;169;649;0.79;57.66
ITEM;2055;699;0.94;5974.84
ITEM;649;32;0.84;932121.30
ITEM;351;1663;0.55;3186.20
ITEM;2028;140;0.97;1700.69
ITEM;2193;63;0.72;279386.70
ITEM;302;1603;1.00;46.68
ITEM;111;810;0.78;18.60
ITEM;163;243;1.03;42.13
ITEM;2001;537;1.02;290.98
ITEM;2025;1104;0.53;712.73
ITEM;629;17;0.83;921345.80
ITEM;310;590;1.00;140.04
ITEM;2435;31;1.02;53472.16
ITEM;667;10;0.75;272699.40
ITEM;2446;61;0.71;635067.00
ITEM;76;85;1.00;432.44
ITEM;737;5;0.33;199705.10
ITEM;2260;78;1.08;954747.10
ITEM;2121;50;0.99;435194.70
ITEM;641;24;1.03;12924.13
ITEM;2115;193;1.05;553103.60
ITEM;2163;3;0.60;535964.30
ITEM;2127;83;0.72;351375.40
ITEM;1067;30;0.51;50466.82
ITEM;2337;55;0.70;43501.88
ITEM;61;2647;1.03;267.06
ITEM;1173;25;1.00;105475.70
ITEM;622;35;0.67;14900.08
ITEM;1512;18;1.09;98122.75
ITEM;1572;78;0.55;59803.25
ITEM;1642;52;0.98;100503.10
ITEM;1776;96;1.01;561560.30
ITEM;1771;31;0.67;401420.90
ITEM;2331;91;0.91;37401.25
ITEM;1;6089;0.60;4.38
ITEM;2000;52;0.90;17.82
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;1;1.51
SKILL;11;1.85
SKILL;21;1.22
SKILL;31;0.97
SKILL;91;1.19
SKILL;41;0.95
SKILL;215;1.25
SKILL;216;1.25
SKILL;217;1.25
SKILL;218;1.25
SKILL;219;1.25
SKILL;235;1.25
SKILL;236;1.25
SKILL;237;1.25
SKILL;52;1.15
SKILL;58;0.98
SKILL;100;0.81
SKILL;65;0.80
SKILL;64;0.83
SKILL;210;2.25
SKILL;240;1.25
SKILL;241;1.25
SKILL;242;1.25
SKILL;243;1.25
SKILL;244;1.25
SKILL;245;1.25
SKILL;246;1.25
SKILL;247;1.25
SKILL;248;1.25
SKILL;249;1.25
SKILL;250;1.25
SKILL;238;1.13
SKILL;239;1.33
SKILL;251;1.78
SKILL;252;1.23
SKILL;253;1.13
SKILL;61;1.25
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;144;90;552331;REFINE#16#7#sector_0_station_4.txt#sector_63_station_0.txt#null#null#null#null;Process medium crate of <color='yellow'>16</color> <color='yellow'>Dynex Ores</color> in <color='cyan'>Void Starcross</color> at the Starbase Corporate Center refinery;1;Science Manufacturing facilities have requested a processing of <color='yellow'>16</color> <color='yellow'>Dynex Ores</color>. <i>Sabin Yanpeayi</i> will meet you at the Starbase Corporate Center Station refinery in <color='cyan'>Void Starcross</color> to sign for the processed minerals.;122396;35171
MISSION;130;45;682194;SALVAGE#44#23#sector_60.txt#sector_36_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Metal Fragment</color> in <color='cyan'>Veloxi</color> and return with <color='yellow'>44</color> to Blargg's in <color='cyan'>Beacon Spita</color>;1;A local prospector, <i>Nuhbor Coogillafo</i> of the Science faction has located a light quantity of special <color='yellow'>Special Metal Fragment</color> in the <color='cyan'>Veloxi</color> sector. Head over there and salvage all of the special <color='yellow'>Special Metal Fragment</color>, and meet <i>Nuhbor Coogillafo</i> back at Blargg's station located in the <color='cyan'>Beacon Spita</color>.;11255;2250
MISSION;151;120;632936;FABRICATE#7#2439#sector_78_station_0.txt#sector_56_station_0.txt#null#null#null#null;Produce a light container of <color='yellow'>7</color> <color='yellow'>Micro Computers</color> at the Tella's fabricator in <color='cyan'>Bitcola</color>;0;The Alpha Faction has commissioned a production liaison, <i>Jidhore Telqa</i> at Transporteers. After an audit, <color='yellow'>7</color> items of <color='yellow'>Micro Computers</color> were deemed required. Head on over to <color='cyan'>Bitcola</color> and manufacture these <color='yellow'>Micro Computers</color> at Tella's.;25113;6125
MISSION;55;30;152158;SCAN_STRUCTURE#sector_95_station_1.txt#sector_15.txt#Industrial Machine#structure_machine_1.txt#1#null#null#null;In <color='cyan'>Jermicus</color>, Scan the <color='yellow'>Industrial Machine</color> structure and return to Acrondia Hub in <color='cyan'>Temple Gates</color>;1;The Science building council has recommended that a survey scan is required for the old <color='yellow'>Industrial Machine</color> structure located in <color='cyan'>Jermicus</color>. <i>Toxe Corastero</i> has been appointed to oversee the survey. Once the scan has been completed, return to the Acrondia Hub station back in <color='cyan'>Temple Gates</color> with the scan report.;154184;24620
MISSION;20;120;531956;COLLECT#3#1002#sector_16_station_0.txt#sector_17_station_0.txt#null#null#null#null;Collect a light shipment of <color='yellow'>Generic Light Turrets</color> and return to Rendo Labs in <color='cyan'>Entropy</color>;1;The Science Faction's fabrication representative <i>Wheabun Veleroves</i> is running a bit short on some items needed for an upcoming production run at Rendo Labs Station in <color='cyan'>Entropy</color>. Perhaps you can collect <color='yellow'>3</color> <color='yellow'>Generic Light Turrets</color> and bring them by the fabricator at Rendo Labs.;11275;2750
MISSION;63;45;411575;HARVEST#140#5#sector_36.txt#sector_16_station_0.txt#null#null#null#null;Extract special <color='yellow'>Special Torim Ore</color> in <color='cyan'>Beacon Spita</color> and return to Rendo Labs in <color='cyan'>Entropy</color> with minimum of <color='yellow'>140</color>;0;The Alpha faction has reported that a special medium load of <color='yellow'>Special Torim Ore</color> has been scanned in the <color='cyan'>Beacon Spita</color> system. <i>Bruars Madadadie</i> is credited with the find, but His claim is currently invalid. Hurry up and harvest the <color='yellow'>Special Torim Ore</color> and return to Rendo Labs, in the <color='cyan'>Entropy</color>.;56641;9044
MISSION;133;45;640560;SALVAGE#182#23#sector_21.txt#sector_17_station_0.txt#null#null#null#null;Dismantle <color='yellow'>Special Metal Fragment</color> in <color='cyan'>Stellar Keep</color> and return to Holosynth Industries in <color='cyan'>Rats Of Mortalis</color> with minimum of <color='yellow'>182</color>;0;The Alpha faction has reported that a special medium load of <color='yellow'>Special Metal Fragment</color> has been scanned in the <color='cyan'>Stellar Keep</color> system. <i>Foewhea Vakgot</i> is credited with the find, but His claim is currently invalid. Hurry up and salvage the <color='yellow'>Special Metal Fragment</color> and return to Holosynth Industries, in the <color='cyan'>Rats Of Mortalis</color>.;52457;15074
MISSION;10;30;890307;DELIVERY#1#1114#sector_65_station_0.txt#sector_60_station_0.txt#null#null#null#null;Dock at CoraVault Hub in <color='cyan'>Pindoris</color> to deliver a light shipment of <color='yellow'>1</color> <color='yellow'>Premium Heavy Laser</color>;0;<i>Sawser Beckda</i> runs a Alpha shipping company at Biomart. After having some issues with a transport ship, <color='yellow'>1</color> items of <color='yellow'>Premium Heavy Laser</color> were left behind. Head on over to <color='cyan'>Pindoris</color> and deliver these <color='yellow'>Premium Heavy Laser</color> to CoraVault Hub.;8700;2500
MISSION;22;120;479219;COLLECT#4#1591#sector_69_station_1.txt#sector_100_station_0.txt#null#null#null#null;Return to Oak Industries in <color='cyan'>Dorando Corridor</color> with a light collection of <color='yellow'>4</color> <color='yellow'>Improved Turn Thrusts</color>;0;A request has been made by the Overseer of Oak Industries in <color='cyan'>Dorando Corridor</color> for the acquisition of <color='yellow'>4</color> <color='yellow'>Improved Turn Thrusts</color>. <i>Tafxon Miaj</i> will reimburse you for the cost of the items, as well as payment for your troubles.;59080;21055
MISSION;113;60;352429;KILL_RAIDERS#sector_5_station_0.txt#sector_61.txt#1#30#npc_ship_data_(ATC_Vulture_MK2)#random#random#random;Exterminate <color='yellow'>1 Raider</color> Skilled Raider(s) in <color='cyan'>Ambervellis Drea</color> and dock at Mazu Starship in <color='cyan'>Enoch Estates</color>;0;Reports of a small skilled gang in the <color='cyan'>Ambervellis Drea</color> system have locals concerned, and Alpha faction members are worried about the increase in criminal activity around their local production facilities. Eliminate <color='yellow'>1 Raider</color> raiders in total, and return to Mazu Starship station in <color='cyan'>Enoch Estates</color> when complete.;93228;14738
MISSION;14;30;273479;DELIVERY#7#1616#sector_56_station_1.txt#sector_22_station_0.txt#null#null#null#null;Move medium crate of <color='yellow'>7</color> <color='yellow'>Improved Scan Boosters</color> to <color='cyan'>Hunu</color> and deliver to ValueStar;1;Science Manufacturing facilities have requested a medium shipment of <color='yellow'>7</color> <color='yellow'>Improved Scan Boosters</color>. <i>Toemi Corleajan</i> will meet you at the ValueStar Station in <color='cyan'>Hunu</color> to sign for the delivery.;89101;28137
MISSION;146;90;797113;REFINE#51#22#sector_2_station_0.txt#sector_0_station_5.txt#null#null#null#null;Refine a heavy container of <color='yellow'>51</color> <color='yellow'>Undamaged Parts</color> at the Oro Omniplex Center refinery in the <color='cyan'>Merces Academy</color> system.;0;Dock manager <i>Geego Mesjaggore</i> from the Proctors Center Corporation needs a heavy transport refined. <color='yellow'>51</color> units of <color='yellow'>Undamaged Parts</color> need moved on over to <color='cyan'>Merces Academy</color> and refined at the Oro Omniplex Center Station refinery.;366218;86169
MISSION;12;30;221042;DELIVERY#47#2038#sector_23_station_0.txt#sector_63_station_0.txt#null#null#null#null;Light delivery of <color='yellow'>Fiber Optic Interfaces</color> to PharmaLife Station in <color='cyan'>Carioullis</color>;0;<i>Zaevaj Opjoh</i> from Lammassu Hub Station has commissioned a delivery . He has required a small transport delivery of <color='yellow'>47</color> <color='yellow'>Fiber Optic Interfaces</color>. Set your GPS autopilot to <color='cyan'>Carioullis</color> and deliver these <color='yellow'>Fiber Optic Interfaces</color> to PharmaLife immediately.;35219;15313
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.0;ship_data_(recon_shuttle_1).txt
SHIP;1;1.0;ship_data_(recon_escort_1).txt
SHIP;1;1.0;ship_data_(recon_escort_2).txt
SHIP;4;1.0;ship_data_(recon_utility_1).txt
SHIP;4;1.0;ship_data_(recon_utility_2).txt
SHIP;4;1.0;ship_data_(recon_frigate_1).txt
</HANGAR>
// OFFICES;office_name;npc_name;faction_id;faction_req;level;img;scripting_file;scripting_id;
<OFFICE>
OFFICE;(Tutorial Office) Camera Basics;Ratamaq Guru;1;0.0;26;station.png;male_2.png;accessory_18.png;tutorial_camera_basics.txt;2
OFFICE;(Tutorial Office) Navigation Basics;Arji Darn;1;0.0;26;station.png;male_3.png;accessory_18.png;tutorial_navigation_basics.txt;2
OFFICE;(Tutorial Office) Life Support Basics;Carter Burke;1;0.0;26;station.png;male_4.png;accessory_19.png;tutorial_life_support.txt;2
OFFICE;(Tutorial Office) Introduction;Jessa Din;1;0.0;26;station.png;female_2.png;accessory_22.png;tutorial_intro.txt;2
OFFICE;(Tutorial Office) Basic Combat;Fredric Din;1;0.0;43;station.png;male_1.png;accessory_18.png;tutorial_combat_basics.txt;10
OFFICE;(Tutorial Office) Basic Drones;Daniel Traek;1;0.0;43;station.png;male_4.png;accessory_17.png;tutorial_drones.txt;2
OFFICE;(Tutorial Office) Basic Fleet Command;Jacob Salis;1;0.0;43;station.png;male_5.png;accessory_16.png;tutorial_mercs.txt;2
OFFICE;(Tutorial Office) Wormhole Basics;Darius Ghent;1;0.0;43;station.png;male_6.png;accessory_12.png;tutorial_wormholes.txt;2
</OFFICE>
// STORAGE;item_id;Qty;0
<STORAGE>

