// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Xellon
STATION;type;Market Center
STATION;owner;Dornoa Xaqi
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;2
STATION;icon;xellon.png
STATION;filename;sector_66_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-0-5-1-0-2-0-1-7-1-7-0
STATION;interior_seed;5-2-45-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;82341.36
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;0.83;npc_ship_data_(support_escort_1).txt
MERC;5;0.75;npc_ship_data_(support_frigate_1).txt
MERC;3;1.30;npc_ship_data_(support_escort_1).txt
MERC;6;1.82;npc_ship_data_(recon_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (1) Items ;75x1110;430244.00;123792.80
ITEM;2427;19;0.61;24288.99
ITEM;305;18;0.64;159.47
ITEM;1501;16;0.67;29981.44
ITEM;1611;4;1.16;40930.69
ITEM;1616;5;0.57;23326.06
ITEM;2150;12;1.24;415195.10
ITEM;2126;47;0.74;105622.90
ITEM;1541;3;1.22;58136.81
ITEM;2279;14;0.76;482306.30
ITEM;1631;8;0.98;51192.19
ITEM;621;9;1.11;14134.59
ITEM;1511;3;1.10;50329.13
ITEM;1751;7;1.24;102707.50
ITEM;746;9;1.02;47872.97
ITEM;102;123;0.54;1.82
ITEM;2426;2;0.93;32887.68
ITEM;671;25;0.25;18512.16
ITEM;759;19;0.68;119434.20
ITEM;675;25;0.25;15867.56
ITEM;673;46;0.74;56436.75
ITEM;681;19;0.58;50531.34
ITEM;405;11;1.19;1.36
ITEM;2;107;1.16;13.90
ITEM;2130;83;0.52;6766.13
ITEM;1054;2;1.00;2505.23
ITEM;1400;4;0.74;3135.38
ITEM;2112;97;0.51;6646.13
ITEM;1003;18;0.99;2481.23
ITEM;1200;5;0.80;3375.38
ITEM;1052;11;0.63;1482.46
ITEM;1170;13;0.51;1329.23
ITEM;735;23;0.52;4228828.00
ITEM;660;3;0.55;4156.91
ITEM;661;2;1.13;14379.59
ITEM;301;16;1.11;29.19
ITEM;300;18;0.77;81.02
ITEM;404;4;0.86;0.99
ITEM;168;162;1.07;28.89
ITEM;101;40;0.58;1.12
ITEM;403;19;0.94;1.08
ITEM;406;7;1.20;1.37
ITEM;727;29;0.90;14157.66
ITEM;2200;16;1.12;1862150.00
ITEM;2445;14;0.84;14141.50
ITEM;1590;11;0.56;12076.88
ITEM;2131;17;1.15;50141.44
ITEM;1059;8;1.10;9608.29
ITEM;75;0;1.61;388.77
ITEM;1610;17;0.56;10265.34
ITEM;1600;7;0.96;18069.19
ITEM;1401;16;0.88;12933.81
ITEM;1055;18;1.21;8776.91
ITEM;1009;11;0.54;4904.29
ITEM;1101;13;0.90;6606.91
ITEM;2125;86;1.11;44422.98
ITEM;1057;17;1.21;9654.60
ITEM;60;0;2.50;357.73
ITEM;1540;16;0.53;13198.41
ITEM;1008;12;1.11;8076.91
ITEM;1171;1;0.84;7424.29
ITEM;1630;6;0.96;25096.09
ITEM;620;4;0.87;6396.91
ITEM;1580;11;0.78;23067.63
ITEM;1570;13;0.61;16999.94
ITEM;2310;18;0.69;3258592.00
ITEM;2329;9;0.58;9357.66
ITEM;1520;7;0.99;20676.88
ITEM;50;0;1.47;71.19
ITEM;40;0;1.44;41.87
ITEM;169;124;0.61;46.25
ITEM;167;192;0.65;44.62
ITEM;153;107;1.25;18.94
ITEM;2436;12;0.91;53687.10
ITEM;302;10;1.00;47.54
ITEM;163;169;1.08;44.88
ITEM;2435;6;0.62;33967.56
ITEM;2340;19;0.50;40788.28
ITEM;76;0;1.47;800.91
ITEM;2121;58;0.52;241748.00
ITEM;641;2;1.17;14869.59
ITEM;61;0;1.47;480.55
ITEM;2334;6;0.74;39192.19
ITEM;51;0;1.47;160.19
ITEM;41;0;1.58;103.08
ITEM;1;192;0.99;7.24
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;73;1.38
SKILL;17;0.89
SKILL;76;0.46
SKILL;232;0.70
SKILL;65;1.23
SKILL;26;1.78
SKILL;73;0.52
SKILL;37;1.14
SKILL;62;1.33
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;111;60;368206;KILL_RAIDERS#sector_0_station_0.txt#sector_59.txt#1#20#npc_ship_data_(recon_escort_raider)#random#random#random;Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Coralor</color>. Return to Biomate University in <color='cyan'>Void Starcross</color>;3;A medium group of thugs decided to set up camp in the <color='cyan'>Coralor</color> system. <i>Rinostra Yerpea</i>, who has recently been elected as Overseer of <color='cyan'>Coralor</color> by the Trades, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 20 raiders and return to the Biomate University station.;29066;9626
MISSION;141;90;915709;REFINE#5#8#sector_61_station_0.txt#sector_66_station_1.txt#null#null#null#null;Refine a light container of <color='yellow'>5</color> <color='yellow'>Belasite Ores</color> at the Transporteers Hub station in <color='cyan'>Ambervellis Drea</color>;4;The Financial Faction has commissioned a refinery liaison, <i>Dalewhi Arrobor</i> at Xellon. After an audit, <color='yellow'>5</color> items of <color='yellow'>Belasite Ores</color> were left unused. Head on over to <color='cyan'>Ambervellis Drea</color> and refine these <color='yellow'>Belasite Ores</color> at the Transporteers Hub refinery.;20738;5250
MISSION;122;45;745030;CHAT_PILOT#sector_18_station_0.txt#sector_23.txt#Commander Bemes Bazfouwhea#npc_ship_data_(recon_carrier_1)#24#missions_debt_collection.txt#0#null;Collect a payment from <color='yellow'><i>Commander Bemes Bazfouwhea</i></color> in <color='cyan'>Carioullis</color> and return to Dreamstar in <color='cyan'>Gendaria</color>;5;<i>Mosada Masttoate</i> has requested that debt be collected from <color='yellow'><i>Commander Bemes Bazfouwhea</i></color>. After 3 payments to the Commerce faction for transport fines, <color='yellow'><i>Commander Bemes Bazfouwhea</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Commander Bemes Bazfouwhea</i></color> was in the vicinity of the <color='cyan'>Carioullis</color> system. Have a chat with them, collect the debt, and return to the Dreamstar in the <color='cyan'>Gendaria</color> system to deliver the payment.;33381;15313
MISSION;133;45;795567;SALVAGE#135#20#sector_96.txt#sector_95_station_0.txt#null#null#null#null;Dismantle <color='yellow'>Special Junk Part</color> in <color='cyan'>Arch of Mori</color> and return to Star Shepards Hub in <color='cyan'>Temple Gates</color> with minimum of <color='yellow'>135</color>;5;The Commerce faction has reported that a special medium load of <color='yellow'>Special Junk Part</color> has been scanned in the <color='cyan'>Arch of Mori</color> system. <i>Gillase Keewe</i> is credited with the find, but His claim is currently invalid. Hurry up and salvage the <color='yellow'>Special Junk Part</color> and return to Star Shepards Hub, in the <color='cyan'>Temple Gates</color>.;62707;27133
MISSION;136;45;295577;SALVAGE#319#20#sector_0.txt#sector_14_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color>, minimum <color='yellow'>319</color>, in <color='cyan'>Void Starcross</color> and return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;4;There is still a heavy haul of <color='yellow'>Special Junk Part</color> that has yet to be claimed in the <color='cyan'>Void Starcross</color> system. This is an open contract, and all pilots may apply. Once the <color='yellow'>319</color> <color='yellow'>Special Junk Part</color> has been salvaged, report back to Imperium Republica  station, which can be found in the <color='cyan'>Gate of Alpharis</color> sector.;303747;113097
MISSION;122;45;652483;CHAT_PILOT#sector_14_station_0.txt#sector_13.txt#Major Dacie Goco#npc_ship_data_(battle_escort_2)#15#missions_debt_collection.txt#0#null;Collect a payment from <color='yellow'><i>Major Dacie Goco</i></color> in <color='cyan'>Jala</color> and return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;5;<i>Portfei Visdee</i> has requested that debt be collected from <color='yellow'><i>Major Dacie Goco</i></color>. After 3 payments to the Commerce faction for transport fines, <color='yellow'><i>Major Dacie Goco</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Major Dacie Goco</i></color> was in the vicinity of the <color='cyan'>Jala</color> system. Have a chat with them, collect the debt, and return to the Imperium Republica  in the <color='cyan'>Gate of Alpharis</color> system to deliver the payment.;38857;13781
MISSION;146;90;216634;REFINE#246#2#sector_0_station_3.txt#sector_3_station_0.txt#null#null#null#null;Refine a heavy container of <color='yellow'>246</color> <color='yellow'>Gradeon Ores</color> at the StarShepards Headquarters refinery in the <color='cyan'>Void Starcross</color> system.;3;Dock manager <i>Sevoa Sedzeno</i> from the Daemon Ammunitions Corporation needs a heavy transport refined. <color='yellow'>246</color> units of <color='yellow'>Gradeon Ores</color> need moved on over to <color='cyan'>Void Starcross</color> and refined at the StarShepards Headquarters Station refinery.;297283;43085
MISSION;136;45;162426;SALVAGE#382#20#sector_96.txt#sector_65_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color>, minimum <color='yellow'>382</color>, in <color='cyan'>Arch of Mori</color> and return to CoraVault Hub in <color='cyan'>Pindoris</color>;3;There is still a heavy haul of <color='yellow'>Special Junk Part</color> that has yet to be claimed in the <color='cyan'>Arch of Mori</color> system. This is an open contract, and all pilots may apply. Once the <color='yellow'>382</color> <color='yellow'>Special Junk Part</color> has been salvaged, report back to CoraVault Hub station, which can be found in the <color='cyan'>Pindoris</color> sector.;409994;145411
MISSION;84;60;612628;RECOVER#1#1164#sector_59.txt#sector_56_station_0.txt#null#null#null#null;Recover a medium shipment <color='yellow'>crate</color> in <color='cyan'>Coralor</color> and bring back to Transporteers in <color='cyan'>Hunu</color>;3;In the <color='cyan'>Coralor</color> sector, a medium shipment of <color='yellow'>Premium Plasma Cannon</color> have been reported to the local Trade authorities as derelict. <i>Zilsti Fevehea</i> has filed a claim on the crate, and has requested a recovery contract for <color='yellow'>1</color> <color='yellow'>Premium Plasma Cannon</color> to be delivered Transporteers station in <color='cyan'>Hunu</color>.;104460;42206
MISSION;143;90;301389;REFINE#54#4#sector_33_station_0.txt#sector_13_station_0.txt#null#null#null#null;Refine medium shipment of <color='yellow'>54</color> <color='yellow'>Lokken Ores</color> in <color='cyan'>Void Spooflarnia</color> at the Kinetics Manufacturing station refinery;4;Gemini Mining Station has contacted our client informing them of some medium cargo that remains unclaimed by former employees, <i>Fafer Tajrisfei</i> of the Financial Faction. <color='yellow'>54</color> <color='yellow'>Lokken Ores</color> need to be refined in <color='cyan'>Void Spooflarnia</color>, at the Kinetics Manufacturing Station refinery.;104941;36176
MISSION;121;45;571748;CHAT_PILOT#sector_97_station_0.txt#sector_96.txt#Commander Diebue Tihasrast#npc_ship_data_(ATC_Badger)#21#missions_debt_collection.txt#0#null;Chat with <color='yellow'><i>Commander Diebue Tihasrast</i></color> about his debt in <color='cyan'>Arch of Mori</color> and return to Temple of the Void in <color='cyan'>Valley of Truths</color>;5;<i>Ilsan Foudeshin</i> has requested that debt be collected from <color='yellow'><i>Commander Diebue Tihasrast</i></color>. After 3 payments to the Commerce faction for transport fines, <color='yellow'><i>Commander Diebue Tihasrast</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Commander Diebue Tihasrast</i></color> was in the vicinity of the <color='cyan'>Arch of Mori</color> system. Have a chat with them, collect the debt, and return to the Temple of the Void in the <color='cyan'>Valley of Truths</color> system to deliver the payment.;22845;7875
MISSION;26;120;555299;COLLECT#3#1643#sector_62_station_0.txt#sector_0_station_3.txt#null#null#null#null;Search and acquire <color='yellow'>3</color> <color='yellow'>Premium Energy Armors</color> for a heavy shipment and bring them to Valuestar Hub in <color='cyan'>Jelumus</color>;3;High demand has forced the Market Liaison <i>Qoam Zetajalis</i> in the <color='cyan'>Jelumus</color> System has put out an acquisition request for a heavy shipment of <color='yellow'>3</color> <color='yellow'>Premium Energy Armors</color>. This is just one of many requests to facilitate the high demand for <color='yellow'>Premium Energy Armors</color> in the Trade region.;343598;98735
MISSION;54;30;656807;SCAN_STRUCTURE#sector_56_station_1.txt#sector_58.txt#Recon Center#structure_recon_1.txt#1#null#null#null;Gather scan data on the target <color='yellow'>Recon Center</color> in <color='cyan'>Lins</color> and return to ValueStar in <color='cyan'>Hunu</color>;3;In the <color='cyan'>Lins</color> sector, <i>Talow Belgot</i> has requested a structural scan of the <color='yellow'>Recon Center</color> structure. His old scan just recently expired, and before any further renovations can be carried out, a new scan is required. Once completed, Head back to the ValueStar station located in the <color='cyan'>Hunu</color> with an updated scan report.;81597;23448
MISSION;134;45;618457;SALVAGE#198#22#sector_15.txt#sector_13_station_0.txt#null#null#null#null;In <color='cyan'>Jermicus</color>, Salvage <color='yellow'>Special Undamaged Part</color> and return to Gemini Mining in <color='cyan'>Jala</color> with at least <color='yellow'>198</color>;3;A local company in <color='cyan'>Jermicus</color> has requested a medium salvage of <color='yellow'>198</color> <color='yellow'>Special Undamaged Part</color>. This is a rare find, and the client has requested someone bring the parts back to Gemini Mining station located in the <color='cyan'>Jala</color>. A Trade faction representative will be waiting to take the salvage from you.;137739;47482
MISSION;24;120;977512;COLLECT#4#1652#sector_62_station_0.txt#sector_23_station_0.txt#null#null#null#null;Bring a medium collection of <color='yellow'>4</color> <color='yellow'>Advanced Explosive Armors</color> to Valuestar Hub in the <color='cyan'>Jelumus</color> Sector;5;Commerce Union Rep, <i>Zilsnalia Ratimjag</i> is looking to collect a medium sized shipment of <color='yellow'>4</color> <color='yellow'>Advanced Explosive Armors</color>. Once the items have been acquired, return to Valuestar Hub in the <color='cyan'>Jelumus</color> Sector. <i>Zilsnalia Ratimjag</i> will be waiting there to receive the <color='yellow'>Advanced Explosive Armors</color>.;144435;64480
MISSION;13;30;740531;DELIVERY#217#163#sector_66_station_0.txt#sector_56_station_1.txt#null#null#null#null;Take medium shipment of <color='yellow'>217</color> <color='yellow'>Aluminium Rivets</color> and deliver to <color='cyan'>Ele</color> and dock at Communications Hub Station;3;ValueStar Station has contacted our client informing them of some medium cargo that remains unclaimed by a former employee, <i>Xoqa Baimes</i> of the Trade Faction. <color='yellow'>217</color> <color='yellow'>Aluminium Rivets</color> need to be delivered to <color='cyan'>Ele</color>, Communications Hub Station.;49307;16079
MISSION;151;120;793990;FABRICATE#5#2383#sector_3_station_0.txt#sector_0_station_1.txt#null#null#null#null;Produce a light container of <color='yellow'>5</color> <color='yellow'>Aluminium Plates</color> at the Daemon Ammunitions fabricator in <color='cyan'>Starfort Ramos</color>;3;The Trade Faction has commissioned a production liaison, <i>Xabor Lasbacie</i> at Lammassu Financial. After an audit, <color='yellow'>5</color> items of <color='yellow'>Aluminium Plates</color> were deemed required. Head on over to <color='cyan'>Starfort Ramos</color> and manufacture these <color='yellow'>Aluminium Plates</color> at Daemon Ammunitions.;22050;3063
MISSION;145;90;592067;REFINE#20#24#sector_22_station_0.txt#sector_100_station_0.txt#null#null#null#null;Dock with Monarch Society refinery and process a medium shipment of <color='yellow'>20</color> <color='yellow'>Electronic Fragments</color> in <color='cyan'>Solitudes of Frey</color>;3;<i>Basttad Bacsi</i> has relocated from Fellacore Research Center and requests processing of <color='yellow'>20</color> <color='yellow'>Electronic Fragments</color> to be refined at the new refinery at Monarch Society. Head on over to <color='cyan'>Solitudes of Frey</color> and process these <color='yellow'>Electronic Fragments</color>.;251119;98478
MISSION;105;120;924824;KILL_RECOVER#sector_35_station_0.txt#sector_24.txt#Fabricator Zilskile Inovak#npc_ship_data_(recon_dreadnought_1)#23#96#217#null;Kill <color='yellow'><i>Fabricator Zilskile Inovak</i></color> and recover <color='yellow'>96</color> <color='yellow'>Small Motors</color> in <color='cyan'>Soldeux</color>. Return to Astrox Security Patrol in <color='cyan'>Felishar</color>;5;<color='yellow'><i>Fabricator Zilskile Inovak</i></color> is wanted for the theft of <color='yellow'>96</color> <color='yellow'>Small Motors</color> from <i>Zanlow Naliave</i>. This occurred in <color='cyan'>Soldeux</color> during the early hours of mining operations run by the Commerce faction. Once the pirate <color='yellow'><i>Fabricator Zilskile Inovak</i></color> has been dispatched, return the items to <i>Zanlow Naliave</i> at the Astrox Security Patrol station anchored in <color='cyan'>Felishar</color>.;315953;129254
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(excavation_carrier_1).txt
SHIP;2;0.95;ship_data_(pirate_frigate_1).txt
SHIP;3;0.97;ship_data_(support_frigate_1).txt
SHIP;4;1.02;ship_data_(recon_destroyer_1).txt
SHIP;5;0.92;ship_data_(transport_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

