// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;StarShepards Headquarters
STATION;type;Worship Center
STATION;owner;Temple Of the Void
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color; 1.0 , 0.0 , 1.0 , 1.0
STATION;level;9
STATION;icon;star_shepards.png
STATION;filename;sector_0_station_3.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;2-2-0-1-4-0-4-1-3-0-0-4-1-3-6-1-5-1-1-3-1-3-0
STATION;interior_seed;3-3-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;71182.66
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(support_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(support_escort_1).txt
MERC;9;1.93;npc_ship_data_(support_utility_1).txt
MERC;12;1.23;npc_ship_data_(support_utility_2).txt
MERC;15;1.47;npc_ship_data_(support_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Looking to Sell (1) Items ;2002x13;5071.00;76256.02
ITEM;1543;108;0.43;373752.8
ITEM;1174;13;0.71;288983.2
ITEM;1633;74;1.13;245803.4
ITEM;2146;87;0.81;1494743
ITEM;1114;54;0.57;217878.8
ITEM;1025;62;0.97;351489
ITEM;170;1104;0.96;351489
ITEM;118;873;1.07;6.270594
ITEM;6;9242;0.63;62.21919
ITEM;607;51;1.14;434029.8
ITEM;330;2503;0.58;434029.8
ITEM;103;1394;0.52;434029.8
ITEM;407;874;0.94;5.714301
ITEM;206;329;0.54;83.68172
ITEM;644;47;0.92;66449.48
ITEM;107;919;0.54;7.094419
ITEM;342;1456;0.99;4332.049
ITEM;303;1814;0.94;944.5966
ITEM;150;171;0.56;7.207273
ITEM;601;39;1.06;14203.9
ITEM;106;444;0.51;5.640815
ITEM;121;1153;1.10;47.86003
ITEM;321;684;1.14;3151.293
ITEM;25;3230;0.64;219.1034
ITEM;2015;564;0.97;779.0761
ITEM;2481;3;0.93;656010.3
ITEM;23;8982;0.71;82.7278
ITEM;670;18;0.26;7538.801
ITEM;750;166;0.96;15828.85
ITEM;676;24;0.33;6393.252
ITEM;674;42;0.25;6393.252
ITEM;672;25;0.31;9670.884
ITEM;680;76;1.00;29487.2
ITEM;352;2375;1.03;29487.2
ITEM;320;1091;0.85;1345.207
ITEM;350;959;1.05;7447.338
ITEM;166;719;1.01;64.34082
ITEM;104;943;1.15;4.658636
ITEM;4;8924;1.00;34.45903
ITEM;2182;50;1.05;142621.3
ITEM;690;27;0.34;3052.937
ITEM;692;24;0.28;2274.724
ITEM;691;20;0.30;3120.072
ITEM;209;345;0.64;98.80319
ITEM;712;160;0.63;98.80319
ITEM;758;116;0.68;77384.34
ITEM;2469;85;1.12;387435.9
ITEM;752;188;0.77;86089.45
ITEM;2014;507;0.96;86089.45
ITEM;211;149;0.83;151.13
ITEM;2046;908;1.10;4874.923
ITEM;2451;39;0.69;250161.8
ITEM;733;117;0.92;101075.6
ITEM;677;25;0.33;19137.86
ITEM;2012;481;0.75;464.0536
ITEM;747;87;0.65;74141.18
ITEM;742;120;0.77;86261.47
ITEM;304;791;0.85;709.6356
ITEM;219;271;0.96;709.6356
ITEM;20;5820;0.80;18.72397
ITEM;2011;396;0.63;364.4507
ITEM;2010;712;1.21;364.4507
ITEM;2009;170;0.97;633.8354
ITEM;105;1154;0.86;7.40537
ITEM;2045;262;0.63;2683.696
ITEM;305;1858;0.75;196.5495
ITEM;1501;54;0.86;196.5495
ITEM;1611;30;0.60;23740.03
ITEM;1561;23;1.02;60233.35
ITEM;2120;436;0.83;113245.7
ITEM;751;97;0.96;47308.91
ITEM;2114;4;1.03;164974.2
ITEM;1162;12;1.04;30708.92
ITEM;1205;48;1.03;55242.44
ITEM;2126;332;0.71;55242.44
ITEM;730;60;0.85;42542.7
ITEM;1541;41;0.52;28371.31
ITEM;1631;56;1.04;56543.86
ITEM;621;8;0.61;56543.86
ITEM;1641;22;0.71;40104.03
ITEM;746;62;1.03;40104.03
ITEM;1531;46;0.65;37439.23
ITEM;1521;68;0.98;37439.23
ITEM;646;42;0.69;157288.6
ITEM;331;945;0.60;149.0717
ITEM;627;39;1.14;149.0717
ITEM;102;443;0.68;2.393522
ITEM;2044;154;0.93;3467.285
ITEM;671;36;0.30;24832.37
ITEM;679;42;0.65;59908.48
ITEM;759;19;0.99;179199.4
ITEM;731;47;1.09;195799.9
ITEM;675;36;0.31;21652.81
ITEM;673;49;0.25;21652.81
ITEM;2008;848;0.58;363.78
ITEM;2389;54;0.67;3768.627
ITEM;2007;972;0.85;466.6302
ITEM;602;9;1.03;466.6302
ITEM;648;20;0.87;594988.5
ITEM;2042;526;0.97;2965.106
ITEM;405;930;1.01;1.515156
ITEM;604;50;1.04;74266.72
ITEM;2041;457;1.08;2971.645
ITEM;2;8746;1.03;12.935
ITEM;313;934;2.46;938.6066
ITEM;123;1699;1.11;938.6066
ITEM;2006;882;1.02;938.6066
ITEM;2130;72;1.13;14641.89
ITEM;1054;13;1.01;2651.644
ITEM;2118;26;0.99;10824.49
ITEM;1050;37;0.57;1336.27
ITEM;2112;228;0.87;11608.03
ITEM;2112;1;0.71;9670.276
ITEM;2160;4;0.46;11011.35
ITEM;2124;231;0.76;11011.35
ITEM;1052;43;0.75;1856.271
ITEM;1002;25;0.88;1944.275
ITEM;324;1854;0.52;1531.095
ITEM;341;1898;1.14;6536.338
ITEM;343;1495;1.00;6831.791
ITEM;2038;821;0.80;2621.222
ITEM;204;827;0.53;67.6826
ITEM;151;635;0.84;11.27966
ITEM;322;1055;0.90;656.1882
ITEM;27;8794;0.83;794.1326
ITEM;738;137;1.06;1166788
ITEM;2387;10;0.62;2917.335
ITEM;24;9492;1.01;193.5691
ITEM;11;8862;0.93;144.6087
ITEM;2036;270;1.05;2770.968
ITEM;643;30;0.64;27443.61
ITEM;1478;89;1.02;521120.1
ITEM;7;4684;0.95;147.1243
ITEM;2004;443;1.08;433.9956
ITEM;112;1000;0.76;28.41616
ITEM;2416;57;0.56;13144.23
ITEM;660;35;0.65;5212.319
ITEM;628;42;0.55;394090.8
ITEM;2003;341;0.65;394090.8
ITEM;2002;162;0.64;225.6909
ITEM;108;430;1.04;15.13056
ITEM;661;40;1.11;14736.69
ITEM;666;23;0.86;191595.6
ITEM;28;3752;0.69;1143.878
ITEM;2413;80;0.92;15231.32
ITEM;332;1737;0.60;1939.953
ITEM;2030;600;0.94;1407.912
ITEM;301;858;0.79;22.36866
ITEM;1779;87;0.98;592726
ITEM;300;964;0.85;93.95358
ITEM;404;889;0.96;1.452037
ITEM;325;684;0.62;230.227
ITEM;603;36;0.87;36035.53
ITEM;605;39;0.56;75617.26
ITEM;110;715;0.86;15.33893
ITEM;606;30;1.03;227030.4
ITEM;623;32;1.16;227030.4
ITEM;168;851;0.98;227030.4
ITEM;101;994;0.97;1.919211
ITEM;403;962;1.01;1.525159
ITEM;406;621;1.06;1.267519
ITEM;353;1459;0.72;3542.982
ITEM;109;538;0.65;3.349219
ITEM;116;331;1.11;69.33459
ITEM;729;36;1.10;17911.12
ITEM;311;976;0.94;164.8466
ITEM;727;47;0.98;16159.21
ITEM;668;41;1.01;682106.3
ITEM;665;8;0.97;122351.6
ITEM;664;12;1.03;73649.27
ITEM;115;1327;1.15;34.44895
ITEM;8;3502;1.11;281.7068
ITEM;208;173;0.82;145.5874
ITEM;1785;17;0.31;203331.2
ITEM;1590;96;0.88;19551.56
ITEM;1610;23;0.89;16727.57
ITEM;736;123;0.92;254435
ITEM;1560;81;0.80;254435
ITEM;2177;47;0.69;55103.07
ITEM;2119;440;0.74;55103.07
ITEM;1055;67;1.06;8112.512
ITEM;2113;291;1.01;46450.74
ITEM;1700;21;1.01;27647.78
ITEM;2295;55;0.92;303655.3
ITEM;1701;53;0.56;303655.3
ITEM;1008;45;1.13;8575.205
ITEM;2297;10;0.59;8575.205
ITEM;1711;37;0.96;26321.16
ITEM;2143;18;1.01;42666.6
ITEM;312;1;1.06;42666.6
ITEM;620;45;0.61;4945.993
ITEM;1760;64;1.03;4945.993
ITEM;1775;79;1.03;4945.993
ITEM;1765;42;1.01;484101.2
ITEM;1770;8;2.40;1030655
ITEM;2305;39;0.64;351580.9
ITEM;70;1697;0.83;115.3844
ITEM;1722;59;0.57;16513.63
ITEM;1620;54;0.89;29394.13
ITEM;50;2342;0.55;24.05381
ITEM;169;699;0.97;24.05381
ITEM;167;507;0.68;50.10747
ITEM;351;1419;1.07;6448.819
ITEM;302;660;0.94;47.25754
ITEM;2027;959;0.97;1653.393
ITEM;2026;291;0.75;1188.097
ITEM;111;554;1.01;25.53461
ITEM;2001;216;0.80;250.4328
ITEM;2025;518;1.14;1587.165
ITEM;310;998;0.95;178.1689
ITEM;667;35;0.48;178.1689
ITEM;401;153;1.02;5327.224
ITEM;1786;12;0.33;1066365
ITEM;1069;72;0.86;97859.97
ITEM;76;4148;1.03;475.1348
ITEM;1552;70;1.07;116526.3
ITEM;1617;8;0.62;54313.38
ITEM;2121;253;0.94;54313.38
ITEM;2121;0;1.04;54313.38
ITEM;641;28;1.08;54313.38
ITEM;1202;72;0.52;105730.9
ITEM;2127;451;1.10;562224.5
ITEM;61;4616;0.74;210.1509
ITEM;1113;47;0.67;210.1509
ITEM;622;10;1.14;26392.08
ITEM;2215;8;0.75;896308.9
ITEM;1512;32;0.65;65344.95
ITEM;1582;51;0.99;65344.95
ITEM;1572;94;0.89;102178.5
ITEM;1761;21;1.05;102178.5
ITEM;2320;11;0.93;6675726
ITEM;1776;51;1.02;6675726
ITEM;1766;46;0.96;810187.3
ITEM;1771;68;1.01;797027.1
ITEM;1752;55;0.77;137850.5
ITEM;51;6269;0.60;137850.5
ITEM;41;3373;0.98;54.44085
ITEM;1;7248;1.04;7.926547
ITEM;2000;835;1.01;21.33769
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;234;1.04
SKILL;212;1.93
SKILL;102;1.66
SKILL;225;1.15
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;10;30;395718;DELIVERY#6#1590#sector_100_station_0.txt#sector_95_station_0.txt#null#null#null#null;Dock at Fellacore Research Center in <color='cyan'>Grace</color> to deliver a light shipment of <color='yellow'>6</color> <color='yellow'>Basic Turn Thrusts</color>;11;<i>Xiqe Heasadra</i> runs a Orthodox shipping company at Star Shepards Hub. After having some issues with a transport ship, <color='yellow'>6</color> items of <color='yellow'>Basic Turn Thrusts</color> were left behind. Head on over to <color='cyan'>Grace</color> and deliver these <color='yellow'>Basic Turn Thrusts</color> to Fellacore Research Center.;4700;1500
MISSION;100;120;748043;KILL_RECOVER#sector_56_station_1.txt#sector_57.txt#Czar Doars Dueserwit#npc_ship_data_(battle_frigate_3)#3#6#23#null;Kill and Rob <color='yellow'><i>Czar Doars Dueserwit</i></color> in <color='cyan'>Ponze</color> and return to ValueStar in <color='cyan'>Hunu</color> with <color='yellow'>6</color> of <color='yellow'>Metal Fragments</color>;10;<i>Buefae Jidkeebor</i> was hijacked for <color='yellow'>6</color> <color='yellow'>Metal Fragments</color> by a pilot named <color='yellow'><i>Czar Doars Dueserwit</i></color>. The Missionary has approved a 'Kill and Recover' contract for the criminal <color='yellow'><i>Czar Doars Dueserwit</i></color>. Last seen in the <color='cyan'>Ponze</color> system, <color='yellow'><i>Czar Doars Dueserwit</i></color> is considered to be un-prepared for combat. Take him out and return the <color='yellow'>Metal Fragments</color> to ValueStar in <color='cyan'>Hunu</color>.;10035;2625
MISSION;82;60;838658;RECOVER#2#1621#sector_64.txt#sector_2_station_0.txt#null#null#null#null;Retrieve a light cache of <color='yellow'>Improved Armor Exteriors</color> from a <color='yellow'>crate</color> in <color='cyan'>Gemini Shoal</color> sector, drop at Oro Omniplex Center in <color='cyan'>Merces Academy</color>;9;After a skirmish in <color='cyan'>Gemini Shoal</color>, the Temple's <i>Ciebru Aswen</i> cannot account for a light shipment of <color='yellow'>Improved Armor Exteriors</color> he was transporting before the attack. Head out to the <color='cyan'>Gemini Shoal</color> sector and look for the crate. When found, take the contents of the crate back to the Oro Omniplex Center station in the <color='cyan'>Merces Academy</color> sector.;25221;8614
MISSION;31;45;248332;TRANSPORT#29#321#sector_0_station_0.txt#sector_69_station_0.txt#null#null#null#null;Head to Biomate University in <color='cyan'>Void Starcross</color>, pick up <color='yellow'>29</color> <color='yellow'>Musical Instruments</color> for a light shipment to Mass Market in <color='cyan'>Dorando Corridor</color>;9;The Temple faction advisor <i>Kinpa Ilsjansed</i> has placed a light shipment transport order to move <color='yellow'>29</color> <color='yellow'>Musical Instruments</color> from the Biomate University storage in <color='cyan'>Void Starcross</color>, to the Mass Market in <color='cyan'>Dorando Corridor</color>.;16815;6892
MISSION;120;45;854319;CHAT_PILOT#sector_14_station_1.txt#sector_96.txt#Enforcer Kinlas Sihbidoa#npc_ship_data_(ATC_Cobra_MK2)#0#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Enforcer Kinlas Sihbidoa</i></color> in <color='cyan'>Arch of Mori</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color>;11;<i>Binoar Daleves</i> has requested that debt be collected from <color='yellow'><i>Enforcer Kinlas Sihbidoa</i></color>. After 3 payments to the Orthodox faction for transport fines, <color='yellow'><i>Enforcer Kinlas Sihbidoa</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Enforcer Kinlas Sihbidoa</i></color> was in the vicinity of the <color='cyan'>Arch of Mori</color> system. Have a chat with them, collect the debt, and return to the Horizons in the <color='cyan'>Gate of Alpharis</color> system to deliver the payment.;6100;1500
MISSION;152;120;375850;FABRICATE#8#2348#sector_2_station_0.txt#sector_97_station_0.txt#null#null#null#null;Manufacture <color='yellow'>8</color> <color='yellow'>Steelium Pipes</color> at Oro Omniplex Center station fabricator in <color='cyan'>Merces Academy</color>;10;<i>Zaerest Raserdee</i> from Temple of the Void Station has commissioned a production run . He has required a small manufacturing run of <color='yellow'>8</color> <color='yellow'>Steelium Pipes</color>. Set your GPS autopilot to <color='cyan'>Merces Academy</color> and produce these <color='yellow'>Steelium Pipes</color> on site at the Oro Omniplex Center immediately.;34837;16079
MISSION;84;60;321177;RECOVER#4#1009#sector_65.txt#sector_63_station_0.txt#null#null#null#null;Recover a medium shipment <color='yellow'>crate</color> in <color='cyan'>Pindoris</color> and bring back to Lammassu Hub in <color='cyan'>Numbu</color>;9;In the <color='cyan'>Pindoris</color> sector, a medium shipment of <color='yellow'>Basic Railguns</color> have been reported to the local Temple authorities as derelict. <i>Welijalis Backin</i> has filed a claim on the crate, and has requested a recovery contract for <color='yellow'>4</color> <color='yellow'>Basic Railguns</color> to be delivered Lammassu Hub station in <color='cyan'>Numbu</color>.;102983;31655
MISSION;127;45;872815;CHAT_PILOT#sector_56_station_1.txt#sector_11.txt#Rookie Fallwha Lesme#npc_ship_data_(transport_frigate_1)#15#missions_transfer_pilot.txt#0#null;Transfer a legal document to <color='yellow'><i>Rookie Fallwha Lesme</i></color> in <color='cyan'>Chamo</color>. Return with confirmation at ValueStar in <color='cyan'>Hunu</color>;9;<color='yellow'><i>Rookie Fallwha Lesme</i></color> is required to provide the Temple faction a signed legal document. <color='yellow'><i>Rookie Fallwha Lesme</i></color> has returned this document unsigned. Last known sighting of <color='yellow'><i>Rookie Fallwha Lesme</i></color> was in the area of <color='cyan'>Chamo</color>. Locate them and resolve this problem. Then return to ValueStar in the <color='cyan'>Hunu</color> system to deliver confirmation.;351855;100530
MISSION;123;45;529021;CHAT_PILOT#sector_63_station_0.txt#sector_60.txt#Colonel Lowdorn Qohaslom#npc_ship_data_(support_carrier_1_ecm)#21#missions_arrest_escort.txt#0#null;Detain <color='yellow'><i>Colonel Lowdorn Qohaslom</i></color> in <color='cyan'>Veloxi</color> and escort them to Lammassu Hub in <color='cyan'>Numbu</color>;10;<i>Moswhe Mastqa</i> has requested that <color='yellow'><i>Colonel Lowdorn Qohaslom</i></color> be escorted back into custody. Authorities of the Missionary faction has determined guilt opon the accused. <color='yellow'><i>Colonel Lowdorn Qohaslom</i></color> has refused to cooperate with the courts. Last known sighting of <color='yellow'><i>Colonel Lowdorn Qohaslom</i></color> was in the vicinity of the <color='cyan'>Veloxi</color> system. Have a chat with them ann bring them back for further questioning.;45770;10719
MISSION;150;120;345829;FABRICATE#5#2356#sector_13_station_0.txt#sector_14_station_0.txt#null#null#null#null;Dock at the Gemini Mining station fabricator in <color='cyan'>Jala</color> and manufacture a light shipment of <color='yellow'>5</color> <color='yellow'>Rubber Tubings</color>;11;<i>Heakin Belindo</i> runs a Orthodox production company at Imperium Republica . After having some issues with a manufacturing plant, <color='yellow'>5</color> items of <color='yellow'>Rubber Tubings</color> were marked as low supply. Head on over to <color='cyan'>Jala</color> and fabricate these <color='yellow'>Rubber Tubings</color> at Gemini Mining.;12250;3500
MISSION;33;45;586908;TRANSPORT#363#204#sector_2_station_0.txt#sector_1_station_0.txt#null#null#null#null;Transport <color='yellow'>363</color> units of <color='yellow'>Fiber Optic Cables</color> from Oro Omniplex Center in <color='cyan'>Merces Academy</color> to Quantex in <color='cyan'>Dellis Primeria</color>;9;A Transport request has been posted by <i>Jelgore Madgotvak</i>. <color='yellow'>363</color> <color='yellow'>Fiber Optic Cables</color> needs to be picked up at the storage facility at Oro Omniplex Center in <color='cyan'>Merces Academy</color>. Once the medium shipment has been loaded, transport it to Quantex in <color='cyan'>Dellis Primeria</color> where <i>Jelgore Madgotvak</i> will be waiting to receive it.;36177;6030
MISSION;125;45;570396;CHAT_PILOT#sector_36_station_0.txt#sector_78.txt#Czar Eini Cookom#npc_ship_data_(ATC_Anubis)#21#missions_arrest_escort.txt#0#null;Capture <color='yellow'><i>Czar Eini Cookom</i></color> in <color='cyan'>Bitcola</color> for official crimes and return to Blargg's in <color='cyan'>Beacon Spita</color>;10;The Missionary faction under command of <i>Sihrib Ceeadahore</i> as requested the arrest of <color='yellow'><i>Czar Eini Cookom</i></color>. They have refused to cooperate and the courts have had enough. Last known sighting of <color='yellow'><i>Czar Eini Cookom</i></color> was in the <color='cyan'>Bitcola</color> system. Convince them to come back peacefully to the Blargg's in the <color='cyan'>Beacon Spita</color>.;154184;24620
MISSION;91;90;286794;KILL_PILOT#sector_1_station_0.txt#sector_64.txt#Privateer Nortiskile Ilsdoemad#npc_ship_data_(support_carrier_1_ecm)#5#null#null#null;Assassinate in-experienced <color='yellow'><i>Privateer Nortiskile Ilsdoemad</i></color> in <color='cyan'>Gemini Shoal</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>;9;The Temple faction has released a kill contract for the criminal <color='yellow'><i>Privateer Nortiskile Ilsdoemad</i></color>. Wanted for capital crimes including theft and hijacking, the ASP has approved the contract and have released <color='yellow'><i>Privateer Nortiskile Ilsdoemad</i></color>'s last known location. Head to <color='cyan'>Gemini Shoal</color>, and eliminate <color='yellow'><i>Privateer Nortiskile Ilsdoemad</i></color>'s ship. Once complete, head to <color='cyan'>Dellis Primeria</color> and dock at Quantex for payment.;27862;6563
MISSION;43;45;964563;SCAN_PILOT#sector_36_station_0.txt#sector_63.txt#Professor Anyan Poeta#npc_ship_data_(ATC_Libra)#24#null#null#null;Recon <color='yellow'><i>Professor Anyan Poeta</i></color> in <color='cyan'>Numbu</color> and return to Blargg's in <color='cyan'>Beacon Spita</color>;9;<i>Zetaya Nicormole</i> is currently under contract to provide scan data records for a <color='yellow'><i>Professor Anyan Poeta</i></color> located in the <color='cyan'>Numbu</color>. After a recent injury, He has decided to sub-contract this task while in recovery. Head over to Blargg's in <color='cyan'>Beacon Spita</color> with the scan data for <color='yellow'><i>Professor Anyan Poeta</i></color> in <color='cyan'>Numbu</color>.;56886;13399
MISSION;52;30;400528;SCAN_STRUCTURE#sector_60_station_0.txt#sector_96.txt#Shlick Diamond's#structure_raider_hideout.txt#1#null#null#null;Track and scan the target <color='yellow'>Shlick Diamond's</color> structure in <color='cyan'>Arch of Mori</color> and return to Biomart in <color='cyan'>Veloxi</color>;9;The Temple faction has commissioned scientific survey of a strange vibration taking place at <color='yellow'>Shlick Diamond's</color> in the <color='cyan'>Arch of Mori</color> sector. Head over to <color='cyan'>Arch of Mori</color> and scan the <color='yellow'>Shlick Diamond's</color> structure. Once complete, return to the Biomart station located in the <color='cyan'>Veloxi</color> with the scan data.;23581;4594
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.1;ship_data_(support_shuttle_1).txt
SHIP;1;1.1;ship_data_(support_escort_1).txt
SHIP;1;1.1;ship_data_(support_escort_2).txt
SHIP;4;1.02;ship_data_(support_utility_1).txt
SHIP;4;1.02;ship_data_(support_utility_2).txt
SHIP;4;1.02;ship_data_(support_frigate_1).txt
</HANGAR>
// OFFICES;office_name;npc_name;faction_id;faction_req;level;img;scripting_file;scripting_id;
<OFFICE>
OFFICE;(Tutorial Office) Camera Basics;Ratamaq Guru;1;0.0;26;station.png;male_2.png;accessory_18.png;tutorial_camera_basics.txt;2
OFFICE;(Tutorial Office) Navigation Basics;Arji Darn;1;0.0;26;station.png;male_3.png;accessory_18.png;tutorial_navigation_basics.txt;2
OFFICE;(Tutorial Office) Life Support Basics;Carter Burke;1;0.0;26;station.png;male_4.png;accessory_19.png;tutorial_life_support.txt;2
OFFICE;(Tutorial Office) Basic Drones;Daniel Traek;1;0.0;43;station.png;male_4.png;accessory_17.png;tutorial_drones.txt;2
</OFFICE>
// STORAGE;item_id;Qty;0
<STORAGE>

