// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;CoraVault Hub
STATION;type;Neural Transceiver Station
STATION;owner;Uelas Rastzepea
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;1
STATION;icon;coravault.png
STATION;filename;sector_65_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-0-0-7-0-2-4-0-4-3-3-4-0-6-7-0-4-0-3-1-3-7-90
STATION;interior_seed;4-7-45-4
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;68018.38
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;0.69;npc_ship_data_(pirate_escort_1).txt
MERC;7;0.62;npc_ship_data_(recon_carrier_1).txt
MERC;9;0.64;npc_ship_data_(pirate_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Stock: (4) Items ;170x405,170x718,201x1242,204x1064;149268.00;110849.90
MISSION;31;45;193120;TRANSPORT#3#1020#sector_77_station_0.txt#sector_97_station_0.txt#null#null#null#null;Head to Lacuna Bandits in <color='cyan'>Ballast Crow</color>, pick up <color='yellow'>3</color> <color='yellow'>Advanced Light Turrets</color> for a light shipment to Temple of the Void in <color='cyan'>Valley of Truths</color>;4;The Financial faction advisor <i>Johfu Ceeoi</i> has placed a light shipment transport order to move <color='yellow'>3</color> <color='yellow'>Advanced Light Turrets</color> from the Lacuna Bandits storage in <color='cyan'>Ballast Crow</color>, to the Temple of the Void in <color='cyan'>Valley of Truths</color>.;13192;3938
MISSION;51;30;962563;SCAN_STRUCTURE#sector_57_station_0.txt#sector_0.txt#Office Center#structure_office_1.txt#1#null#null#null;Find the target <color='yellow'>Office Center</color> structure in <color='cyan'>Void Starcross</color>, scan, and return to OmniTrust in <color='cyan'>Ponze</color>;4;<i>Xonpei Rafast</i> has requested that someone verify the location of <color='yellow'>Office Center</color> in the <color='cyan'>Void Starcross</color> sector. After a recent mix-up at the zoning office, the Financial reps are concerned that construction guidelines were not followed properly. Return to the OmniTrust station located in the <color='cyan'>Ponze</color> with the scan data.;13475;5250
MISSION;151;120;484547;FABRICATE#7#2410#sector_58_station_0.txt#sector_0_station_3.txt#null#null#null#null;Produce a light container of <color='yellow'>7</color> <color='yellow'>Armor Platings</color> at the CoraVault fabricator in <color='cyan'>Lins</color>;3;The Trade Faction has commissioned a production liaison, <i>Tixe Uelomser</i> at StarShepards Headquarters. After an audit, <color='yellow'>7</color> items of <color='yellow'>Armor Platings</color> were deemed required. Head on over to <color='cyan'>Lins</color> and manufacture these <color='yellow'>Armor Platings</color> at CoraVault.;18988;4594
MISSION;140;90;234314;REFINE#3#8#sector_35_station_0.txt#sector_3_station_0.txt#null#null#null#null;Dock at the Astrox Security Patrol station refinery in <color='cyan'>Felishar</color> and process a light shipment of <color='yellow'>3</color> <color='yellow'>Belasite Ores</color>;3;<i>Sedmad Toferdorn</i> runs a Trade shipping company at Daemon Ammunitions. After having some issues with a transport ship, <color='yellow'>3</color> items of <color='yellow'>Belasite Ores</color> were left behind. Head on over to <color='cyan'>Felishar</color> and refine these <color='yellow'>Belasite Ores</color> at the Astrox Security Patrol refinery.;9300;2250
MISSION;32;45;505284;TRANSPORT#7#1522#sector_77_station_0.txt#sector_0_station_2.txt#null#null#null#null;Move light cargo from Lacuna Bandits in <color='cyan'>Ballast Crow</color> and dock with <color='yellow'>7</color> <color='yellow'>Advanced Afterburners</color> at StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;5;<i>Youcoo Corvaj</i> was unable to complete a large shipment from Lacuna Bandits to StarGypsy Warehouse. A light shipment containing <color='yellow'>7</color> <color='yellow'>Advanced Afterburners</color> is located at the storage bay at Lacuna Bandits in <color='cyan'>Ballast Crow</color>. Retrieve the <color='yellow'>Advanced Afterburners</color> and transport them to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>.;19639;3446
MISSION;132;45;379271;SALVAGE#119#20#sector_56.txt#sector_61_station_0.txt#null#null#null#null;Dismantle <color='yellow'>Special Junk Part</color> in <color='cyan'>Hunu</color> and return with <color='yellow'>119</color> to Transporteers Hub in <color='cyan'>Ambervellis Drea</color>;3;<i>Siptaf Bacdoecor</i> has discovered a light cache of <color='yellow'>Special Junk Part</color> in <color='cyan'>Hunu</color>. He is currently unable to dismantle the <color='yellow'>Special Junk Part</color>, and has requested a pilot to head over and salvage the <color='yellow'>119</color> <color='yellow'>Special Junk Part</color>. Once complete, head over and meet <i>Siptaf Bacdoecor</i> at the Transporteers Hub station located in the <color='cyan'>Ambervellis Drea</color>.;24808;8614
MISSION;21;120;771691;COLLECT#55#2010#sector_13_station_0.txt#sector_0_station_5.txt#null#null#null#null;Gather a collection of <color='yellow'>55</color> <color='yellow'>Iron Coring Pipes</color> and dock the light shipment at Gemini Mining in <color='cyan'>Jala</color>;5;<i>Komlel Nevo</i> has requested an small collection of <color='yellow'>55</color> <color='yellow'>Iron Coring Pipes</color> in preparation for an upcoming exploration run. Backed by the Commerces after these items have been collected, return to the Gemini Mining Station located in the <color='cyan'>Jala</color> Sector.;14920;3610
MISSION;121;45;970612;CHAT_PILOT#sector_14_station_0.txt#sector_62.txt#Father Fietad Melbarni#npc_ship_data_(excavation_carrier_5)#15#missions_debt_collection.txt#0#null;Chat with <color='yellow'><i>Father Fietad Melbarni</i></color> about his debt in <color='cyan'>Jelumus</color> and return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;5;<i>Dowhe Wetu</i> has requested that debt be collected from <color='yellow'><i>Father Fietad Melbarni</i></color>. After 3 payments to the Commerce faction for transport fines, <color='yellow'><i>Father Fietad Melbarni</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Father Fietad Melbarni</i></color> was in the vicinity of the <color='cyan'>Jelumus</color> system. Have a chat with them, collect the debt, and return to the Imperium Republica  in the <color='cyan'>Gate of Alpharis</color> system to deliver the payment.;18575;7000
MISSION;60;45;162873;HARVEST#56#3#sector_57.txt#sector_0_station_1.txt#null#null#null#null;Harvest special <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Ponze</color> and return with <color='yellow'>56</color> ore to Lammassu Financial in <color='cyan'>Void Starcross</color>;3;A local prospector, <i>Veser Jagyi</i> of the Trade faction has located a light quantity of special <color='yellow'>Special Quazor Ore</color> in the <color='cyan'>Ponze</color> sector. Head over there and harvest all of the special <color='yellow'>Special Quazor Ore</color>, and meet <i>Veser Jagyi</i> back at Lammassu Financial station located in the <color='cyan'>Void Starcross</color>.;10568;3375
MISSION;52;30;947585;SCAN_STRUCTURE#sector_0_station_4.txt#sector_59.txt#Storage Facility#structure_storage_1.txt#1#null#null#null;Track and scan the target <color='yellow'>Storage Facility</color> structure in <color='cyan'>Coralor</color> and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>;5;The Commerce faction has commissioned scientific survey of a strange vibration taking place at <color='yellow'>Storage Facility</color> in the <color='cyan'>Coralor</color> sector. Head over to <color='cyan'>Coralor</color> and scan the <color='yellow'>Storage Facility</color> structure. Once complete, return to the Starbase Corporate Center station located in the <color='cyan'>Void Starcross</color> with the scan data.;30637;10719
MISSION;93;90;249597;KILL_PILOT#sector_78_station_0.txt#sector_58.txt#Senator Rori Whiemi#npc_ship_data_(recon_cruiser_1)#10#null#null#null;Frag <color='yellow'><i>Senator Rori Whiemi</i></color>, in <color='cyan'>Lins</color> and return to Tella's in <color='cyan'>Bitcola</color>;5;An intermediate level pilot has been sentenced by ASP for extermination. <color='yellow'><i>Senator Rori Whiemi</i></color>, found guilty of raiding, and murder, has been hanging out in the <color='cyan'>Lins</color> system. When complete, return to the Tella's station in the <color='cyan'>Bitcola</color> system. The Commerce's will be very happy to hear of <color='yellow'><i>Senator Rori Whiemi</i></color>'s demise.;53861;16078
MISSION;143;90;742511;REFINE#14#6#sector_1_station_0.txt#sector_14_station_0.txt#null#null#null#null;Refine medium shipment of <color='yellow'>14</color> <color='yellow'>Plasite Ores</color> in <color='cyan'>Dellis Primeria</color> at the Quantex station refinery;4;Imperium Republica  Station has contacted our client informing them of some medium cargo that remains unclaimed by former employees, <i>Fuwhe Buesev</i> of the Financial Faction. <color='yellow'>14</color> <color='yellow'>Plasite Ores</color> need to be refined in <color='cyan'>Dellis Primeria</color>, at the Quantex Station refinery.;53861;16078
MISSION;124;45;778218;CHAT_PILOT#sector_69_station_1.txt#sector_100.txt#Colonel Rastast Binwaemi#npc_ship_data_(ATC_Vulture)#24#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Colonel Rastast Binwaemi</i></color> over an outstanding warrant in <color='cyan'>Grace</color> and return to Oak Industries in <color='cyan'>Dorando Corridor</color>;4;<i>Gillacou Bacbeck</i> of the Financial faction has sent out a warrent for the arrest of <color='yellow'><i>Colonel Rastast Binwaemi</i></color>. Last known sighting of <color='yellow'><i>Colonel Rastast Binwaemi</i></color> was in the area of <color='cyan'>Grace</color>. Bring them back alive to the Oak Industries in the <color='cyan'>Dorando Corridor</color> system to complete this contract.;105270;42206
MISSION;31;45;761381;TRANSPORT#2#1753#sector_78_station_0.txt#sector_65_station_0.txt#null#null#null#null;Head to Tella's in <color='cyan'>Bitcola</color>, pick up <color='yellow'>2</color> <color='yellow'>Premium Drone Command Bays</color> for a light shipment to CoraVault Hub in <color='cyan'>Pindoris</color>;3;The Trade faction advisor <i>Emijanco Demiserda</i> has placed a light shipment transport order to move <color='yellow'>2</color> <color='yellow'>Premium Drone Command Bays</color> from the Tella's storage in <color='cyan'>Bitcola</color>, to the CoraVault Hub in <color='cyan'>Pindoris</color>.;17130;7876
MISSION;62;45;875824;HARVEST#107#3#sector_57.txt#sector_100_station_0.txt#null#null#null#null;Excavate special <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Ponze</color> and return with <color='yellow'>107</color> to Fellacore Research Center in <color='cyan'>Grace</color>;3;<i>Lesfie Kaddvelcou</i> has discovered a light deposit of <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Ponze</color>. He is currently unable to mine the <color='yellow'>Special Quazor Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>107</color> <color='yellow'>Special Quazor Ore</color>. Once complete, head over and meet <i>Lesfie Kaddvelcou</i> at the Fellacore Research Center station located in the <color='cyan'>Grace</color>.;26530;10337
MISSION;123;45;696356;CHAT_PILOT#sector_2_station_0.txt#sector_11.txt#Father Bacmad Dofajan#npc_ship_data_(ATC_Supremacy)#13#missions_arrest_escort.txt#0#null;Detain <color='yellow'><i>Father Bacmad Dofajan</i></color> in <color='cyan'>Chamo</color> and escort them to Oro Omniplex Center in <color='cyan'>Merces Academy</color>;3;<i>Nortisri Xonwhiro</i> has requested that <color='yellow'><i>Father Bacmad Dofajan</i></color> be escorted back into custody. Authorities of the Trade faction has determined guilt opon the accused. <color='yellow'><i>Father Bacmad Dofajan</i></color> has refused to cooperate with the courts. Last known sighting of <color='yellow'><i>Father Bacmad Dofajan</i></color> was in the vicinity of the <color='cyan'>Chamo</color> system. Have a chat with them ann bring them back for further questioning.;49307;24118
MISSION;72;45;142911;ESCORT#sector_95_station_1.txt#sector_65_station_0.txt#Lieutenant Homdoe Tibinolas#npc_ship_data_(ATC_Raider_MK4)#9#null#null#null;A ship in Acrondia Hub in <color='cyan'>Temple Gates</color> needs an escort to CoraVault Hub in <color='cyan'>Pindoris</color>;3;After being selected for an academic grant, Dr. <color='yellow'><i>Lieutenant Homdoe Tibinolas</i></color> has requested an escort to the CoraVault Hub station in the <color='cyan'>Pindoris</color> system. <color='yellow'><i>Lieutenant Homdoe Tibinolas</i></color> has posted his pick-up location as Acrondia Hub in <color='cyan'>Temple Gates</color>. Be sure to protect the doctor at all cost, and under no circumstances are you to abandon him.;25113;10719
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.99;ship_data_(battle_escort_1).txt
SHIP;2;0.95;ship_data_(support_cruiser_1).txt
SHIP;3;1.09;ship_data_(support_shuttle_1).txt
SHIP;4;0.93;ship_data_(transport_carrier_1).txt
SHIP;5;1.09;ship_data_(support_escort_1).txt
SHIP;6;0.94;ship_data_(pirate_frigate_1).txt
SHIP;7;1.04;ship_data_(pirate_shuttle_1).txt
SHIP;8;0.92;ship_data_(pirate_frigate_1).txt
SHIP;9;0.98;ship_data_(recon_carrier_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

