// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Lammassu Financial
STATION;type;Market Center
STATION;owner;Jelegus
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color; 0.0 , 1.0 , 0.0 , 1.0
STATION;level;7
STATION;icon;lammassu.png
STATION;filename;sector_0_station_1.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;3-4-0-1-7-0-6-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-180
STATION;interior_seed;4-5-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;71354.11
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(transport_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(transport_escort_1).txt
MERC;9;1.93;npc_ship_data_(transport_utility_1).txt
MERC;12;1.23;npc_ship_data_(transport_utility_2).txt
MERC;15;1.47;npc_ship_data_(transport_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (2) Items ;41x845,75x473;208275.00;111635.60
ITEM;1174;52;1.19;444229.30
ITEM;1114;73;0.65;228936.30
ITEM;1573;35;1.10;237838.90
ITEM;1523;47;0.55;94953.00
ITEM;2203;21;1.12;7271602.00
ITEM;118;563;0.56;3.24
ITEM;165;359;0.93;51.74
ITEM;6;3695;0.51;47.38
ITEM;2171;41;0.51;5565991.00
ITEM;330;1007;0.82;1315.48
ITEM;103;655;0.65;1.50
ITEM;407;1000;0.25;1.61
ITEM;206;787;0.88;121.47
ITEM;644;11;0.57;40274.63
ITEM;107;757;0.94;10.97
ITEM;342;708;0.91;3800.86
ITEM;303;814;0.99;944.46
ITEM;601;6;0.54;7147.34
ITEM;106;988;0.54;5.42
ITEM;121;1242;0.58;24.89
ITEM;321;903;1.03;2744.18
ITEM;25;4196;0.72;227.64
ITEM;728;148;1.22;18951.84
ITEM;161;713;1.06;36.41
ITEM;23;289;0.97;104.56
ITEM;157;194;1.09;24.30
ITEM;214;833;0.97;220.35
ITEM;711;78;1.06;26482.95
ITEM;1461;58;0.71;160109.50
ITEM;670;25;0.25;6162.58
ITEM;678;44;0.92;26013.32
ITEM;756;117;0.48;7851.84
ITEM;676;46;0.25;4401.84
ITEM;674;25;0.25;5282.21
ITEM;740;139;0.90;14151.84
ITEM;672;25;0.25;7042.95
ITEM;680;126;0.75;21423.32
ITEM;352;870;0.89;8390.10
ITEM;320;728;1.12;1651.97
ITEM;350;945;0.73;5043.81
ITEM;203;579;0.56;59.64
ITEM;166;596;0.97;59.25
ITEM;104;835;0.49;1.99
ITEM;4;4933;0.67;22.43
ITEM;158;527;0.77;19.18
ITEM;690;25;0.25;2054.19
ITEM;692;25;0.25;1760.74
ITEM;691;25;0.25;2347.65
ITEM;209;560;0.90;127.37
ITEM;712;39;1.10;82328.85
ITEM;752;24;0.77;81345.63
ITEM;2014;593;0.61;435.91
ITEM;2374;24;0.88;1508.93
ITEM;211;447;0.65;113.28
ITEM;2451;49;1.19;394706.00
ITEM;677;25;0.25;13205.53
ITEM;747;69;1.00;104345.60
ITEM;304;714;0.72;576.10
ITEM;20;4826;1.15;25.06
ITEM;2011;803;0.91;477.86
ITEM;2010;35;0.90;429.87
ITEM;105;734;0.57;4.75
ITEM;305;28;1.08;261.99
ITEM;2264;66;1.12;474690.20
ITEM;1601;55;0.82;31084.42
ITEM;757;95;1.01;47405.53
ITEM;751;110;1.07;50105.54
ITEM;2114;182;0.68;106348.10
ITEM;2114;-99;0.66;103408.10
ITEM;2126;291;0.76;108265.70
ITEM;730;79;0.68;32555.53
ITEM;1631;70;0.85;44672.81
ITEM;621;21;1.03;13149.84
ITEM;2244;41;0.50;339116.70
ITEM;1571;33;1.17;63099.72
ITEM;1641;59;1.12;58172.81
ITEM;741;29;1.01;47405.53
ITEM;1521;19;1.06;44138.25
ITEM;646;9;0.68;145458.10
ITEM;331;727;0.70;160.29
ITEM;102;1201;0.76;2.50
ITEM;671;25;0.25;18487.74
ITEM;759;89;0.79;137520.30
ITEM;731;124;0.57;101220.30
ITEM;675;25;0.25;15846.64
ITEM;748;122;0.80;139170.30
ITEM;743;74;0.72;125970.30
ITEM;673;25;0.25;21128.85
ITEM;2007;167;0.67;351.93
ITEM;602;36;0.86;19368.29
ITEM;405;921;0.56;0.66
ITEM;604;7;0.88;60626.75
ITEM;2;4896;0.61;7.55
ITEM;313;815;0.71;221.54
ITEM;2130;227;0.73;9281.48
ITEM;1050;36;0.69;1466.91
ITEM;2112;-99;0.85;10721.48
ITEM;2112;262;0.92;11561.48
ITEM;1160;66;0.88;2031.60
ITEM;2154;63;0.63;8081.48
ITEM;324;833;0.63;1681.62
ITEM;2421;8;1.05;35242.09
ITEM;341;36;1.03;5660.76
ITEM;343;822;0.66;4374.92
ITEM;204;690;0.89;101.48
ITEM;322;13;1.12;769.42
ITEM;738;27;0.97;1026125.00
ITEM;24;4177;1.08;197.04
ITEM;11;4745;1.00;147.39
ITEM;643;4;0.64;25640.54
ITEM;1477;60;0.65;130023.00
ITEM;7;606;0.56;85.24
ITEM;2004;765;1.13;434.88
ITEM;112;276;1.19;41.05
ITEM;660;7;1.10;8004.19
ITEM;2003;215;1.20;418.93
ITEM;2002;425;1.13;359.41
ITEM;108;680;0.98;13.68
ITEM;2381;7;1.05;3480.47
ITEM;218;308;0.53;182.54
ITEM;661;8;0.63;8249.84
ITEM;666;9;1.07;223871.50
ITEM;332;50;0.93;2710.74
ITEM;301;865;0.48;13.24
ITEM;300;960;0.57;61.07
ITEM;200;635;1.07;82.67
ITEM;404;977;1.15;1.31
ITEM;325;911;0.75;256.25
ITEM;603;19;0.81;32018.27
ITEM;605;18;0.56;69332.30
ITEM;110;684;0.90;15.14
ITEM;606;21;1.09;227892.70
ITEM;623;9;0.56;22639.27
ITEM;101;460;0.72;1.37
ITEM;205;183;0.58;74.55
ITEM;403;831;0.94;1.08
ITEM;406;1000;0.25;0.32
ITEM;353;714;1.01;4603.34
ITEM;109;342;0.93;4.36
ITEM;729;35;1.08;16851.84
ITEM;311;925;0.63;86.01
ITEM;665;18;1.13;134820.70
ITEM;664;4;0.93;63909.35
ITEM;115;670;0.70;20.62
ITEM;75;2097;1.05;256.28
ITEM;1560;30;1.22;34113.32
ITEM;1550;37;0.86;22586.41
ITEM;2258;5;0.83;188666.50
ITEM;2119;129;0.88;32320.97
ITEM;1055;32;0.95;6954.19
ITEM;1009;29;0.57;5153.03
ITEM;2161;11;0.90;66041.94
ITEM;2125;85;1.18;47103.06
ITEM;1730;38;0.62;16586.41
ITEM;1732;15;0.73;19336.41
ITEM;60;381;1.05;153.77
ITEM;1008;57;1.08;7864.19
ITEM;2297;5;0.70;223036.90
ITEM;1171;63;0.75;6665.03
ITEM;312;1024;1.02;75.10
ITEM;620;17;0.67;4994.19
ITEM;2283;50;0.98;307036.90
ITEM;1640;65;0.66;17586.41
ITEM;2029;778;0.74;1472.97
ITEM;1721;59;0.59;15836.41
ITEM;50;1393;1.05;51.26
ITEM;40;1939;1.05;30.75
ITEM;167;714;0.61;42.02
ITEM;351;756;1.06;6114.16
ITEM;2410;37;0.61;11168.88
ITEM;302;1034;0.78;37.50
ITEM;111;420;0.57;14.18
ITEM;163;353;0.66;28.09
ITEM;2001;127;0.60;179.16
ITEM;2407;57;0.85;11472.87
ITEM;310;978;1.08;153.49
ITEM;1592;7;1.11;92276.50
ITEM;76;859;1.05;576.63
ITEM;737;4;0.75;446319.10
ITEM;1602;77;0.79;60008.85
ITEM;1403;63;0.98;175522.80
ITEM;2121;132;1.17;520269.30
ITEM;641;7;0.73;9474.84
ITEM;2115;141;0.92;495698.30
ITEM;2163;55;0.49;457438.80
ITEM;1067;60;1.10;107856.50
ITEM;61;29;1.05;345.98
ITEM;1020;64;0.57;52603.88
ITEM;622;28;1.10;24513.42
ITEM;2285;48;0.82;1036148.00
ITEM;1642;46;0.73;77345.63
ITEM;2311;69;0.64;5310988.00
ITEM;1622;49;0.93;116814.80
ITEM;1522;41;1.20;99476.50
ITEM;51;0;2.50;268.27
ITEM;41;68;1.05;69.20
ITEM;1;4775;0.99;7.23
ITEM;2000;774;0.86;17.40
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;223;1.88
SKILL;224;1.18
SKILL;225;0.89
SKILL;226;0.53
SKILL;232;0.67
SKILL;233;0.95
SKILL;221;0.86
SKILL;100;0.83
SKILL;101;0.63
SKILL;59;0.43
SKILL;114;1.13
SKILL;117;1.13
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;135;45;166653;SALVAGE#318#27#sector_2.txt#sector_97_station_0.txt#null#null#null#null;Return to Temple of the Void in <color='cyan'>Valley of Truths</color> after salvaging <color='yellow'>Special Engine Component</color> from <color='cyan'>Merces Academy</color>. <color='yellow'>318</color> required.;3;In the <color='cyan'>Merces Academy</color> system, scan records have revealed that <color='yellow'>318</color> special <color='yellow'>Special Engine Component</color> have been located in the sector. <i>Naliagale Wengorecor</i> has requested help from the Trade faction, and in turn, they have commissioned a contract order. Once the medium load of <color='yellow'>Special Engine Component</color> has been salvaged, bring it to Temple of the Void station located in the <color='cyan'>Valley of Truths</color>.;145870;36929
MISSION;83;60;287628;RECOVER#173#2007#sector_78.txt#sector_100_station_0.txt#null#null#null#null;Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Bitcola</color> and bring back to Fellacore Research Center in <color='cyan'>Grace</color>;4;A medium shipping crate has come up missing from a mining operation move in <color='cyan'>Bitcola</color>. <i>Royer Vajdoe</i> is looking for an able pilot to scoop up the shipment of <color='yellow'>173</color> <color='yellow'>Hand Tools</color>. Once the crate has been recovered, take it to the Fellacore Research Center station located in the <color='cyan'>Grace</color> where <i>Royer Vajdoe</i> will be waiting with your payment.;54434;9044
MISSION;46;45;399926;SCAN_PILOT#sector_22_station_0.txt#sector_63.txt#Entertainer Founalia Ninexad#npc_ship_data_(torpedo_bomber_escort_5)#13#null#null#null;Return to Monarch Society in <color='cyan'>Solitudes of Frey</color> after scanning <color='yellow'><i>Entertainer Founalia Ninexad</i></color> in <color='cyan'>Numbu</color>;4;<color='yellow'><i>Entertainer Founalia Ninexad</i></color>'s ship has recently been spotted alone in <color='cyan'>Numbu</color>. Financial faction has sent deployed Officer <i>Deszils Almes</i> to tag along with <color='yellow'><i>Entertainer Founalia Ninexad</i></color>, but has not been heard from since they arrived in <color='cyan'>Numbu</color>. Head there and check if <color='yellow'><i>Entertainer Founalia Ninexad</i></color> is alone, if so, scan <color='yellow'><i>Entertainer Founalia Ninexad</i></color>'s ship and report back to Monarch Society in <color='cyan'>Solitudes of Frey</color> with an up to date scan record.;294353;71808
MISSION;132;45;867182;SALVAGE#131#20#sector_97.txt#sector_14_station_1.txt#null#null#null#null;Dismantle <color='yellow'>Special Junk Part</color> in <color='cyan'>Valley of Truths</color> and return with <color='yellow'>131</color> to Horizons in <color='cyan'>Gate of Alpharis</color>;3;<i>Nortiswha Belhorelow</i> has discovered a light cache of <color='yellow'>Special Junk Part</color> in <color='cyan'>Valley of Truths</color>. He is currently unable to dismantle the <color='yellow'>Special Junk Part</color>, and has requested a pilot to head over and salvage the <color='yellow'>131</color> <color='yellow'>Special Junk Part</color>. Once complete, head over and meet <i>Nortiswha Belhorelow</i> at the Horizons station located in the <color='cyan'>Gate of Alpharis</color>.;25497;5168
MISSION;80;60;172392;RECOVER#2#1500#sector_74.txt#sector_0_station_2.txt#null#null#null#null;Recover a light quantity of <color='yellow'>2</color> <color='yellow'>Basic Thrusters</color> in <color='cyan'>Archteli</color>, and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;5;The Commerce faction has lost track of a light crate somewhere in the <color='cyan'>Archteli</color> system. Head over there and recover the crate containing <color='yellow'>2</color> units of <color='yellow'>Basic Thrusters</color>, and dock at the StarGypsy Warehouse in the <color='cyan'>Void Starcross</color> sector. <i>Anbue Imesvelah</i> has been instructed to wait for the lost cargo at the StarGypsy Warehouse station.;12902;3938
MISSION;45;45;830398;SCAN_PILOT#sector_22_station_0.txt#sector_15.txt#Doctor Komxen Whixad#npc_ship_data_(VVS_Warden_Mk2)#9#null#null#null;In <color='cyan'>Jermicus</color>, scan details about <color='yellow'><i>Doctor Komxen Whixad</i></color> and return to Monarch Society in <color='cyan'>Solitudes of Frey</color>;3;Under recent suspicions of smuggling, <color='yellow'><i>Doctor Komxen Whixad</i></color> has been put on review by his Trade employers. They have requested a ship scan of <color='yellow'><i>Doctor Komxen Whixad</i></color>'s current ship in <color='cyan'>Jermicus</color>, to verify the integrity of the cargo hull. <color='yellow'><i>Doctor Komxen Whixad</i></color> is known for making illegal modifications to company craft, and the main offices at Monarch Society in <color='cyan'>Solitudes of Frey</color> want to make sure everything is on the level.;148177;24620
MISSION;95;90;689050;KILL_PILOT#sector_78_station_0.txt#sector_12.txt#Chairman Bacwhe Moaj#npc_ship_data_(excavation_escort_3)#23#null#null#null;Kill Bounty for <color='yellow'><i>Chairman Bacwhe Moaj</i></color> in <color='cyan'>Alias Outpost</color> and return to Tella's in <color='cyan'>Bitcola</color>;3;<color='yellow'><i>Chairman Bacwhe Moaj</i></color> has been tormenting the residents of the <color='cyan'>Alias Outpost</color> system for some time now. Paperwork has finally been processed and <i>Galehore Kolrast</i> was happy to report that a Kill contract has been filed. When finished, return to the Tella's station, in the <color='cyan'>Bitcola</color> system. <i>Galehore Kolrast</i> will await you there with your payment from the Trade faction.;252301;61549
MISSION;24;120;413612;COLLECT#10#1610#sector_99_station_0.txt#sector_23_station_0.txt#null#null#null#null;Bring a medium collection of <color='yellow'>10</color> <color='yellow'>Basic Targeting Systems</color> to Ferce Hub in the <color='cyan'>Semja</color> Sector;4;Financial Union Rep, <i>Hasti Tobazgore</i> is looking to collect a medium sized shipment of <color='yellow'>10</color> <color='yellow'>Basic Targeting Systems</color>. Once the items have been acquired, return to Ferce Hub in the <color='cyan'>Semja</color> Sector. <i>Hasti Tobazgore</i> will be waiting there to receive the <color='yellow'>Basic Targeting Systems</color>.;163625;58032
MISSION;93;90;326257;KILL_PILOT#sector_95_station_0.txt#sector_66.txt#Mr. Uoron Yaxenbun#npc_ship_data_(ATC_Supremacy)#10#null#null#null;Frag <color='yellow'><i>Mr. Uoron Yaxenbun</i></color>, in <color='cyan'>Ele</color> and return to Star Shepards Hub in <color='cyan'>Temple Gates</color>;4;An intermediate level pilot has been sentenced by ASP for extermination. <color='yellow'><i>Mr. Uoron Yaxenbun</i></color>, found guilty of raiding, and murder, has been hanging out in the <color='cyan'>Ele</color> system. When complete, return to the Star Shepards Hub station in the <color='cyan'>Temple Gates</color> system. The Financial's will be very happy to hear of <color='yellow'><i>Mr. Uoron Yaxenbun</i></color>'s demise.;95134;28137
MISSION;133;45;704369;SALVAGE#134#25#sector_62.txt#sector_66_station_1.txt#null#null#null#null;Dismantle <color='yellow'>Special Module Fragment</color> in <color='cyan'>Jelumus</color> and return to Xellon in <color='cyan'>Ele</color> with minimum of <color='yellow'>134</color>;3;The Trade faction has reported that a special medium load of <color='yellow'>Special Module Fragment</color> has been scanned in the <color='cyan'>Jelumus</color> system. <i>Faeyou Wofaras</i> is credited with the find, but His claim is currently invalid. Hurry up and salvage the <color='yellow'>Special Module Fragment</color> and return to Xellon, in the <color='cyan'>Ele</color>.;63997;15074
MISSION;122;45;138739;CHAT_PILOT#sector_63_station_0.txt#sector_14.txt#Professor Leabar Adakilebor#npc_ship_data_(ATC_Wasp)#11#missions_debt_collection.txt#0#null;Collect a payment from <color='yellow'><i>Professor Leabar Adakilebor</i></color> in <color='cyan'>Gate of Alpharis</color> and return to Lammassu Hub in <color='cyan'>Numbu</color>;4;<i>Johfar Qalindono</i> has requested that debt be collected from <color='yellow'><i>Professor Leabar Adakilebor</i></color>. After 3 payments to the Financial faction for transport fines, <color='yellow'><i>Professor Leabar Adakilebor</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Professor Leabar Adakilebor</i></color> was in the vicinity of the <color='cyan'>Gate of Alpharis</color> system. Have a chat with them, collect the debt, and return to the Lammassu Hub in the <color='cyan'>Numbu</color> system to deliver the payment.;26901;3063
MISSION;123;45;234881;CHAT_PILOT#sector_69_station_1.txt#sector_100.txt#Engineer Genbo Binduesiv#npc_ship_data_(Testship)#0#missions_arrest_escort.txt#0#null;Detain <color='yellow'><i>Engineer Genbo Binduesiv</i></color> in <color='cyan'>Grace</color> and escort them to Oak Industries in <color='cyan'>Dorando Corridor</color>;4;<i>Bruile Lafuti</i> has requested that <color='yellow'><i>Engineer Genbo Binduesiv</i></color> be escorted back into custody. Authorities of the Financial faction has determined guilt opon the accused. <color='yellow'><i>Engineer Genbo Binduesiv</i></color> has refused to cooperate with the courts. Last known sighting of <color='yellow'><i>Engineer Genbo Binduesiv</i></color> was in the vicinity of the <color='cyan'>Grace</color> system. Have a chat with them ann bring them back for further questioning.;53616;10719
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.0;ship_data_(transport_shuttle_1).txt
SHIP;1;1.0;ship_data_(transport_escort_1).txt
SHIP;1;1.0;ship_data_(transport_escort_2).txt
SHIP;4;1.0;ship_data_(transport_utility_1).txt
SHIP;4;1.0;ship_data_(transport_utility_2).txt
SHIP;4;1.0;ship_data_(transport_frigate_1).txt
</HANGAR>
// OFFICES;office_name;npc_name;faction_id;faction_req;level;img;scripting_file;scripting_id;
<OFFICE>
OFFICE;(AstyQuest);Asty;1;0.0;26;station.png;male_1.png;accessory_1.png;astys_quest_1.txt;1
OFFICE;(Tutorial Office) Ship Orbiting;Jonathan Hetcher;1;0.0;26;station.png;male_9.png;accessory_15.png;tutorial_ship_orbits.txt;2
OFFICE;(Tutorial Office) Camera Basics;Ratamaq Guru;1;0.0;26;station.png;male_2.png;accessory_18.png;tutorial_camera_basics.txt;2
OFFICE;(Tutorial Office) Navigation Basics;Arji Darn;1;0.0;26;station.png;male_3.png;accessory_18.png;tutorial_navigation_basics.txt;2
OFFICE;(Tutorial Office) Life Support Basics;Carter Burke;1;0.0;26;station.png;male_4.png;accessory_19.png;tutorial_life_support.txt;2
OFFICE;(Tutorial Office) Basic Drones;Daniel Traek;1;0.0;43;station.png;male_4.png;accessory_17.png;tutorial_drones.txt;2
</OFFICE>
// STORAGE;item_id;Qty;0
<STORAGE>

