// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Gemini Mining
STATION;type;Mining Facility
STATION;owner;Biraemi Xoqi
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;2
STATION;icon;gemini_mining.png
STATION;filename;sector_13_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-4-0-5-7-1-0-0-7-7-3-5-90
STATION;interior_seed;4-6-30-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;78273.04
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.15;npc_ship_data_(excavation_escort_1).txt
MERC;5;1.85;npc_ship_data_(support_shuttle_1).txt
MERC;8;1.89;npc_ship_data_(transport_shuttle_1).txt
MERC;4;1.95;npc_ship_data_(support_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (2) Items ;5x219,4x732;35313.00;84845.30
ITEM;692;15;0.77;5169.75
ITEM;758;39;0.81;90162.50
ITEM;304;1;1.20;974.66
ITEM;20;54;0.96;22.08
ITEM;305;4;0.80;207.93
ITEM;1591;19;0.89;39265.00
ITEM;1501;7;0.77;36188.25
ITEM;1611;12;0.93;34735.25
ITEM;1561;11;1.23;71367.75
ITEM;1551;19;0.72;40581.25
ITEM;2269;17;0.82;415701.00
ITEM;2120;19;0.92;123924.10
ITEM;1205;12;0.62;34869.63
ITEM;1541;16;0.90;45614.75
ITEM;621;9;0.67;9329.91
ITEM;2289;11;0.86;570975.00
ITEM;1571;2;1.12;63004.50
ITEM;2284;16;0.93;612975.00
ITEM;1751;12;0.96;84130.00
ITEM;746;31;0.96;47323.13
ITEM;1531;2;0.61;35081.25
ITEM;102;215;0.90;3.08
ITEM;2426;15;1.03;37878.40
ITEM;671;18;1.11;75702.38
ITEM;743;28;0.87;158668.10
ITEM;673;14;0.67;54837.00
ITEM;405;14;0.55;0.71
ITEM;2;0;2.50;37.42
ITEM;1204;22;0.83;1324836.00
ITEM;1054;1;0.82;2187.90
ITEM;1400;6;0.55;2566.50
ITEM;2118;6;1.01;11016.25
ITEM;1100;3;0.82;1823.25
ITEM;1200;12;1.13;4886.50
ITEM;1052;8;0.84;2049.58
ITEM;1110;8;0.77;1895.58
ITEM;1001;13;0.51;1323.58
ITEM;324;0;2.50;8089.11
ITEM;669;5;0.57;712939.30
ITEM;151;160;0.79;10.67
ITEM;322;0;1.53;1341.05
ITEM;2191;2;0.63;1691309.00
ITEM;7;0;2.50;457.58
ITEM;1209;12;0.54;1826234.00
ITEM;660;3;0.97;7431.38
ITEM;661;1;0.99;13249.91
ITEM;666;5;0.25;68687.13
ITEM;301;1;0.89;24.84
ITEM;300;4;0.98;106.68
ITEM;404;18;1.03;1.23
ITEM;325;0;2.50;1046.24
ITEM;168;106;0.93;26.50
ITEM;101;203;1.10;2.14
ITEM;403;2;1.10;1.31
ITEM;406;10;0.64;0.80
ITEM;668;5;0.25;210354.60
ITEM;665;18;0.79;101291.70
ITEM;664;36;0.76;55910.88
ITEM;8;0;1.53;472.63
ITEM;1213;34;0.78;2898175.00
ITEM;75;75;1.06;215.93
ITEM;1500;1;1.07;24394.13
ITEM;1610;3;0.93;17367.63
ITEM;1560;9;0.93;27583.88
ITEM;1550;1;0.93;25540.63
ITEM;1401;6;0.86;13322.75
ITEM;1055;18;1.03;7851.38
ITEM;2113;32;0.61;29468.25
ITEM;1201;11;0.67;10662.75
ITEM;1057;6;1.17;9714.51
ITEM;1008;15;1.14;8621.38
ITEM;1171;9;0.96;8833.65
ITEM;1630;15;1.08;29290.63
ITEM;1111;17;0.68;5941.51
ITEM;1007;8;0.88;7481.51
ITEM;620;2;0.82;6381.38
ITEM;1650;5;0.56;16290.63
ITEM;1510;6;0.60;15215.75
ITEM;1580;5;1.07;32525.50
ITEM;1570;4;1.09;30722.25
ITEM;1640;19;0.64;18290.63
ITEM;2305;17;1.18;610380.00
ITEM;1620;15;1.06;34548.75
ITEM;40;15;0.77;19.39
ITEM;169;24;0.59;48.22
ITEM;167;155;0.56;41.91
ITEM;153;52;0.70;11.59
ITEM;302;7;0.54;28.76
ITEM;2407;7;0.52;7853.88
ITEM;667;5;0.45;189688.00
ITEM;641;9;1.08;14352.41
ITEM;1202;21;0.85;161488.70
ITEM;2280;19;0.70;949950.00
ITEM;41;9;0.80;45.14
ITEM;1;0;2.50;22.68
ITEM;1220;12;0.25;427031.30
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;25;0.54
SKILL;56;0.56
SKILL;33;1.86
SKILL;228;0.97
SKILL;229;1.07
SKILL;36;1.28
SKILL;232;0.99
SKILL;225;1.71
SKILL;234;1.84
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;133;45;876952;SALVAGE#105#23#sector_60.txt#sector_0_station_1.txt#null#null#null#null;Dismantle <color='yellow'>Special Metal Fragment</color> in <color='cyan'>Veloxi</color> and return to Lammassu Financial in <color='cyan'>Void Starcross</color> with minimum of <color='yellow'>105</color>;12;The Labor faction has reported that a special medium load of <color='yellow'>Special Metal Fragment</color> has been scanned in the <color='cyan'>Veloxi</color> system. <i>Jalisyou Dornfi</i> is credited with the find, but His claim is currently invalid. Hurry up and salvage the <color='yellow'>Special Metal Fragment</color> and return to Lammassu Financial, in the <color='cyan'>Void Starcross</color>.;39192;18089
MISSION;70;45;376312;ESCORT#sector_0_station_4.txt#sector_0_station_0.txt#Scribe Zadue Biraleiyer#npc_ship_data_(kj_utility_2)#0#null#null#null;Escort <color='yellow'><i>Scribe Zadue Biraleiyer</i></color> from Starbase Corporate Center in <color='cyan'>Void Starcross</color> to Biomate University in <color='cyan'>Void Starcross</color>;13;A wealthy council member from the Contractor faction has set up an escort for his oldest son <color='yellow'><i>Scribe Zadue Biraleiyer</i></color>. He was recently released from a rehab center for bliss addiction, and <i>Diekile Youpea</i>, his father, would prefer he doesn't travel alone. You can meet up with <color='yellow'><i>Scribe Zadue Biraleiyer</i></color> at the Starbase Corporate Center station before heading over to Biomate University.;4000;500
MISSION;140;90;317331;REFINE#15#21#sector_35_station_0.txt#sector_0_station_3.txt#null#null#null#null;Dock at the Astrox Security Patrol station refinery in <color='cyan'>Felishar</color> and process a light shipment of <color='yellow'>15</color> <color='yellow'>Scrap Parts</color>;13;<i>Goris Zetajo</i> runs a Contractor shipping company at StarShepards Headquarters. After having some issues with a transport ship, <color='yellow'>15</color> items of <color='yellow'>Scrap Parts</color> were left behind. Head on over to <color='cyan'>Felishar</color> and refine these <color='yellow'>Scrap Parts</color> at the Astrox Security Patrol refinery.;6750;1500
MISSION;151;120;821829;FABRICATE#8#2429#sector_61_station_0.txt#sector_15_station_0.txt#null#null#null#null;Produce a light container of <color='yellow'>8</color> <color='yellow'>Lidar Systems</color> at the Transporteers Hub fabricator in <color='cyan'>Ambervellis Drea</color>;12;The Labor Faction has commissioned a production liaison, <i>Foupi Yoserfi</i> at Crystalis Broadcasting. After an audit, <color='yellow'>8</color> items of <color='yellow'>Lidar Systems</color> were deemed required. Head on over to <color='cyan'>Ambervellis Drea</color> and manufacture these <color='yellow'>Lidar Systems</color> at Transporteers Hub.;25419;9188
MISSION;94;90;342357;KILL_PILOT#sector_65_station_0.txt#sector_96.txt#Lieutenant Homlow Beuo#npc_ship_data_(ATC_Scarab)#15#null#null#null;Destroy the ship of <color='yellow'><i>Lieutenant Homlow Beuo</i></color> and head to CoraVault Hub in <color='cyan'>Pindoris</color> for the bounty;13;A kill contract has been placed on <color='yellow'><i>Lieutenant Homlow Beuo</i></color> by the Contractor faction for various crimes committed in the <color='cyan'>Arch of Mori</color>. <i>Zanqo Ninefieba</i> has issued this contract and will be waiting at the CoraVault Hub station in <color='cyan'>Pindoris</color> system for news that this criminal has been destroyed.;109734;35171
MISSION;21;120;815603;COLLECT#6#352#sector_35_station_0.txt#sector_66_station_1.txt#null#null#null#null;Gather a collection of <color='yellow'>6</color> <color='yellow'>Medical Instruments</color> and dock the light shipment at Astrox Security Patrol in <color='cyan'>Felishar</color>;12;<i>Bacemi Sezebem</i> has requested an small collection of <color='yellow'>6</color> <color='yellow'>Medical Instruments</color> in preparation for an upcoming exploration run. Backed by the Labors after these items have been collected, return to the Astrox Security Patrol Station located in the <color='cyan'>Felishar</color> Sector.;22380;9626
MISSION;22;120;522419;COLLECT#3#26#sector_100_station_0.txt#sector_14_station_0.txt#null#null#null#null;Return to Fellacore Research Center in <color='cyan'>Grace</color> with a light collection of <color='yellow'>3</color> <color='yellow'>Weapons Components</color>;12;A request has been made by the Overseer of Fellacore Research Center in <color='cyan'>Grace</color> for the acquisition of <color='yellow'>3</color> <color='yellow'>Weapons Components</color>. <i>Zetawa Hasdemi</i> will reimburse you for the cost of the items, as well as payment for your troubles.;32846;10528
MISSION;10;30;269147;DELIVERY#94#122#sector_18_station_0.txt#sector_95_station_0.txt#null#null#null#null;Dock at Dreamstar in <color='cyan'>Gendaria</color> to deliver a light shipment of <color='yellow'>94</color> <color='yellow'>Uraniums</color>;12;<i>Befall Bazkin</i> runs a Labor shipping company at Star Shepards Hub. After having some issues with a transport ship, <color='yellow'>94</color> items of <color='yellow'>Uraniums</color> were left behind. Head on over to <color='cyan'>Gendaria</color> and deliver these <color='yellow'>Uraniums</color> to Dreamstar.;7800;2500
MISSION;94;90;936958;KILL_PILOT#sector_56_station_1.txt#sector_11.txt#Ensign Ceeemi Telajmel#npc_ship_data_(recon_escort_2)#15#null#null#null;Destroy the ship of <color='yellow'><i>Ensign Ceeemi Telajmel</i></color> and head to ValueStar in <color='cyan'>Hunu</color> for the bounty;12;A kill contract has been placed on <color='yellow'><i>Ensign Ceeemi Telajmel</i></color> by the Labor faction for various crimes committed in the <color='cyan'>Chamo</color>. <i>Madnuh Tubun</i> has issued this contract and will be waiting at the ValueStar station in <color='cyan'>Hunu</color> system for news that this criminal has been destroyed.;88632;14069
MISSION;145;90;348665;REFINE#267#1#sector_58_station_0.txt#sector_65_station_0.txt#null#null#null#null;Dock with CoraVault refinery and process a medium shipment of <color='yellow'>267</color> <color='yellow'>Adamyte Ores</color> in <color='cyan'>Lins</color>;12;<i>Payer Zaebelpae</i> has relocated from CoraVault Hub and requests processing of <color='yellow'>267</color> <color='yellow'>Adamyte Ores</color> to be refined at the new refinery at CoraVault. Head on over to <color='cyan'>Lins</color> and process these <color='yellow'>Adamyte Ores</color>.;179722;49239
MISSION;95;90;581249;KILL_PILOT#sector_97_station_0.txt#sector_20.txt#Bishop Demijag Fura#npc_ship_data_(recon_escort_1)#23#null#null#null;Kill Bounty for <color='yellow'><i>Bishop Demijag Fura</i></color> in <color='cyan'>Cliffs of Drameria</color> and return to Temple of the Void in <color='cyan'>Valley of Truths</color>;12;<color='yellow'><i>Bishop Demijag Fura</i></color> has been tormenting the residents of the <color='cyan'>Cliffs of Drameria</color> system for some time now. Paperwork has finally been processed and <i>Zaneno Bemza</i> was happy to report that a Kill contract has been filed. When finished, return to the Temple of the Void station, in the <color='cyan'>Valley of Truths</color> system. <i>Zaneno Bemza</i> will await you there with your payment from the Labor faction.;226499;73859
MISSION;45;45;428693;SCAN_PILOT#sector_61_station_0.txt#sector_17.txt#General Jelmo Zenokee#npc_ship_data_(Super_Heavy_Transport_8)#4#null#null#null;In <color='cyan'>Rats Of Mortalis</color>, scan details about <color='yellow'><i>General Jelmo Zenokee</i></color> and return to Transporteers Hub in <color='cyan'>Ambervellis Drea</color>;12;Under recent suspicions of smuggling, <color='yellow'><i>General Jelmo Zenokee</i></color> has been put on review by his Labor employers. They have requested a ship scan of <color='yellow'><i>General Jelmo Zenokee</i></color>'s current ship in <color='cyan'>Rats Of Mortalis</color>, to verify the integrity of the cargo hull. <color='yellow'><i>General Jelmo Zenokee</i></color> is known for making illegal modifications to company craft, and the main offices at Transporteers Hub in <color='cyan'>Ambervellis Drea</color> want to make sure everything is on the level.;184220;49239
MISSION;83;60;327642;RECOVER#39#2044#sector_14.txt#sector_14_station_1.txt#null#null#null#null;Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Gate of Alpharis</color> and bring back to Horizons in <color='cyan'>Gate of Alpharis</color>;12;A medium shipping crate has come up missing from a mining operation move in <color='cyan'>Gate of Alpharis</color>. <i>Atewho Feicae</i> is looking for an able pilot to scoop up the shipment of <color='yellow'>39</color> <color='yellow'>Hydraulic Assemblys</color>. Once the crate has been recovered, take it to the Horizons station located in the <color='cyan'>Gate of Alpharis</color> where <i>Atewho Feicae</i> will be waiting with your payment.;60319;12059
MISSION;71;45;630204;ESCORT#sector_14_station_1.txt#sector_0_station_4.txt#Chairman Fomes Moleea#npc_ship_data_(ATC_Nomad)#11#null#null#null;<color='yellow'><i>Chairman Fomes Moleea</i></color> requests an escort from Horizons in <color='cyan'>Gate of Alpharis</color> to Starbase Corporate Center in <color='cyan'>Void Starcross</color>;13;The Astrox Security Patrol has posted a contract for the safe delivery of a <color='yellow'><i>Chairman Fomes Moleea</i></color>, wanted for questioning in a non-violent incident a few cycles ago in the <color='cyan'>Gate of Alpharis</color> system. Escort <color='yellow'><i>Chairman Fomes Moleea</i></color> from Horizons to Starbase Corporate Center in the <color='cyan'>Void Starcross</color> system.;12600;1750
MISSION;53;30;246901;SCAN_STRUCTURE#sector_2_station_0.txt#sector_63.txt#Public Energy Generator#structure_energy_gen_1.txt#1#null#null#null;Scan the <color='yellow'>Public Energy Generator</color> structure in <color='cyan'>Numbu</color> and return to Oro Omniplex Center in <color='cyan'>Merces Academy</color>;12;Space rats have infested the <color='yellow'>Public Energy Generator</color> structure over in <color='cyan'>Numbu</color>. <i>Wotu Rastcou</i> has been trying to get help with the infestation, but until the structure is scanned, Labor union members are not going to come. Head back to the Oro Omniplex Center station located in the <color='cyan'>Merces Academy</color> with a scan report.;63424;18758
MISSION;44;45;837203;SCAN_PILOT#sector_66_station_1.txt#sector_62.txt#Engineer Astbaz Qusebem#npc_ship_data_(kj_shuttle_1)#4#null#null#null;Scan <color='yellow'><i>Engineer Astbaz Qusebem</i></color> recently spotted in <color='cyan'>Jelumus</color> and return to Xellon in <color='cyan'>Ele</color>;14;In <color='cyan'>Jelumus</color>, a pilot named <color='yellow'><i>Engineer Astbaz Qusebem</i></color> is suspected to be operating under a false identity. He is believed to be the wanted criminal <i>Enokile Telni</i> by the Extractors faction. Before ASP can take action, they have requested we transfer a hard copy of a recent scan. Return to Xellon in <color='cyan'>Ele</color> with an up to date scan record.;110991;32827
MISSION;97;90;875968;KILL_PILOT#sector_1_station_0.txt#sector_57.txt#Foreman Falllei Uezetapad#npc_ship_data_(battle_frigate_3)#51#null#null#null;Kill Dangerous <color='yellow'><i>Foreman Falllei Uezetapad</i></color> in <color='cyan'>Ponze</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>;12;<color='yellow'><i>Foreman Falllei Uezetapad</i></color> wanted, DEAD!. This dangerous raider has been located in the <color='cyan'>Ponze</color> system. Wanted for murdering a family own caravan, <color='yellow'><i>Foreman Falllei Uezetapad</i></color> has since been on the run in the Labor region. Locate and execute this wanted criminal, and return to Quantex in <color='cyan'>Dellis Primeria</color> to collect your bounty.;655958;188494
MISSION;64;45;311039;HARVEST#184#3#sector_57.txt#sector_3_station_0.txt#null#null#null#null;In <color='cyan'>Ponze</color>, Extract special <color='yellow'>Special Quazor Ore</color> and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color> with at least <color='yellow'>184</color>;13;A local company in <color='cyan'>Ponze</color> has requested a medium harvest of <color='yellow'>184</color> <color='yellow'>Special Quazor Ore</color>. This is a rare find, and the client has requested someone bring the resource back to Daemon Ammunitions station located in the <color='cyan'>Starfort Ramos</color>. A Contractor faction representative will be waiting to take the resources from you.;111994;26379
MISSION;74;45;222603;ESCORT#sector_0_station_5.txt#sector_62_station_0.txt#Engineer Vedzo Walocki#npc_ship_data_(kj_utility_1)#7#null#null#null;<color='yellow'><i>Engineer Vedzo Walocki</i></color> docked at Proctors Center in <color='cyan'>Void Starcross</color> and needs an escort to Valuestar Hub in <color='cyan'>Jelumus</color>;13;A lucky prospector is traveling with some very valuable information. <color='yellow'><i>Engineer Vedzo Walocki</i></color> has requested that She be escorted back to Valuestar Hub. Her Contractor's are awaiting the delivery of this data, and do not like to take chances. Meet <color='yellow'><i>Engineer Vedzo Walocki</i></color> at the Proctors Center station in <color='cyan'>Void Starcross</color>.;81597;23448
MISSION;145;90;675175;REFINE#8#9#sector_66_station_0.txt#sector_0_station_0.txt#null#null#null#null;Dock with Communications Hub refinery and process a medium shipment of <color='yellow'>8</color> <color='yellow'>Xenox Ores</color> in <color='cyan'>Ele</color>;12;<i>Ququ Yerdue</i> has relocated from Biomate University and requests processing of <color='yellow'>8</color> <color='yellow'>Xenox Ores</color> to be refined at the new refinery at Communications Hub. Head on over to <color='cyan'>Ele</color> and process these <color='yellow'>Xenox Ores</color>.;238809;86168
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.01;ship_data_(pirate_carrier_1).txt
SHIP;2;0.96;ship_data_(transport_carrier_1).txt
SHIP;3;0.92;ship_data_(support_escort_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

