// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;PharmaLife
STATION;type;Distribution Warehouse
STATION;owner;Fura Geegacie
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;3
STATION;icon;ad_image_10.png
STATION;filename;sector_23_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-3-0-6-4-0-9-1-4-1-3-1-1-5-4-1-1-1-2-7-3-9-90
STATION;interior_seed;5-0-45-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;77482.5
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.97;npc_ship_data_(battle_carrier_1).txt
MERC;8;1.89;npc_ship_data_(pirate_utility_1).txt
MERC;4;1.77;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (1) Items ;313x760;351483;115550.80
ITEM;407;28;0.57;3.31
ITEM;107;0;0.75;8.71
ITEM;303;0;1.07;1006.41
ITEM;150;298;1.13;12.77
ITEM;601;4;0.83;10550.31
ITEM;106;32;0.75;7.26
ITEM;121;0;0.66;27.60
ITEM;728;44;0.72;11268.75
ITEM;161;116;0.63;21.82
ITEM;160;145;0.55;17.44
ITEM;2349;16;1.18;259.21
ITEM;157;191;0.77;17.18
ITEM;711;6;0.82;20430.00
ITEM;670;27;1.20;25856.25
ITEM;678;37;0.90;25143.75
ITEM;756;44;1.08;16668.75
ITEM;732;6;0.95;14718.75
ITEM;676;8;1.17;18018.75
ITEM;674;11;0.95;17662.50
ITEM;745;56;0.71;11118.75
ITEM;203;3;1.18;119.71
ITEM;166;62;0.93;56.19
ITEM;2430;29;1.21;61372.37
ITEM;104;5;1.06;4.07
ITEM;155;56;0.57;10.65
ITEM;1460;25;1.10;28281.25
ITEM;692;44;0.62;3907.50
ITEM;691;2;0.65;5450.00
ITEM;712;45;0.75;56250.00
ITEM;747;1;0.53;56125.00
ITEM;304;23;1.14;883.83
ITEM;20;76;0.75;16.41
ITEM;105;250;0.25;2.18
ITEM;2427;6;0.94;36080.00
ITEM;305;11;0.71;172.86
ITEM;1591;18;0.80;33250.00
ITEM;1501;23;0.94;40792.50
ITEM;757;42;0.71;33356.25
ITEM;1402;16;1.09;54941.25
ITEM;2120;147;0.67;85903.13
ITEM;2114;147;1.15;173643.80
ITEM;1015;29;0.67;20616.75
ITEM;2126;73;0.74;103925.90
ITEM;1172;21;0.57;17676.75
ITEM;1112;28;1.07;29678.69
ITEM;621;7;1.07;13490.31
ITEM;1571;15;0.65;35425.00
ITEM;1641;11;1.20;61562.50
ITEM;1751;0;2.50;253125.00
ITEM;746;0;1.03;47756.25
ITEM;1531;20;0.86;44562.50
ITEM;102;188;0.95;3.05
ITEM;671;50;0.63;41658.75
ITEM;679;15;0.88;73811.25
ITEM;759;9;0.68;117356.30
ITEM;753;30;0.68;117356.30
ITEM;681;52;1.24;102971.30
ITEM;602;9;1.23;27038.68
ITEM;405;0;2.50;3.48
ITEM;2;116;1.05;12.49
ITEM;313;0;2.50;930.33
ITEM;123;250;0.25;27.95
ITEM;1054;26;0.88;2187.00
ITEM;1100;29;0.92;1902.50
ITEM;2124;115;0.51;5953.75
ITEM;1052;27;1.08;2444.75
ITEM;1110;12;0.59;1366.75
ITEM;735;32;0.54;4284375.00
ITEM;204;211;0.53;61.01
ITEM;151;224;0.93;11.63
ITEM;738;51;1.07;1115016.00
ITEM;112;250;0.25;9.36
ITEM;660;13;0.54;3998.75
ITEM;108;250;0.25;3.76
ITEM;661;7;0.61;7855.31
ITEM;301;6;1.07;27.86
ITEM;300;29;0.92;94.70
ITEM;200;0;0.57;44.64
ITEM;404;0;2.50;3.48
ITEM;110;32;0.80;13.34
ITEM;168;185;0.97;25.97
ITEM;101;0;0.59;1.12
ITEM;205;151;1.16;142.45
ITEM;403;0;2.50;3.48
ITEM;406;25;0.70;0.80
ITEM;109;250;0.25;1.26
ITEM;116;250;0.25;16.17
ITEM;311;18;1.05;172.61
ITEM;727;40;1.08;16668.75
ITEM;115;0;0.74;21.39
ITEM;2326;7;0.88;5467500.00
ITEM;1590;17;0.90;18625.00
ITEM;2131;80;0.77;33652.50
ITEM;75;28;1.24;238.36
ITEM;1500;27;0.55;12206.25
ITEM;201;52;0.87;73.61
ITEM;1055;2;0.78;5678.75
ITEM;2113;9;0.72;31552.50
ITEM;1009;4;1.06;9166.50
ITEM;1101;0;0.63;4628.75
ITEM;1201;8;0.95;13737.50
ITEM;2125;107;0.70;28153.13
ITEM;2101;27;0.63;23143.75
ITEM;1171;16;0.75;6562.50
ITEM;1111;25;0.84;6708.63
ITEM;312;0;2.50;223.45
ITEM;620;7;1.12;8058.75
ITEM;1510;19;0.95;21587.50
ITEM;1570;22;0.67;18232.50
ITEM;2319;22;0.73;2832133.00
ITEM;1750;0;2.50;126562.50
ITEM;70;0;0.97;125.16
ITEM;1720;10;1.18;30281.25
ITEM;1620;29;1.11;34237.50
ITEM;1520;15;0.83;17225.00
ITEM;50;141;1.18;45.42
ITEM;40;129;0.91;21.18
ITEM;2361;9;0.95;693.74
ITEM;169;203;1.01;73.66
ITEM;2437;17;0.66;42797.36
ITEM;167;0;0.63;42.52
ITEM;153;37;1.10;16.56
ITEM;302;0;1.01;47.42
ITEM;2408;2;0.75;11035.16
ITEM;111;250;0.25;6.50
ITEM;163;204;1.22;49.96
ITEM;310;0;2.50;432.27
ITEM;2210;3;0.94;979020.00
ITEM;1502;0;0.64;56385.00
ITEM;1552;6;1.03;106125.00
ITEM;1602;15;0.58;44010.00
ITEM;1617;12;1.03;80655.00
ITEM;2121;17;0.51;232060.90
ITEM;641;10;0.81;10305.31
ITEM;2115;90;1.23;648913.10
ITEM;61;73;1.10;286.35
ITEM;1542;10;0.91;86595.00
ITEM;622;6;0.68;15247.78
ITEM;2290;14;1.14;1405500.00
ITEM;1652;9;0.73;76125.00
ITEM;1512;25;0.53;49390.00
ITEM;1572;14;0.87;93730.00
ITEM;2320;7;1.11;7430277.00
ITEM;1752;2;1.05;216250.00
ITEM;2334;17;0.92;47562.50
ITEM;2331;19;0.65;27250.00
ITEM;1;35;0.85;6.17
ITEM;2000;0;0.71;14.28
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;76;1.68
SKILL;210;1.33
SKILL;223;1.94
SKILL;24;0.64
SKILL;54;1.51
SKILL;31;1.41
SKILL;60;0.52
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;40;45;567532;SCAN_PILOT#sector_100_station_0.txt#sector_56.txt#Overseer Vajop Zaefardie#npc_ship_data_(battle_carrier_1)#4#null#null#null;Locate and scan <color='yellow'><i>Overseer Vajop Zaefardie</i></color> in <color='cyan'>Hunu</color> and return to Fellacore Research Center in <color='cyan'>Grace</color>;1;<i>Magilla Melcouvi</i> has requested a location verification on a recent employee. <color='yellow'><i>Overseer Vajop Zaefardie</i></color> is supposed to be running a survey in <color='cyan'>Hunu</color>. Please verify the location of this pilot by scanning their ship and return to Fellacore Research Center in <color='cyan'>Grace</color>.;8800;3500
MISSION;12;30;122956;DELIVERY#173#2005#sector_0_station_4.txt#sector_23_station_0.txt#null#null#null#null;Light delivery of <color='yellow'>Electronic Switchs</color> to Starbase Corporate Center Station in <color='cyan'>Void Starcross</color>;1;<i>Qaop Mastilsbar</i> from PharmaLife Station has commissioned a delivery . He has required a small transport delivery of <color='yellow'>173</color> <color='yellow'>Electronic Switchs</color>. Set your GPS autopilot to <color='cyan'>Void Starcross</color> and deliver these <color='yellow'>Electronic Switchs</color> to Starbase Corporate Center immediately.;25419;9188
MISSION;64;45;356538;HARVEST#194#8#sector_2.txt#sector_100_station_0.txt#null#null#null#null;In <color='cyan'>Merces Academy</color>, Extract special <color='yellow'>Special Belasite Ore</color> and return to Fellacore Research Center in <color='cyan'>Grace</color> with at least <color='yellow'>194</color>;1;A local company in <color='cyan'>Merces Academy</color> has requested a medium harvest of <color='yellow'>194</color> <color='yellow'>Special Belasite Ore</color>. This is a rare find, and the client has requested someone bring the resource back to Fellacore Research Center station located in the <color='cyan'>Grace</color>. A Science faction representative will be waiting to take the resources from you.;126154;47482
MISSION;100;120;948179;KILL_RECOVER#sector_15_station_0.txt#sector_2.txt#Miner Taddes Whoqa#npc_ship_data_(ATC_Zephyr_Mk2)#3#1#1582#null;Kill and Rob <color='yellow'><i>Miner Taddes Whoqa</i></color> in <color='cyan'>Merces Academy</color> and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color> with <color='yellow'>1</color> of <color='yellow'>Advanced Energy Generator</color>;1;<i>Corres Lestel</i> was hijacked for <color='yellow'>1</color> <color='yellow'>Advanced Energy Generator</color> by a pilot named <color='yellow'><i>Miner Taddes Whoqa</i></color>. The Science has approved a 'Kill and Recover' contract for the criminal <color='yellow'><i>Miner Taddes Whoqa</i></color>. Last seen in the <color='cyan'>Merces Academy</color> system, <color='yellow'><i>Miner Taddes Whoqa</i></color> is considered to be un-prepared for combat. Take him out and return the <color='yellow'>Advanced Energy Generator</color> to Crystalis Broadcasting in <color='cyan'>Jermicus</color>.;17150;7875
MISSION;23;120;822101;COLLECT#115#106#sector_63_station_0.txt#sector_100_station_0.txt#null#null#null#null;Procure a medium collection of <color='yellow'>115</color> <color='yellow'>Nitrogens</color>, and return to Lammassu Hub in <color='cyan'>Numbu</color>;2;A team at the Lammassu Hub Station is looking for an experienced collector who might be able to help gather together a medium shipment of <color='yellow'>115</color> <color='yellow'>Nitrogens</color>. Once the items have been collected, they will need to be dropped at Lammassu Hub in the <color='cyan'>Numbu</color> Sector.;68532;29476
MISSION;96;90;231654;KILL_PILOT#sector_61_station_0.txt#sector_12.txt#Leader Diefi Lelile#npc_ship_data_(ATC_Cobra_MK2)#34#null#null#null;Exterminate Skilled <color='yellow'><i>Leader Diefi Lelile</i></color> in <color='cyan'>Alias Outpost</color> and return to Transporteers Hub in <color='cyan'>Ambervellis Drea</color>;0;<i>Ilswe Cowobar</i> was the last unfortunate victim of the well know hijacker, <color='yellow'><i>Leader Diefi Lelile</i></color>. She has been hanging around in the <color='cyan'>Alias Outpost</color> sector and has finally caught the attention of the local Alpha magistrate. Dispatch <color='yellow'><i>Leader Diefi Lelile</i></color> and meet <i>Ilswe Cowobar</i> back at the Transporteers Hub station in <color='cyan'>Ambervellis Drea</color>.;536144;172338
MISSION;60;45;313529;HARVEST#53#1#sector_95.txt#sector_17_station_0.txt#null#null#null#null;Harvest special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Temple Gates</color> and return with <color='yellow'>53</color> ore to Holosynth Industries in <color='cyan'>Rats Of Mortalis</color>;1;A local prospector, <i>Xafast Sedti</i> of the Science faction has located a light quantity of special <color='yellow'>Special Adamyte Ore</color> in the <color='cyan'>Temple Gates</color> sector. Head over there and harvest all of the special <color='yellow'>Special Adamyte Ore</color>, and meet <i>Xafast Sedti</i> back at Holosynth Industries station located in the <color='cyan'>Rats Of Mortalis</color>.;13313;3938
MISSION;115;60;843779;KILL_RAIDERS#sector_17_station_0.txt#sector_14.txt#1#40#npc_ship_data_(support_carrier_1)#random#random#random;Frag <color='yellow'>1 Raider</color> level 40 Skilled Raider(s) in <color='cyan'>Gate of Alpharis</color> and return to Holosynth Industries in <color='cyan'>Rats Of Mortalis</color>;2;A large group of raiders have been pestering the locals of <color='cyan'>Gate of Alpharis</color>, and resident <i>Komhin Xulpaean</i> has had enough. In an effort to rid the sector of these thugs, locals have raised the funds needed to retain the contract. Destroy all <color='yellow'>1 Raider</color> raiders and head back to the Holosynth Industries in the <color='cyan'>Rats Of Mortalis</color> system to collect the bounty payment.;239537;56420
MISSION;10;30;484214;DELIVERY#54#124#sector_0_station_3.txt#sector_56_station_1.txt#null#null#null#null;Dock at StarShepards Headquarters in <color='cyan'>Void Starcross</color> to deliver a light shipment of <color='yellow'>54</color> <color='yellow'>Titanytes</color>;2;<i>Astop Woimescie</i> runs a Civil shipping company at ValueStar. After having some issues with a transport ship, <color='yellow'>54</color> items of <color='yellow'>Titanytes</color> were left behind. Head on over to <color='cyan'>Void Starcross</color> and deliver these <color='yellow'>Titanytes</color> to StarShepards Headquarters.;7200;1000
MISSION;125;45;490934;CHAT_PILOT#sector_65_station_0.txt#sector_78.txt#Doctor Deepea Raleado#npc_ship_data_(ATC_Hope)#20#missions_arrest_escort.txt#0#null;Capture <color='yellow'><i>Doctor Deepea Raleado</i></color> in <color='cyan'>Bitcola</color> for official crimes and return to CoraVault Hub in <color='cyan'>Pindoris</color>;0;The Alpha faction under command of <i>Borkee Arszils</i> as requested the arrest of <color='yellow'><i>Doctor Deepea Raleado</i></color>. They have refused to cooperate and the courts have had enough. Last known sighting of <color='yellow'><i>Doctor Deepea Raleado</i></color> was in the <color='cyan'>Bitcola</color> system. Convince them to come back peacefully to the CoraVault Hub in the <color='cyan'>Pindoris</color>.;204243;65652
MISSION;43;45;840973;SCAN_PILOT#sector_57_station_0.txt#sector_36.txt#General Whealocki Eiviqe#npc_ship_data_(pirate_frigate_1)#5#null#null#null;Recon <color='yellow'><i>General Whealocki Eiviqe</i></color> in <color='cyan'>Beacon Spita</color> and return to OmniTrust in <color='cyan'>Ponze</color>;0;<i>Timbira Borweliso</i> is currently under contract to provide scan data records for a <color='yellow'><i>General Whealocki Eiviqe</i></color> located in the <color='cyan'>Beacon Spita</color>. After a recent injury, He has decided to sub-contract this task while in recovery. Head over to OmniTrust in <color='cyan'>Ponze</color> with the scan data for <color='yellow'><i>General Whealocki Eiviqe</i></color> in <color='cyan'>Beacon Spita</color>.;54667;21438
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(support_carrier_1).txt
SHIP;2;0.97;ship_data_(battle_cruiser_1).txt
SHIP;3;1.08;ship_data_(transport_escort_1).txt
SHIP;4;1.01;ship_data_(excavation_escort_1).txt
SHIP;5;0.98;ship_data_(transport_shuttle_1).txt
SHIP;6;0.94;ship_data_(transport_utility_1).txt
SHIP;7;1.07;ship_data_(excavation_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

