// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Daemon Ammunitions
STATION;type;Ordinance Storage Facility
STATION;owner;Bella Mazu
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;daemon_ammunition.png
STATION;filename;sector_3_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-4-2-0-2-0-6-5-2-2-1-2-9-3-6-90
STATION;interior_seed;3-1-30-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;39447.67
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.27;npc_ship_data_(recon_shuttle_1).txt
MERC;1;1.69;npc_ship_data_(battle_carrier_1).txt
MERC;2;0.96;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;For Sale: (1) Items ;1059x10;81985;60057.84
ITEM;675;0;2.50;175149.00
ITEM;671;0;2.50;204340.50
ITEM;29;19;1.05;3563.69
ITEM;102;250;1.19;4.00
ITEM;1521;1;1.09;47392.00
ITEM;1751;15;0.81;72384.00
ITEM;1641;9;0.54;31740.00
ITEM;621;9;0.94;12676.30
ITEM;1631;8;0.63;36240.00
ITEM;1014;11;0.74;20452.60
ITEM;2102;27;0.85;115738.00
ITEM;2450;18;1.07;186368.00
ITEM;1062;16;1.21;35164.36
ITEM;2126;126;0.89;132701.80
ITEM;1205;12;0.63;35515.20
ITEM;2114;15;0.50;87435.60
ITEM;2120;42;1.23;162288.00
ITEM;1551;21;0.85;47240.00
ITEM;1611;15;0.52;20903.20
ITEM;1591;27;0.96;42192.00
ITEM;305;22;1.06;269.30
ITEM;105;250;0.25;2.67
ITEM;20;0;2.50;68.11
ITEM;304;10;0.88;735.58
ITEM;747;24;1.16;125480.00
ITEM;677;0;2.50;145957.50
ITEM;752;28;1.20;129480.00
ITEM;712;29;0.95;75225.60
ITEM;2429;5;0.97;47861.70
ITEM;701;14;0.66;6793.20
ITEM;691;16;1.05;11448.00
ITEM;692;0;2.50;19461.00
ITEM;690;0;2.50;22704.50
ITEM;158;275;1.21;30.77
ITEM;155;132;1.15;22.06
ITEM;104;54;0.59;2.55
ITEM;203;153;0.88;96.34
ITEM;672;0;2.50;77844.00
ITEM;674;0;2.50;58383.00
ITEM;676;0;2.50;48652.50
ITEM;732;56;1.08;17622.00
ITEM;678;13;0.94;27939.60
ITEM;670;0;2.50;68113.50
ITEM;157;263;0.55;13.82
ITEM;23;0;2.50;334.63
ITEM;160;211;0.61;21.14
ITEM;25;26;1.05;426.68
ITEM;121;46;0.76;34.13
ITEM;106;40;0.72;7.57
ITEM;601;3;0.90;12186.30
ITEM;150;13;0.76;9.40
ITEM;303;11;0.62;653.24
ITEM;107;250;0.25;3.84
ITEM;206;233;0.77;113.76
ITEM;407;23;0.69;4.32
ITEM;103;150;1.00;2.36
ITEM;165;24;1.19;68.29
ITEM;118;185;1.06;6.20
ITEM;170;42;0.90;67.15
ITEM;2221;23;1.11;2313216.00
ITEM;2276;21;1.01;3181824.00
ITEM;2128;7;0.57;1097377.00
ITEM;2116;121;0.60;1251161.00
ITEM;120;42;0.79;105.51
ITEM;600;7;1.00;7663.60
ITEM;42;90;0.78;99.65
ITEM;52;65;1.18;242.01
ITEM;2309;15;0.99;8331264.00
ITEM;2129;13;0.60;4014142.00
ITEM;2123;37;0.99;5697574.00
ITEM;77;145;0.55;612.06
ITEM;3;258;0.87;18.39
ITEM;207;213;0.64;106.32
ITEM;164;19;0.80;14.42
ITEM;154;152;1.15;54.67
ITEM;114;250;0.65;1.93
ITEM;21;5;1.09;53.06
ITEM;113;114;1.11;7.77
ITEM;119;42;0.75;69.96
ITEM;722;25;0.89;5908.80
ITEM;693;0;2.50;16217.50
ITEM;755;34;1.06;6928.80
ITEM;725;1;0.79;13272.00
ITEM;1450;26;0.94;10865.40
ITEM;117;250;0.25;16.52
ITEM;156;243;1.23;25.82
ITEM;642;2;1.10;25614.12
ITEM;640;6;1.00;7663.60
ITEM;162;295;0.81;32.84
ITEM;202;115;0.98;96.56
ITEM;749;47;0.66;188700.00
ITEM;734;54;0.96;263700.00
ITEM;754;46;0.87;241200.00
ITEM;124;45;0.74;57.61
ITEM;2202;1;0.64;1175680.00
ITEM;22;5;1.05;86.85
ITEM;122;36;0.71;115.16
ITEM;662;3;1.21;27972.30
ITEM;100;136;0.56;0.98
ITEM;26;0;2.50;1644.10
ITEM;408;18;1.16;15.18
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;34;1.23
SKILL;44;0.58
SKILL;226;1.55
SKILL;73;1.32
SKILL;60;0.99
SKILL;47;0.70
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;101;120;843252;KILL_RECOVER#sector_56_station_0.txt#sector_77.txt#Leader Uobe Imestafyo#npc_Ship_data_(Heavy_battlecuiser_5)#5#4#1730#null;Hijack <color='yellow'><i>Leader Uobe Imestafyo</i></color> in <color='cyan'>Ballast Crow</color> for <color='yellow'>4</color> <color='yellow'>Basic Missile Impact Mods</color> and deliver them to Transporteers in <color='cyan'>Hunu</color>;13;Authorities in <color='cyan'>Ballast Crow</color> have reported the location of a known criminal, <color='yellow'><i>Leader Uobe Imestafyo</i></color>. He is carrying some stolen property belonging to members of the Contractor faction. Destroy <color='yellow'><i>Leader Uobe Imestafyo</i></color>'s ship and recover the <color='yellow'>4</color> <color='yellow'>Basic Missile Impact Mods</color>. When finished, meet up with <i>Tajid Roar</i>, you can find him at Transporteers in <color='cyan'>Hunu</color>.;16440;4594
MISSION;51;30;364841;SCAN_STRUCTURE#sector_78_station_0.txt#sector_35.txt#Shlick Diamond's#structure_raider_hideout.txt#1#null#null#null;Find the target <color='yellow'>Shlick Diamond's</color> structure in <color='cyan'>Felishar</color>, scan, and return to Tella's in <color='cyan'>Bitcola</color>;13;<i>Qato Jaguofall</i> has requested that someone verify the location of <color='yellow'>Shlick Diamond's</color> in the <color='cyan'>Felishar</color> sector. After a recent mix-up at the zoning office, the Contractor reps are concerned that construction guidelines were not followed properly. Return to the Tella's station located in the <color='cyan'>Bitcola</color> with the scan data.;9394;2625
MISSION;110;60;294886;KILL_RAIDERS#sector_58_station_0.txt#sector_1.txt#1#10#npc_ship_data_(recon_frigate_1)#random#random#random;Hunt <color='yellow'>1 Raider</color> level 10 Raider(s) in <color='cyan'>Dellis Primeria</color> and return to CoraVault in <color='cyan'>Lins</color>;12;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Dellis Primeria</color>. The Labor faction has requested a sector clearance contract. Head on over to the <color='cyan'>Dellis Primeria</color> and clear out the <color='yellow'>1 Raider</color>, level 10 Raiders that have set up camp there. Dock at the CoraVault station in <color='cyan'>Lins</color> when complete.;6542;1375
MISSION;130;45;856545;SALVAGE#49#23#sector_60.txt#sector_0_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Metal Fragment</color> in <color='cyan'>Veloxi</color> and return with <color='yellow'>49</color> to Biomate University in <color='cyan'>Void Starcross</color>;12;A local prospector, <i>Tadlow Naliaqa</i> of the Labor faction has located a light quantity of special <color='yellow'>Special Metal Fragment</color> in the <color='cyan'>Veloxi</color> sector. Head over there and salvage all of the special <color='yellow'>Special Metal Fragment</color>, and meet <i>Tadlow Naliaqa</i> back at Biomate University station located in the <color='cyan'>Void Starcross</color>.;7412;2813
MISSION;62;45;148124;HARVEST#115#5#sector_79.txt#sector_14_station_1.txt#null#null#null#null;Excavate special <color='yellow'>Special Torim Ore</color> in <color='cyan'>Dragon Sea</color> and return with <color='yellow'>115</color> to Horizons in <color='cyan'>Gate of Alpharis</color>;13;<i>Xulfou Couwa</i> has discovered a light deposit of <color='yellow'>Special Torim Ore</color> in <color='cyan'>Dragon Sea</color>. He is currently unable to mine the <color='yellow'>Special Torim Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>115</color> <color='yellow'>Special Torim Ore</color>. Once complete, head over and meet <i>Xulfou Couwa</i> at the Horizons station located in the <color='cyan'>Gate of Alpharis</color>.;20597;6891
MISSION;10;30;268008;DELIVERY#72#167#sector_62_station_0.txt#sector_58_station_0.txt#null#null#null#null;Dock at Valuestar Hub in <color='cyan'>Jelumus</color> to deliver a light shipment of <color='yellow'>72</color> <color='yellow'>Assorted Springs</color>;12;<i>Janwa Whowo</i> runs a Labor shipping company at CoraVault. After having some issues with a transport ship, <color='yellow'>72</color> items of <color='yellow'>Assorted Springs</color> were left behind. Head on over to <color='cyan'>Jelumus</color> and deliver these <color='yellow'>Assorted Springs</color> to Valuestar Hub.;5400;2500
MISSION;100;120;225603;KILL_RECOVER#sector_78_station_0.txt#sector_56.txt#Govenor Ronuh Buewa#npc_ship_data_(Advanced_heavy_battlecuriser_10)#3#2#1652#null;Kill and Rob <color='yellow'><i>Govenor Ronuh Buewa</i></color> in <color='cyan'>Hunu</color> and return to Tella's in <color='cyan'>Bitcola</color> with <color='yellow'>2</color> of <color='yellow'>Advanced Explosive Armors</color>;12;<i>Whesev Brufon</i> was hijacked for <color='yellow'>2</color> <color='yellow'>Advanced Explosive Armors</color> by a pilot named <color='yellow'><i>Govenor Ronuh Buewa</i></color>. The Labor has approved a 'Kill and Recover' contract for the criminal <color='yellow'><i>Govenor Ronuh Buewa</i></color>. Last seen in the <color='cyan'>Hunu</color> system, <color='yellow'><i>Govenor Ronuh Buewa</i></color> is considered to be un-prepared for combat. Take him out and return the <color='yellow'>Advanced Explosive Armors</color> to Tella's in <color='cyan'>Bitcola</color>.;9394;2625
MISSION;42;45;934896;SCAN_PILOT#sector_60_station_0.txt#sector_63.txt#Watchman Jotel Arsmofe#npc_ship_data_(recon_destroyer_1)#7#null#null#null;Track down and scan <color='yellow'><i>Watchman Jotel Arsmofe</i></color> in <color='cyan'>Numbu</color> and return to Biomart in <color='cyan'>Veloxi</color>;13;Contractor faction has requested that we verify the whereabouts of a <color='yellow'><i>Watchman Jotel Arsmofe</i></color>. After a recent ban order from the high court minister <i>Barme Sadwha</i>, <color='cyan'>Numbu</color> officials are worried that <color='yellow'><i>Watchman Jotel Arsmofe</i></color> might cause problems for the local merchants. Scan <color='yellow'><i>Watchman Jotel Arsmofe</i></color>'s ship and return to Biomart in <color='cyan'>Veloxi</color> with the scan record.;27648;9188
MISSION;110;60;394270;KILL_RAIDERS#sector_56_station_0.txt#sector_14.txt#1#10#npc_ship_data_(ATC_Ronin_MK2)#random#random#random;Hunt <color='yellow'>1 Raider</color> level 10 Raider(s) in <color='cyan'>Gate of Alpharis</color> and return to Transporteers in <color='cyan'>Hunu</color>;12;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Gate of Alpharis</color>. The Labor faction has requested a sector clearance contract. Head on over to the <color='cyan'>Gate of Alpharis</color> and clear out the <color='yellow'>1 Raider</color>, level 10 Raiders that have set up camp there. Dock at the Transporteers station in <color='cyan'>Hunu</color> when complete.;9897;2063
MISSION;132;45;149611;SALVAGE#104#22#sector_57.txt#sector_16_station_0.txt#null#null#null#null;Dismantle <color='yellow'>Special Undamaged Part</color> in <color='cyan'>Ponze</color> and return with <color='yellow'>104</color> to Rendo Labs in <color='cyan'>Entropy</color>;12;<i>Leides Jancoris</i> has discovered a light cache of <color='yellow'>Special Undamaged Part</color> in <color='cyan'>Ponze</color>. He is currently unable to dismantle the <color='yellow'>Special Undamaged Part</color>, and has requested a pilot to head over and salvage the <color='yellow'>104</color> <color='yellow'>Special Undamaged Part</color>. Once complete, head over and meet <i>Leides Jancoris</i> at the Rendo Labs station located in the <color='cyan'>Entropy</color>.;22051;6891
MISSION;43;45;302872;SCAN_PILOT#sector_0_station_1.txt#sector_61.txt#Leader Binoqe Lockirest#npc_ship_data_(battle_utility_2)#5#null#null#null;Recon <color='yellow'><i>Leader Binoqe Lockirest</i></color> in <color='cyan'>Ambervellis Drea</color> and return to Lammassu Financial in <color='cyan'>Void Starcross</color>;12;<i>Imesto Ninexose</i> is currently under contract to provide scan data records for a <color='yellow'><i>Leader Binoqe Lockirest</i></color> located in the <color='cyan'>Ambervellis Drea</color>. After a recent injury, He has decided to sub-contract this task while in recovery. Head over to Lammassu Financial in <color='cyan'>Void Starcross</color> with the scan data for <color='yellow'><i>Leader Binoqe Lockirest</i></color> in <color='cyan'>Ambervellis Drea</color>.;45116;13399
MISSION;51;30;132724;SCAN_STRUCTURE#sector_97_station_0.txt#sector_59.txt#Shlick Diamond's#structure_raider_hideout.txt#1#null#null#null;Find the target <color='yellow'>Shlick Diamond's</color> structure in <color='cyan'>Coralor</color>, scan, and return to Temple of the Void in <color='cyan'>Valley of Truths</color>;13;<i>Mitaf Lamast</i> has requested that someone verify the location of <color='yellow'>Shlick Diamond's</color> in the <color='cyan'>Coralor</color> sector. After a recent mix-up at the zoning office, the Contractor reps are concerned that construction guidelines were not followed properly. Return to the Temple of the Void station located in the <color='cyan'>Valley of Truths</color> with the scan data.;14732;4375
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.01;ship_data_(transport_frigate_1).txt
SHIP;2;0.99;ship_data_(battle_shuttle_1).txt
SHIP;3;1.00;ship_data_(transport_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

