// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Transporteers Hub
STATION;type;Reclaimed Goods Facility
STATION;owner;Binoak Dalewa
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;1
STATION;icon;transporteers.png
STATION;filename;sector_61_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-0-1-8-1-7-0-4-4-1-4-0-7-9-0-7-0-7-6-1-3-0
STATION;interior_seed;5-1-30-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;69708.77
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;0.92;npc_ship_data_(recon_frigate_1).txt
MERC;2;1.40;npc_ship_data_(battle_shuttle_1).txt
MERC;1;1.63;npc_ship_data_(transport_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (2) Items ;9x185,6x415;163111;151618.80
ITEM;2284;3;1.24;770073.80
ITEM;746;17;0.61;29405.53
ITEM;627;32;0.80;296775.20
ITEM;671;14;1.18;77077.74
ITEM;759;2;0.65;114420.30
ITEM;743;10;0.87;150720.30
ITEM;405;9;1.06;1.21
ITEM;2;0;2.50;36.72
ITEM;2130;48;1.05;13121.47
ITEM;1054;4;0.56;1448.30
ITEM;1400;6;1.03;4293.83
ITEM;1050;0;0.74;1566.91
ITEM;2112;43;0.98;12281.48
ITEM;1003;15;0.99;2480.30
ITEM;1100;0;0.90;1886.91
ITEM;1160;9;0.63;1481.60
ITEM;1200;8;0.51;2213.83
ITEM;2124;21;0.54;6418.02
ITEM;1052;3;1.01;2317.60
ITEM;1002;7;1.22;2526.91
ITEM;1170;5;0.54;1400.30
ITEM;1110;6;1.24;2823.60
ITEM;1001;7;1.23;2801.60
ITEM;151;221;1.08;13.59
ITEM;7;0;2.50;449.08
ITEM;660;4;1.07;7794.19
ITEM;628;5;0.58;383349.30
ITEM;301;558;0.76;20.33
ITEM;2324;2;1.07;7082291.00
ITEM;300;7;1.03;106.86
ITEM;404;5;0.71;0.83
ITEM;623;40;0.69;27516.34
ITEM;168;23;0.79;21.62
ITEM;101;128;1.12;2.09
ITEM;403;8;1.05;1.20
ITEM;406;3;0.52;0.62
ITEM;8;9;1.09;330.89
ITEM;1590;8;0.61;13069.13
ITEM;2131;21;0.69;30805.16
ITEM;1500;7;1.03;22542.58
ITEM;1610;5;1.17;20628.76
ITEM;1560;6;1.06;29874.01
ITEM;1550;8;0.36;10099.33
ITEM;1600;3;1.15;21482.21
ITEM;1615;8;0.77;15455.67
ITEM;2125;30;1.00;40173.07
ITEM;60;26;1.13;132.01
ITEM;1540;1;0.76;18479.49
ITEM;1630;6;0.97;25336.41
ITEM;620;0;0.78;5764.19
ITEM;1650;2;0.70;18586.41
ITEM;1510;0;0.86;19876.04
ITEM;1580;5;1.21;35096.78
ITEM;1570;3;0.69;19069.86
ITEM;1640;9;0.59;15836.41
ITEM;1750;9;0.80;33738.25
ITEM;1530;14;1.08;28086.41
ITEM;1620;9;0.56;18103.69
ITEM;1520;7;1.17;24269.13
ITEM;153;205;1.07;16.30
ITEM;302;0;0.66;32.04
ITEM;629;28;0.85;962750.90
ITEM;2435;6;1.15;61066.77
ITEM;1562;12;0.25;31693.28
ITEM;1552;12;0.55;59165.60
ITEM;2121;24;1.21;537419.40
ITEM;2115;35;0.76;413378.30
ITEM;2127;28;1.23;600593.80
ITEM;622;1;0.67;15295.08
ITEM;2334;6;0.59;31672.81
ITEM;51;23;0.94;82.98
ITEM;1;0;2.50;22.26
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;225;1.93
SKILL;47;1.21
SKILL;3;1.95
SKILL;42;1.50
SKILL;25;0.73
SKILL;54;1.61
SKILL;37;1.33
SKILL;213;1.45
SKILL;25;1.41
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;124;45;351952;CHAT_PILOT#sector_95_station_1.txt#sector_3.txt#Miner Gottad Beemi#npc_ship_data_(transport_escort_1)#13#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Miner Gottad Beemi</i></color> over an outstanding warrant in <color='cyan'>Starfort Ramos</color> and return to Acrondia Hub in <color='cyan'>Temple Gates</color>;3;<i>Demiport Ceefo</i> of the Trade faction has sent out a warrent for the arrest of <color='yellow'><i>Miner Gottad Beemi</i></color>. Last known sighting of <color='yellow'><i>Miner Gottad Beemi</i></color> was in the area of <color='cyan'>Starfort Ramos</color>. Bring them back alive to the Acrondia Hub in the <color='cyan'>Temple Gates</color> system to complete this contract.;50647;23448
MISSION;52;30;119979;SCAN_STRUCTURE#sector_0_station_2.txt#sector_56.txt#Recon Center#structure_recon_1.txt#1#null#null#null;Track and scan the target <color='yellow'>Recon Center</color> structure in <color='cyan'>Hunu</color> and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;3;The Trade faction has commissioned scientific survey of a strange vibration taking place at <color='yellow'>Recon Center</color> in the <color='cyan'>Hunu</color> sector. Head over to <color='cyan'>Hunu</color> and scan the <color='yellow'>Recon Center</color> structure. Once complete, return to the StarGypsy Warehouse station located in the <color='cyan'>Void Starcross</color> with the scan data.;16440;4594
MISSION;93;90;359665;KILL_PILOT#sector_95_station_0.txt#sector_77.txt#Officer Ahri Whegeezo#npc_ship_data_(pirate_frigate_5)#10#null#null#null;Frag <color='yellow'><i>Officer Ahri Whegeezo</i></color>, in <color='cyan'>Ballast Crow</color> and return to Star Shepards Hub in <color='cyan'>Temple Gates</color>;4;An intermediate level pilot has been sentenced by ASP for extermination. <color='yellow'><i>Officer Ahri Whegeezo</i></color>, found guilty of raiding, and murder, has been hanging out in the <color='cyan'>Ballast Crow</color> system. When complete, return to the Star Shepards Hub station in the <color='cyan'>Temple Gates</color> system. The Financial's will be very happy to hear of <color='yellow'><i>Officer Ahri Whegeezo</i></color>'s demise.;70615;20098
MISSION;31;45;370789;TRANSPORT#23#351#sector_97_station_0.txt#sector_62_station_0.txt#null#null#null#null;Head to Temple of the Void in <color='cyan'>Valley of Truths</color>, pick up <color='yellow'>23</color> <color='yellow'>Assembly Tools</color> for a light shipment to Valuestar Hub in <color='cyan'>Jelumus</color>;5;The Commerce faction advisor <i>Uotu Tifon</i> has placed a light shipment transport order to move <color='yellow'>23</color> <color='yellow'>Assembly Tools</color> from the Temple of the Void storage in <color='cyan'>Valley of Truths</color>, to the Valuestar Hub in <color='cyan'>Jelumus</color>.;16146;6892
MISSION;126;45;763104;CHAT_PILOT#sector_57_station_0.txt#sector_65.txt#Privateer Wharest Fastilsada#npc_ship_data_(Battle_escort_9)#15#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Privateer Wharest Fastilsada</i></color> in <color='cyan'>Pindoris</color> and return with signature to OmniTrust in <color='cyan'>Ponze</color>;3;<i>Dornbel Mobelhas</i> has a bonus payment for <color='yellow'><i>Privateer Wharest Fastilsada</i></color>. The Trade faction has recognized <color='yellow'><i>Privateer Wharest Fastilsada</i></color> and has award a bonus payment. <color='yellow'><i>Privateer Wharest Fastilsada</i></color> was last working in the <color='cyan'>Pindoris</color> system. Find them, deliver this envelope, and return to the OmniTrust in the <color='cyan'>Ponze</color> system with a signature.;217261;43085
MISSION;110;60;941783;KILL_RAIDERS#sector_95_station_1.txt#sector_0.txt#1#10#npc_ship_data_(pirate_escort_2)#random#random#random;Hunt <color='yellow'>1 Raider</color> level 10 Raider(s) in <color='cyan'>Void Starcross</color> and return to Acrondia Hub in <color='cyan'>Temple Gates</color>;5;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Void Starcross</color>. The Commerce faction has requested a sector clearance contract. Head on over to the <color='cyan'>Void Starcross</color> and clear out the <color='yellow'>1 Raider</color>, level 10 Raiders that have set up camp there. Dock at the Acrondia Hub station in <color='cyan'>Temple Gates</color> when complete.;9213;2750
MISSION;12;30;291529;DELIVERY#22#332#sector_77_station_0.txt#sector_57_station_0.txt#null#null#null#null;Light delivery of <color='yellow'>Communication Devices</color> to Lacuna Bandits Station in <color='cyan'>Ballast Crow</color>;4;<i>Kaddzils Renohore</i> from OmniTrust Station has commissioned a delivery . He has required a small transport delivery of <color='yellow'>22</color> <color='yellow'>Communication Devices</color>. Set your GPS autopilot to <color='cyan'>Ballast Crow</color> and deliver these <color='yellow'>Communication Devices</color> to Lacuna Bandits immediately.;20519;6125
MISSION;150;120;454677;FABRICATE#5#2419#sector_35_station_0.txt#sector_0_station_2.txt#null#null#null#null;Dock at the Astrox Security Patrol station fabricator in <color='cyan'>Felishar</color> and manufacture a light shipment of <color='yellow'>5</color> <color='yellow'>Electromagnetic Emitters</color>;4;<i>Yervel Sawjid</i> runs a Financial production company at StarGypsy Warehouse. After having some issues with a manufacturing plant, <color='yellow'>5</color> items of <color='yellow'>Electromagnetic Emitters</color> were marked as low supply. Head on over to <color='cyan'>Felishar</color> and fabricate these <color='yellow'>Electromagnetic Emitters</color> at Astrox Security Patrol.;9975;1750
MISSION;121;45;517045;CHAT_PILOT#sector_56_station_1.txt#sector_11.txt#Laborer Firo Zesi#npc_ship_data_(VVS_Wingman_Mk2)#0#missions_debt_collection.txt#0#null;Chat with <color='yellow'><i>Laborer Firo Zesi</i></color> about his debt in <color='cyan'>Chamo</color> and return to ValueStar in <color='cyan'>Hunu</color>;3;<i>Lascou Yerdesue</i> has requested that debt be collected from <color='yellow'><i>Laborer Firo Zesi</i></color>. After 3 payments to the Trade faction for transport fines, <color='yellow'><i>Laborer Firo Zesi</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Laborer Firo Zesi</i></color> was in the vicinity of the <color='cyan'>Chamo</color> system. Have a chat with them, collect the debt, and return to the ValueStar in the <color='cyan'>Hunu</color> system to deliver the payment.;14350;6125
MISSION;43;45;786683;SCAN_PILOT#sector_95_station_0.txt#sector_13.txt#Major Zaelom Arsxepast#npc_ship_data_(ATC_Fortune)#15#null#null#null;Recon <color='yellow'><i>Major Zaelom Arsxepast</i></color> in <color='cyan'>Jala</color> and return to Star Shepards Hub in <color='cyan'>Temple Gates</color>;5;<i>Corea Wheawenjag</i> is currently under contract to provide scan data records for a <color='yellow'><i>Major Zaelom Arsxepast</i></color> located in the <color='cyan'>Jala</color>. After a recent injury, He has decided to sub-contract this task while in recovery. Head over to Star Shepards Hub in <color='cyan'>Temple Gates</color> with the scan data for <color='yellow'><i>Major Zaelom Arsxepast</i></color> in <color='cyan'>Jala</color>.;58193;16079
MISSION;143;90;282774;REFINE#18#22#sector_77_station_0.txt#sector_69_station_1.txt#null#null#null#null;Refine medium shipment of <color='yellow'>18</color> <color='yellow'>Undamaged Parts</color> in <color='cyan'>Ballast Crow</color> at the Lacuna Bandits station refinery;5;Oak Industries Station has contacted our client informing them of some medium cargo that remains unclaimed by former employees, <i>Witoa Bebar</i> of the Commerce Faction. <color='yellow'>18</color> <color='yellow'>Undamaged Parts</color> need to be refined in <color='cyan'>Ballast Crow</color>, at the Lacuna Bandits Station refinery.;97095;32156
MISSION;84;60;513152;RECOVER#1509#151#sector_11.txt#sector_95_station_0.txt#null#null#null#null;Recover a medium shipment <color='yellow'>crate</color> in <color='cyan'>Chamo</color> and bring back to Star Shepards Hub in <color='cyan'>Temple Gates</color>;4;In the <color='cyan'>Chamo</color> sector, a medium shipment of <color='yellow'>Fasteners</color> have been reported to the local Financial authorities as derelict. <i>Jalisbun Qatimmos</i> has filed a claim on the crate, and has requested a recovery contract for <color='yellow'>1509</color> <color='yellow'>Fasteners</color> to be delivered Star Shepards Hub station in <color='cyan'>Temple Gates</color>.;99184;36930
MISSION;13;30;574600;DELIVERY#30#351#sector_3_station_0.txt#sector_15_station_0.txt#null#null#null#null;Take medium shipment of <color='yellow'>30</color> <color='yellow'>Assembly Tools</color> and deliver to <color='cyan'>Starfort Ramos</color> and dock at Daemon Ammunitions Station;3;Crystalis Broadcasting Station has contacted our client informing them of some medium cargo that remains unclaimed by a former employee, <i>Binfou Cousih</i> of the Trade Faction. <color='yellow'>30</color> <color='yellow'>Assembly Tools</color> need to be delivered to <color='cyan'>Starfort Ramos</color>, Daemon Ammunitions Station.;43948;10719
MISSION;51;30;837065;SCAN_STRUCTURE#sector_16_station_0.txt#sector_35.txt#Office Center#structure_office_1.txt#1#null#null#null;Find the target <color='yellow'>Office Center</color> structure in <color='cyan'>Felishar</color>, scan, and return to Rendo Labs in <color='cyan'>Entropy</color>;3;<i>Foepi Risbe</i> has requested that someone verify the location of <color='yellow'>Office Center</color> in the <color='cyan'>Felishar</color> sector. After a recent mix-up at the zoning office, the Trade reps are concerned that construction guidelines were not followed properly. Return to the Rendo Labs station located in the <color='cyan'>Entropy</color> with the scan data.;15225;4375
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.94;ship_data_(pirate_utility_1).txt
SHIP;2;0.98;ship_data_(transport_utility_1).txt
SHIP;3;1.04;ship_data_(support_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

