// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Imperium Republica 
STATION;type;Civil Housing Facility
STATION;owner;Fonmi Duemelze
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;6
STATION;icon;ad_image_7.png
STATION;filename;sector_14_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-2-0-2-3-3-7-0-7-1-0-3-0-2-5-1-2-0-4-9-0-8-0
STATION;interior_seed;3-4-45-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;55825.48
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.72;npc_ship_data_(excavation_escort_1).txt
MERC;9;1.96;npc_ship_data_(support_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (1) Items ;2022x371;242980.00;77774.19
ITEM;150;371;1.17;13.23
ITEM;303;32;0.90;852.14
ITEM;342;28;0.73;3039.38
ITEM;107;852;0.81;9.39
ITEM;644;18;0.51;35612.11
ITEM;206;502;0.63;87.14
ITEM;407;12;0.96;5.46
ITEM;103;625;1.08;2.40
ITEM;330;45;0.73;1161.57
ITEM;6;391;0.56;50.72
ITEM;2358;31;0.71;394.98
ITEM;118;491;0.99;5.49
ITEM;170;580;0.77;54.16
ITEM;1025;55;0.63;218695.80
ITEM;2128;177;0.81;1390602.00
ITEM;1104;9;0.75;234829.10
ITEM;2116;189;1.24;2291342.00
ITEM;2122;265;1.21;1864433.00
ITEM;1553;0;1.30;333243.10
ITEM;1563;0;1.34;370185.80
ITEM;1613;8;1.16;162171.50
ITEM;2211;34;0.82;1718514.00
ITEM;213;347;0.99;202.08
ITEM;600;5;0.96;6947.06
ITEM;42;10;0.60;72.04
ITEM;1524;19;0.58;195980.00
ITEM;1624;45;0.51;260370.00
ITEM;1777;52;0.77;761890.30
ITEM;1584;57;0.95;440132.00
ITEM;2111;254;0.57;3480526.00
ITEM;1115;58;1.12;1331620.00
ITEM;1634;14;0.54;228975.00
ITEM;1004;5;0.54;601310.10
ITEM;62;103;0.59;354.50
ITEM;2129;204;0.72;4347137.00
ITEM;2141;57;0.70;3846900.00
ITEM;1405;17;0.77;1685821.00
ITEM;1619;54;0.89;280421.00
ITEM;1604;1;0.91;271422.00
ITEM;1554;37;1.06;546218.80
ITEM;1564;0;1.32;730259.90
ITEM;1504;8;1.00;346899.00
ITEM;2212;53;0.76;3195108.00
ITEM;1075;5;0.53;708966.50
ITEM;3;220;0.74;14.72
ITEM;207;292;1.03;153.72
ITEM;154;517;0.62;28.66
ITEM;114;791;1.11;2.96
ITEM;21;155;1.08;39.71
ITEM;113;893;0.98;6.53
ITEM;2016;332;0.59;502.41
ITEM;720;54;0.96;5954.63
ITEM;2357;7;0.87;435.88
ITEM;710;46;1.20;9859.50
ITEM;323;59;0.88;1633.99
ITEM;152;478;0.75;10.41
ITEM;156;11;0.86;17.39
ITEM;2018;55;0.56;578.62
ITEM;625;13;0.60;72662.02
ITEM;642;21;1.18;25992.23
ITEM;340;14;0.96;1467.22
ITEM;640;21;0.62;4567.06
ITEM;645;3;1.01;119767.70
ITEM;162;31;0.65;24.77
ITEM;202;538;0.89;82.87
ITEM;2443;21;1.05;75527.07
ITEM;760;54;0.84;218109.40
ITEM;2019;551;0.78;872.83
ITEM;2401;13;0.64;7224.00
ITEM;2020;35;0.79;657.03
ITEM;2021;31;0.75;687.11
ITEM;2170;29;1.15;10340450.00
ITEM;5;203;0.75;40.59
ITEM;333;31;0.50;4019.24
ITEM;22;550;0.66;42.02
ITEM;2022;29;0.66;664.38
ITEM;624;10;0.56;38894.71
ITEM;663;1;0.58;22976.21
ITEM;662;28;0.52;11843.16
ITEM;100;152;1.10;1.70
ITEM;408;58;1.21;15.03
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;55;1.00
SKILL;2;1.37
SKILL;44;0.65
SKILL;15;1.70
SKILL;231;1.57
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;32;45;303598;TRANSPORT#138#107#sector_0_station_1.txt#sector_14_station_0.txt#null#null#null#null;Move light cargo from Lammassu Financial in <color='cyan'>Void Starcross</color> and dock with <color='yellow'>138</color> <color='yellow'>Oils</color> at Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;1;<i>Lesjo Corjid</i> was unable to complete a large shipment from Lammassu Financial to Imperium Republica . A light shipment containing <color='yellow'>138</color> <color='yellow'>Oils</color> is located at the storage bay at Lammassu Financial in <color='cyan'>Void Starcross</color>. Retrieve the <color='yellow'>Oils</color> and transport them to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>.;21707;3446
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.165628;ship_data_(StinVec_SOLV_B_EBC2_Faculae).txt
SHIP;1;0.93;ship_data_(support_cruiser_1).txt
SHIP;2;0.97;ship_data_(support_shuttle_1).txt
SHIP;3;0.98;ship_data_(transport_utility_1).txt
SHIP;4;0.91;ship_data_(recon_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

