// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Lammassu Hub
STATION;type;Enterprise Hub
STATION;owner;Dueemifie Uomi
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;5
STATION;icon;lammassu.png
STATION;filename;sector_63_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-5-0-5-3-2-2-0-2-4-2-3-0-7-2-1-0-0-6-8-1-5-0
STATION;interior_seed;5-0-30-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;36719.16
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;0.54;npc_ship_data_(recon_carrier_1).txt
MERC;7;1.21;npc_ship_data_(pirate_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Supply: (3) Items ;407x631,407x806,321x288;257061;91593.44
ITEM;311;24;1.00;134.96
ITEM;729;79;0.50;8351.44
ITEM;109;286;1.01;4.78
ITEM;406;28;0.53;0.65
ITEM;403;45;0.86;1.01
ITEM;101;223;0.79;1.52
ITEM;168;154;0.66;18.59
ITEM;623;12;1.22;47899.02
ITEM;110;702;1.00;16.96
ITEM;603;17;1.22;47899.02
ITEM;325;38;1.15;389.74
ITEM;404;28;0.99;1.15
ITEM;200;317;0.57;46.54
ITEM;300;7;1.07;112.17
ITEM;1779;14;0.53;322751.60
ITEM;1780;6;1.15;639648.10
ITEM;1778;40;0.54;340188.70
ITEM;301;42;1.08;28.76
ITEM;332;48;0.74;2218.71
ITEM;2441;15;0.79;76756.48
ITEM;661;24;0.51;6942.84
ITEM;108;251;0.89;12.66
ITEM;2002;470;0.53;179.71
ITEM;660;13;0.83;6207.34
ITEM;2416;4;0.73;15744.69
ITEM;2004;124;1.01;395.34
ITEM;643;1;0.50;20887.50
ITEM;24;96;0.60;115.19
ITEM;702;54;0.59;6467.63
ITEM;322;49;1.20;830.46
ITEM;204;66;0.90;104.01
ITEM;343;0;1.21;9876.37
ITEM;341;0;1.34;9197.05
ITEM;324;40;0.85;2264.19
ITEM;735;29;0.79;6350719.00
ITEM;1170;10;1.07;2704.23
ITEM;1002;44;1.22;2553.53
ITEM;2124;80;0.78;9204.39
ITEM;2112;184;0.76;9801.15
ITEM;1050;11;0.55;1213.53
ITEM;1054;17;0.95;2416.23
ITEM;313;36;0.57;184.29
ITEM;2;258;0.67;8.39
ITEM;604;7;1.23;84478.53
ITEM;405;14;1.13;1.31
ITEM;602;13;0.95;21582.97
ITEM;673;56;0.67;52326.90
ITEM;743;78;1.10;190865.80
ITEM;748;11;1.18;204065.80
ITEM;731;86;0.93;162815.80
ITEM;102;381;1.15;3.75
ITEM;331;39;0.89;204.12
ITEM;2274;42;0.66;516069.00
ITEM;746;59;0.94;44854.31
ITEM;621;6;0.92;11965.34
ITEM;2126;96;0.67;97931.25
ITEM;1102;47;0.71;18785.68
ITEM;2120;179;1.04;134353.40
ITEM;757;66;0.95;45304.31
ITEM;1611;40;0.94;33889.93
ITEM;2254;6;0.60;315246.00
ITEM;305;42;0.84;209.13
ITEM;105;611;0.78;6.48
ITEM;2009;421;0.78;499.43
ITEM;20;490;1.14;25.13
ITEM;219;408;0.51;143.46
ITEM;304;48;0.97;774.80
ITEM;747;57;0.71;76676.25
ITEM;2451;3;0.77;264564.00
ITEM;2428;24;1.13;48494.68
ITEM;701;11;1.09;10320.86
ITEM;691;87;1.09;9174.10
ITEM;690;29;0.61;4667.34
ITEM;4;50;1.19;39.20
ITEM;155;17;0.73;13.94
ITEM;104;455;1.12;4.39
ITEM;320;17;0.91;1372.69
ITEM;676;27;0.72;11651.44
ITEM;732;85;1.01;16001.44
ITEM;750;52;0.91;14501.44
ITEM;756;24;0.78;12551.44
ITEM;1461;27;0.59;137437.00
ITEM;214;19;0.83;192.80
ITEM;23;312;0.69;77.04
ITEM;161;197;0.96;33.55
ITEM;2353;34;0.78;276.13
ITEM;728;7;0.50;8351.44
ITEM;210;87;1.12;174.75
ITEM;2397;16;0.96;7461.00
ITEM;212;307;0.54;107.23
ITEM;321;31;0.89;2420.30
ITEM;106;645;0.98;9.63
ITEM;601;1;0.92;11965.34
ITEM;150;325;0.52;6.34
ITEM;303;21;0.92;892.64
ITEM;342;0;1.23;6406.45
ITEM;107;708;1.21;14.12
ITEM;644;1;0.93;64782.93
ITEM;206;360;0.94;131.11
ITEM;407;15;0.82;4.82
ITEM;103;42;1.11;2.52
ITEM;330;8;0.72;1183.40
ITEM;2171;41;0.51;5699809.00
ITEM;165;252;0.62;35.97
ITEM;118;336;0.83;4.76
ITEM;1623;42;0.87;222423.00
ITEM;1583;48;0.91;216554.80
ITEM;1114;14;0.81;286151.30
ITEM;1072;20;0.90;315863.70
ITEM;2116;129;0.72;1398755.00
ITEM;1618;27;0.54;90707.91
ITEM;1503;1;1.25;219536.10
ITEM;1074;12;1.03;391397.50
ITEM;2256;38;0.53;1126584.00
ITEM;600;9;0.71;5367.34
ITEM;1534;10;0.68;294705.00
ITEM;1754;7;0.86;586728.00
ITEM;1767;49;0.67;779076.30
ITEM;1762;45;0.86;1038910.00
ITEM;1654;10;0.68;294705.00
ITEM;2111;14;0.58;3678836.00
ITEM;2129;21;0.95;5816476.00
ITEM;2117;120;1.13;7479719.00
ITEM;2123;13;1.11;6128056.00
ITEM;1614;20;0.97;279279.40
ITEM;3;102;1.03;20.71
ITEM;726;8;1.04;16451.44
ITEM;154;323;0.79;37.19
ITEM;114;635;0.57;1.62
ITEM;21;51;0.78;29.87
ITEM;2432;39;0.95;38702.97
ITEM;113;519;0.76;5.27
ITEM;722;33;0.58;3820.58
ITEM;216;260;0.91;254.34
ITEM;2379;29;0.85;2385.69
ITEM;693;40;1.19;6233.81
ITEM;703;86;1.04;7677.34
ITEM;720;83;0.64;4180.58
ITEM;217;476;1.25;378.15
ITEM;710;12;0.58;5094.10
ITEM;323;45;0.69;1337.30
ITEM;2344;6;0.75;107.30
ITEM;156;70;0.71;14.94
ITEM;642;16;1.01;22869.25
ITEM;340;0;1.26;2435.22
ITEM;640;15;1.16;8517.34
ITEM;162;129;1.08;41.26
ITEM;754;45;0.67;181690.60
ITEM;5;437;0.90;49.64
ITEM;333;33;0.82;6618.46
ITEM;22;113;0.95;61.10
ITEM;624;22;0.94;65439.45
ITEM;663;18;0.69;28015.54
ITEM;662;8;0.67;15580.33
ITEM;100;615;1.04;1.65
ITEM;408;38;1.05;13.39
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;64;1.72
SKILL;221;1.96
SKILL;24;1.64
SKILL;36;1.26
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;51;30;231238;SCAN_STRUCTURE#sector_0_station_4.txt#sector_64.txt#Shlick Diamond's#structure_raider_hideout.txt#1#null#null#null;Find the target <color='yellow'>Shlick Diamond's</color> structure in <color='cyan'>Gemini Shoal</color>, scan, and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>;5;<i>Siyer Xogo</i> has requested that someone verify the location of <color='yellow'>Shlick Diamond's</color> in the <color='cyan'>Gemini Shoal</color> sector. After a recent mix-up at the zoning office, the Commerce reps are concerned that construction guidelines were not followed properly. Return to the Starbase Corporate Center station located in the <color='cyan'>Void Starcross</color> with the scan data.;14732;4375
MISSION;63;45;533267;HARVEST#181#7#sector_5.txt#sector_40_station_0.txt#null#null#null#null;Extract special <color='yellow'>Special Dynex Ore</color> in <color='cyan'>Enoch Estates</color> and return to Legistron in <color='cyan'>Dogstar Prime</color> with minimum of <color='yellow'>181</color>;4;The Financial faction has reported that a special medium load of <color='yellow'>Special Dynex Ore</color> has been scanned in the <color='cyan'>Enoch Estates</color> system. <i>Nisi Faewelifall</i> is credited with the find, but His claim is currently invalid. Hurry up and harvest the <color='yellow'>Special Dynex Ore</color> and return to Legistron, in the <color='cyan'>Dogstar Prime</color>.;79871;27133
MISSION;140;90;507939;REFINE#5#8#sector_35_station_0.txt#sector_0_station_0.txt#null#null#null#null;Dock at the Astrox Security Patrol station refinery in <color='cyan'>Felishar</color> and process a light shipment of <color='yellow'>5</color> <color='yellow'>Belasite Ores</color>;3;<i>Nortishore Raca</i> runs a Trade shipping company at Biomate University. After having some issues with a transport ship, <color='yellow'>5</color> items of <color='yellow'>Belasite Ores</color> were left behind. Head on over to <color='cyan'>Felishar</color> and refine these <color='yellow'>Belasite Ores</color> at the Astrox Security Patrol refinery.;8100;1500
MISSION;51;30;631763;SCAN_STRUCTURE#sector_78_station_0.txt#sector_77.txt#Corporate Dock#structure_dock_1.txt#1#null#null#null;Find the target <color='yellow'>Corporate Dock</color> structure in <color='cyan'>Ballast Crow</color>, scan, and return to Tella's in <color='cyan'>Bitcola</color>;5;<i>Beckfou Yanilshin</i> has requested that someone verify the location of <color='yellow'>Corporate Dock</color> in the <color='cyan'>Ballast Crow</color> sector. After a recent mix-up at the zoning office, the Commerce reps are concerned that construction guidelines were not followed properly. Return to the Tella's station located in the <color='cyan'>Bitcola</color> with the scan data.;15799;5250
MISSION;123;45;865156;CHAT_PILOT#sector_61_station_0.txt#sector_14.txt#Leader Qoni Xezaso#npc_ship_data_(kj_frigate_1)#5#missions_arrest_escort.txt#0#null;Detain <color='yellow'><i>Leader Qoni Xezaso</i></color> in <color='cyan'>Gate of Alpharis</color> and escort them to Transporteers Hub in <color='cyan'>Ambervellis Drea</color>;3;<i>Couya Ilsdee</i> has requested that <color='yellow'><i>Leader Qoni Xezaso</i></color> be escorted back into custody. Authorities of the Trade faction has determined guilt opon the accused. <color='yellow'><i>Leader Qoni Xezaso</i></color> has refused to cooperate with the courts. Last known sighting of <color='yellow'><i>Leader Qoni Xezaso</i></color> was in the vicinity of the <color='cyan'>Gate of Alpharis</color> system. Have a chat with them ann bring them back for further questioning.;48386;16079
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.96;ship_data_(support_cruiser_1).txt
SHIP;2;0.93;ship_data_(pirate_frigate_1).txt
SHIP;3;1.01;ship_data_(pirate_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

