// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Monarch Society
STATION;type;Organization Center
STATION;owner;Lowwogo Fonak
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;4
STATION;icon;ad_image_9.png
STATION;filename;sector_22_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-6-0-1-6-1-8-0-5-3-2-3-0
STATION;interior_seed;5-3-30-7
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;55222.51
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.28;npc_ship_data_(excavation_shuttle_1).txt
MERC;2;1.93;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.92;npc_ship_data_(support_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (2) Items ;121x754,117x530;81259.00;122285.50
ITEM;104;569;1.05;5.05
ITEM;203;356;0.81;83.26
ITEM;320;11;0.93;1366.55
ITEM;680;16;0.73;20585.81
ITEM;740;32;0.72;11261.17
ITEM;745;58;1.03;15936.56
ITEM;674;44;0.53;10123.88
ITEM;732;15;0.50;7972.62
ITEM;750;15;0.84;13066.46
ITEM;756;39;1.05;16236.56
ITEM;214;241;1.03;231.00
ITEM;157;327;0.71;15.92
ITEM;23;94;1.07;113.74
ITEM;161;250;0.65;22.52
ITEM;2439;23;0.79;61612.91
ITEM;728;28;0.82;12826.13
ITEM;210;286;1.24;188.96
ITEM;212;42;1.16;214.27
ITEM;321;36;0.95;2511.50
ITEM;121;0;1.16;59.62
ITEM;106;116;1.05;12.57
ITEM;601;12;0.94;11912.36
ITEM;150;137;0.83;9.49
ITEM;303;39;0.89;843.00
ITEM;342;0;1.29;6588.04
ITEM;107;4;1.05;15.09
ITEM;407;24;0.67;3.86
ITEM;103;550;1.05;2.92
ITEM;330;30;0.82;1296.72
ITEM;165;37;1.15;62.85
ITEM;118;534;1.05;7.27
ITEM;170;332;1.05;73.06
ITEM;1623;35;1.14;281385.00
ITEM;1533;9;1.11;228487.50
ITEM;2286;3;0.93;2309850.00
ITEM;1583;27;0.81;188706.00
ITEM;2291;22;0.99;2453850.00
ITEM;1543;20;0.72;138448.50
ITEM;2122;168;0.88;1369227.00
ITEM;1563;3;1.11;246766.50
ITEM;1593;9;0.81;134790.00
ITEM;120;0;1.18;180.69
ITEM;600;8;1.06;7647.06
ITEM;2312;19;0.85;12000140.00
ITEM;2282;38;0.79;3947700.00
ITEM;62;154;0.85;502.57
ITEM;2123;130;0.84;4582206.00
ITEM;2272;24;1.03;3875772.00
ITEM;3;331;0.98;19.30
ITEM;726;32;0.70;10972.99
ITEM;164;136;0.87;14.54
ITEM;114;263;1.05;3.50
ITEM;21;233;1.07;39.36
ITEM;113;309;1.15;9.53
ITEM;119;0;1.16;123.87
ITEM;721;36;0.73;4546.95
ITEM;722;63;0.84;5234.63
ITEM;2460;23;0.56;23697.50
ITEM;693;56;0.68;3562.19
ITEM;720;35;0.73;4550.16
ITEM;217;136;0.74;223.53
ITEM;215;132;0.91;225.39
ITEM;723;6;1.22;7514.63
ITEM;755;28;0.92;5714.63
ITEM;725;37;0.88;13686.56
ITEM;323;7;1.22;2242.87
ITEM;117;0;1.31;80.61
ITEM;642;19;0.51;11628.78
ITEM;340;0;1.25;2362.71
ITEM;640;8;1.19;8557.06
ITEM;202;110;0.91;84.67
ITEM;744;38;0.67;175105.70
ITEM;749;43;0.83;216267.10
ITEM;734;36;0.81;211801.00
ITEM;754;18;0.65;170609.40
ITEM;760;62;1.20;308109.40
ITEM;124;0;1.18;104.46
ITEM;1300;7;0.77;11234.13
ITEM;333;28;0.72;5705.41
ITEM;22;347;1.24;77.22
ITEM;122;0;1.29;235.78
ITEM;663;3;1.15;44360.32
ITEM;662;8;0.72;16130.76
ITEM;100;319;1.07;2.07
ITEM;408;13;0.70;8.86
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;11;1.60
SKILL;44;0.97
SKILL;64;1.40
SKILL;11;1.85
SKILL;44;1.62
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;34;45;385779;TRANSPORT#12#1511#sector_0_station_5.txt#sector_1_station_0.txt#null#null#null#null;Transport a shipment of <color='yellow'>12</color> <color='yellow'>Improved Engine Cores</color> from Proctors Center in the <color='cyan'>Void Starcross</color> Sector to Quantex in <color='cyan'>Dellis Primeria</color>;0;<i>Fedo Zobino</i> from the Alpha Faction has submitted a medium transport ticket for <color='yellow'>12</color> <color='yellow'>Improved Engine Cores</color>. Pick up location: Proctors Center storage facility in <color='cyan'>Void Starcross</color>. Drop off location: Quantex in <color='cyan'>Dellis Primeria</color>. Alpha members will be waiting in <color='cyan'>Dellis Primeria</color>.;68585;15827
MISSION;52;30;398839;SCAN_STRUCTURE#sector_60_station_0.txt#sector_95.txt#Office Center#structure_office_1.txt#1#null#null#null;Track and scan the target <color='yellow'>Office Center</color> structure in <color='cyan'>Temple Gates</color> and return to Biomart in <color='cyan'>Veloxi</color>;2;The Civil faction has commissioned scientific survey of a strange vibration taking place at <color='yellow'>Office Center</color> in the <color='cyan'>Temple Gates</color> sector. Head over to <color='cyan'>Temple Gates</color> and scan the <color='yellow'>Office Center</color> structure. Once complete, return to the Biomart station located in the <color='cyan'>Veloxi</color> with the scan data.;29890;9188
MISSION;134;45;942836;SALVAGE#239#20#sector_56.txt#sector_0_station_2.txt#null#null#null#null;In <color='cyan'>Hunu</color>, Salvage <color='yellow'>Special Junk Part</color> and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color> with at least <color='yellow'>239</color>;0;A local company in <color='cyan'>Hunu</color> has requested a medium salvage of <color='yellow'>239</color> <color='yellow'>Special Junk Part</color>. This is a rare find, and the client has requested someone bring the parts back to StarGypsy Warehouse station located in the <color='cyan'>Void Starcross</color>. A Alpha faction representative will be waiting to take the salvage from you.;84412;31655
MISSION;135;45;262865;SALVAGE#236#23#sector_61.txt#sector_5_station_0.txt#null#null#null#null;Return to Mazu Starship in <color='cyan'>Enoch Estates</color> after salvaging <color='yellow'>Special Metal Fragment</color> from <color='cyan'>Ambervellis Drea</color>. <color='yellow'>236</color> required.;0;In the <color='cyan'>Ambervellis Drea</color> system, scan records have revealed that <color='yellow'>236</color> special <color='yellow'>Special Metal Fragment</color> have been located in the sector. <i>Lelwit Youada</i> has requested help from the Alpha faction, and in turn, they have commissioned a contract order. Once the medium load of <color='yellow'>Special Metal Fragment</color> has been salvaged, bring it to Mazu Starship station located in the <color='cyan'>Enoch Estates</color>.;202740;73858
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.96;ship_data_(support_carrier_1).txt
SHIP;2;0.99;ship_data_(recon_cruiser_1).txt
SHIP;3;0.94;ship_data_(recon_shuttle_1).txt
SHIP;4;1.07;ship_data_(pirate_carrier_1).txt
SHIP;5;0.99;ship_data_(battle_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

