// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Lacuna Bandits
STATION;type;Entertainment Hub
STATION;owner;Kilekom Anfer
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;4
STATION;icon;lacuna.png
STATION;filename;sector_77_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-6-1-7-7-3-3-1-1-0-2-6-0-3-3-2-1-90
STATION;interior_seed;5-8-45-6
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;59527.07
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.03;npc_ship_data_(pirate_escort_1).txt
MERC;9;1.56;npc_ship_data_(transport_escort_1).txt
MERC;7;1.94;npc_ship_data_(recon_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (3) Items ;2009x384,219x622,2004x420;317602.00;85332.85
ITEM;1513;5;1.10;209921.80
ITEM;2128;161;0.85;1556166.00
ITEM;2116;153;1.15;2237860.00
ITEM;2122;133;1.08;1759839.00
ITEM;1563;11;0.77;186351.30
ITEM;600;11;0.90;6949.16
ITEM;52;173;0.72;154.29
ITEM;1574;0;2.50;1348224.00
ITEM;1584;13;1.05;639933.00
ITEM;62;125;1.17;719.17
ITEM;2153;33;0.90;13765070.00
ITEM;2141;19;1.17;6632135.00
ITEM;2117;87;0.50;3735802.00
ITEM;77;22;1.16;1189.12
ITEM;3;383;0.74;15.87
ITEM;207;156;0.74;120.49
ITEM;164;66;0.81;14.54
ITEM;114;325;0.58;1.74
ITEM;21;92;0.77;30.80
ITEM;2440;16;1.07;95817.71
ITEM;113;200;0.64;4.73
ITEM;2398;2;0.59;5511.06
ITEM;216;365;0.99;284.85
ITEM;693;52;0.54;3163.69
ITEM;720;66;0.52;3676.43
ITEM;2448;30;0.51;24109.50
ITEM;723;9;0.92;6076.43
ITEM;725;70;0.84;13991.06
ITEM;323;9;0.55;1151.01
ITEM;1450;9;0.70;8323.74
ITEM;152;254;1.11;16.01
ITEM;2344;2;1.17;167.94
ITEM;642;6;1.12;25998.67
ITEM;640;18;0.78;6109.16
ITEM;162;222;0.95;37.85
ITEM;202;51;0.65;66.73
ITEM;749;66;1.12;303184.40
ITEM;734;55;0.73;205684.40
ITEM;760;41;0.52;153184.40
ITEM;333;10;1.05;10782.80
ITEM;22;334;1.09;71.78
ITEM;663;19;0.71;30115.50
ITEM;662;8;0.64;15708.43
ITEM;100;467;0.57;0.99
ITEM;408;6;0.86;11.53
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;58;0.52
SKILL;41;1.17
SKILL;44;1.75
SKILL;230;0.97
SKILL;33;1.20
SKILL;24;1.62
SKILL;56;0.90
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;30;45;708895;TRANSPORT#2#1065#sector_0_station_3.txt#sector_65_station_0.txt#null#null#null#null;Transport a light shipment of <color='yellow'>2</color> <color='yellow'>Advanced Rocket Launchers</color> from StarShepards Headquarters in <color='cyan'>Void Starcross</color> to CoraVault Hub in <color='cyan'>Pindoris</color>;8;Transport manager <i>Padada Bunxenvi</i> has requested a transport of a light shipment of <color='yellow'>2</color> <color='yellow'>Advanced Rocket Launchers</color>. They need to be picked up at the storage facility at StarShepards Headquarters in <color='cyan'>Void Starcross</color>, and transported to CoraVault Hub in <color='cyan'>Pindoris</color>. <i>Padada Bunxenvi</i> will be waiting at CoraVault Hub to receive the shipment.;6638;3375
MISSION;152;120;726848;FABRICATE#6#2409#sector_0_station_1.txt#sector_0_station_3.txt#null#null#null#null;Manufacture <color='yellow'>6</color> <color='yellow'>Antenna Arrays</color> at Lammassu Financial station fabricator in <color='cyan'>Void Starcross</color>;6;<i>Ilsah Eamole</i> from StarShepards Headquarters Station has commissioned a production run . He has required a small manufacturing run of <color='yellow'>6</color> <color='yellow'>Antenna Arrays</color>. Set your GPS autopilot to <color='cyan'>Void Starcross</color> and produce these <color='yellow'>Antenna Arrays</color> on site at the Lammassu Financial immediately.;18222;2680
MISSION;12;30;508970;DELIVERY#26#332#sector_61_station_0.txt#sector_57_station_0.txt#null#null#null#null;Light delivery of <color='yellow'>Communication Devices</color> to Transporteers Hub Station in <color='cyan'>Ambervellis Drea</color>;6;<i>Akbin Peane</i> from OmniTrust Station has commissioned a delivery . He has required a small transport delivery of <color='yellow'>26</color> <color='yellow'>Communication Devices</color>. Set your GPS autopilot to <color='cyan'>Ambervellis Drea</color> and deliver these <color='yellow'>Communication Devices</color> to Transporteers Hub immediately.;15006;6125
MISSION;73;45;949446;ESCORT#sector_0_station_5.txt#sector_1_station_0.txt#Liaison Ouwen Feroncie#npc_ship_data_(ATC_Fortune_MK2)#13#null#null#null;<color='yellow'><i>Liaison Ouwen Feroncie</i></color> is waiting at Proctors Center in <color='cyan'>Void Starcross</color> and needs an escort to Quantex in <color='cyan'>Dellis Primeria</color>;6;The Pirate political party has drafted an escort request for an incoming diplomat named <color='yellow'><i>Liaison Ouwen Feroncie</i></color>. He is currently awaiting in <color='cyan'>Void Starcross</color>, and is docked at the Proctors Center station. Lead <color='yellow'><i>Liaison Ouwen Feroncie</i></color> to the Quantex station in the <color='cyan'>Dellis Primeria</color> system safely.;31621;8039
MISSION;103;120;537549;KILL_RECOVER#sector_58_station_0.txt#sector_16.txt#Enforcer Koldue Birafonou#npc_ship_data_(ATC_Spark)#10#4000#114#null;Eradicate <color='yellow'><i>Enforcer Koldue Birafonou</i></color> in <color='cyan'>Entropy</color> and recover <color='yellow'>4000</color> <color='yellow'>Salt Crystals</color>. Return to CoraVault in <color='cyan'>Lins</color>;7;After <color='yellow'>4000</color> <color='yellow'>Salt Crystals</color> were hijacked from a transport in <color='cyan'>Entropy</color>, Outlaw authorities began hunting for <color='yellow'><i>Enforcer Koldue Birafonou</i></color>. A well known lowlife from the area, <color='yellow'><i>Enforcer Koldue Birafonou</i></color> has been on the run from the ASP for various crimes and recently had a bounty commissioned by <i>Ateve Paseport</i>. Return the stolen cargo and meet <i>Ateve Paseport</i> at CoraVault in <color='cyan'>Lins</color>.;73231;18758
MISSION;110;60;835502;KILL_RAIDERS#sector_100_station_0.txt#sector_68.txt#1#10#npc_ship_data_(freighter_4)#random#random#random;Hunt <color='yellow'>1 Raider</color> level 10 Raider(s) in <color='cyan'>Kriox</color> and return to Fellacore Research Center in <color='cyan'>Grace</color>;6;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Kriox</color>. The Pirate faction has requested a sector clearance contract. Head on over to the <color='cyan'>Kriox</color> and clear out the <color='yellow'>1 Raider</color>, level 10 Raiders that have set up camp there. Dock at the Fellacore Research Center station in <color='cyan'>Grace</color> when complete.;13252;4813
MISSION;101;120;650674;KILL_RECOVER#sector_1_station_0.txt#sector_19.txt#Doctor Lowcor Padorn#npc_ship_data_(battle_frigate_1)#5#1#1632#null;Hijack <color='yellow'><i>Doctor Lowcor Padorn</i></color> in <color='cyan'>Crellara</color> for <color='yellow'>1</color> <color='yellow'>Advanced Impact Armor</color> and deliver them to Quantex in <color='cyan'>Dellis Primeria</color>;6;Authorities in <color='cyan'>Crellara</color> have reported the location of a known criminal, <color='yellow'><i>Doctor Lowcor Padorn</i></color>. He is carrying some stolen property belonging to members of the Pirate faction. Destroy <color='yellow'><i>Doctor Lowcor Padorn</i></color>'s ship and recover the <color='yellow'>1</color> <color='yellow'>Advanced Impact Armor</color>. When finished, meet up with <i>Zafei Qaromos</i>, you can find him at Quantex in <color='cyan'>Dellis Primeria</color>.;29143;7656
MISSION;128;45;202868;CHAT_PILOT#sector_18_station_0.txt#sector_11.txt#Sir Erove Riswenino#npc_ship_data_(ATC_Fortune_MK2)#18#missions_transfer_pilot.txt#0#null;Transfer a termination notice to <color='yellow'><i>Sir Erove Riswenino</i></color> in <color='cyan'>Chamo</color> and return to Dreamstar in <color='cyan'>Gendaria</color>;7;<color='yellow'><i>Sir Erove Riswenino</i></color> has been fired by the Outlaw faction for poor performance. <color='yellow'><i>Sir Erove Riswenino</i></color> has refused all calls from their employer. Last seen in the <color='cyan'>Chamo</color> system. Contact <color='yellow'><i>Sir Erove Riswenino</i></color> and deliver the message. Then return to the Dreamstar in the <color='cyan'>Gendaria</color> system a confirmation.;686119;219910
MISSION;12;30;536453;DELIVERY#25#2050#sector_0_station_3.txt#sector_65_station_0.txt#null#null#null#null;Light delivery of <color='yellow'>Sensor Arrays</color> to StarShepards Headquarters Station in <color='cyan'>Void Starcross</color>;6;<i>Nido Whofo</i> from CoraVault Hub Station has commissioned a delivery . He has required a small transport delivery of <color='yellow'>25</color> <color='yellow'>Sensor Arrays</color>. Set your GPS autopilot to <color='cyan'>Void Starcross</color> and deliver these <color='yellow'>Sensor Arrays</color> to StarShepards Headquarters immediately.;25419;9188
MISSION;83;60;990336;RECOVER#198#2004#sector_62.txt#sector_16_station_0.txt#null#null#null#null;Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Jelumus</color> and bring back to Rendo Labs in <color='cyan'>Entropy</color>;7;A medium shipping crate has come up missing from a mining operation move in <color='cyan'>Jelumus</color>. <i>Resjel Aoweli</i> is looking for an able pilot to scoop up the shipment of <color='yellow'>198</color> <color='yellow'>Dynex Crystal Resonators</color>. Once the crate has been recovered, take it to the Rendo Labs station located in the <color='cyan'>Entropy</color> where <i>Resjel Aoweli</i> will be waiting with your payment.;61055;18089
MISSION;150;120;964379;FABRICATE#3#2377#sector_0_station_5.txt#sector_60_station_0.txt#null#null#null#null;Dock at the Proctors Center station fabricator in <color='cyan'>Void Starcross</color> and manufacture a light shipment of <color='yellow'>3</color> <color='yellow'>Memory Chips</color>;6;<i>Sedbast Tellockipea</i> runs a Pirate production company at Biomart. After having some issues with a manufacturing plant, <color='yellow'>3</color> items of <color='yellow'>Memory Chips</color> were marked as low supply. Head on over to <color='cyan'>Void Starcross</color> and fabricate these <color='yellow'>Memory Chips</color> at Proctors Center.;12775;3500
MISSION;127;45;967096;CHAT_PILOT#sector_56_station_1.txt#sector_18.txt#Commander Nivaj Bidqiak#npc_ship_data_(support_frigate_2)#22#missions_transfer_pilot.txt#0#null;Transfer a legal document to <color='yellow'><i>Commander Nivaj Bidqiak</i></color> in <color='cyan'>Gendaria</color>. Return with confirmation at ValueStar in <color='cyan'>Hunu</color>;7;<color='yellow'><i>Commander Nivaj Bidqiak</i></color> is required to provide the Outlaw faction a signed legal document. <color='yellow'><i>Commander Nivaj Bidqiak</i></color> has returned this document unsigned. Last known sighting of <color='yellow'><i>Commander Nivaj Bidqiak</i></color> was in the area of <color='cyan'>Gendaria</color>. Locate them and resolve this problem. Then return to ValueStar in the <color='cyan'>Hunu</color> system to deliver confirmation.;478322;125663
MISSION;102;120;136850;KILL_RECOVER#sector_23_station_0.txt#sector_97.txt#Senator Peivak Cabinose#npc_ship_data_(ATC_Hornet)#7#1#1173#null;Hijack and kill <color='yellow'><i>Senator Peivak Cabinose</i></color> in <color='cyan'>Valley of Truths</color> and steal <color='yellow'>1</color> <color='yellow'>Advanced Ion Beam</color>. Return to PharmaLife in <color='cyan'>Carioullis</color>;6;The Pirate faction has been following an escaped fugitive named <color='yellow'><i>Senator Peivak Cabinose</i></color>. He was recently seen around the <color='cyan'>Valley of Truths</color> system, but his exact location is unknown. <color='yellow'><i>Senator Peivak Cabinose</i></color> is carrying some cargo that was taken from the security facility. Return the <color='yellow'>Advanced Ion Beam</color> by any means, and head back to PharmaLife in <color='cyan'>Carioullis</color>.;39124;10719
MISSION;21;120;186575;COLLECT#47#408#sector_95_station_1.txt#sector_0_station_4.txt#null#null#null#null;Gather a collection of <color='yellow'>47</color> <color='yellow'>Wrapped Boxs</color> and dock the light shipment at Acrondia Hub in <color='cyan'>Temple Gates</color>;6;<i>Homsip Yanqu</i> has requested an small collection of <color='yellow'>47</color> <color='yellow'>Wrapped Boxs</color> in preparation for an upcoming exploration run. Backed by the Pirates after these items have been collected, return to the Acrondia Hub Station located in the <color='cyan'>Temple Gates</color> Sector.;15161;2407
MISSION;84;60;340942;RECOVER#1122#120#sector_68.txt#sector_3_station_0.txt#null#null#null#null;Recover a medium shipment <color='yellow'>crate</color> in <color='cyan'>Kriox</color> and bring back to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;6;In the <color='cyan'>Kriox</color> sector, a medium shipment of <color='yellow'>Prometheums</color> have been reported to the local Pirate authorities as derelict. <i>Ilerest Doeris</i> has filed a claim on the crate, and has requested a recovery contract for <color='yellow'>1122</color> <color='yellow'>Prometheums</color> to be delivered Daemon Ammunitions station in <color='cyan'>Starfort Ramos</color>.;113281;36930
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.99;ship_data_(excavation_cruiser_1).txt
SHIP;2;0.92;ship_data_(battle_cruiser_1).txt
SHIP;3;1.07;ship_data_(excavation_cruiser_1).txt
SHIP;4;0.95;ship_data_(recon_carrier_1).txt
SHIP;5;0.93;ship_data_(battle_cruiser_1).txt
SHIP;6;0.95;ship_data_(transport_cruiser_1).txt
SHIP;7;1.09;ship_data_(support_utility_1).txt
SHIP;8;1.07;ship_data_(excavation_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

